cod_mun,municipio,provincia,renta,renta_previa,var_anual
01051,Agurain/Salvatierra,Araba/Álava,5022,4937,1.721693336034029
01001,Alegría-Dulantzi,Araba/Álava,2924,2860,2.237762237762238
01002,Amurrio,Araba/Álava,10295,10071,2.2242081223314467
01049,Añana,Araba/Álava,154,165,-6.666666666666667
01003,Aramaio,Araba/Álava,1456,1507,-3.3842070338420704
01006,Armiñón,Araba/Álava,231,227,1.762114537444934
01037,Arraia-Maeztu,Araba/Álava,799,739,8.119079837618404
01008,Arratzua-Ubarrundia,Araba/Álava,1013,953,6.295907660020986
01004,Artziniega,Araba/Álava,1806,1854,-2.5889967637540456
01009,Asparrena,Araba/Álava,1633,1691,-3.4299231224127738
01010,Ayala/Aiara,Araba/Álava,2950,2894,1.9350380096751902
01011,Baños de Ebro/Mañueta,Araba/Álava,286,314,-8.9171974522293
01013,Barrundia,Araba/Álava,891,904,-1.4380530973451326
01014,Berantevilla,Araba/Álava,462,480,-3.75
01016,Bernedo,Araba/Álava,539,572,-5.769230769230769
01017,Campezo/Kanpezu,Araba/Álava,1080,1146,-5.7591623036649215
01021,Elburgo/Burgelu,Araba/Álava,633,624,1.4423076923076923
01022,Elciego,Araba/Álava,997,1048,-4.866412213740458
01023,Elvillar/Bilar,Araba/Álava,325,363,-10.46831955922865
01047,Erriberabeitia,Araba/Álava,1413,1311,7.780320366132723
01046,Erriberagoitia/Ribera Alta,Araba/Álava,829,787,5.336721728081321
01056,Harana/Valle de Arana,Araba/Álava,226,283,-20.141342756183743
01901,Iruña Oka/Iruña de Oca,Araba/Álava,3471,3043,14.065067367729215
01027,Iruraiz-Gauna,Araba/Álava,530,540,-1.8518518518518516
01019,Kripan,Araba/Álava,175,196,-10.714285714285714
01020,Kuartango,Araba/Álava,395,355,11.267605633802818
01028,Labastida/Bastida,Araba/Álava,1529,1489,2.6863666890530555
01030,Lagrán,Araba/Álava,170,182,-6.593406593406594
01031,Laguardia,Araba/Álava,1469,1541,-4.672290720311486
01032,Lanciego/Lantziego,Araba/Álava,693,690,0.43478260869565216
01902,Lantarón,Araba/Álava,908,909,-0.11001100110011
01033,Lapuebla de Labarca,Araba/Álava,863,859,0.46565774155995343
01036,Laudio/Llodio,Araba/Álava,18005,18461,-2.4700720437679435
