cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
01051,Agurain/Salvatierra,5029,Ernesto Sainz Lanchares,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01001,Alegría-Dulantzi,2925,Joseba Koldo Garitagoitia Odria Gari,DTI-AIA,DTI-AIA,EAJ-PNV,Lista más votada
01002,Amurrio,10307,Txerra Molinuevo Laña,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01049,Añana,155,Juan Carlos Medina Martínez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01003,Aramaio,1456,Lierni Altuna Ugarte,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01006,Armiñón,231,Juan Muñoz Bartolomé,EAJ-PNV,EAJ-PNV,PP,Lista más votada
01037,Arraia-Maeztu,800,Anartz Gorrotxategi Elorriaga,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01008,Arratzua-Ubarrundia,1017,María Blanca Antepara Uribe,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01004,Artziniega,1809,Joseba Vivanco Retes,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01009,Asparrena,1633,Txelo Auzmendi Jimenez,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01010,Ayala/Aiara,2951,Gentza Alamillo Udaeta,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01011,Baños de Ebro/Mañueta,287,Francisco Javier Garcia Perez De Loza,PP,PP,EAJ-PNV,Lista más votada
01013,Barrundia,895,Igor Medina Isasa,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01014,Berantevilla,465,Mario Perea Anuncibay,aib-bai,aib-bai,EAJ-PNV,Lista más votada
01016,Bernedo,538,Ruben Martinez Crespo,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01017,Campezo/Kanpezu,1081,Ibernalo Basterra Txasko,KAIXO,KAIXO,EAJ-PNV,Lista más votada
01021,Elburgo/Burgelu,634,Nati López De Munain Alzola,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01022,Elciego,996,Juan Carlos Uribe Rueda,ZB,ZB,PP,Lista más votada
01023,Elvillar/Bilar,327,Enrique Pérez Mazo,EAJ-PNV,EAJ-PNV,-,Lista más votada
01046,Erriberagoitia/Ribera Alta,826,Javier Gallego Rodriguez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01056,Harana/Valle de Arana,226,Rosa María Ibarrondo Manzanos,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01901,Iruña Oka/Iruña de Oca,3468,Miguel Ángel Montes Sánchez,PSOE,PSOE,EAJ-PNV,Lista más votada
01027,Iruraiz-Gauna,529,Amaia Sagasti Jiménez De Vicuña,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01019,Kripan,175,Joseba Fernández Calleja,EAJ-PNV,EAJ-PNV,-,Lista más votada
01020,Kuartango,396,Eduardo Fernández De Pinedo Gonzalez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01028,Labastida/Bastida,1532,Laura Pérez Borinaga,EAJ-PNV,PP,EAJ-PNV,Otro
01030,Lagrán,171,José María Martínez Fernández,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01031,Laguardia,1464,Raúl García Ezquerro,EAJ-PNV,PP,EAJ-PNV,Otro
01032,Lanciego/Lantziego,692,Itziar De Alava Martinez De Icaya,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01902,Lantarón,915,Javier Uriarte Jairo,EAJ-PNV,EAJ-PNV,PP,Lista más votada
01033,Lapuebla de Labarca,858,Maria Teresa Cordoba Fernandez,LPA,LPA,EAJ-PNV,Lista más votada
01036,Laudio/Llodio,18009,Ander Añibarro Maestre,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01058,Legutio,1993,Juan Cruz Jainaga Inziarte,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01034,Leza,219,José Antonio Suso Pérez De Arenaza,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01039,Moreda de Álava/Moreda Araba,209,Miguel Ángel Bujanda Fernández,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01041,Navaridas,197,Miguel Angel Fernandez Gonzalez,PP,PP,EAJ-PNV,Lista más votada
01042,Okondo,1196,Jon Escuza Del Campo,EAJ-PNV,EAJ-PNV,OA,Lista más votada
01043,Oyón-Oion,3418,Jose Eduardo Terroba Cabezon,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01044,Peñacerrada-Urizaharra,299,Juan Jose Betolaza Pinedo,AMI,AMI,EAJ-PNV,Lista más votada
