cod_ine,municipio,provincia,poblacion,partido_ganador,por_votos,color_ganador,color_code_ganador,alcalde,partido_alcalde,color_alcalde,color_code_alcalde,gobierna
01001,Alegría-Dulantzi,Álava,2960,PNV,34.13,PNV,#318731,Joseba Koldo Garitagoitia Odria Gari,DTI-AIA,OTROS,#888375,Otro
01002,Amurrio,Álava,10281,PNV,39.47,PNV,#318731,Txerra Molinuevo Laña,PNV,PNV,#318731,Lista más votada
01003,Aramaio,Álava,1431,EH Bildu,65.01,EH BILDU,#22b194,Iban Herrarte Arana,EH Bildu,EH BILDU,#22b194,Lista más votada
01004,Artziniega,Álava,1810,EH Bildu,53.12,EH BILDU,#22b194,Joseba Vivanco Retes,EH Bildu,EH BILDU,#22b194,Lista más votada
01006,Armiñón,Álava,235,PNV,42.4,PNV,#318731,Juan Muñoz Bartolomé,PNV,PNV,#318731,Lista más votada
01008,Arratzua-Ubarrundia,Álava,1031,PNV,32.12,PNV,#318731,María Blanca Antepara Uribe,PNV,PNV,#318731,Lista más votada
01009,Asparrena,Álava,1637,EH Bildu,55.06,EH BILDU,#22b194,Txelo Auzmendi Jimenez,EH Bildu,EH BILDU,#22b194,Lista más votada
01010,Ayala/Aiara,Álava,2921,PNV,43.94,PNV,#318731,Prudencio Otegui Echevarria,EH Bildu,EH BILDU,#22b194,Otro
01011,Baños de Ebro/Mañueta,Álava,296,PP,57.92,PP,#009ade,Francisco Javier Garcia Perez De Loza,PP,PP,#009ade,Lista más votada
01013,Barrundia,Álava,914,EH Bildu,61.06,EH BILDU,#22b194,Igor Medina Isasa,EH Bildu,EH BILDU,#22b194,Lista más votada
01014,Berantevilla,Álava,452,PNV,72.36,PNV,#318731,Isabel Arbaizagoitia Peral,PNV,PNV,#318731,Lista más votada
01016,Bernedo,Álava,560,PNV,42.52,PNV,#318731,Javi Moraza Perez,PNV,PNV,#318731,Lista más votada
01017,Campezo/Kanpezu,Álava,1094,Kaixo,69.9,OTROS,#82757f,Ibernalo Basterra Txasko,Kaixo,OTROS,#82757f,Lista más votada
01018,Zigoitia,Álava,1822,EH Bildu,40.73,EH BILDU,#22b194,Javier Gorbeña García,PNV,PNV,#318731,Otro
01019,Kripan,Álava,176,PNV,52.63,PNV,#318731,Joseba Fernández Calleja,PNV,PNV,#318731,Lista más votada
01020,Kuartango,Álava,421,EH Bildu,40.52,EH BILDU,#22b194,Miren Meabe Carro,PNV,PNV,#318731,Otro
01021,Elburgo/Burgelu,Álava,629,PNV,60.38,PNV,#318731,Nati López De Munain Alzola,PNV,PNV,#318731,Lista más votada
01022,Elciego,Álava,971,ZB,45.36,OTROS,#7a8688,Juan Carlos Uribe Rueda,ZB,OTROS,#7a8688,Lista más votada
01023,Elvillar/Bilar,Álava,316,PNV,77.42,PNV,#318731,Enrique Pérez Mazo,PNV,PNV,#318731,Lista más votada
01027,Iruraiz-Gauna,Álava,537,EH Bildu,47.02,EH BILDU,#22b194,Iratxe Del Barco Murua,EH Bildu,EH BILDU,#22b194,Lista más votada
01028,Labastida/Bastida,Álava,1538,PP,46.86,PP,#009ade,Daniel Garcia Ruiz,PP,PP,#009ade,Lista más votada
01030,Lagrán,Álava,175,PNV,39.32,PNV,#318731,Urtzi Gaintzarain Gonzalez De Durana,EH Bildu,EH BILDU,#22b194,Otro
01031,Laguardia,Álava,1483,PP,38.29,PP,#009ade,Raúl García Ezquerro,PNV,PNV,#318731,Otro
01032,Lanciego/Lantziego,Álava,724,PNV,52.97,PNV,#318731,Itziar De Alava Martinez De Icaya,PNV,PNV,#318731,Lista más votada
01033,Lapuebla de Labarca,Álava,870,LPA,55.76,OTROS,#82757f,Maria Teresa Cordoba Fernandez,LPA,OTROS,#82757f,Lista más votada
01034,Leza,Álava,217,PNV,57.01,PNV,#318731,Ignacio Gallo Herrera,PNV,PNV,#318731,Lista más votada
01036,Laudio/Llodio,Álava,17906,EH Bildu,34.14,EH BILDU,#22b194,Ainize Gastaka Martinez,EH Bildu,EH BILDU,#22b194,Lista más votada
01037,Arraia-Maeztu,Álava,804,PNV,53.18,PNV,#318731,Anartz Gorrotxategi Elorriaga,PNV,PNV,#318731,Lista más votada
01039,Moreda de Álava/Moreda Araba,Álava,216,PNV,41.45,PNV,#318731,Maravillas García Díaz De Cerio,PNV,PNV,#318731,Lista más votada
01041,Navaridas,Álava,200,PNV,46.03,PNV,#318731,Aitor Alonso Ruiz De Urra,PNV,PNV,#318731,Lista más votada
01042,Okondo,Álava,1187,PNV,50.13,PNV,#318731,Jon Escuza Del Campo,PNV,PNV,#318731,Lista más votada
01043,Oyón-Oion,Álava,3408,EH Bildu,34.78,EH BILDU,#22b194,Jose Manuel Villanueva Gutierrez,EH Bildu,EH BILDU,#22b194,Lista más votada
01044,Peñacerrada-Urizaharra,Álava,310,AMI/UEI,65.61,OTROS,#7b8684,Juan Jose Betolaza Pinedo,AMI/UEI,OTROS,#7b8684,Lista más votada
01046,Erriberagoitia/Ribera Alta,Álava,820,PNV,55.35,PNV,#318731,Javier Gallego Rodriguez,PNV,PNV,#318731,Lista más votada
01047,Erriberabeitia/Ribera Baja,Álava,1416,RBB,36.8,OTROS,#7d8781,Amado Martinez De Iturrate Cuartango,RBB,OTROS,#7d8781,Lista más votada
01049,Añana,Álava,156,PNV,55.45,PNV,#318731,Juan Carlos Medina Martínez,PNV,PNV,#318731,Lista más votada
01051,Agurain/Salvatierra,Álava,5069,EH Bildu,48.56,EH BILDU,#22b194,Raul Lopez De Uralde Baltasar,EH Bildu,EH BILDU,#22b194,Lista más votada
01052,Samaniego,Álava,311,EH Bildu,59.32,EH BILDU,#22b194,Maria Pilar Garmendia Iparraguirre,EH Bildu,EH BILDU,#22b194,Lista más votada
01053,San Millán/Donemiliaga,Álava,718,EH Bildu,55.9,EH BILDU,#22b194,Erika Letamendi Hurtado,EH Bildu,EH BILDU,#22b194,Lista más votada
01054,Urkabustaiz,Álava,1408,EH Bildu,56.73,EH BILDU,#22b194,Xabier Alvarez De Arcaya Fernandez De Landa,EH Bildu,EH BILDU,#22b194,Lista más votada
01055,Valdegovía/Gaubea,Álava,1097,PNV,50.92,PNV,#318731,Gorka Salazar Senso,PNV,PNV,#318731,Lista más votada
01056,Harana/Valle de Arana,Álava,226,PNV,52.68,PNV,#318731,Larraitz Waliño Arana,PNV,PNV,#318731,Lista más votada
01057,Villabuena de Álava/Eskuernaga,Álava,291,PNV,55.07,PNV,#318731,Iñaki Perez Berrueco,PNV,PNV,#318731,Lista más votada
01058,Legutio,Álava,2017,EH Bildu,41.93,EH BILDU,#22b194,Nerea Bengoa Garcia De Cortazar,PNV,PNV,#318731,Otro
