cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
01001,Alegría-Dulantzi,Álava,2960,PARTIDO NACIONALISTA VASCO,34.13,EAJ-PNV,#318731,PNV
01002,Amurrio,Álava,10281,PARTIDO NACIONALISTA VASCO,39.47,EAJ-PNV,#318731,PNV
01003,Aramaio,Álava,1431,EH BILDU,65.01,EH BILDU,#22b194,EH Bildu
01004,Artziniega,Álava,1810,EH BILDU,53.12,EH BILDU,#22b194,EH Bildu
01006,Armiñón,Álava,235,PARTIDO NACIONALISTA VASCO,42.4,EAJ-PNV,#318731,PNV
01008,Arratzua-Ubarrundia,Álava,1031,PARTIDO NACIONALISTA VASCO,32.12,EAJ-PNV,#318731,PNV
01009,Asparrena,Álava,1637,EH BILDU,55.06,EH BILDU,#22b194,EH Bildu
01010,Ayala/Aiara,Álava,2921,PARTIDO NACIONALISTA VASCO,43.94,EAJ-PNV,#318731,PNV
01011,Baños de Ebro/Mañueta,Álava,296,PARTIDO POPULAR,57.92,PP,#009ade,PP
01013,Barrundia,Álava,914,EH BILDU,61.06,EH BILDU,#22b194,EH Bildu
01014,Berantevilla,Álava,452,PARTIDO NACIONALISTA VASCO,72.36,EAJ-PNV,#318731,PNV
01016,Bernedo,Álava,560,PARTIDO NACIONALISTA VASCO,42.52,EAJ-PNV,#318731,PNV
01017,Campezo/Kanpezu,Álava,1094,AGRUPACIÓN DE ELECTORES KAIXO,69.9,KAIXO,#82757f,Otros
01018,Zigoitia,Álava,1822,EH BILDU,40.73,EH BILDU,#22b194,EH Bildu
01019,Kripan,Álava,176,PARTIDO NACIONALISTA VASCO,52.63,EAJ-PNV,#318731,PNV
01020,Kuartango,Álava,421,EH BILDU,40.52,EH BILDU,#22b194,EH Bildu
01021,Elburgo/Burgelu,Álava,629,PARTIDO NACIONALISTA VASCO,60.38,EAJ-PNV,#318731,PNV
01022,Elciego,Álava,971,ZIEKO BAI,45.36,Z B,#7a8688,Otros
01023,Elvillar/Bilar,Álava,316,PARTIDO NACIONALISTA VASCO,77.42,EAJ-PNV,#318731,PNV
01027,Iruraiz-Gauna,Álava,537,EH BILDU,47.02,EH BILDU,#22b194,EH Bildu
01028,Labastida/Bastida,Álava,1538,PARTIDO POPULAR,46.86,PP,#009ade,PP
01030,Lagrán,Álava,175,PARTIDO NACIONALISTA VASCO,39.32,EAJ-PNV,#318731,PNV
01031,Laguardia,Álava,1483,PARTIDO POPULAR,38.29,PP,#009ade,PP
01032,Lanciego/Lantziego,Álava,724,PARTIDO NACIONALISTA VASCO,52.97,EAJ-PNV,#318731,PNV
01033,Lapuebla de Labarca,Álava,870,LA PARRA AVANZA,55.76,LPA,#82757f,Otros
01034,Leza,Álava,217,PARTIDO NACIONALISTA VASCO,57.01,EAJ-PNV,#318731,PNV
01036,Laudio/Llodio,Álava,17906,EH BILDU,34.14,EH BILDU,#22b194,EH Bildu
01037,Arraia-Maeztu,Álava,804,PARTIDO NACIONALISTA VASCO,53.18,EAJ-PNV,#318731,PNV
01039,Moreda de Álava/Moreda Araba,Álava,216,PARTIDO NACIONALISTA VASCO,41.45,EAJ-PNV,#318731,PNV
01041,Navaridas,Álava,200,PARTIDO NACIONALISTA VASCO,46.03,EAJ-PNV,#318731,PNV
01042,Okondo,Álava,1187,PARTIDO NACIONALISTA VASCO,50.13,EAJ-PNV,#318731,PNV
01043,Oyón-Oion,Álava,3408,EH BILDU,34.78,EH BILDU,#22b194,EH Bildu
01044,Peñacerrada-Urizaharra,Álava,310,AGRUPACION MUNICIPAL INDEPENDIENTE,65.61,AMI/UEI,#7b8684,Otros
01046,Erriberagoitia/Ribera Alta,Álava,820,PARTIDO NACIONALISTA VASCO,55.35,EAJ-PNV,#318731,PNV
01047,Erriberabeitia/Ribera Baja,Álava,1416,RIBERA BAJA BIZIRIK,36.8,RBB,#7d8781,Otros
01049,Añana,Álava,156,PARTIDO NACIONALISTA VASCO,55.45,EAJ-PNV,#318731,PNV
01051,Agurain/Salvatierra,Álava,5069,EH BILDU,48.56,EH BILDU,#22b194,EH Bildu
01052,Samaniego,Álava,311,EH BILDU,59.32,EH BILDU,#22b194,EH Bildu
01053,San Millán/Donemiliaga,Álava,718,EH BILDU,55.9,EH BILDU,#22b194,EH Bildu
01054,Urkabustaiz,Álava,1408,EH BILDU,56.73,EH BILDU,#22b194,EH Bildu
01055,Valdegovía/Gaubea,Álava,1097,PARTIDO NACIONALISTA VASCO,50.92,EAJ-PNV,#318731,PNV
01056,Harana/Valle de Arana,Álava,226,PARTIDO NACIONALISTA VASCO,52.68,EAJ-PNV,#318731,PNV
01057,Villabuena de Álava/Eskuernaga,Álava,291,PARTIDO NACIONALISTA VASCO,55.07,EAJ-PNV,#318731,PNV
01058,Legutio,Álava,2017,EH BILDU,41.93,EH BILDU,#22b194,EH Bildu
01059,Vitoria-Gasteiz,Álava,253672,EH BILDU,22.8,EH BILDU,#22b194,EH Bildu
01060,Yécora/Iekora,Álava,247,PARTIDO NACIONALISTA VASCO,51.5,EAJ-PNV,#318731,PNV
01061,Zalduondo,Álava,195,EH BILDU,51.72,EH BILDU,#22b194,EH Bildu
01062,Zambrana,Álava,425,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),53.56,PSE-EE (PSOE),#da1f35,PSOE
01063,Zuia,Álava,2330,EH BILDU,45.36,EH BILDU,#22b194,EH Bildu
01901,Iruña Oka/Iruña de Oca,Álava,3551,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),33.83,PSE-EE (PSOE),#da1f35,PSOE
01902,Lantarón,Álava,931,PARTIDO NACIONALISTA VASCO,47.8,EAJ-PNV,#318731,PNV
02001,Abengibre,Albacete,739,PARTIDO POPULAR,53.98,PP,#009ade,PP
02002,Alatoz,Albacete,496,PARTIDO POPULAR,56.54,PP,#009ade,PP
02003,Albacete,Albacete,172357,PARTIDO POPULAR,38.18,PP,#009ade,PP
02004,Albatana,Albacete,670,PARTIDO SOCIALISTA OBRERO ESPAÑOL,69.45,PSOE,#da1f35,PSOE
02005,Alborea,Albacete,663,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.6,PSOE,#da1f35,PSOE
02006,Alcadozo,Albacete,634,PARTIDO POPULAR,62.21,PP,#009ade,PP
02007,Alcalá del Júcar,Albacete,1148,PARTIDO SOCIALISTA OBRERO ESPAÑOL,72.57,PSOE,#da1f35,PSOE
02008,Alcaraz,Albacete,1307,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54.16,PSOE,#da1f35,PSOE
02009,Almansa,Albacete,24224,PARTIDO SOCIALISTA OBRERO ESPAÑOL,44.89,PSOE,#da1f35,PSOE
02010,Alpera,Albacete,2245,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54.23,PSOE,#da1f35,PSOE
02011,Ayna,Albacete,582,PARTIDO POPULAR,61.51,PP,#009ade,PP
02012,Balazote,Albacete,2388,PARTIDO POPULAR,49.5,PP,#009ade,PP
02013,Balsa de Ves,Albacete,126,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.94,PSOE,#da1f35,PSOE
02014,El Ballestero,Albacete,427,PARTIDO SOCIALISTA OBRERO ESPAÑOL,39.08,PSOE,#da1f35,PSOE
02015,Barrax,Albacete,1831,PARTIDO SOCIALISTA OBRERO ESPAÑOL,55.78,PSOE,#da1f35,PSOE
02016,Bienservida,Albacete,574,PARTIDO POPULAR,59.43,PP,#009ade,PP
