destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
,Andalucía,Málaga,Casares,true,2904101,Antiguo hotel Doña Julia,29041,Privada,false,Residencial turístico/hotelero,Sin uso,"Este complejo hotelero, que linda entre Casares y Manilva, comenzó a construirse a principios del milenio. Se sitúa junto al campo de golf Doña Julia y pretendía erigirse como un recinto con instalaciones de lujo y muy alta gama, según comentan vecinos de la zona. En la <a href=""https://www.casares.es/tag/dona-julia/"" target=""_blank"">web del ayuntamiento de Casares</a> se puede seguir el cambio de manos que ha tenido esta construcción en los últimos años.","Calle Doña Julia, 29690",36.3852773,-5.2293978,"https://www.google.com/maps/@36.3852773,-5.2293978,3a,75y,203.03h,88.5t/data=!3m6!1e1!3m4!1s4pegK4AL4uJYuGAOFJe0hQ!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/casares_1.jpg,,,,,,José María Altamirano,Previo al lanzamiento del proyecto
,Aragón,Huesca,Panticosa,true,2217001,Aparcamiento Balneario de Panticosa,22170,Privada,false,Otros,Sin uso,"Se trata de un aparcamiento inacabado que, según explican en <a href=""https://www.heraldo.es/noticias/aragon/huesca/2022/06/06/el-balneario-de-panticosa-empieza-a-librarse-del-hormigon-1579606.html"" target=""_blank""><i>Heraldo de Aragón</i></a>, quedó paralizado con la llegada de la crisis de 2008. En su momento se colocaron máquinas de cobro e incluso se dejaron pintadas las plazas. Las imágenes de Google Maps, de junio de 2012, dan muestra de la situación en ese momento, y es en el navegador Bing donde se puede observar el <a href=""https://www.bing.com/maps/?cp=42.755635%7E-0.238674&lvl=14.2&sty=h&style=x"" target=""_blank"">panorama en 2020</a>. La constructora Hinaco sigue mostrando su <a href=""https://hinaco.es/constructora/aparcamiento-para-visitantes-en-el-balneario-de-panticosa/"" target=""_blank"">web</a> fotografías del proyecto.","Carretera del Balneario, A-2606, 22661",42.7565012,-0.2383641,"https://www.google.com/maps/@42.7554796,-0.2389619,3a,75y,92.69h,88.52t/data=!3m6!1e1!3m4!1sAWCGkRocCpz9ty_aGzPqFw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,María Jesús Lera (Centro Territorial RTVE Aragón),Previo al lanzamiento del proyecto
,Comunidad Valenciana,Valencia,Manises,true,4615901,Auditorio Pepe Sancho / Conservatorio de Danza,46159,Pública,false,Otros,Sin uso,"En 2022, <a href=""https://www.lasprovincias.es/horta/auditorio-pepe-sancho-20220518183029-nt.html"" target=""_blank""><i>Las Provincias</i> explicaba</a> que la construcción del que iba a ser el Auditorio Pepe Sancho comenzó a gestarse en 2005, cuando el Ayuntamiento de Manises cedió el terreno a la Conselleria de Educación, Cultura y Deporte. Estaba previsto que, posteriormente, el mismo fuera gestionado por el consistorio, pero las obras se pararon en 2011 por impagos por parte de la Generalitat. En febrero de 2023 se anunció que la obra se terminaría con una financiación de 16 millones (ya se habían destinado seis previamente) para restaurarlo y convertirlo en Conservatorio de Danza de Valencia, <a href=""https://www.hortanoticias.com/educacion-asumira-las-obras-del-teatro-pepe-sancho-de-manises-para-ubicar-la-seccion-del-conservatorio-profesional-de-danza/"" target=""_blank"">según recogía <i>Hortanoticias</i></a>. Las imágenes más recientes son de Google Street View, de marzo de 2023.","C. Pintor Pinazo 1, 46940",39.4967916,-0.4666519,"https://www.google.com/maps/@39.4967916,-0.4666519,3a,75y,354.36h,96.54t/data=!3m6!1e1!3m4!1sez2PHT0jKpRFlk3etFTWAg!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Anónimo,16/06/2023
,Aragón,Zaragoza,La Muela,true,5018208,Bloque de viviendas en La Muela,50182,Privada,false,Residencial,Sin uso,"En otra zona de Zaragoza Golf se encuentra una hilera de viviendas unifamiliares que, a juzgar por el anuncio de febrero de 2011, iba a conformar una pequeña urbanización independiente de la principal. Desde esa fecha no se vislumbran cambios aparentes al margen del abandono presente en toda la zona.","Ciudad Zaragoza Golf, 50199",41.6123384,-1.0607147,"https://www.google.com/maps/@41.6123384,-1.0607147,3a,75y,133.65h,76.87t/data=!3m6!1e1!3m4!1si8Ljnd3c5HtKdPxPunP4BA!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/lamuela_9.jpg,,,,,,VerificaRTVE,30/03/2023
,País Vasco,Araba,Laguardia,true,0103101,Bloque de viviendas en Laguardia,01031,Privada,false,Residencial,Sin uso,"Según cuentan desde la <a href=""https://www.haya.es/"" target=""_blank"">inmobiliaria Haya</a>, los bloques de edificios están acabados al 80% y están equipados por dentro. Sin embargo, la obra lleva parada desde 2008-2009 por diversos motivos. En un primer momento por la falta de subvenciones, que llevó al primer promotor a abandonar el proyecto. Más adelante, el plan urbanístico municipal en el que se colocaba la construcción fue modificado por parte del Ayuntamiento, por lo que es necesario solventarlo antes de continuar con la finalización, ya que ha habido compradores interesados.","Polígono Casablanca, A-124, 01321",42.4892485,-2.4828407,"https://www.google.com/maps/@42.4892485,-2.4828407,3a,74.8y,204.83h,90.11t/data=!3m6!1e1!3m4!1seo6kFy10pOz0EPMI77-3Dw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/laguardia_1.jpg,Erika Méndez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/laguardia_12.jpg,Erika Méndez,,,G. P.,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,Les Pedreres (Santa Oliva),true,4314004,Bloque en Les Pedreres,43140,Privada,false,Residencial,Sin uso,"Desde el consistorio explican que este bloque es un ejemplo de una obra que no pudo solicitar una prórroga para finalizar las obras por no adaptarse al planeamiento vigente, ya que en 2008 se aprobó en el municipio una modificación de planeamiento para mejorar la calidad del espacio urbano y ajustar las condiciones de densidad y habitabilidad. Las imágenes más recientes son de Google Street View, de agosto de 2022, y se vislumbra que ahora pertenece a una inmobiliaria.","Carrer de Santa Joana 22, 43710",41.2430645,1.5331992,"https://www.google.com/maps/@41.2430645,1.5331992,3a,75y,317.78h,91.15t/data=!3m6!1e1!3m4!1s6RBDRm6TGhvPh-B1q-NtNA!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Ayuntamiento Santa Oliva,16/06/2023
,Aragón,Zaragoza,La Muela,true,5018202,Bloques de viviendas en La Muela,50182,Privada,false,Residencial,Sin uso,"El bloque de edificios se atisba desde la autovía A-2. Las imágenes de Google Maps, de mayo de 2008, revelan que en aquellas fechas comenzó la construcción de los mismos y que en noviembre de ese mismo año las grúas desaparecieron. Sin embargo, los cambios que se observan con el paso del tiempo son la aparición de pintadas y el tapiado de las ventanas. Por el momento no se conocen más detalles.","Calle Estrasburgo, 50196",41.582113,-1.108395,"https://www.google.com/maps/@41.5817463,-1.1068781,3a,75y,292.06h,89.07t/data=!3m6!1e1!3m4!1sWgZpBV8ZF9eOYtPWLlSBlw!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/lamuela_3.jpg,Antía Reino,,,,,DatosRTVE,16/06/2023
,Región de Murcia,Región de Murcia,Alhama de Murcia,true,3000801,Campo de Vuelo Residential,30008,Privada,false,Residencial,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. De la urbanización Campo de Vuelo Residential, también conocida como ""Pequeña Ciudad del Vuelo"", solo ha visto la luz la pista de aterrizaje, que ahora es propiedad de Rotorsun, un grupo de servicios aéreos, según informaba <a href=""https://murciaplaza.com/rotorsun-compra-el-aerodromo-de-la-fallida-urbanizacion-campo-de-vuelo-de-alhama"" target=""_blank""><i>Murcia Plaza</i></a> en 2021. El Ayuntamiento de Alhama de Murcia también confirma que el concurso de acreedores en el que entró la empresa propietaria finalizó en 2022 y que una parte de las parcelas para futuras edificaciones pertenece ahora a una inmobiliaria. La otra parte, que está parcialmente urbanizada, ha sido devuelta a empresas agrícolas que cedieron en su momento esos terrenos.","Calle Vial Principal, 30849",37.7572213,-1.2981318,"https://www.google.com/maps/@37.7572213,-1.2981318,3a,75y,210.7h,90.06t/data=!3m6!1e1!3m4!1sSrhBxBNuPlb27SWR207evQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Región de Murcia,Región de Murcia,Alhama de Murcia,false,3000801,Campo de Vuelo Residential,30008,Privada,false,Deportivo,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. De la urbanización Campo de Vuelo Residential, también conocida como ""Pequeña Ciudad del Vuelo"", solo ha visto la luz la pista de aterrizaje, que ahora es propiedad de Rotorsun, un grupo de servicios aéreos, según informaba <a href=""https://murciaplaza.com/rotorsun-compra-el-aerodromo-de-la-fallida-urbanizacion-campo-de-vuelo-de-alhama"" target=""_blank""><i>Murcia Plaza</i></a> en 2021. El Ayuntamiento de Alhama de Murcia también confirma que el concurso de acreedores en el que entró la empresa propietaria finalizó en 2022 y que una parte de las parcelas para futuras edificaciones pertenece ahora a una inmobiliaria. La otra parte, que está parcialmente urbanizada, ha sido devuelta a empresas agrícolas que cedieron en su momento esos terrenos.","Calle Vial Principal, 30849",37.7572213,-1.2981318,"https://www.google.com/maps/@37.7572213,-1.2981318,3a,75y,210.7h,90.06t/data=!3m6!1e1!3m4!1sSrhBxBNuPlb27SWR207evQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Andalucía,Córdoba,Córdoba,true,1402101,Carretera a medias Ronda Norte,14021,Pública,false,Infraestructuras,Uso parcial,"Localizado gracias a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. La conocida como ""Ronda Norte"" tiene como objeto cerrar el anillo viario que debía cerrar Córdoba. Según informa Ángela Rodríguez, vecina de Córdoba, hay un tramo de la carretera que aún no está asfaltado y que sigue siendo ""campo"".","Ronda Norte, 14014",37.9035214,-4.7742361,"https://www.google.com/maps/@37.9035214,-4.7742361,3a,75y,287.92h,87.96t/data=!3m6!1e1!3m4!1s1o7nVRT94c840k6wzsuQmQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_1.jpg,Ángela Rodríguez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_12.jpg,Ángela Rodríguez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_13.jpg,Ángela Rodríguez,Cadáveres inmobiliarios / Ángela Rodríguez ,Previo al lanzamiento del proyecto
