nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,0,Ourense,1015,12,0,0,NA,4.01,NA
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,0,Ourense,1015,12,0,0,NA,11.64,NA
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,0,Ourense,1015,12,0,0,NA,4.09,NA
A Arnoia,32003,ECO,Áreas no urbanas,0,Ourense,1015,12,0,0,NA,3.95,NA
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,12,Ourense,1015,12,100,11.82,18.17,19.31,-1.14
A Baña,15007,CERO,Áreas no urbanas,0,A Coruña,3333,55,0,0,NA,4.01,NA
A Baña,15007,DISTINTIVO B,Áreas no urbanas,2,A Coruña,3333,55,3.64,0.6,8.5,11.64,-3.14
A Baña,15007,DISTINTIVO C,Áreas no urbanas,0,A Coruña,3333,55,0,0,NA,4.09,NA
A Baña,15007,ECO,Áreas no urbanas,1,A Coruña,3333,55,1.82,0.3,8,3.95,4.05
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,52,A Coruña,3333,55,94.55,15.6,19.77,19.31,0.46
A Bola,32014,CERO,Áreas no urbanas,0,Ourense,1088,30,0,0,NA,4.01,NA
A Bola,32014,DISTINTIVO B,Áreas no urbanas,5,Ourense,1088,30,16.67,4.6,8,11.64,-3.64
A Bola,32014,DISTINTIVO C,Áreas no urbanas,0,Ourense,1088,30,0,0,NA,4.09,NA
A Bola,32014,ECO,Áreas no urbanas,0,Ourense,1088,30,0,0,NA,3.95,NA
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,25,Ourense,1088,30,83.33,22.98,22.96,19.31,3.65
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,36,0,0,NA,4.01,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,6,A Coruña,1225,36,16.67,4.9,10.67,11.64,-0.97
A Capela,15018,DISTINTIVO C,Áreas no urbanas,2,A Coruña,1225,36,5.56,1.63,6.5,4.09,2.41
A Capela,15018,ECO,Áreas no urbanas,0,A Coruña,1225,36,0,0,NA,3.95,NA
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,28,A Coruña,1225,36,77.78,22.86,22.79,19.31,3.48
A Cañiza,36009,CERO,Áreas no urbanas,0,Pontevedra,5115,96,0,0,NA,4.01,NA
