nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,2,Ourense,1015,0.24,1.97,2,2.72,-0.72
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,256,Ourense,1015,30.19,252.22,13.84,14.47,-0.63
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,184,Ourense,1015,21.7,181.28,7.27,7.17,0.1
A Arnoia,32003,ECO,Áreas no urbanas,8,Ourense,1015,0.94,7.88,3.62,3.64,-0.02
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,398,Ourense,1015,46.93,392.12,27.08,27.89,-0.81
A Baña,15007,CERO,Áreas no urbanas,5,A Coruña,3333,0.17,1.5,1.6,2.72,-1.12
A Baña,15007,DISTINTIVO B,Áreas no urbanas,941,A Coruña,3333,32.4,282.33,13.99,14.47,-0.49
A Baña,15007,DISTINTIVO C,Áreas no urbanas,575,A Coruña,3333,19.8,172.52,6.69,7.17,-0.48
A Baña,15007,ECO,Áreas no urbanas,30,A Coruña,3333,1.03,9,3.37,3.64,-0.27
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,1353,A Coruña,3333,46.59,405.94,25.97,27.89,-1.92
A Bola,32014,CERO,Áreas no urbanas,5,Ourense,1088,0.52,4.6,3.6,2.72,0.88
A Bola,32014,DISTINTIVO B,Áreas no urbanas,291,Ourense,1088,30.12,267.46,14.25,14.47,-0.22
A Bola,32014,DISTINTIVO C,Áreas no urbanas,194,Ourense,1088,20.08,178.31,7.5,7.17,0.33
A Bola,32014,ECO,Áreas no urbanas,9,Ourense,1088,0.93,8.27,3.56,3.64,-0.08
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,467,Ourense,1088,48.34,429.23,29.14,27.89,1.25
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,2.72,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,405,A Coruña,1225,33.06,330.61,14.38,14.47,-0.1
A Capela,15018,DISTINTIVO C,Áreas no urbanas,242,A Coruña,1225,19.76,197.55,8.29,7.17,1.12
A Capela,15018,ECO,Áreas no urbanas,6,A Coruña,1225,0.49,4.9,3.5,3.64,-0.14
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,572,A Coruña,1225,46.69,466.94,27.22,27.89,-0.66
A Cañiza,36009,CERO,Áreas no urbanas,14,Pontevedra,5115,0.32,2.74,4.29,2.72,1.57
A Cañiza,36009,DISTINTIVO B,Áreas no urbanas,1283,Pontevedra,5115,28.93,250.83,14.16,14.47,-0.31
A Cañiza,36009,DISTINTIVO C,Áreas no urbanas,836,Pontevedra,5115,18.85,163.44,7.16,7.17,-0.01
A Cañiza,36009,ECO,Áreas no urbanas,30,Pontevedra,5115,0.68,5.87,3.93,3.64,0.29
A Cañiza,36009,SIN DISTINTIVO,Áreas no urbanas,2272,Pontevedra,5115,51.23,444.18,26.47,27.89,-1.42
A Coruña,15030,CERO,Grandes áreas urbanas,717,A Coruña,244700,0.51,2.93,2.72,2.72,-0
A Coruña,15030,DISTINTIVO B,Grandes áreas urbanas,42050,A Coruña,244700,29.71,171.84,14.61,14.47,0.13
A Coruña,15030,DISTINTIVO C,Grandes áreas urbanas,47999,A Coruña,244700,33.92,196.15,7.96,7.17,0.79
A Coruña,15030,ECO,Grandes áreas urbanas,4336,A Coruña,244700,3.06,17.72,4.34,3.64,0.7
A Coruña,15030,SIN DISTINTIVO,Grandes áreas urbanas,46411,A Coruña,244700,32.8,189.66,29.07,27.89,1.18
A Estrada,36017,CERO,Pequeñas áreas urbanas,40,Pontevedra,20106,0.21,1.99,3.72,2.72,1.01
A Estrada,36017,DISTINTIVO B,Pequeñas áreas urbanas,5724,Pontevedra,20106,30.59,284.69,14.09,14.47,-0.39
A Estrada,36017,DISTINTIVO C,Pequeñas áreas urbanas,4129,Pontevedra,20106,22.06,205.36,7.39,7.17,0.22
A Estrada,36017,ECO,Pequeñas áreas urbanas,230,Pontevedra,20106,1.23,11.44,3.93,3.64,0.29
A Estrada,36017,SIN DISTINTIVO,Pequeñas áreas urbanas,8591,Pontevedra,20106,45.91,427.29,27.28,27.89,-0.61
A Fonsagrada,27018,CERO,Áreas no urbanas,1,Lugo,3265,0.03,0.31,2,2.72,-0.72
A Fonsagrada,27018,DISTINTIVO B,Áreas no urbanas,979,Lugo,3265,27.8,299.85,14.1,14.47,-0.37
A Fonsagrada,27018,DISTINTIVO C,Áreas no urbanas,589,Lugo,3265,16.73,180.4,7.01,7.17,-0.16
A Fonsagrada,27018,ECO,Áreas no urbanas,33,Lugo,3265,0.94,10.11,3.52,3.64,-0.12
A Fonsagrada,27018,SIN DISTINTIVO,Áreas no urbanas,1919,Lugo,3265,54.5,587.75,26.33,27.89,-1.56
A Guarda,36023,CERO,Áreas no urbanas,19,Pontevedra,10013,0.26,1.9,2.21,2.72,-0.51
A Guarda,36023,DISTINTIVO B,Áreas no urbanas,2540,Pontevedra,10013,34.23,253.67,14.02,14.47,-0.45
A Guarda,36023,DISTINTIVO C,Áreas no urbanas,2121,Pontevedra,10013,28.58,211.82,7.75,7.17,0.58
A Guarda,36023,ECO,Áreas no urbanas,87,Pontevedra,10013,1.17,8.69,4.71,3.64,1.07
A Guarda,36023,SIN DISTINTIVO,Áreas no urbanas,2654,Pontevedra,10013,35.76,265.06,26.19,27.89,-1.7
A Gudiña,32034,CERO,Áreas no urbanas,1,Ourense,1180,0.07,0.85,5,2.72,2.28
A Gudiña,32034,DISTINTIVO B,Áreas no urbanas,417,Ourense,1180,29.35,353.39,13.9,14.47,-0.57
A Gudiña,32034,DISTINTIVO C,Áreas no urbanas,204,Ourense,1180,14.36,172.88,7.73,7.17,0.56
A Gudiña,32034,ECO,Áreas no urbanas,7,Ourense,1180,0.49,5.93,3,3.64,-0.64
A Gudiña,32034,SIN DISTINTIVO,Áreas no urbanas,792,Ourense,1180,55.74,671.19,28.96,27.89,1.07
A Illa de Arousa,36901,CERO,Áreas no urbanas,6,Pontevedra,4878,0.18,1.23,1.83,2.72,-0.88
A Illa de Arousa,36901,DISTINTIVO B,Áreas no urbanas,1210,Pontevedra,4878,36.39,248.05,13.69,14.47,-0.78
A Illa de Arousa,36901,DISTINTIVO C,Áreas no urbanas,952,Pontevedra,4878,28.63,195.16,7.79,7.17,0.62
A Illa de Arousa,36901,ECO,Áreas no urbanas,57,Pontevedra,4878,1.71,11.69,3.75,3.64,0.11
A Illa de Arousa,36901,SIN DISTINTIVO,Áreas no urbanas,1100,Pontevedra,4878,33.08,225.5,22.14,27.89,-5.74
A Lama,36025,CERO,Áreas no urbanas,4,Pontevedra,2499,0.17,1.6,3.25,2.72,0.53
A Lama,36025,DISTINTIVO B,Áreas no urbanas,633,Pontevedra,2499,26.74,253.3,14.04,14.47,-0.43
A Lama,36025,DISTINTIVO C,Áreas no urbanas,399,Pontevedra,2499,16.86,159.66,7.42,7.17,0.25
A Lama,36025,ECO,Áreas no urbanas,14,Pontevedra,2499,0.59,5.6,3.14,3.64,-0.5
A Lama,36025,SIN DISTINTIVO,Áreas no urbanas,1317,Pontevedra,2499,55.64,527.01,26.13,27.89,-1.76
A Laracha,15041,CERO,Áreas no urbanas,28,A Coruña,11505,0.29,2.43,2.79,2.72,0.07
A Laracha,15041,DISTINTIVO B,Áreas no urbanas,3099,A Coruña,11505,31.72,269.36,14.25,14.47,-0.22
A Laracha,15041,DISTINTIVO C,Áreas no urbanas,2395,A Coruña,11505,24.51,208.17,7.55,7.17,0.38
A Laracha,15041,ECO,Áreas no urbanas,131,A Coruña,11505,1.34,11.39,3.89,3.64,0.25
A Laracha,15041,SIN DISTINTIVO,Áreas no urbanas,4118,A Coruña,11505,42.15,357.93,24.75,27.89,-3.13
A Merca,32047,CERO,Áreas no urbanas,7,Ourense,1966,0.34,3.56,2.43,2.72,-0.29
A Merca,32047,DISTINTIVO B,Áreas no urbanas,629,Ourense,1966,30.24,319.94,14.39,14.47,-0.09
A Merca,32047,DISTINTIVO C,Áreas no urbanas,434,Ourense,1966,20.87,220.75,7.64,7.17,0.47
A Merca,32047,ECO,Áreas no urbanas,27,Ourense,1966,1.3,13.73,3.52,3.64,-0.12
A Merca,32047,SIN DISTINTIVO,Áreas no urbanas,983,Ourense,1966,47.26,500,27.21,27.89,-0.68
A Mezquita,32048,DISTINTIVO B,Áreas no urbanas,305,Ourense,1005,28.8,303.48,14.11,14.47,-0.36
A Mezquita,32048,DISTINTIVO C,Áreas no urbanas,164,Ourense,1005,15.49,163.18,7.53,7.17,0.36
A Mezquita,32048,ECO,Áreas no urbanas,5,Ourense,1005,0.47,4.98,3,3.64,-0.64
A Mezquita,32048,SIN DISTINTIVO,Áreas no urbanas,585,Ourense,1005,55.24,582.09,28.17,27.89,0.28
A Pastoriza,27044,CERO,Áreas no urbanas,42,Lugo,2879,1.01,14.59,2.64,2.72,-0.07
A Pastoriza,27044,DISTINTIVO B,Áreas no urbanas,1082,Lugo,2879,25.95,375.82,13.45,14.47,-1.02
A Pastoriza,27044,DISTINTIVO C,Áreas no urbanas,997,Lugo,2879,23.91,346.3,5.32,7.17,-1.84
A Pastoriza,27044,ECO,Áreas no urbanas,240,Lugo,2879,5.76,83.36,2.91,3.64,-0.73
A Pastoriza,27044,SIN DISTINTIVO,Áreas no urbanas,1809,Lugo,2879,43.38,628.34,25.48,27.89,-2.4
A Peroxa,32059,CERO,Áreas no urbanas,3,Ourense,1805,0.19,1.66,1.67,2.72,-1.05
A Peroxa,32059,DISTINTIVO B,Áreas no urbanas,409,Ourense,1805,26.3,226.59,14.26,14.47,-0.22
A Peroxa,32059,DISTINTIVO C,Áreas no urbanas,296,Ourense,1805,19.04,163.99,7.53,7.17,0.36
A Peroxa,32059,ECO,Áreas no urbanas,17,Ourense,1805,1.09,9.42,4.24,3.64,0.6
A Peroxa,32059,SIN DISTINTIVO,Áreas no urbanas,830,Ourense,1805,53.38,459.83,28.49,27.89,0.6
A Pobra de Trives,32063,CERO,Áreas no urbanas,4,Ourense,2019,0.19,1.98,3,2.72,0.28
A Pobra de Trives,32063,DISTINTIVO B,Áreas no urbanas,613,Ourense,2019,29.79,303.62,14.41,14.47,-0.06
A Pobra de Trives,32063,DISTINTIVO C,Áreas no urbanas,423,Ourense,2019,20.55,209.51,7.93,7.17,0.76
A Pobra de Trives,32063,ECO,Áreas no urbanas,15,Ourense,2019,0.73,7.43,3.73,3.64,0.09
A Pobra de Trives,32063,SIN DISTINTIVO,Áreas no urbanas,1003,Ourense,2019,48.74,496.78,27.9,27.89,0.01
A Pobra do Brollón,27047,CERO,Áreas no urbanas,1,Lugo,1551,0.06,0.64,1,2.72,-1.72
A Pobra do Brollón,27047,DISTINTIVO B,Áreas no urbanas,420,Lugo,1551,26.65,270.79,14.25,14.47,-0.23
A Pobra do Brollón,27047,DISTINTIVO C,Áreas no urbanas,343,Lugo,1551,21.76,221.15,7.62,7.17,0.45
A Pobra do Brollón,27047,ECO,Áreas no urbanas,15,Lugo,1551,0.95,9.67,2.93,3.64,-0.71
A Pobra do Brollón,27047,SIN DISTINTIVO,Áreas no urbanas,797,Lugo,1551,50.57,513.86,27.7,27.89,-0.19
A Pobra do Caramiñal,15067,CERO,Áreas no urbanas,19,A Coruña,9290,0.28,2.05,2.26,2.72,-0.45
A Pobra do Caramiñal,15067,DISTINTIVO B,Áreas no urbanas,2243,A Coruña,9290,32.93,241.44,14.51,14.47,0.03
A Pobra do Caramiñal,15067,DISTINTIVO C,Áreas no urbanas,2142,A Coruña,9290,31.45,230.57,7.68,7.17,0.51
A Pobra do Caramiñal,15067,ECO,Áreas no urbanas,139,A Coruña,9290,2.04,14.96,3.56,3.64,-0.08
A Pobra do Caramiñal,15067,SIN DISTINTIVO,Áreas no urbanas,2268,A Coruña,9290,33.3,244.13,26.26,27.89,-1.63
A Pontenova,27048,CERO,Áreas no urbanas,5,Lugo,2191,0.2,2.28,3,2.72,0.28
A Pontenova,27048,DISTINTIVO B,Áreas no urbanas,755,Lugo,2191,29.67,344.59,13.66,14.47,-0.82
A Pontenova,27048,DISTINTIVO C,Áreas no urbanas,525,Lugo,2191,20.63,239.62,6.7,7.17,-0.47
A Pontenova,27048,ECO,Áreas no urbanas,26,Lugo,2191,1.02,11.87,3.73,3.64,0.09
A Pontenova,27048,SIN DISTINTIVO,Áreas no urbanas,1234,Lugo,2191,48.49,563.21,26.88,27.89,-1.01
A Rúa,32072,CERO,Áreas no urbanas,6,Ourense,4186,0.14,1.43,2,2.72,-0.72
A Rúa,32072,DISTINTIVO B,Áreas no urbanas,1112,Ourense,4186,26.03,265.65,14.88,14.47,0.4
A Rúa,32072,DISTINTIVO C,Áreas no urbanas,871,Ourense,4186,20.39,208.07,7.66,7.17,0.49
A Rúa,32072,ECO,Áreas no urbanas,35,Ourense,4186,0.82,8.36,4.8,3.64,1.16
A Rúa,32072,SIN DISTINTIVO,Áreas no urbanas,2248,Ourense,4186,52.62,537.03,29.94,27.89,2.05
A Teixeira,32080,CERO,Áreas no urbanas,2,Ourense,345,0.49,5.8,2,2.72,-0.72
A Teixeira,32080,DISTINTIVO B,Áreas no urbanas,106,Ourense,345,26.04,307.25,14.11,14.47,-0.36
A Teixeira,32080,DISTINTIVO C,Áreas no urbanas,66,Ourense,345,16.22,191.3,8.32,7.17,1.15
A Teixeira,32080,ECO,Áreas no urbanas,2,Ourense,345,0.49,5.8,6,3.64,2.36
A Teixeira,32080,SIN DISTINTIVO,Áreas no urbanas,231,Ourense,345,56.76,669.57,27.82,27.89,-0.07
A Veiga,32083,DISTINTIVO B,Áreas no urbanas,244,Ourense,901,21.31,270.81,14.21,14.47,-0.26
A Veiga,32083,DISTINTIVO C,Áreas no urbanas,197,Ourense,901,17.21,218.65,6.56,7.17,-0.6
A Veiga,32083,ECO,Áreas no urbanas,7,Ourense,901,0.61,7.77,3.29,3.64,-0.35
A Veiga,32083,SIN DISTINTIVO,Áreas no urbanas,697,Ourense,901,60.87,773.58,24.59,27.89,-3.29
Ababuj,44001,DISTINTIVO B,Áreas no urbanas,23,Teruel,72,23.96,319.44,15.7,14.47,1.22
Ababuj,44001,DISTINTIVO C,Áreas no urbanas,11,Teruel,72,11.46,152.78,8.45,7.17,1.29
Ababuj,44001,ECO,Áreas no urbanas,1,Teruel,72,1.04,13.89,3,3.64,-0.64
Ababuj,44001,SIN DISTINTIVO,Áreas no urbanas,61,Teruel,72,63.54,847.22,24.59,27.89,-3.3
Abades,40001,DISTINTIVO B,Áreas no urbanas,267,Segovia,839,33.54,318.24,14.61,14.47,0.14
Abades,40001,DISTINTIVO C,Áreas no urbanas,169,Segovia,839,21.23,201.43,6.27,7.17,-0.9
Abades,40001,ECO,Áreas no urbanas,10,Segovia,839,1.26,11.92,2.9,3.64,-0.74
Abades,40001,SIN DISTINTIVO,Áreas no urbanas,350,Segovia,839,43.97,417.16,24.66,27.89,-3.23
Abadiño,48001,CERO,Áreas no urbanas,14,Bizkaia,7708,0.25,1.82,3.29,2.72,0.57
Abadiño,48001,DISTINTIVO B,Áreas no urbanas,1823,Bizkaia,7708,32.18,236.51,13.97,14.47,-0.5
Abadiño,48001,DISTINTIVO C,Áreas no urbanas,1995,Bizkaia,7708,35.22,258.82,7.32,7.17,0.15
Abadiño,48001,ECO,Áreas no urbanas,105,Bizkaia,7708,1.85,13.62,3.8,3.64,0.16
Abadiño,48001,SIN DISTINTIVO,Áreas no urbanas,1728,Bizkaia,7708,30.5,224.18,25.78,27.89,-2.11
Abadía,10001,DISTINTIVO B,Áreas no urbanas,88,Cáceres,340,28.57,258.82,14.76,14.47,0.29
Abadía,10001,DISTINTIVO C,Áreas no urbanas,58,Cáceres,340,18.83,170.59,6.97,7.17,-0.2
Abadía,10001,ECO,Áreas no urbanas,3,Cáceres,340,0.97,8.82,4.33,3.64,0.69
Abadía,10001,SIN DISTINTIVO,Áreas no urbanas,159,Cáceres,340,51.62,467.65,25.73,27.89,-2.16
Abadín,27001,CERO,Áreas no urbanas,5,Lugo,2259,0.18,2.21,3.8,2.72,1.08
Abadín,27001,DISTINTIVO B,Áreas no urbanas,734,Lugo,2259,26.77,324.92,13.89,14.47,-0.59
Abadín,27001,DISTINTIVO C,Áreas no urbanas,488,Lugo,2259,17.8,216.02,6.67,7.17,-0.5
Abadín,27001,ECO,Áreas no urbanas,8,Lugo,2259,0.29,3.54,2.38,3.64,-1.27
Abadín,27001,SIN DISTINTIVO,Áreas no urbanas,1507,Lugo,2259,54.96,667.11,25.68,27.89,-2.2
Abajas,09001,DISTINTIVO B,Áreas no urbanas,12,Burgos,29,31.58,413.79,16.67,14.47,2.19
Abajas,09001,DISTINTIVO C,Áreas no urbanas,7,Burgos,29,18.42,241.38,6.71,7.17,-0.45
Abajas,09001,SIN DISTINTIVO,Áreas no urbanas,19,Burgos,29,50,655.17,25.89,27.89,-1.99
Abaltzisketa,20001,CERO,Áreas no urbanas,1,Gipuzkoa,309,0.31,3.24,3,2.72,0.28
Abaltzisketa,20001,DISTINTIVO B,Áreas no urbanas,115,Gipuzkoa,309,35.94,372.17,13.98,14.47,-0.49
Abaltzisketa,20001,DISTINTIVO C,Áreas no urbanas,87,Gipuzkoa,309,27.19,281.55,6.66,7.17,-0.51
Abaltzisketa,20001,ECO,Áreas no urbanas,3,Gipuzkoa,309,0.94,9.71,2,3.64,-1.64
Abaltzisketa,20001,SIN DISTINTIVO,Áreas no urbanas,114,Gipuzkoa,309,35.62,368.93,25.04,27.89,-2.85
Abanilla,30001,CERO,Áreas no urbanas,17,Murcia,6146,0.31,2.77,3.18,2.72,0.46
Abanilla,30001,DISTINTIVO B,Áreas no urbanas,1555,Murcia,6146,28.38,253.01,13.76,14.47,-0.72
Abanilla,30001,DISTINTIVO C,Áreas no urbanas,1320,Murcia,6146,24.09,214.77,6.68,7.17,-0.49
Abanilla,30001,ECO,Áreas no urbanas,84,Murcia,6146,1.53,13.67,3.6,3.64,-0.04
Abanilla,30001,SIN DISTINTIVO,Áreas no urbanas,2503,Murcia,6146,45.68,407.26,27.91,27.89,0.03
Abanto,50001,DISTINTIVO B,Áreas no urbanas,19,Zaragoza,89,18.1,213.48,15.26,14.47,0.79
Abanto,50001,DISTINTIVO C,Áreas no urbanas,20,Zaragoza,89,19.05,224.72,8,7.17,0.83
Abanto,50001,SIN DISTINTIVO,Áreas no urbanas,66,Zaragoza,89,62.86,741.57,32.56,27.89,4.67
Abanto y Ciérvana-Abanto Zierbena,48002,CERO,Grandes áreas urbanas,33,Bizkaia,9369,0.44,3.52,3.42,2.72,0.71
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO B,Grandes áreas urbanas,2276,Bizkaia,9369,30.44,242.93,14.05,14.47,-0.42
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO C,Grandes áreas urbanas,2551,Bizkaia,9369,34.12,272.28,7.24,7.17,0.07
Abanto y Ciérvana-Abanto Zierbena,48002,ECO,Grandes áreas urbanas,148,Bizkaia,9369,1.98,15.8,3.49,3.64,-0.15
Abanto y Ciérvana-Abanto Zierbena,48002,SIN DISTINTIVO,Grandes áreas urbanas,2468,Bizkaia,9369,33.01,263.42,25.23,27.89,-2.66
Abarca de Campos,34001,DISTINTIVO B,Áreas no urbanas,22,Palencia,43,34.92,511.63,13.27,14.47,-1.2
Abarca de Campos,34001,DISTINTIVO C,Áreas no urbanas,15,Palencia,43,23.81,348.84,6.53,7.17,-0.63
Abarca de Campos,34001,ECO,Áreas no urbanas,1,Palencia,43,1.59,23.26,6,3.64,2.36
Abarca de Campos,34001,SIN DISTINTIVO,Áreas no urbanas,25,Palencia,43,39.68,581.4,21.4,27.89,-6.49
Abarán,30002,CERO,Áreas no urbanas,22,Murcia,12992,0.22,1.69,4.23,2.72,1.51
Abarán,30002,DISTINTIVO B,Áreas no urbanas,3182,Murcia,12992,31.77,244.92,14.17,14.47,-0.31
Abarán,30002,DISTINTIVO C,Áreas no urbanas,2497,Murcia,12992,24.93,192.2,7.12,7.17,-0.05
Abarán,30002,ECO,Áreas no urbanas,102,Murcia,12992,1.02,7.85,3.23,3.64,-0.41
Abarán,30002,SIN DISTINTIVO,Áreas no urbanas,4214,Murcia,12992,42.07,324.35,27.53,27.89,-0.36
Abaurregaina/Abaurrea Alta,31003,CERO,Áreas no urbanas,1,Navarra,120,0.67,8.33,3,2.72,0.28
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO B,Áreas no urbanas,34,Navarra,120,22.82,283.33,16.47,14.47,2
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO C,Áreas no urbanas,23,Navarra,120,15.44,191.67,8.22,7.17,1.05
Abaurregaina/Abaurrea Alta,31003,ECO,Áreas no urbanas,1,Navarra,120,0.67,8.33,3,3.64,-0.64
Abaurregaina/Abaurrea Alta,31003,SIN DISTINTIVO,Áreas no urbanas,90,Navarra,120,60.4,750,32.28,27.89,4.39
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO B,Áreas no urbanas,14,Navarra,31,31.82,451.61,14.71,14.47,0.24
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO C,Áreas no urbanas,10,Navarra,31,22.73,322.58,9.9,7.17,2.73
Abaurrepea/Abaurrea Baja,31004,SIN DISTINTIVO,Áreas no urbanas,20,Navarra,31,45.45,645.16,26.95,27.89,-0.94
Abegondo,15001,CERO,Grandes áreas urbanas,21,A Coruña,5534,0.38,3.79,2.86,2.72,0.14
Abegondo,15001,DISTINTIVO B,Grandes áreas urbanas,1854,A Coruña,5534,33.88,335.02,14.05,14.47,-0.43
Abegondo,15001,DISTINTIVO C,Grandes áreas urbanas,1251,A Coruña,5534,22.86,226.06,7.39,7.17,0.22
Abegondo,15001,ECO,Grandes áreas urbanas,80,A Coruña,5534,1.46,14.46,3.85,3.64,0.21
Abegondo,15001,SIN DISTINTIVO,Grandes áreas urbanas,2266,A Coruña,5534,41.41,409.47,24.7,27.89,-3.19
Abejar,42001,DISTINTIVO B,Áreas no urbanas,71,Soria,273,30.47,260.07,14,14.47,-0.47
Abejar,42001,DISTINTIVO C,Áreas no urbanas,55,Soria,273,23.61,201.47,7.04,7.17,-0.13
Abejar,42001,ECO,Áreas no urbanas,2,Soria,273,0.86,7.33,6.5,3.64,2.86
Abejar,42001,SIN DISTINTIVO,Áreas no urbanas,105,Soria,273,45.06,384.62,25.35,27.89,-2.54
Abejuela,44002,DISTINTIVO B,Áreas no urbanas,17,Teruel,56,31.48,303.57,15.53,14.47,1.05
Abejuela,44002,DISTINTIVO C,Áreas no urbanas,11,Teruel,56,20.37,196.43,9.64,7.17,2.47
Abejuela,44002,SIN DISTINTIVO,Áreas no urbanas,26,Teruel,56,48.15,464.29,27.08,27.89,-0.81
Abella de la Conca,25001,CERO,Áreas no urbanas,2,Lleida,167,0.38,11.98,4,2.72,1.28
Abella de la Conca,25001,DISTINTIVO B,Áreas no urbanas,56,Lleida,167,10.69,335.33,15.16,14.47,0.69
Abella de la Conca,25001,DISTINTIVO C,Áreas no urbanas,33,Lleida,167,6.3,197.6,7.58,7.17,0.41
Abella de la Conca,25001,ECO,Áreas no urbanas,134,Lleida,167,25.57,802.4,4.88,3.64,1.24
Abella de la Conca,25001,SIN DISTINTIVO,Áreas no urbanas,299,Lleida,167,57.06,1790.42,19.97,27.89,-7.92
Abengibre,02001,CERO,Áreas no urbanas,3,Albacete,739,0.38,4.06,4,2.72,1.28
Abengibre,02001,DISTINTIVO B,Áreas no urbanas,252,Albacete,739,32.02,341,14.11,14.47,-0.37
Abengibre,02001,DISTINTIVO C,Áreas no urbanas,165,Albacete,739,20.97,223.27,6.74,7.17,-0.43
Abengibre,02001,ECO,Áreas no urbanas,5,Albacete,739,0.64,6.77,3.2,3.64,-0.44
Abengibre,02001,SIN DISTINTIVO,Áreas no urbanas,362,Albacete,739,46,489.85,25.5,27.89,-2.38
