nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,0,Ourense,1015,0,0,NA,2.63,NA
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,19,Ourense,1015,26.76,18.72,13.26,12.43,0.83
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,4,Ourense,1015,5.63,3.94,4.75,4.62,0.13
A Arnoia,32003,ECO,Áreas no urbanas,0,Ourense,1015,0,0,NA,3.09,NA
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,48,Ourense,1015,67.61,47.29,28.21,29.07,-0.87
A Baña,15007,CERO,Áreas no urbanas,1,A Coruña,3333,0.67,0.3,2,2.63,-0.63
A Baña,15007,DISTINTIVO B,Áreas no urbanas,28,A Coruña,3333,18.67,8.4,11.68,12.43,-0.75
A Baña,15007,DISTINTIVO C,Áreas no urbanas,19,A Coruña,3333,12.67,5.7,3.89,4.62,-0.72
A Baña,15007,ECO,Áreas no urbanas,0,A Coruña,3333,0,0,NA,3.09,NA
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,102,A Coruña,3333,68,30.6,27.42,29.07,-1.65
A Bola,32014,CERO,Áreas no urbanas,0,Ourense,1088,0,0,NA,2.63,NA
A Bola,32014,DISTINTIVO B,Áreas no urbanas,11,Ourense,1088,25,10.11,12.09,12.43,-0.34
A Bola,32014,DISTINTIVO C,Áreas no urbanas,4,Ourense,1088,9.09,3.68,7,4.62,2.38
A Bola,32014,ECO,Áreas no urbanas,0,Ourense,1088,0,0,NA,3.09,NA
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,29,Ourense,1088,65.91,26.65,32.45,29.07,3.37
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,2.63,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,12,A Coruña,1225,21.82,9.8,11,12.43,-1.43
A Capela,15018,DISTINTIVO C,Áreas no urbanas,2,A Coruña,1225,3.64,1.63,12,4.62,7.38
A Capela,15018,ECO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,3.09,NA
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,41,A Coruña,1225,74.55,33.47,26.41,29.07,-2.66
A Cañiza,36009,CERO,Áreas no urbanas,3,Pontevedra,5115,0.99,0.59,3,2.63,0.37
A Cañiza,36009,DISTINTIVO B,Áreas no urbanas,76,Pontevedra,5115,25.17,14.86,13.12,12.43,0.69
A Cañiza,36009,DISTINTIVO C,Áreas no urbanas,30,Pontevedra,5115,9.93,5.87,4.6,4.62,-0.02
A Cañiza,36009,ECO,Áreas no urbanas,2,Pontevedra,5115,0.66,0.39,2.5,3.09,-0.59
A Cañiza,36009,SIN DISTINTIVO,Áreas no urbanas,191,Pontevedra,5115,63.25,37.34,28.77,29.07,-0.3
A Coruña,15030,CERO,Grandes áreas urbanas,72,A Coruña,244700,1.06,0.29,2.69,2.63,0.06
A Coruña,15030,DISTINTIVO B,Grandes áreas urbanas,2191,A Coruña,244700,32.38,8.95,11.64,12.43,-0.79
A Coruña,15030,DISTINTIVO C,Grandes áreas urbanas,1701,A Coruña,244700,25.14,6.95,4.9,4.62,0.29
A Coruña,15030,ECO,Grandes áreas urbanas,117,A Coruña,244700,1.73,0.48,3.82,3.09,0.73
A Coruña,15030,SIN DISTINTIVO,Grandes áreas urbanas,2686,A Coruña,244700,39.69,10.98,32,29.07,2.93
A Estrada,36017,CERO,Pequeñas áreas urbanas,0,Pontevedra,20106,0,0,NA,2.63,NA
A Estrada,36017,DISTINTIVO B,Pequeñas áreas urbanas,360,Pontevedra,20106,28.78,17.91,11.52,12.43,-0.91
A Estrada,36017,DISTINTIVO C,Pequeñas áreas urbanas,170,Pontevedra,20106,13.59,8.46,4.91,4.62,0.3
A Estrada,36017,ECO,Pequeñas áreas urbanas,5,Pontevedra,20106,0.4,0.25,3.2,3.09,0.11
A Estrada,36017,SIN DISTINTIVO,Pequeñas áreas urbanas,716,Pontevedra,20106,57.23,35.61,28.79,29.07,-0.28
A Fonsagrada,27018,CERO,Áreas no urbanas,0,Lugo,3265,0,0,NA,2.63,NA
A Fonsagrada,27018,DISTINTIVO B,Áreas no urbanas,129,Lugo,3265,22.05,39.51,14.51,12.43,2.08
A Fonsagrada,27018,DISTINTIVO C,Áreas no urbanas,45,Lugo,3265,7.69,13.78,5.56,4.62,0.94
A Fonsagrada,27018,ECO,Áreas no urbanas,1,Lugo,3265,0.17,0.31,5,3.09,1.91
A Fonsagrada,27018,SIN DISTINTIVO,Áreas no urbanas,410,Lugo,3265,70.09,125.57,26.18,29.07,-2.9
A Guarda,36023,CERO,Áreas no urbanas,1,Pontevedra,10013,0.3,0.1,2,2.63,-0.63
A Guarda,36023,DISTINTIVO B,Áreas no urbanas,115,Pontevedra,10013,34.43,11.49,11.46,12.43,-0.97
A Guarda,36023,DISTINTIVO C,Áreas no urbanas,61,Pontevedra,10013,18.26,6.09,5.38,4.62,0.76
A Guarda,36023,ECO,Áreas no urbanas,0,Pontevedra,10013,0,0,NA,3.09,NA
A Guarda,36023,SIN DISTINTIVO,Áreas no urbanas,157,Pontevedra,10013,47.01,15.68,30.71,29.07,1.63
A Gudiña,32034,CERO,Áreas no urbanas,0,Ourense,1180,0,0,NA,2.63,NA
A Gudiña,32034,DISTINTIVO B,Áreas no urbanas,37,Ourense,1180,20.11,31.36,13.08,12.43,0.65
A Gudiña,32034,DISTINTIVO C,Áreas no urbanas,5,Ourense,1180,2.72,4.24,7.6,4.62,2.98
A Gudiña,32034,ECO,Áreas no urbanas,0,Ourense,1180,0,0,NA,3.09,NA
