nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,0,Ourense,1015,0,0,NA,3.63,NA
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,17,Ourense,1015,22.08,16.75,17.24,17.32,-0.08
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,22,Ourense,1015,28.57,21.67,10.41,8.5,1.91
A Arnoia,32003,ECO,Áreas no urbanas,0,Ourense,1015,0,0,NA,4.19,NA
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,38,Ourense,1015,49.35,37.44,31.97,35,-3.02
A Baña,15007,CERO,Áreas no urbanas,0,A Coruña,3333,0,0,NA,3.63,NA
A Baña,15007,DISTINTIVO B,Áreas no urbanas,30,A Coruña,3333,16.85,9,17.47,17.32,0.15
A Baña,15007,DISTINTIVO C,Áreas no urbanas,60,A Coruña,3333,33.71,18,10.1,8.5,1.6
A Baña,15007,ECO,Áreas no urbanas,0,A Coruña,3333,0,0,NA,4.19,NA
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,88,A Coruña,3333,49.44,26.4,37.49,35,2.49
A Bola,32014,CERO,Áreas no urbanas,0,Ourense,1088,0,0,NA,3.63,NA
A Bola,32014,DISTINTIVO B,Áreas no urbanas,9,Ourense,1088,12.33,8.27,16.44,17.32,-0.87
A Bola,32014,DISTINTIVO C,Áreas no urbanas,39,Ourense,1088,53.42,35.85,9.23,8.5,0.73
A Bola,32014,ECO,Áreas no urbanas,0,Ourense,1088,0,0,NA,4.19,NA
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,25,Ourense,1088,34.25,22.98,34.84,35,-0.16
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,3.63,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,18,A Coruña,1225,13.74,14.69,17.5,17.32,0.18
A Capela,15018,DISTINTIVO C,Áreas no urbanas,42,A Coruña,1225,32.06,34.29,11.62,8.5,3.12
A Capela,15018,ECO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,4.19,NA
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,71,A Coruña,1225,54.2,57.96,40.68,35,5.68
A Cañiza,36009,CERO,Áreas no urbanas,0,Pontevedra,5115,0,0,NA,3.63,NA
A Cañiza,36009,DISTINTIVO B,Áreas no urbanas,54,Pontevedra,5115,17.31,10.56,17,17.32,-0.32
A Cañiza,36009,DISTINTIVO C,Áreas no urbanas,151,Pontevedra,5115,48.4,29.52,8.87,8.5,0.37
A Cañiza,36009,ECO,Áreas no urbanas,0,Pontevedra,5115,0,0,NA,4.19,NA
A Cañiza,36009,SIN DISTINTIVO,Áreas no urbanas,107,Pontevedra,5115,34.29,20.92,32.16,35,-2.84
A Coruña,15030,CERO,Grandes áreas urbanas,117,A Coruña,244700,0.97,0.48,3.07,3.63,-0.56
A Coruña,15030,DISTINTIVO B,Grandes áreas urbanas,1818,A Coruña,244700,15.03,7.43,17.26,17.32,-0.06
A Coruña,15030,DISTINTIVO C,Grandes áreas urbanas,6544,A Coruña,244700,54.11,26.74,8.88,8.5,0.38
A Coruña,15030,ECO,Grandes áreas urbanas,6,A Coruña,244700,0.05,0.02,4,4.19,-0.19
A Coruña,15030,SIN DISTINTIVO,Grandes áreas urbanas,3608,A Coruña,244700,29.84,14.74,33.82,35,-1.18
A Estrada,36017,CERO,Pequeñas áreas urbanas,3,Pontevedra,20106,0.23,0.15,6.67,3.63,3.04
A Estrada,36017,DISTINTIVO B,Pequeñas áreas urbanas,168,Pontevedra,20106,13.01,8.36,17.32,17.32,0
A Estrada,36017,DISTINTIVO C,Pequeñas áreas urbanas,486,Pontevedra,20106,37.65,24.17,9.95,8.5,1.45
A Estrada,36017,ECO,Pequeñas áreas urbanas,1,Pontevedra,20106,0.08,0.05,6,4.19,1.81
A Estrada,36017,SIN DISTINTIVO,Pequeñas áreas urbanas,633,Pontevedra,20106,49.03,31.48,38.55,35,3.56
A Fonsagrada,27018,CERO,Áreas no urbanas,0,Lugo,3265,0,0,NA,3.63,NA
A Fonsagrada,27018,DISTINTIVO B,Áreas no urbanas,26,Lugo,3265,15.85,7.96,17.58,17.32,0.26
A Fonsagrada,27018,DISTINTIVO C,Áreas no urbanas,66,Lugo,3265,40.24,20.21,10.89,8.5,2.39
A Fonsagrada,27018,ECO,Áreas no urbanas,0,Lugo,3265,0,0,NA,4.19,NA
A Fonsagrada,27018,SIN DISTINTIVO,Áreas no urbanas,72,Lugo,3265,43.9,22.05,37.14,35,2.14
