nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,0,Ourense,1015,0,0,NA,2.92,NA
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,1,Ourense,1015,14.29,0.99,9,11.9,-2.9
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,0,Ourense,1015,0,0,NA,4.61,NA
A Arnoia,32003,ECO,Áreas no urbanas,0,Ourense,1015,0,0,NA,3.53,NA
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,6,Ourense,1015,85.71,5.91,16,17.4,-1.4
A Baña,15007,CERO,Áreas no urbanas,0,A Coruña,3333,0,0,NA,2.92,NA
A Baña,15007,DISTINTIVO B,Áreas no urbanas,2,A Coruña,3333,7.41,0.6,11.5,11.9,-0.4
A Baña,15007,DISTINTIVO C,Áreas no urbanas,3,A Coruña,3333,11.11,0.9,7.67,4.61,3.06
A Baña,15007,ECO,Áreas no urbanas,0,A Coruña,3333,0,0,NA,3.53,NA
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,22,A Coruña,3333,81.48,6.6,17.23,17.4,-0.17
A Bola,32014,CERO,Áreas no urbanas,0,Ourense,1088,0,0,NA,2.92,NA
A Bola,32014,DISTINTIVO B,Áreas no urbanas,0,Ourense,1088,0,0,NA,11.9,NA
A Bola,32014,DISTINTIVO C,Áreas no urbanas,0,Ourense,1088,0,0,NA,4.61,NA
A Bola,32014,ECO,Áreas no urbanas,0,Ourense,1088,0,0,NA,3.53,NA
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,2,Ourense,1088,100,1.84,17.5,17.4,0.1
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,2.92,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,1,A Coruña,1225,3.23,0.82,7,11.9,-4.9
A Capela,15018,DISTINTIVO C,Áreas no urbanas,1,A Coruña,1225,3.23,0.82,4,4.61,-0.61
