nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,2,Ourense,1015,0.33,1.97,2,2.5,-0.5
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,202,Ourense,1015,33.28,199.01,13.61,14.58,-0.97
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,153,Ourense,1015,25.21,150.74,6.98,7.17,-0.19
A Arnoia,32003,ECO,Áreas no urbanas,8,Ourense,1015,1.32,7.88,3.62,3.67,-0.04
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,242,Ourense,1015,39.87,238.42,27.33,28.41,-1.08
A Baña,15007,CERO,Áreas no urbanas,4,A Coruña,3333,0.17,1.2,1.5,2.5,-1
A Baña,15007,DISTINTIVO B,Áreas no urbanas,834,A Coruña,3333,35.58,250.23,13.99,14.58,-0.59
A Baña,15007,DISTINTIVO C,Áreas no urbanas,485,A Coruña,3333,20.69,145.51,6.4,7.17,-0.77
A Baña,15007,ECO,Áreas no urbanas,29,A Coruña,3333,1.24,8.7,3.21,3.67,-0.46
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,992,A Coruña,3333,42.32,297.63,25.56,28.41,-2.86
A Bola,32014,CERO,Áreas no urbanas,5,Ourense,1088,0.66,4.6,3.6,2.5,1.1
A Bola,32014,DISTINTIVO B,Áreas no urbanas,243,Ourense,1088,31.97,223.35,14.39,14.58,-0.19
A Bola,32014,DISTINTIVO C,Áreas no urbanas,147,Ourense,1088,19.34,135.11,7.14,7.17,-0.03
A Bola,32014,ECO,Áreas no urbanas,9,Ourense,1088,1.18,8.27,3.56,3.67,-0.11
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,356,Ourense,1088,46.84,327.21,29.35,28.41,0.94
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,0,0,NA,2.5,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,357,A Coruña,1225,39.1,291.43,14.44,14.58,-0.14
A Capela,15018,DISTINTIVO C,Áreas no urbanas,191,A Coruña,1225,20.92,155.92,7.64,7.17,0.47
A Capela,15018,ECO,Áreas no urbanas,6,A Coruña,1225,0.66,4.9,3.5,3.67,-0.17
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,359,A Coruña,1225,39.32,293.06,26.2,28.41,-2.22
A Cañiza,36009,CERO,Áreas no urbanas,11,Pontevedra,5115,0.33,2.15,4.64,2.5,2.13
A Cañiza,36009,DISTINTIVO B,Áreas no urbanas,1049,Pontevedra,5115,31.62,205.08,14.19,14.58,-0.39
A Cañiza,36009,DISTINTIVO C,Áreas no urbanas,599,Pontevedra,5115,18.05,117.11,7.01,7.17,-0.16
A Cañiza,36009,ECO,Áreas no urbanas,26,Pontevedra,5115,0.78,5.08,4.19,3.67,0.52
A Cañiza,36009,SIN DISTINTIVO,Áreas no urbanas,1633,Pontevedra,5115,49.22,319.26,26.51,28.41,-1.9
A Coruña,15030,CERO,Grandes áreas urbanas,514,A Coruña,244700,0.45,2.1,2.63,2.5,0.13
A Coruña,15030,DISTINTIVO B,Grandes áreas urbanas,35869,A Coruña,244700,31.68,146.58,14.74,14.58,0.16
A Coruña,15030,DISTINTIVO C,Grandes áreas urbanas,38660,A Coruña,244700,34.14,157.99,8.02,7.17,0.85
A Coruña,15030,ECO,Grandes áreas urbanas,4143,A Coruña,244700,3.66,16.93,4.36,3.67,0.69
A Coruña,15030,SIN DISTINTIVO,Grandes áreas urbanas,34046,A Coruña,244700,30.07,139.13,29.03,28.41,0.62
A Estrada,36017,CERO,Pequeñas áreas urbanas,37,Pontevedra,20106,0.27,1.84,3.49,2.5,0.98
A Estrada,36017,DISTINTIVO B,Pequeñas áreas urbanas,4737,Pontevedra,20106,33.95,235.6,14.2,14.58,-0.38
A Estrada,36017,DISTINTIVO C,Pequeñas áreas urbanas,3292,Pontevedra,20106,23.6,163.73,7.27,7.17,0.1
A Estrada,36017,ECO,Pequeñas áreas urbanas,224,Pontevedra,20106,1.61,11.14,3.94,3.67,0.27
A Estrada,36017,SIN DISTINTIVO,Pequeñas áreas urbanas,5662,Pontevedra,20106,40.58,281.61,27,28.41,-1.42
A Fonsagrada,27018,CERO,Áreas no urbanas,1,Lugo,3265,0.04,0.31,2,2.5,-0.5
A Fonsagrada,27018,DISTINTIVO B,Áreas no urbanas,735,Lugo,3265,32.12,225.11,14.04,14.58,-0.55
A Fonsagrada,27018,DISTINTIVO C,Áreas no urbanas,442,Lugo,3265,19.32,135.38,6.79,7.17,-0.39
A Fonsagrada,27018,ECO,Áreas no urbanas,28,Lugo,3265,1.22,8.58,3.5,3.67,-0.17
A Fonsagrada,27018,SIN DISTINTIVO,Áreas no urbanas,1082,Lugo,3265,47.29,331.39,26.77,28.41,-1.65
A Guarda,36023,CERO,Áreas no urbanas,16,Pontevedra,10013,0.29,1.6,2.25,2.5,-0.25
A Guarda,36023,DISTINTIVO B,Áreas no urbanas,2114,Pontevedra,10013,38.17,211.13,14,14.58,-0.59
A Guarda,36023,DISTINTIVO C,Áreas no urbanas,1583,Pontevedra,10013,28.58,158.09,7.44,7.17,0.27
A Guarda,36023,ECO,Áreas no urbanas,87,Pontevedra,10013,1.57,8.69,4.71,3.67,1.04
A Guarda,36023,SIN DISTINTIVO,Áreas no urbanas,1738,Pontevedra,10013,31.38,173.57,24.67,28.41,-3.74
A Gudiña,32034,CERO,Áreas no urbanas,1,Ourense,1180,0.11,0.85,5,2.5,2.5
A Gudiña,32034,DISTINTIVO B,Áreas no urbanas,321,Ourense,1180,34.52,272.03,13.88,14.58,-0.7
A Gudiña,32034,DISTINTIVO C,Áreas no urbanas,163,Ourense,1180,17.53,138.14,7.28,7.17,0.11
A Gudiña,32034,ECO,Áreas no urbanas,7,Ourense,1180,0.75,5.93,3,3.67,-0.67
A Gudiña,32034,SIN DISTINTIVO,Áreas no urbanas,438,Ourense,1180,47.1,371.19,30.37,28.41,1.95
A Illa de Arousa,36901,CERO,Áreas no urbanas,3,Pontevedra,4878,0.11,0.62,2.67,2.5,0.16
A Illa de Arousa,36901,DISTINTIVO B,Áreas no urbanas,1000,Pontevedra,4878,38.11,205,13.61,14.58,-0.97
A Illa de Arousa,36901,DISTINTIVO C,Áreas no urbanas,741,Pontevedra,4878,28.24,151.91,7.53,7.17,0.36
A Illa de Arousa,36901,ECO,Áreas no urbanas,56,Pontevedra,4878,2.13,11.48,3.79,3.67,0.12
A Illa de Arousa,36901,SIN DISTINTIVO,Áreas no urbanas,824,Pontevedra,4878,31.4,168.92,21.78,28.41,-6.63
A Lama,36025,CERO,Áreas no urbanas,2,Pontevedra,2499,0.11,0.8,3,2.5,0.5
A Lama,36025,DISTINTIVO B,Áreas no urbanas,516,Pontevedra,2499,28.75,206.48,13.98,14.58,-0.6
A Lama,36025,DISTINTIVO C,Áreas no urbanas,313,Pontevedra,2499,17.44,125.25,7.5,7.17,0.32
A Lama,36025,ECO,Áreas no urbanas,14,Pontevedra,2499,0.78,5.6,3.14,3.67,-0.53
A Lama,36025,SIN DISTINTIVO,Áreas no urbanas,950,Pontevedra,2499,52.92,380.15,26.05,28.41,-2.36
A Laracha,15041,CERO,Áreas no urbanas,24,A Coruña,11505,0.32,2.09,2.67,2.5,0.16
A Laracha,15041,DISTINTIVO B,Áreas no urbanas,2547,A Coruña,11505,34.02,221.38,14.36,14.58,-0.22
A Laracha,15041,DISTINTIVO C,Áreas no urbanas,1899,A Coruña,11505,25.36,165.06,7.48,7.17,0.31
A Laracha,15041,ECO,Áreas no urbanas,128,A Coruña,11505,1.71,11.13,3.87,3.67,0.2
A Laracha,15041,SIN DISTINTIVO,Áreas no urbanas,2889,A Coruña,11505,38.59,251.11,24.69,28.41,-3.72
A Merca,32047,CERO,Áreas no urbanas,7,Ourense,1966,0.46,3.56,2.43,2.5,-0.07
A Merca,32047,DISTINTIVO B,Áreas no urbanas,507,Ourense,1966,33.18,257.88,14.35,14.58,-0.24
A Merca,32047,DISTINTIVO C,Áreas no urbanas,334,Ourense,1966,21.86,169.89,7.42,7.17,0.25
A Merca,32047,ECO,Áreas no urbanas,27,Ourense,1966,1.77,13.73,3.52,3.67,-0.15
A Merca,32047,SIN DISTINTIVO,Áreas no urbanas,653,Ourense,1966,42.74,332.15,27.17,28.41,-1.25
A Mezquita,32048,DISTINTIVO B,Áreas no urbanas,238,Ourense,1005,33.71,236.82,14.14,14.58,-0.44
A Mezquita,32048,DISTINTIVO C,Áreas no urbanas,123,Ourense,1005,17.42,122.39,7.43,7.17,0.26
A Mezquita,32048,ECO,Áreas no urbanas,5,Ourense,1005,0.71,4.98,3,3.67,-0.67
A Mezquita,32048,SIN DISTINTIVO,Áreas no urbanas,340,Ourense,1005,48.16,338.31,28.6,28.41,0.19
A Pastoriza,27044,CERO,Áreas no urbanas,31,Lugo,2879,1.09,10.77,2.1,2.5,-0.41
A Pastoriza,27044,DISTINTIVO B,Áreas no urbanas,836,Lugo,2879,29.28,290.38,13.64,14.58,-0.94
A Pastoriza,27044,DISTINTIVO C,Áreas no urbanas,687,Lugo,2879,24.06,238.62,5.36,7.17,-1.82
A Pastoriza,27044,ECO,Áreas no urbanas,199,Lugo,2879,6.97,69.12,2.84,3.67,-0.83
A Pastoriza,27044,SIN DISTINTIVO,Áreas no urbanas,1102,Lugo,2879,38.6,382.77,25.6,28.41,-2.81
A Peroxa,32059,CERO,Áreas no urbanas,3,Ourense,1805,0.26,1.66,1.67,2.5,-0.84
A Peroxa,32059,DISTINTIVO B,Áreas no urbanas,338,Ourense,1805,28.82,187.26,13.94,14.58,-0.64
A Peroxa,32059,DISTINTIVO C,Áreas no urbanas,235,Ourense,1805,20.03,130.19,7.34,7.17,0.17
A Peroxa,32059,ECO,Áreas no urbanas,17,Ourense,1805,1.45,9.42,4.24,3.67,0.57
A Peroxa,32059,SIN DISTINTIVO,Áreas no urbanas,580,Ourense,1805,49.45,321.33,28.44,28.41,0.03
A Pobra de Trives,32063,CERO,Áreas no urbanas,4,Ourense,2019,0.28,1.98,3,2.5,0.5
A Pobra de Trives,32063,DISTINTIVO B,Áreas no urbanas,498,Ourense,2019,34.78,246.66,14.57,14.58,-0.01
A Pobra de Trives,32063,DISTINTIVO C,Áreas no urbanas,329,Ourense,2019,22.97,162.95,7.73,7.17,0.56
A Pobra de Trives,32063,ECO,Áreas no urbanas,14,Ourense,2019,0.98,6.93,3.93,3.67,0.26
A Pobra de Trives,32063,SIN DISTINTIVO,Áreas no urbanas,587,Ourense,2019,40.99,290.74,28.22,28.41,-0.19
A Pobra do Brollón,27047,CERO,Áreas no urbanas,1,Lugo,1551,0.09,0.64,1,2.5,-1.5
A Pobra do Brollón,27047,DISTINTIVO B,Áreas no urbanas,335,Lugo,1551,29.7,215.99,14.19,14.58,-0.39
A Pobra do Brollón,27047,DISTINTIVO C,Áreas no urbanas,270,Lugo,1551,23.94,174.08,7.26,7.17,0.09
A Pobra do Brollón,27047,ECO,Áreas no urbanas,15,Lugo,1551,1.33,9.67,2.93,3.67,-0.74
A Pobra do Brollón,27047,SIN DISTINTIVO,Áreas no urbanas,507,Lugo,1551,44.95,326.89,28.07,28.41,-0.34
A Pobra do Caramiñal,15067,CERO,Áreas no urbanas,14,A Coruña,9290,0.26,1.51,2.5,2.5,-0
A Pobra do Caramiñal,15067,DISTINTIVO B,Áreas no urbanas,1938,A Coruña,9290,35.9,208.61,14.58,14.58,0
A Pobra do Caramiñal,15067,DISTINTIVO C,Áreas no urbanas,1675,A Coruña,9290,31.03,180.3,7.69,7.17,0.52
A Pobra do Caramiñal,15067,ECO,Áreas no urbanas,135,A Coruña,9290,2.5,14.53,3.54,3.67,-0.13
A Pobra do Caramiñal,15067,SIN DISTINTIVO,Áreas no urbanas,1636,A Coruña,9290,30.31,176.1,26.25,28.41,-2.16
A Pontenova,27048,CERO,Áreas no urbanas,3,Lugo,2191,0.18,1.37,4,2.5,1.5
A Pontenova,27048,DISTINTIVO B,Áreas no urbanas,604,Lugo,2191,36.43,275.67,13.74,14.58,-0.85
A Pontenova,27048,DISTINTIVO C,Áreas no urbanas,381,Lugo,2191,22.98,173.89,6.46,7.17,-0.71
A Pontenova,27048,ECO,Áreas no urbanas,24,Lugo,2191,1.45,10.95,3.79,3.67,0.12
A Pontenova,27048,SIN DISTINTIVO,Áreas no urbanas,646,Lugo,2191,38.96,294.84,27.47,28.41,-0.94
A Rúa,32072,CERO,Áreas no urbanas,5,Ourense,4186,0.18,1.19,1.8,2.5,-0.7
A Rúa,32072,DISTINTIVO B,Áreas no urbanas,870,Ourense,4186,30.89,207.84,15.03,14.58,0.45
A Rúa,32072,DISTINTIVO C,Áreas no urbanas,634,Ourense,4186,22.51,151.46,7.65,7.17,0.48
A Rúa,32072,ECO,Áreas no urbanas,34,Ourense,4186,1.21,8.12,4.88,3.67,1.21
A Rúa,32072,SIN DISTINTIVO,Áreas no urbanas,1273,Ourense,4186,45.21,304.11,29.2,28.41,0.79
A Teixeira,32080,CERO,Áreas no urbanas,2,Ourense,345,0.71,5.8,2,2.5,-0.5
A Teixeira,32080,DISTINTIVO B,Áreas no urbanas,86,Ourense,345,30.5,249.28,14.28,14.58,-0.3
A Teixeira,32080,DISTINTIVO C,Áreas no urbanas,52,Ourense,345,18.44,150.72,9.08,7.17,1.91
A Teixeira,32080,ECO,Áreas no urbanas,2,Ourense,345,0.71,5.8,6,3.67,2.33
A Teixeira,32080,SIN DISTINTIVO,Áreas no urbanas,140,Ourense,345,49.65,405.8,28.66,28.41,0.25
A Veiga,32083,DISTINTIVO B,Áreas no urbanas,159,Ourense,901,29.01,176.47,14.04,14.58,-0.54
A Veiga,32083,DISTINTIVO C,Áreas no urbanas,97,Ourense,901,17.7,107.66,6.62,7.17,-0.55
A Veiga,32083,ECO,Áreas no urbanas,7,Ourense,901,1.28,7.77,3.29,3.67,-0.38
A Veiga,32083,SIN DISTINTIVO,Áreas no urbanas,285,Ourense,901,52.01,316.32,28.02,28.41,-0.39
Ababuj,44001,DISTINTIVO B,Áreas no urbanas,14,Teruel,72,26.92,194.44,15.93,14.58,1.35
Ababuj,44001,DISTINTIVO C,Áreas no urbanas,8,Teruel,72,15.38,111.11,8,7.17,0.83
Ababuj,44001,ECO,Áreas no urbanas,1,Teruel,72,1.92,13.89,3,3.67,-0.67
Ababuj,44001,SIN DISTINTIVO,Áreas no urbanas,29,Teruel,72,55.77,402.78,24.45,28.41,-3.96
Abades,40001,DISTINTIVO B,Áreas no urbanas,206,Segovia,839,38.29,245.53,14.79,14.58,0.21
Abades,40001,DISTINTIVO C,Áreas no urbanas,126,Segovia,839,23.42,150.18,6.2,7.17,-0.97
Abades,40001,ECO,Áreas no urbanas,9,Segovia,839,1.67,10.73,2.89,3.67,-0.78
