cod_mun,municipio,distrito,seccion,cod_seccion,por_ganador,partido_ganador,p_p,p_s_o_e,espana_2000,aes,podemos,uleg,pcas_tc,c_s,u_py_d,p_lib,la_coalicion_nacional,iucm_lv,sa_in,ph,p_c_p_e,fe_de_las_jons,pacma,recortes_cero,vox
28001,La Acebeda,01,001,2800101001,72.55,PP,72.55,7.84,0,0,7.84,0,0,1.96,1.96,0,0,1.96,0,0,0,0,3.92,0,1.96
28002,Ajalvir,01,001,2800201001,44.05,PP,44.05,21.58,0.11,0.22,12.46,0,0.11,12.68,1.78,0,0.11,3.56,0,0,0,0.33,1.45,0,0.33
28002,Ajalvir,01,002,2800201002,38.02,PP,38.02,27.06,0.78,0.19,11.25,0.19,0,14.26,1.65,0.1,0.19,2.33,0,0.29,0.19,0.1,0.97,0.1,0.68
28003,Alameda del Valle,01,001,2800301001,36.67,PSOE,31.33,36.67,0,0,17.33,0,0,8.67,0,0,0,2,0,0,0,0,0,0,0.67
28004,El Álamo,01,001,2800401001,38.92,PP,38.92,27.18,0.19,0,14.39,0,0,10.8,0.76,0,0,4.45,0,0.09,0.19,0,1.14,0,1.23
28004,El Álamo,01,002,2800401002,39.38,PP,39.38,23.63,0.07,0.07,17.9,0,0.07,10.33,0.67,0.07,0.15,3.71,0,0.07,0.22,0.52,0.97,0.07,1.11
28004,El Álamo,01,003,2800401003,41.97,PP,41.97,27.77,0.37,0,13.08,0,0,9.59,0.75,0,0.12,3.61,0,0.25,0,0.5,0.37,0,1
28004,El Álamo,01,004,2800401004,37.24,PP,37.24,22.5,0,0,16.48,0,0,12.84,1.74,0,0.16,5.23,0,0,0.32,0,1.43,0.32,0.95
28005,Alcalá de Henares,01,001,2800501001,37.94,PP,37.94,18.36,1.07,0,19.44,0,0,11.39,1.74,0,0,3.49,0.4,0.4,0.54,0.4,0.67,0.13,2.95
28005,Alcalá de Henares,01,002,2800501002,33.4,PP,33.4,22.85,1.37,0,22.66,0,0,11.33,1.17,0,0,3.91,0.2,0,0.2,0.2,0.78,0,0.78
28005,Alcalá de Henares,01,003,2800501003,29.23,PP,29.23,25.09,0.71,0,23.43,0,0.12,10.65,2.01,0,0.24,5.33,0,0.12,0.24,0.12,0.83,0.12,0.71
28005,Alcalá de Henares,01,004,2800501004,50.41,PP,50.41,18.66,1.91,0.41,9.67,0,0,11.17,2.86,0.27,0,1.77,0.14,0,0,0,0.27,0.14,1.5
28005,Alcalá de Henares,01,005,2800501005,44.92,PP,44.92,18.45,1.14,0.14,12.59,0,0,10.16,2.29,0,0,2.43,0,0,0,0,0.72,0,4.72
28005,Alcalá de Henares,01,006,2800501006,29.84,PP,29.84,26.45,1.13,0,22.91,0,0,11.88,2.26,0.28,0,2.4,0,0.14,0,0,0.42,0.14,1.13
28005,Alcalá de Henares,01,007,2800501007,32.56,PSOE,26.54,32.56,2.47,0.31,17.44,0,0.15,10.8,1.7,0,0,4.94,0.31,0.31,0,0,0.62,0,0.77
28005,Alcalá de Henares,01,008,2800501008,36.31,PSOE,24.93,36.31,2.71,0,18.7,0,0,7.86,1.63,0,0,4.88,0.27,0.27,0,0,0.27,0.81,0
28005,Alcalá de Henares,01,009,2800501009,36.07,PSOE,21.31,36.07,3.36,0,17.94,0,0,8.79,3.18,0,0,6.54,0,0.37,0,0,1.12,0.37,0
28005,Alcalá de Henares,01,010,2800501010,26.73,PP,26.73,22.12,1.38,0,21.2,0,0,15.9,4.61,0.23,0.23,3.46,0.23,0.23,0,0.23,0.69,0.46,1.38
28005,Alcalá de Henares,01,011,2800501011,37.43,PP,37.43,27.54,0.45,0,15.87,0,0,10.03,1.05,0,0,4.79,0,0.3,0,0.15,0.15,0.15,0.9
28005,Alcalá de Henares,01,012,2800501012,37.13,PP,37.13,20.85,2.55,0,16.17,0,0,13.72,2.34,0,0,2.13,0,0.21,0.21,0.11,0.74,0.53,1.91
28005,Alcalá de Henares,01,013,2800501013,41.39,PP,41.39,20.59,1.05,0,19.75,0,0.21,8.82,1.68,0,0,3.36,0,0,0.63,0,0.63,0.21,1.26
28005,Alcalá de Henares,01,014,2800501014,46.38,PP,46.38,19.11,1.08,0,16.02,0,0,10.48,1.39,0,0.46,3.24,0.15,0,0,0.15,0.46,0.15,0.31
28005,Alcalá de Henares,01,015,2800501015,34.03,PP,34.03,23.89,1.23,0.38,17.91,0,0.19,10.71,2.09,0,0.38,5.31,0.19,0,0.19,0.28,1.14,0.09,1.04
28005,Alcalá de Henares,01,016,2800501016,29.89,PP,29.89,25.94,2.07,0.19,19.36,0.19,0,12.41,1.32,0,0,4.89,0,0,0.38,0.38,0.94,0.19,0.94
28005,Alcalá de Henares,01,017,2800501017,34.73,PP,34.73,24.88,1.23,0,18.72,0,0.25,10.84,1.23,0,0,3.45,0,0,0.49,0.25,1.23,0.49,0.74
28005,Alcalá de Henares,01,018,2800501018,34.31,PP,34.31,31.17,1.46,0,14.02,0,0,8.37,1.88,0,0.21,5.23,0,0,0,0,1.05,0,0.42
