cod_mun,municipio,distrito,seccion,cod_seccion,por_ganador,partido_ganador,cs,pum_j,pcte,fe_de_las_jons,ph,pacma,x3e_en_accion,partido_autonomos,p_s_o_e,pp,pcoe_pcpe,volt,vox,p_lib,pole,mas_madrid,eb,udec,podemos_iu,recortes_cero_pcas_tc_gv_m
28001,La Acebeda,01,001,2800101001,56.1,PP,2.44,0,0,0,0,0,0,0,17.07,56.1,0,0,2.44,0,0,7.32,0,0,14.63,0
28002,Ajalvir,01,001,2800201001,48.98,PP,2.65,0,0,0.18,0,0.09,0.09,0,13.15,48.98,0,0,14.74,0,0,15.36,0.09,0.09,3.97,0
28002,Ajalvir,01,002,2800201002,49.79,PP,2.18,0,0.08,0.08,0.08,0.25,0,0.08,14.78,49.79,0,0,14.53,0.08,0,13.1,0,0,4.7,0
28003,Alameda del Valle,01,001,2800301001,38.1,PP,4.17,0,0,0,0,0.6,0,0,17.86,38.1,0,0,9.52,0,0,21.43,0,0,6.55,0
28004,El Álamo,01,001,2800401001,44.71,PP,2.28,0,0.08,0,0.08,0.46,0,0,18.43,44.71,0,0,16.37,0.08,0,11.81,0,0,5.26,0
28004,El Álamo,01,002,2800401002,45.38,PP,1.79,0,0,0,0.12,0.18,0.06,0.18,16.7,45.38,0,0.06,17.29,0,0,11.03,0.06,0.06,6.5,0
28004,El Álamo,01,003,2800401003,48.83,PP,2.24,0.11,0.21,0,0,0.11,0.11,0,18.02,48.83,0,0,13.43,0,0,9.38,0,0,7.25,0
28004,El Álamo,01,004,2800401004,48.51,PP,1.49,0,0,0.12,0,0.37,0,0,16.25,48.51,0,0.12,12.03,0,0,14.02,0.12,0,6.7,0
28005,Alcalá de Henares,01,001,2800501001,46.43,PP,4.24,0,0.22,0.11,0,0.45,0,0.11,14.06,46.43,0,0,10.49,0,0,15.4,0.22,0,6.81,0
28005,Alcalá de Henares,01,002,2800501002,41.3,PP,3.15,0,0,0,0,0.74,0,0,18.7,41.3,0,0,7.22,0,0,18.52,0,0.19,9.26,0
28005,Alcalá de Henares,01,003,2800501003,38.07,PP,3.29,0,0,0,0.32,0.95,0.11,0.11,20.78,38.07,0,0.11,7.95,0.11,0,18.45,0.11,0,8.59,0
28005,Alcalá de Henares,01,004,2800501004,55.35,PP,2.22,0.13,0,0,0,0.39,0.13,0,15.01,55.35,0,0,10.84,0.13,0,9.92,0,0,5.74,0
28005,Alcalá de Henares,01,005,2800501005,51.37,PP,2.73,0,0,0.13,0,0.13,0,0,15.47,51.37,0,0,13,0,0,11.44,0,0,5.33,0
28005,Alcalá de Henares,01,006,2800501006,40.78,PP,3.51,0,0,0,0,0.26,0.26,0,20.65,40.78,0,0,8.18,0,0,17.01,0.13,0,8.05,0
