cod_mun,municipio,por_ganador,partido_ganador,p_p,p_s_o_e,espana_2000,aes,podemos,uleg,pcas_tc,c_s,u_py_d,p_lib,la_coalicion_nacional,iucm_lv,sa_in,ph,p_c_p_e,fe_de_las_jons,pacma,recortes_cero,vox
28001,La Acebeda,72.55,PP,72.55,7.84,0,0,7.84,0,0,1.96,1.96,0,0,1.96,0,0,0,0,3.92,0,1.96
28002,Ajalvir,40.83,PP,40.83,24.51,0.47,0.21,11.81,0.1,0.05,13.52,1.71,0.05,0.16,2.9,0,0.16,0.1,0.21,1.19,0.05,0.52
28003,Alameda del Valle,36.67,PSOE,31.33,36.67,0,0,17.33,0,0,8.67,0,0,0,2,0,0,0,0,0,0,0.67
28004,El Álamo,39.44,PP,39.44,25.29,0.16,0.03,15.69,0,0.03,10.71,0.89,0.03,0.1,4.14,0,0.1,0.18,0.29,0.96,0.08,1.09
28005,Alcalá de Henares,27.41,PP,27.41,26.41,2.07,0.06,20.26,0.02,0.08,13.37,2.26,0.05,0.06,4.47,0.09,0.13,0.11,0.14,0.98,0.12,0.77
28006,Alcobendas,35.13,PP,35.13,25.13,0.09,0.15,16.64,0.02,0.04,12.57,2.79,0.08,0.08,3.24,0.03,0.17,0.09,0.2,0.96,0.09,1.43
28007,Alcorcón,29.93,PP,29.93,27.17,0.08,0.08,20.56,0.03,0.11,11.96,2.38,0.05,0.06,4.01,0.04,0.12,0.12,0.12,1.08,0.17,0.84
28008,Aldea del Fresno,43.33,PP,43.33,23.75,0.16,0,14.25,0.08,0,9.75,0.49,0,0.08,4.42,0,0.08,0.08,0.49,0.82,0,0.16
28009,Algete,35.43,PP,35.43,22.9,0.36,0.19,15.15,0.02,0.08,15.37,1.82,0.05,0.06,3.89,0,0.11,0.25,0.23,1.26,0.2,1.23
28010,Alpedrete,34.49,PP,34.49,20.51,0.12,0.16,19.79,0.03,0.03,14.57,2.53,0.01,0.06,3.35,0.07,0.12,0,0.31,1.14,0.12,1.42
28011,Ambite,38.41,PP,38.41,17.68,0.3,0,17.68,0,0.3,11.28,1.52,0,0,6.1,0,0,0.3,2.74,1.52,0,0.91
28012,Anchuelo,37.16,PP,37.16,27.79,1.13,0,14.22,0,0,11.95,1.13,0,0,2.58,0,0.32,0,0,1.13,0,0.65
28013,Aranjuez,31.62,PP,31.62,29.53,0.1,0.04,18.68,0.04,0.05,11.34,1.32,0.04,0.06,3.5,0.01,0.08,0.09,0.24,1.11,0.12,0.81
28014,Arganda del Rey,32.65,PP,32.65,24.39,0.25,0.07,18.88,0.03,0.06,13.06,2.28,0.03,0.07,4.36,0.01,0.13,0.17,0.25,1.24,0.18,0.51
28015,Arroyomolinos,30.21,PP,30.21,18.74,0.11,0.06,18.49,0.05,0.03,21.49,3.09,0.05,0.1,3.22,0.02,0.11,0.06,0.24,1.23,0.07,1.28
28016,El Atazar,38.24,PSOE,27.94,38.24,4.41,0,8.82,0,0,4.41,1.47,1.47,0,8.82,0,0,0,0,0,0,0
28017,Batres,29.4,PP,29.4,20.6,0,0,27.02,0,0,12.5,2.74,0,0.12,3.45,0.12,0.24,0,0,1.31,0.12,1.19
28018,Becerril de la Sierra,41.16,PP,41.16,22.1,0.04,0,16.85,0,0.04,11.32,1.37,0.07,0.04,4.41,0,0.07,0.11,0.22,0.51,0,0.83
28019,Belmonte de Tajo,37.34,PSOE,28.49,37.34,0,0.11,13.73,0,0,7.83,1.36,0.23,1.25,4.99,0,0.45,0.11,0,1.02,0.23,0.91
28020,Berzosa del Lozoya,38.32,PP,38.32,18.69,0,0,31.78,0,0,6.54,0.93,0,0,1.87,0,0.93,0,0,0.93,0,0
28021,El Berrueco,36.2,PP,36.2,16.91,0.3,0,27.6,0,0,10.68,1.48,0,0,1.78,0,0,0.59,0,1.78,0,0.59
28022,Boadilla del Monte,46.3,PP,46.3,15.38,0.07,0.12,10.5,0.01,0.02,18.59,1.97,0.06,0.11,1.79,0.03,0.05,0.06,0.16,0.82,0.08,2.64
28023,El Boalo,36.03,PP,36.03,21.76,0,0.17,18.99,0,0.14,13,1.75,0.06,0.09,3.81,0.03,0,0,0.23,1.09,0.11,1.49
28024,Braojos,51.85,PP,51.85,25.19,0,0,8.89,0,0,6.67,0.74,0,0,2.96,0,0,0,0.74,0.74,0,2.22
28025,Brea de Tajo,61.63,PP,61.63,19.77,0,0,6.98,0,0,5.52,0.87,0,0,2.03,0,0,0.29,0.29,0.58,0,0
28026,Brunete,40.77,PP,40.77,19.11,0.05,0.1,16.07,0,0,14.06,1.32,0,0.14,3.95,0,0.1,0.26,0.22,1.08,0.1,1.2
28027,Buitrago del Lozoya,40.37,PP,40.37,25.89,0.12,0,15.34,0,0,9.69,1.23,0.12,0,4.91,0,0.12,0,0.12,0.37,0.12,0.49
28028,Bustarviejo,31.61,PP,31.61,22.07,0.08,0.16,26.76,0.08,0.08,8.22,1.8,0.16,0.08,4.77,0.08,0,0.08,0.63,1.1,0.16,0.7
28029,Cabanillas de la Sierra,43.58,PP,43.58,18.81,0.23,0,16.74,0,0,12.16,1.61,0,0,2.29,0,0,0,0.23,1.15,0,1.15
28030,La Cabrera,39.07,PP,39.07,22.02,0.16,0.24,21.3,0.16,0,8.81,0.72,0.08,0,4.08,0.08,0.08,0,0.08,1.2,0.08,0.32
28031,Cadalso de los Vidrios,47.01,PP,47.01,37.82,0.19,0,7.77,0,0,2.96,0.25,0.06,0.06,2.41,0,0,0.06,0.19,0.25,0,0.12
28032,Camarma de Esteruelas,30.4,PP,30.4,28.33,1.91,0.03,16.71,0,0.03,12.83,2.16,0,0,4.52,0,0,0.13,0.06,0.7,0,0.73
28033,Campo Real,42.17,PP,42.17,21.8,0.24,0.08,12.88,0,0.04,14.55,0.95,0.12,0.28,3.37,0.12,0.04,0.04,0.48,1.35,0.2,0.4
28034,Canencia,56.41,PP,56.41,19.41,0.37,0,8.79,0,0,5.13,0.73,0,0,5.13,0,0,0.37,0.37,0,0,0.37
28035,Carabaña,39.92,PP,39.92,33.04,0,0.1,12.79,0,0,6.49,0.68,0,0,4.36,0,0.19,0.1,0.1,0.78,0,0.29
28036,Casarrubuelos,28.84,PP,28.84,17.6,0.06,0,23.22,0.06,0,12.5,1.32,0.06,0,12.73,0.06,0.11,0.17,0.34,1.61,0,0.46
28037,Cenicientos,48.41,PSOE,34.05,48.41,0,0,7.06,0,1.43,4.21,0.71,0,0,3.1,0,0,0.08,0.08,0.24,0,0.08
28038,Cercedilla,32.56,PP,32.56,26.87,0.03,0,20.76,0,0.03,9.33,1.09,0,0.03,6,0.06,0.17,0.06,0.03,0.95,0.03,0.69
28039,Cervera de Buitrago,39.25,PSOE,28.04,39.25,0.93,0,14.95,0,0,3.74,0,0,0.93,6.54,0.93,0,0.93,0,0.93,0,0.93
28040,Ciempozuelos,28.01,PSOE,27.21,28.01,0.28,0.11,20.83,0.09,0.05,10.69,1.72,0.08,0.13,6.52,0.06,0.06,0.26,0.3,1.4,0.19,0.54
28041,Cobeña,36.59,PP,36.59,19.64,0.06,0.25,14.14,0,0.16,17.55,2.68,0.12,0,3.87,0.06,0.16,0.06,0.19,1.62,0.09,1.19
28042,Colmenar del Arroyo,52.71,PP,52.71,16,0.12,0.12,15.04,0,0,7.7,1.56,0.12,0.24,3.37,0.12,0,0.48,0.12,0.96,0,0.72
28043,Colmenar de Oreja,40.67,PP,40.67,27.04,0.09,0,15.96,0,0.06,7.63,1.07,0.06,0.12,3.77,0.09,0.06,0.06,0.17,1.02,0.06,0.38
28044,Colmenarejo,30.73,PP,30.73,22.69,0.27,0.25,19.79,0.02,0.02,14.9,2.01,0.1,0.12,4.89,0.07,0.15,0.07,0.2,0.94,0.05,1.19
28045,Colmenar Viejo,34.33,PP,34.33,22.82,0.13,0.06,18.39,0.02,0.06,13.59,2.81,0.04,0.11,3.78,0.02,0.11,0.11,0.21,1,0.11,0.98
28046,Collado Mediano,38.92,PP,38.92,21.15,0,0,18.75,0,0.03,11.76,1.33,0.1,0,4.73,0.13,0.19,0.06,0.19,0.94,0.03,0.81
28047,Collado Villalba,30.05,PP,30.05,24.05,0.06,0.11,21.09,0.02,0.1,13.32,2.55,0.1,0.1,4.23,0.12,0.12,0.08,0.3,1.35,0.18,1.03
28048,Corpa,31.52,PSOE,30.49,31.52,0.78,0,22.22,0,0,3.62,0.78,0,0,9.04,0,0,0,0,0.26,0.26,0.26
28049,Coslada,27.9,PSOE,23.64,27.9,0.49,0.03,24.14,0.04,0.05,11.44,2.17,0.08,0.06,5.99,0.03,0.11,0.22,0.17,1.58,0.18,0.45
28050,Cubas de la Sagra,39.81,PP,39.81,19.32,0.11,0.08,16.17,0.08,0.08,14.99,1.63,0.04,0.04,3.11,0.08,0.08,0,0.46,1.48,0.11,0.8
28051,Chapinería,38.91,PP,38.91,24.89,0.09,0,16.02,0,0,12.22,1.18,0,0,4.52,0,0.09,0.18,0.18,0.54,0.27,0.72
28052,Chinchón,48.6,PP,48.6,23.01,0.15,0.04,10.53,0.04,0,10.3,0.65,0.04,0.15,2.96,0.04,0.04,0.15,0.27,0.73,0,0.58
28053,Daganzo de Arriba,33.04,PP,33.04,21.88,0.37,0.15,19.24,0.11,0.07,15.7,1.99,0,0.04,4,0.11,0.09,0.04,0.22,0.79,0.02,0.68
28054,El Escorial,36.25,PP,36.25,21.86,0.04,0.19,17.94,0.06,0.04,12.39,1.85,0.08,0.03,3.92,0.01,0.04,0.08,0.17,1.12,0.07,2.41
28055,Estremera,47.32,PP,47.32,38.1,0.15,0,4.76,0,0,5.51,0.6,0,0.15,1.04,0,0.15,0,0.45,0.15,0,0.15
28056,Fresnedillas de la Oliva,39.94,PP,39.94,25.53,0.15,0.15,20.57,0,0.15,5.86,0.75,0,0,2.85,0.3,0.15,0,0,0.9,0,0.15
28057,Fresno de Torote,35.93,PP,35.93,20.26,1.22,0.28,19.14,0,0,12.57,1.31,0.66,0,3.47,0.09,0,0.47,0.28,1.69,0.19,1.03
28058,Fuenlabrada,32.9,PSOE,20.51,32.9,0.18,0.06,22.94,0.11,0.05,12.79,2.13,0.07,0.09,4.25,0.03,0.12,0.1,0.29,1.56,0.19,0.5
28059,Fuente el Saz de Jarama,38.53,PP,38.53,22.76,0.18,0.11,15.49,0,0.04,12.14,2.04,0.04,0.07,4.07,0.04,0.25,0.11,0.22,1.24,0.11,0.84
28060,Fuentidueña de Tajo,45.71,PSOE,21.13,45.71,0,0,12.29,0,0.08,4.88,0.59,0,0,12.71,0,0.17,0.08,0,0.84,0.08,0.17
28061,Galapagar,36.11,PP,36.11,20.68,0.08,0.23,17.73,0.03,0.09,14.29,2.06,0.09,0.1,4.09,0.03,0.08,0.11,0.26,1.13,0.13,1.53
28062,Garganta de los Montes,15.55,Podemos,14.29,9.24,0.42,0,15.55,0,0,13.87,1.26,0,0,2.1,0,0,0,0.42,0,0,0.84
28063,Gargantilla del Lozoya y Pinilla de Buitrago,41.31,PP,41.31,22.54,0,0,18.78,0,0,9.39,0.47,0,0,4.69,0,0,0,0.47,1.41,0,0
28064,Gascones,54.31,PP,54.31,19.83,0,0,12.07,0,0.86,7.76,0,0,0,4.31,0,0,0,0,0,0,0
28065,Getafe,29.99,PSOE,25.71,29.99,0.13,0.05,23.06,0.08,0.12,9.94,2.11,0.05,0.06,5.34,0.04,0.1,0.08,0.17,1.13,0.18,0.68
28066,Griñón,43.55,PP,43.55,16.91,0.09,0.02,13.87,0.09,0.04,15.77,1.94,0.07,0,2.69,0.02,0.09,0.11,0.33,1.23,0.09,1.92
28067,Guadalix de la Sierra,37.44,PP,37.44,28.91,0.07,0.03,14.46,0,0,11.32,0.99,0.03,0.17,2.69,0.03,0.1,0.03,0.2,1.19,0.1,1.13
28068,Guadarrama,37.65,PP,37.65,23.04,0.18,0.1,16.99,0.03,0.11,11.86,1.99,0.15,0.08,2.79,0.03,0.06,0.14,0.36,1.2,0.07,1.8
28069,La Hiruela,38.24,PP,38.24,29.41,0,0,23.53,0,0,5.88,0,0,0,0,0,0,0,0,0,2.94,0
28070,Horcajo de la Sierra-Aoslos,46.81,PP,46.81,14.89,0,0,21.28,0,0,10.64,0,0,1.06,2.13,0,0,0,0,0,0,1.06
28071,Horcajuelo de la Sierra,42.86,PP,42.86,26.53,0,0,8.16,0,0,8.16,0,0,0,2.04,0,0,0,2.04,0,0,2.04
28072,Hoyo de Manzanares,39.05,PP,39.05,20.06,0.05,0.05,15.96,0,0.05,14.06,1.98,0.13,0,3.44,0.08,0.03,0.05,0.34,1.04,0.05,2.37
28073,Humanes de Madrid,32.7,PP,32.7,23.07,0.26,0.02,19.68,0.13,0.09,13.05,2.5,0.09,0.09,4.08,0.08,0.22,0.18,0.23,1.3,0.16,0.45
28074,Leganés,29.69,PSOE,22.91,29.69,0.1,0.05,22.65,4.7,0.05,10.14,1.88,0.04,0.08,4.59,0.03,0.1,0.14,0.18,0.95,0.13,0.56
28075,Loeches,31.26,PP,31.26,25.98,0.69,0.03,18.47,0.03,0.05,13.02,1.83,0.05,0.33,3.68,0.03,0.23,0.1,0.46,2.28,0.1,0.36
28076,Lozoya,42.06,PP,42.06,31.18,0,0.29,12.06,0.29,0,6.76,0.59,0,0,4.41,0,0,0.29,0.29,0.59,0,0.29
28078,Madarcos,41.18,PP,41.18,14.71,0,0,35.29,0,0,5.88,0,0,0,0,0,2.94,0,0,0,0,0
28079,Madrid,35.11,PP,35.11,25.72,0.08,0.08,17.75,0.02,0.05,11.28,1.91,0.06,0.09,4.18,0.04,0.11,0.09,0.14,0.85,0.12,1.34
28080,Majadahonda,44.94,PP,44.94,16.86,0.06,0.11,10.66,0.01,0.03,17.88,1.95,0.06,0.07,2.27,0.04,0.05,0.03,0.17,0.82,0.1,2.71
28082,Manzanares el Real,32.17,PP,32.17,22.06,0.05,0.03,25.45,0.1,0.08,12.25,1.56,0.03,0.05,2.99,0,0.08,0.13,0.08,1.13,0.15,0.55
28083,Meco,30.66,PP,30.66,22.43,2.08,0.05,19.32,0,0.04,14.65,2.45,0.02,0.05,4.1,0.07,0.14,0.12,0.14,1.25,0.19,0.92
28084,Mejorada del Campo,28.21,PSOE,22.75,28.21,0.68,0.05,23.4,0.01,0.05,10.48,3.87,0.04,0.21,5.89,0.08,0.23,0.21,0.24,1.61,0.25,0.47
