cod_mun,municipio,por_ganador,partido_ganador,cs,pum_j,pcte,fe_de_las_jons,ph,pacma,x3e_en_accion,partido_autonomos,p_s_o_e,pp,pcoe_pcpe,volt,vox,p_lib,pole,mas_madrid,eb,udec,podemos_iu,recortes_cero_pcas_tc_gv_m
28001,La Acebeda,56.1,PP,2.44,0,0,0,0,0,0,0,17.07,56.1,0,0,2.44,0,0,7.32,0,0,14.63,0
28002,Ajalvir,49.4,PP,2.41,0,0.04,0.13,0.04,0.17,0.04,0.04,13.98,49.4,0,0,14.63,0.04,0,14.2,0.04,0.04,4.35,0
28003,Alameda del Valle,38.1,PP,4.17,0,0,0,0,0.6,0,0,17.86,38.1,0,0,9.52,0,0,21.43,0,0,6.55,0
28004,El Álamo,46.41,PP,1.96,0.02,0.06,0.02,0.06,0.27,0.04,0.06,17.36,46.41,0,0.04,15.38,0.02,0,11.43,0.04,0.02,6.34,0
28005,Alcalá de Henares,42.55,PP,3.58,0.06,0.05,0.04,0.04,0.54,0.08,0.05,19.95,42.55,0.03,0.04,9.71,0.02,0.01,15.51,0.07,0.03,7.01,0.03
28006,Alcobendas,49.64,PP,3.62,0.06,0.04,0.02,0.04,0.44,0.03,0.04,17.46,49.64,0.02,0.06,8.98,0.04,0.01,13.33,0.1,0.02,5.53,0.04
28007,Alcorcón,41.32,PP,3.21,0.07,0.05,0.02,0.01,0.52,0.05,0.06,20.2,41.32,0.02,0.04,8.1,0.01,0,17.57,0.07,0.03,8,0.04
28008,Aldea del Fresno,47.7,PP,1.24,0.07,0,0,0,0.48,0,0.21,16.15,47.7,0,0.21,13.81,0.14,0,11.62,0.27,0,7.97,0
28009,Algete,50.23,PP,3.23,0.04,0.04,0.04,0.04,0.55,0.03,0.05,14.51,50.23,0.03,0.06,11.69,0.01,0,13.72,0.12,0.02,5.02,0.04
28010,Alpedrete,48.52,PP,4.14,0.07,0.04,0.02,0.04,0.43,0.05,0.05,12.76,48.52,0.02,0.06,10.95,0,0.01,15.59,0.07,0.02,6.53,0.05
28011,Ambite,42.45,PP,3.14,0,0,0.31,0,0.31,0,0,15.09,42.45,0.31,0,17.3,0,0,11.64,0,0,8.81,0
28012,Anchuelo,50.27,PP,2.19,0,0,0,0,0.41,0,0,16.85,50.27,0,0,12.88,0,0,12.74,0,0,4.11,0.14
28013,Aranjuez,42.16,PP,2.92,0.05,0.04,0.05,0.01,0.56,0.03,0.03,19.5,42.16,0.03,0.04,12.02,0.01,0.02,14.43,0.04,0.02,7.32,0.06
28014,Arganda del Rey,46.63,PP,2.89,0.05,0.07,0.02,0.04,0.52,0.06,0.05,16.83,46.63,0.02,0.04,10.97,0.02,0,14.52,0.07,0.03,6.5,0.03
28015,Arroyomolinos,50.43,PP,3.89,0.05,0.07,0.01,0.02,0.5,0.05,0.06,12.34,50.43,0.02,0.06,12.13,0.02,0.01,14.66,0.06,0.03,5,0.01
28016,El Atazar,34.92,PSOE,0,0,0,1.59,0,0,0,0,34.92,28.57,0,0,9.52,1.59,0,12.7,0,0,11.11,0
28017,Batres,42.88,PP,2.98,0.09,0.09,0,0,1.4,0,0,11.91,42.88,0,0.19,14.23,0,0,15.81,0.28,0.09,9.67,0.09
28018,Becerril de la Sierra,49.24,PP,3.18,0.06,0,0,0,0.5,0.06,0.06,14.1,49.24,0.03,0.03,11.33,0.09,0,14.16,0,0.06,6.67,0.03
28019,Belmonte de Tajo,37.95,PP,3.21,0,0,0.31,0.1,0.72,0.21,0.41,24.92,37.95,0.1,0,10.55,0,0,14.68,0.1,0,6.2,0
28020,Berzosa del Lozoya,36.52,PP,2.61,0,0,0,0,0,0,0.87,19.13,36.52,0,0,4.35,0,0,22.61,0,0.87,12.17,0.87
28021,El Berrueco,40,PP,3.17,0.24,0.24,0.24,0,0.98,0,0.24,12.44,40,0,0,7.07,0,0,19.51,0.24,0,15.12,0
