cod_mun,municipio,ccaa,provincia,d_previo,pob,d_actual,variacion
44001,Ababuj,Aragón,Teruel,84.62,72,87.09,2.469999999999999
40001,Abades,Castilla y León,Segovia,82.82,839,83.04,0.22000000000001307
10001,Abadía,Extremadura,Cáceres,87.37,340,88.13,0.7599999999999909
27001,Abadín,Galicia,Lugo,62.05,2259,73.5,11.450000000000003
48001,Abadiño,País Vasco,Vizcaya/Bizkaia,70.38,7708,65.15,-5.22999999999999
31001,Abáigar,Navarra,Navarra,70,80,76.38,6.3799999999999955
09001,Abajas,Castilla y León,Burgos,96.97,29,92.59,-4.3799999999999955
26001,Ábalos,La Rioja,La Rioja,75.5,260,84.49,8.989999999999995
20001,Abaltzisketa,País Vasco,Guipúzcoa/Gipuzkoa,69.96,309,59.6,-10.359999999999992
19001,Abánades,Castilla-La Mancha,Guadalajara,92.86,61,83.01,-9.849999999999994
30001,Abanilla,Murcia,Murcia,76.29,6146,77.48,1.1899999999999977
50001,Abanto,Aragón,Zaragoza,81.61,89,75.94,-5.670000000000002
48002,Abanto y Ciérvana-Abanto Zierbena,País Vasco,Vizcaya/Bizkaia,69.96,9369,61.28,-8.679999999999993
30002,Abarán,Murcia,Murcia,67.68,12992,69.04,1.3599999999999994
34001,Abarca de Campos,Castilla y León,Palencia,82.05,43,77.77,-4.280000000000001
31002,Abárzuza/Abartzuza,Navarra,Navarra,59.16,527,61.33,2.1700000000000017
31003,Abaurregaina/Abaurrea Alta,Navarra,Navarra,79.49,120,74.52,-4.969999999999999
31004,Abaurrepea/Abaurrea Baja,Navarra,Navarra,93.75,31,76.66,-17.090000000000003
15001,Abegondo,Galicia,A Coruña,71.77,5534,71.73,-0.03999999999999204
42001,Abejar,Castilla y León,Soria,83.02,273,77.17,-5.849999999999994
44002,Abejuela,Aragón,Teruel,84.78,56,87.03,2.25
25001,Abella de la Conca,Cataluña,Lleida,83.56,167,73.64,-9.920000000000002
02001,Abengibre,Castilla-La Mancha,Albacete,86.55,739,89.43,2.8800000000000097
13001,Abenójar,Castilla-La Mancha,Ciudad Real,87.93,1314,90.55,2.6199999999999903
31005,Aberin,Navarra,Navarra,0,371,52.02,52.02
10002,Abertura,Extremadura,Cáceres,88.4,388,93.12,4.719999999999999
49002,Abezames,Castilla y León,Zamora,100,65,79.31,-20.689999999999998
16001,Abia de la Obispalía,Castilla-La Mancha,Cuenca,81.54,60,87.5,5.959999999999994
34003,Abia de las Torres,Castilla y León,Palencia,71.52,169,68.91,-2.6099999999999994
22001,Abiego,Aragón,Huesca,83.26,278,83.55,0.28999999999999204
22002,Abizanda,Aragón,Huesca,87.61,151,85.48,-2.1299999999999955
04001,Abla,Andalucía,Almería,79.79,1247,78.81,-0.980000000000004
19002,Ablanque,Castilla-La Mancha,Guadalajara,91.23,63,97.05,5.819999999999993
31006,Ablitas,Navarra,Navarra,79.22,2557,82.07,2.8499999999999943
08001,Abrera,Cataluña,Barcelona,64.4,12697,54.83,-9.570000000000007
04002,Abrucena,Andalucía,Almería,85.34,1221,79.01,-6.329999999999998
37001,Abusejo,Castilla y León,Salamanca,86.05,161,60.43,-25.619999999999997
28001,La Acebeda,Madrid,Madrid,92.21,62,85.93,-6.279999999999987
24001,Acebedo,Castilla y León,León,76.79,185,72.15,-4.640000000000001
10003,Acebo,Extremadura,Cáceres,81.12,542,88.24,7.11999999999999
16002,El Acebrón,Castilla-La Mancha,Cuenca,86.83,231,87.02,0.18999999999999773
06001,Acedera,Extremadura,Badajoz,87.93,816,88.33,0.3999999999999915
10004,Acehúche,Extremadura,Cáceres,82.46,816,80.98,-1.4799999999999898
10005,Aceituna,Extremadura,Cáceres,85.5,588,80.67,-4.829999999999998
50002,Acered,Aragón,Zaragoza,79.7,138,80.83,1.1299999999999955
06002,Aceuchal,Extremadura,Badajoz,72.12,5456,73.8,1.6799999999999926
22003,Adahuesca,Aragón,Huesca,92.03,204,82.69,-9.340000000000003
47001,Adalia,Castilla y León,Valladolid,92.45,54,78.43,-14.019999999999996
14001,Adamuz,Andalucía,Córdoba,84.35,4125,84.12,-0.22999999999998977
05001,Adanero,Castilla y León,Ávila,91.06,214,88.1,-2.960000000000008
38001,Adeje,Canarias,Santa Cruz de Tenerife,40.69,49270,41.4,0.7100000000000009
46001,Ademuz,Comunidad Valenciana,Valencia/València,81.95,1000,82.71,0.7599999999999909
31007,Adiós,Navarra,Navarra,76.98,165,90.58,13.599999999999994
19003,Adobes,Castilla-La Mancha,Guadalajara,86.67,28,86.2,-0.46999999999999886
46002,Ador,Comunidad Valenciana,Valencia/València,74.13,1706,75.63,1.5
04003,Adra,Andalucía,Almería,61.28,25300,57.37,-3.9100000000000037
09003,Adrada de Haza,Castilla y León,Burgos,76.76,199,64.36,-12.400000000000006
40002,Adrada de Pirón,Castilla y León,Segovia,88.24,38,85.29,-2.9499999999999886
05002,La Adrada,Castilla y León,Ávila,76.98,2750,73.53,-3.450000000000003
42003,Adradas,Castilla y León,Soria,86.96,60,90.62,3.660000000000011
40003,Adrados,Castilla y León,Segovia,75,120,78.63,3.6299999999999955
03001,L'Atzúbia,Comunidad Valenciana,Alicante/Alacant,71.37,616,73.8,2.4299999999999926
20002,Aduna,País Vasco,Guipúzcoa/Gipuzkoa,73.03,486,79.72,6.689999999999998
35001,Agaete,Canarias,Las Palmas,81.38,5633,77.9,-3.4799999999999898
37002,Agallas,Castilla y León,Salamanca,77.69,131,71.96,-5.730000000000004
25002,Àger,Cataluña,Lleida,83.67,580,82.94,-0.730000000000004
36020,Agolada,Galicia,Pontevedra,82.92,2252,86.74,3.819999999999993
50003,Agón,Aragón,Zaragoza,88.71,139,75.6,-13.11
26002,Agoncillo,La Rioja,La Rioja,78.38,1175,77.45,-0.9299999999999926
03002,Agost,Comunidad Valenciana,Alicante/Alacant,73.06,4948,72.97,-0.09000000000000341
25003,Agramunt,Cataluña,Lleida,66.11,5479,55.93,-10.18
42004,Ágreda,Castilla y León,Soria,78.82,2983,74.84,-3.9799999999999898
03003,Agres,Comunidad Valenciana,Alicante/Alacant,83.76,589,90.04,6.280000000000001
18001,Agrón,Andalucía,Granada,70.95,247,79.9,8.950000000000003
41001,Aguadulce,Andalucía,Sevilla,79.41,2043,73.67,-5.739999999999995
50004,Aguarón,Aragón,Zaragoza,85.94,610,86.26,0.3200000000000074
09006,Aguas Cándidas,Castilla y León,Burgos,59.32,62,65.45,6.130000000000003
47002,Aguasal,Castilla y León,Valladolid,100,19,100,0
44003,Aguatón,Aragón,Teruel,88.24,16,80,-8.239999999999995
44004,Aguaviva,Aragón,Teruel,79.65,556,81.67,2.019999999999996
13002,Agudo,Castilla-La Mancha,Ciudad Real,81.21,1615,81.91,0.7000000000000028
22004,Agüero,Aragón,Huesca,72.36,145,83.06,10.700000000000003
40004,Aguilafuente,Castilla y León,Segovia,84.4,564,82.75,-1.6500000000000057
09007,Aguilar de Bureba,Castilla y León,Burgos,67.27,51,66,-1.269999999999996
34004,Aguilar de Campoo,Castilla y León,Palencia,73.41,6646,67.95,-5.459999999999994
47003,Aguilar de Campos,Castilla y León,Valladolid,86.27,276,78.37,-7.8999999999999915
31008,Aguilar de Codés,Navarra,Navarra,79.69,76,77.61,-2.0799999999999983
14002,Aguilar de la Frontera,Andalucía,Córdoba,70.97,13318,65.58,-5.390000000000001
08002,Aguilar de Segarra,Cataluña,Barcelona,86.43,287,64.31,-22.120000000000005
44005,Aguilar del Alfambra,Aragón,Teruel,90.91,81,85.96,-4.950000000000003
26003,Aguilar del Río Alhama,La Rioja,La Rioja,85.75,442,86.2,0.45000000000000284
30003,Águilas,Murcia,Murcia,60.68,36403,63.66,2.979999999999997
50005,Aguilón,Aragón,Zaragoza,90,244,93.3,3.299999999999997
35002,Agüimes,Canarias,Las Palmas,58.62,32067,57.67,-0.9499999999999957
17001,Agullana,Cataluña,Girona,78.33,903,72.69,-5.640000000000001
