year,mes,fecha,cod_ine,nom_mun,nom_prov,poblacion,ganador,nombre,partido,ganador_por,cod_cand,color,cod_dw_natcode,ganador_bloque,ganador_por_bloque,color_bloque
1996,03,1996-03-03,01001,Alegría-Dulantzi,Araba/Álava,1037,EAJ-PNV,EAJ-PNV,PNV,31.97,000022,#318731,34160101001,Otros,50.75757575757576,#BDC3C7
1996,03,1996-03-03,01002,Amurrio,Araba/Álava,9890,EAJ-PNV,EAJ-PNV,PNV,26.8,000022,#318731,34160101002,Otros,54.267473118279575,#BDC3C7
1996,03,1996-03-03,01003,Aramaio,Araba/Álava,1314,EAJ-PNV,EAJ-PNV,PNV,34.22,000022,#318731,34160101003,Otros,90.83969465648856,#BDC3C7
1996,03,1996-03-03,01004,Artziniega,Araba/Álava,1302,EAJ-PNV,EAJ-PNV,PNV,35.64,000022,#318731,34160101004,Otros,52.44338498212158,#BDC3C7
1996,03,1996-03-03,01006,Armiñón,Araba/Álava,131,PP,PP,PP,47.47,000091,#009ade,34160101006,Derecha,47.474747474747474,#15607a
1996,03,1996-03-03,01008,Arratzua-Ubarrundia,Araba/Álava,688,EAJ-PNV,EAJ-PNV,PNV,33.49,000022,#318731,34160101008,Otros,45.28301886792453,#BDC3C7
1996,03,1996-03-03,01009,Asparrena,Araba/Álava,1528,EAJ-PNV,EAJ-PNV,PNV,30.44,000022,#318731,34160101009,Otros,59.37161430119177,#BDC3C7
1996,03,1996-03-03,01010,Ayala/Aiara,Araba/Álava,2082,EAJ-PNV,EAJ-PNV,PNV,39.45,000022,#318731,34160101010,Otros,61.386138613861384,#BDC3C7
1996,03,1996-03-03,01011,Baños de Ebro/Mañueta,Araba/Álava,336,EAJ-PNV,EAJ-PNV,PNV,46.4,000022,#318731,34160101011,Otros,47.74774774774775,#BDC3C7
1996,03,1996-03-03,01013,Barrundia,Araba/Álava,569,EAJ-PNV,EAJ-PNV,PNV,40.07,000022,#318731,34160101013,Otros,59.56678700361011,#BDC3C7
1996,03,1996-03-03,01014,Berantevilla,Araba/Álava,416,EAJ-PNV,EAJ-PNV,PNV,41.13,000022,#318731,34160101014,Otros,43.97163120567376,#BDC3C7
1996,03,1996-03-03,01016,Bernedo,Araba/Álava,542,EAJ-PNV,EAJ-PNV,PNV,39.62,000022,#318731,34160101016,Otros,44.9685534591195,#BDC3C7
1996,03,1996-03-03,01017,Campezo/Kanpezu,Araba/Álava,1142,EAJ-PNV,EAJ-PNV,PNV,35.5,000022,#318731,34160101017,Otros,48.656294200848656,#BDC3C7
1996,03,1996-03-03,01018,Zigoitia,Araba/Álava,915,EAJ-PNV,EAJ-PNV,PNV,32.81,000022,#318731,34160101018,Otros,65.96858638743456,#BDC3C7
1996,03,1996-03-03,01019,Kripan,Araba/Álava,198,EAJ-PNV,EAJ-PNV,PNV,67.38,000022,#318731,34160101019,Otros,73.75886524822694,#BDC3C7
1996,03,1996-03-03,01020,Kuartango,Araba/Álava,358,EAJ-PNV,EAJ-PNV,PNV,50.93,000022,#318731,34160101020,Otros,70.56074766355141,#BDC3C7
1996,03,1996-03-03,01021,Elburgo/Burgelu,Araba/Álava,210,EAJ-PNV,EAJ-PNV,PNV,42.02,000022,#318731,34160101021,Otros,54.62184873949579,#BDC3C7
1996,03,1996-03-03,01022,Elciego,Araba/Álava,941,PSE-EE,PSE-EE,PSOE,36.71,000105,#da1f35,34160101022,Izquierda,43.01075268817204,#c71e1d
1996,03,1996-03-03,01023,Elvillar/Bilar,Araba/Álava,359,EAJ-PNV,EAJ-PNV,PNV,42.92,000022,#318731,34160101023,Otros,47.083333333333336,#BDC3C7
1996,03,1996-03-03,01027,Iruraiz-Gauna,Araba/Álava,422,EAJ-PNV,EAJ-PNV,PNV,37.02,000022,#318731,34160101027,Otros,51.06382978723404,#BDC3C7
1996,03,1996-03-03,01028,Labastida/Bastida,Araba/Álava,1026,PP,PP,PP,40.24,000091,#009ade,34160101028,Derecha,40.2439024390244,#15607a
1996,03,1996-03-03,01030,Lagrán,Araba/Álava,193,PP,PP,PP,44.27,000091,#009ade,34160101030,Derecha,44.274809160305345,#15607a
1996,03,1996-03-03,01031,Laguardia,Araba/Álava,1455,PP,PP,PP,42.08,000091,#009ade,34160101031,Derecha,42.08289054197662,#15607a
1996,03,1996-03-03,01032,Lanciego/Lantziego,Araba/Álava,635,EAJ-PNV,EAJ-PNV,PNV,35.8,000022,#318731,34160101032,Otros,38.42482100238664,#BDC3C7
1996,03,1996-03-03,01033,Lapuebla de Labarca,Araba/Álava,833,EAJ-PNV,EAJ-PNV,PNV,45.83,000022,#318731,34160101033,Otros,53.5,#BDC3C7
1996,03,1996-03-03,01034,Leza,Araba/Álava,200,EAJ-PNV,EAJ-PNV,PNV,29.51,000022,#318731,34160101034,Otros,53.278688524590166,#BDC3C7
1996,03,1996-03-03,01036,Laudio/Llodio,Araba/Álava,20303,PSE-EE,PSE-EE,PSOE,26.77,000105,#da1f35,34160101036,Otros,45.04235176880917,#BDC3C7
1996,03,1996-03-03,01037,Arraia-Maeztu,Araba/Álava,709,EAJ-PNV,EAJ-PNV,PNV,36.67,000022,#318731,34160101037,Otros,47.18826405867971,#BDC3C7
1996,03,1996-03-03,01039,Moreda de Álava/Moreda Araba,Araba/Álava,289,PP,PP,PP,32.84,000091,#009ade,34160101039,Izquierda,36.27450980392157,#c71e1d
