ganador,partido,color
PODEMOS/AHAL DUGU-IU-EQUO,Unidas Podemos,#b865c1
EH Bildu,EH Bildu,#22b194
EAJ-PNV,PNV,#318731
PP,PP,#009ade
PSOE,PSOE,#da1f35
PODEMOS-IU-EQUO,Unidas Podemos,#b865c1
PODEMOS-COM,Compromís-Podemos-EUPV,#b865c1
Cs,Cs,#da5b1f
PODEMOS-EUI,Unidas Podemos,#b865c1
ECP,En Comú Podem,#b865c1
ERC-CATSÍ,ERC,#e5ab4b
CDC,CDC,#1C3687
PSC-PSOE,PSOE,#da1f35
PODEMOS-IU,Unidas Podemos,#b865c1
PSdeG-PSOE,PSOE,#da1f35
PCOE,PCOE,#DC2A0B
PP-PAR,PP,#009ade
PODEMOS-IU-EQUO-CLIAS,Unidas Podemos,#b865c1
PODEMOS-IU-EQUO-BATZARRE,Unidas Podemos,#b865c1
UPN-PP,PP,#009ade
GBai,GBai,#b74444
PP-FORO,PP,#009ade
PSOE-NCa,PSOE,#da1f35
PODEMOS-EN MAREA-ANOVA-EU,En Marea,#b865c1
PODEMOS-IU-EQUO-IZCA,Unidas Podemos,#b865c1
Empate PP / PSOE,EMPATE,#3E3E3C
Empate CDC / ERC-CATSÍ,EMPATE,#3E3E3C
Empate Cs / PP,EMPATE,#3E3E3C
Empate PODEMOS-IU-EQUO / PSOE,EMPATE,#3E3E3C
Empate PODEMOS-IU / PP-PAR,EMPATE,#3E3E3C
Empate PP-PAR / PSOE,EMPATE,#3E3E3C
Empate PSOE / UPN-PP,EMPATE,#3E3E3C
Empate PODEMOS-IU-EQUO-BATZARRE / UPN-PP,EMPATE,#3E3E3C
Empate PODEMOS-IU-EQUO / PP,EMPATE,#3E3E3C
Empate Cs / PP-PAR,EMPATE,#3E3E3C
Empate PODEMOS-COM / PP,EMPATE,#3E3E3C
Empate PP / PSOE / Vox,EMPATE,#3E3E3C
