ganador,color
EAJ-PNV,#318731
EH Bildu,#22b194
PODEMOS IU,#b865c1
PSE-EE (PSOE),#da1f35
PP,#009ade
PSOE,#da1f36
CompromÃ­s,#b865c1
Cs,#da5b1f
Vox,#69a93b
PODEMOS-IU,#b865c1
VP,#B5B5B5
PSC-PSOE,#da1f35
ERC,#e5ab4b
JxCAT-JUNTS,#00c4b2
PODEMOS-EUP,#b865c1
PSdeG-PSOE,#da1f35
NA+,#0255B4
GBai,#b74444
PP-FORO,#009ade
NCa,#5ac24d
CC,#5ebcc3
PCTE,#bc0415
PRC,#b4c026
PPSO,#A29A95
Empate PP / PSOE,#3E3E3C
Empate PP / Vox,#3E3E3C
Empate Cs / Vox,#3E3E3C
Empate Cs / PP,#3E3E3C
Empate ERC / JxCAT-JUNTS,#3E3E3C
Empate Cs / PSOE,#3E3E3C
Empate Cs / PODEMOS-IU,#3E3E3C
Empate PODEMOS-IU / PP,#3E3E3C
Empate PODEMOS-IU / PSOE,#3E3E3C
Empate PSOE / Vox,#3E3E3C
Empate EAJ-PNV / EH Bildu,#3E3E3C
Empate ERC / PP,#3E3E3C
Empate EH Bildu / PODEMOS-IU,#3E3E3C
Empate NA+ / PSOE,#3E3E3C
Empate EH Bildu / NA+,#3E3E3C
Empate GBai / PSOE,#3E3E3C
Empate EH Bildu / GBai,#3E3E3C
Empate PP / PSdeG-PSOE,#3E3E3C
Empate PP-FORO / PSOE,#3E3E3C
Empate PP / PRC,#3E3E3C
Empate Cs / PODEMOS-IU / PP / PSOE,#3E3E3C
Empate PACMA / PP / PSOE / Vox,#3E3E3C
