year,mes,cod_ine,nom_mun,nom_prov,fecha,poblacion,ganador,nombre,ganador_por,cod_cand,color,cod_dw_natcode
2019,11,01001,Alegría-Dulantzi,Araba/Álava,2019-11-10,2887,EAJ-PNV,Partido Nacionalista Vasco,"27,77",000022,#318731,34160101001
2019,11,01002,Amurrio,Araba/Álava,2019-11-10,10286,EAJ-PNV,Partido Nacionalista Vasco,"34,46",000022,#318731,34160101002
2019,11,01003,Aramaio,Araba/Álava,2019-11-10,1483,EH Bildu,EH Bildu,"55,08",000029,#22b194,34160101003
2019,11,01004,Artziniega,Araba/Álava,2019-11-10,1831,EAJ-PNV,Partido Nacionalista Vasco,"33,02",000022,#318731,34160101004
2019,11,01006,Armiñón,Araba/Álava,2019-11-10,219,PODEMOS-IU,Unidas Podemos,"22,95",000077,#b865c1,34160101006
2019,11,01008,Arratzua-Ubarrundia,Araba/Álava,2019-11-10,982,EAJ-PNV,Partido Nacionalista Vasco,"32,09",000022,#318731,34160101008
2019,11,01009,Asparrena,Araba/Álava,2019-11-10,1643,EH Bildu,EH Bildu,"39,86",000029,#22b194,34160101009
2019,11,01010,Ayala/Aiara,Araba/Álava,2019-11-10,2967,EAJ-PNV,Partido Nacionalista Vasco,"43,13",000022,#318731,34160101010
2019,11,01011,Baños de Ebro/Mañueta,Araba/Álava,2019-11-10,286,EAJ-PNV,Partido Nacionalista Vasco,"33,75",000022,#318731,34160101011
2019,11,01013,Barrundia,Araba/Álava,2019-11-10,883,EH Bildu,EH Bildu,"39,14",000029,#22b194,34160101013
2019,11,01014,Berantevilla,Araba/Álava,2019-11-10,443,EAJ-PNV,Partido Nacionalista Vasco,"34,96",000022,#318731,34160101014
2019,11,01016,Bernedo,Araba/Álava,2019-11-10,511,EAJ-PNV,Partido Nacionalista Vasco,"37,5",000022,#318731,34160101016
2019,11,01017,Campezo/Kanpezu,Araba/Álava,2019-11-10,1040,EAJ-PNV,Partido Nacionalista Vasco,"33,27",000022,#318731,34160101017
2019,11,01018,Zigoitia,Araba/Álava,2019-11-10,1753,EH Bildu,EH Bildu,"30,73",000029,#22b194,34160101018
2019,11,01019,Kripan,Araba/Álava,2019-11-10,181,EAJ-PNV,Partido Nacionalista Vasco,"63,39",000022,#318731,34160101019
2019,11,01020,Kuartango,Araba/Álava,2019-11-10,381,EAJ-PNV,Partido Nacionalista Vasco,"37,05",000022,#318731,34160101020
2019,11,01021,Elburgo/Burgelu,Araba/Álava,2019-11-10,603,EAJ-PNV,Partido Nacionalista Vasco,"36,99",000022,#318731,34160101021
2019,11,01022,Elciego,Araba/Álava,2019-11-10,1025,PSE-EE,PSE-EE,"28,11",000092,#da1f35,34160101022
2019,11,01023,Elvillar/Bilar,Araba/Álava,2019-11-10,348,EAJ-PNV,Partido Nacionalista Vasco,"31,58",000022,#318731,34160101023
2019,11,01027,Iruraiz-Gauna,Araba/Álava,2019-11-10,517,EAJ-PNV,Partido Nacionalista Vasco,"32,47",000022,#318731,34160101027
2019,11,01028,Labastida/Bastida,Araba/Álava,2019-11-10,1445,PP,Partido Popular,"25,69",000083,#009ade,34160101028
2019,11,01030,Lagrán,Araba/Álava,2019-11-10,158,EAJ-PNV,Partido Nacionalista Vasco,"32,35",000022,#318731,34160101030
2019,11,01031,Laguardia,Araba/Álava,2019-11-10,1505,EAJ-PNV,Partido Nacionalista Vasco,"26,39",000022,#318731,34160101031
2019,11,01032,Lanciego/Lantziego,Araba/Álava,2019-11-10,667,EAJ-PNV,Partido Nacionalista Vasco,"33,43",000022,#318731,34160101032
