year,mes,cod_ine,mun,provincia,poblacion,partido_ganador,ganador_por,color,cod_dw_natcode
2019,4,01001,Alegría-Dulantzi,Araba/Álava,2887,EAJ-PNV,"27,77",#318731,34160101001
2019,4,01002,Amurrio,Araba/Álava,10286,EAJ-PNV,"34,88",#318731,34160101002
2019,4,01003,Aramaio,Araba/Álava,1483,EH Bildu,"50,83",#22b194,34160101003
2019,4,01004,Artziniega,Araba/Álava,1831,EAJ-PNV,"35,97",#318731,34160101004
2019,4,01006,Armiñón,Araba/Álava,219,PODEMOS IU,"21,26",#b865c1,34160101006
2019,4,01008,Arratzua-Ubarrundia,Araba/Álava,982,EAJ-PNV,"28,77",#318731,34160101008
2019,4,01009,Asparrena,Araba/Álava,1643,EH Bildu,"35,56",#22b194,34160101009
2019,4,01010,Ayala/Aiara,Araba/Álava,2967,EAJ-PNV,"41,86",#318731,34160101010
2019,4,01011,Baños de Ebro/Mañueta,Araba/Álava,286,EAJ-PNV,"36,57",#318731,34160101011
2019,4,01013,Barrundia,Araba/Álava,883,EH Bildu,"33,06",#22b194,34160101013
2019,4,01014,Berantevilla,Araba/Álava,443,EAJ-PNV,"30,69",#318731,34160101014
2019,4,01016,Bernedo,Araba/Álava,511,EAJ-PNV,"33,62",#318731,34160101016
2019,4,01017,Campezo/Kanpezu,Araba/Álava,1040,EAJ-PNV,"35,19",#318731,34160101017
2019,4,01018,Zigoitia,Araba/Álava,1753,EH Bildu,"27,59",#22b194,34160101018
2019,4,01019,Kripan,Araba/Álava,181,EAJ-PNV,"61,98",#318731,34160101019
2019,4,01020,Kuartango,Araba/Álava,381,EAJ-PNV,"34,45",#318731,34160101020
2019,4,01021,Elburgo/Burgelu,Araba/Álava,603,EAJ-PNV,"33,64",#318731,34160101021
2019,4,01022,Elciego,Araba/Álava,1025,PSE-EE,"27,07",#da1f35,34160101022
2019,4,01023,Elvillar/Bilar,Araba/Álava,348,EAJ-PNV,"32,52",#318731,34160101023
2019,4,01027,Iruraiz-Gauna,Araba/Álava,517,EAJ-PNV,"37,88",#318731,34160101027
2019,4,01028,Labastida/Bastida,Araba/Álava,1445,EAJ-PNV,"21,63",#318731,34160101028
2019,4,01030,Lagrán,Araba/Álava,158,EAJ-PNV,"33,33",#318731,34160101030
2019,4,01031,Laguardia,Araba/Álava,1505,PP,"24,14",#009ade,34160101031
2019,4,01032,Lanciego/Lantziego,Araba/Álava,667,EAJ-PNV,"32,04",#318731,34160101032
2019,4,01033,Lapuebla de Labarca,Araba/Álava,857,EAJ-PNV,"41,52",#318731,34160101033
2019,4,01034,Leza,Araba/Álava,196,EAJ-PNV,"45,05",#318731,34160101034
2019,4,01036,Laudio/Llodio,Araba/Álava,18205,EAJ-PNV,"30,02",#318731,34160101036
2019,4,01037,Arraia-Maeztu,Araba/Álava,717,EAJ-PNV,"38,35",#318731,34160101037
2019,4,01039,Moreda de Álava/Moreda Araba,Araba/Álava,229,EAJ-PNV,"28,76",#318731,34160101039
2019,4,01041,Navaridas,Araba/Álava,209,PP,"32,04",#009ade,34160101041
2019,4,01042,Okondo,Araba/Álava,1162,EAJ-PNV,"44,38",#318731,34160101042
2019,4,01043,Oyón-Oion,Araba/Álava,3368,PSE-EE,"25,97",#da1f35,34160101043
2019,4,01044,Peñacerrada-Urizaharra,Araba/Álava,257,EAJ-PNV,"27,71",#318731,34160101044
2019,4,01046,Erriberagoitia/Ribera Alta,Araba/Álava,780,EAJ-PNV,"34,49",#318731,34160101046
