year,mes,fecha,cod_mun,mun,provincia,poblacion,partido_ganador,d_actual,color,cod_dw_natcode
2019,4,2019-04-28,1001,Alegría-Dulantzi,Araba/Álava,2887,EAJ-PNV,27.77,#318731,34160101001
2019,4,2019-04-28,1002,Amurrio,Araba/Álava,10286,EAJ-PNV,34.88,#318731,34160101002
2019,4,2019-04-28,1003,Aramaio,Araba/Álava,1483,EH Bildu,50.83,#22b194,34160101003
2019,4,2019-04-28,1004,Artziniega,Araba/Álava,1831,EAJ-PNV,35.97,#318731,34160101004
2019,4,2019-04-28,1006,Armiñón,Araba/Álava,219,PODEMOS IU,21.26,#b865c1,34160101006
2019,4,2019-04-28,1008,Arratzua-Ubarrundia,Araba/Álava,982,EAJ-PNV,28.77,#318731,34160101008
2019,4,2019-04-28,1009,Asparrena,Araba/Álava,1643,EH Bildu,35.56,#22b194,34160101009
2019,4,2019-04-28,1010,Ayala/Aiara,Araba/Álava,2967,EAJ-PNV,41.86,#318731,34160101010
2019,4,2019-04-28,1011,Baños de Ebro/Mañueta,Araba/Álava,286,EAJ-PNV,36.57,#318731,34160101011
2019,4,2019-04-28,1013,Barrundia,Araba/Álava,883,EH Bildu,33.06,#22b194,34160101013
2019,4,2019-04-28,1014,Berantevilla,Araba/Álava,443,EAJ-PNV,30.69,#318731,34160101014
2019,4,2019-04-28,1016,Bernedo,Araba/Álava,511,EAJ-PNV,33.62,#318731,34160101016
2019,4,2019-04-28,1017,Campezo/Kanpezu,Araba/Álava,1040,EAJ-PNV,35.19,#318731,34160101017
2019,4,2019-04-28,1018,Zigoitia,Araba/Álava,1753,EH Bildu,27.59,#22b194,34160101018
2019,4,2019-04-28,1019,Kripan,Araba/Álava,181,EAJ-PNV,61.98,#318731,34160101019
2019,4,2019-04-28,1020,Kuartango,Araba/Álava,381,EAJ-PNV,34.45,#318731,34160101020
2019,4,2019-04-28,1021,Elburgo/Burgelu,Araba/Álava,603,EAJ-PNV,33.64,#318731,34160101021
2019,4,2019-04-28,1022,Elciego,Araba/Álava,1025,PSE-EE,27.07,#da1f35,34160101022
2019,4,2019-04-28,1023,Elvillar/Bilar,Araba/Álava,348,EAJ-PNV,32.52,#318731,34160101023
2019,4,2019-04-28,1027,Iruraiz-Gauna,Araba/Álava,517,EAJ-PNV,37.88,#318731,34160101027
2019,4,2019-04-28,1028,Labastida/Bastida,Araba/Álava,1445,EAJ-PNV,21.63,#318731,34160101028
2019,4,2019-04-28,1030,Lagrán,Araba/Álava,158,EAJ-PNV,33.33,#318731,34160101030
2019,4,2019-04-28,1031,Laguardia,Araba/Álava,1505,PP,24.14,#009ade,34160101031
2019,4,2019-04-28,1032,Lanciego/Lantziego,Araba/Álava,667,EAJ-PNV,32.04,#318731,34160101032
2019,4,2019-04-28,1033,Lapuebla de Labarca,Araba/Álava,857,EAJ-PNV,41.52,#318731,34160101033
2019,4,2019-04-28,1034,Leza,Araba/Álava,196,EAJ-PNV,45.05,#318731,34160101034
2019,4,2019-04-28,1036,Laudio/Llodio,Araba/Álava,18205,EAJ-PNV,30.02,#318731,34160101036
2019,4,2019-04-28,1037,Arraia-Maeztu,Araba/Álava,717,EAJ-PNV,38.35,#318731,34160101037
2019,4,2019-04-28,1039,Moreda de Álava/Moreda Araba,Araba/Álava,229,EAJ-PNV,28.76,#318731,34160101039
2019,4,2019-04-28,1041,Navaridas,Araba/Álava,209,PP,32.04,#009ade,34160101041
2019,4,2019-04-28,1042,Okondo,Araba/Álava,1162,EAJ-PNV,44.38,#318731,34160101042
2019,4,2019-04-28,1043,Oyón-Oion,Araba/Álava,3368,PSE-EE,25.97,#da1f35,34160101043
2019,4,2019-04-28,1044,Peñacerrada-Urizaharra,Araba/Álava,257,EAJ-PNV,27.71,#318731,34160101044
2019,4,2019-04-28,1046,Erriberagoitia/Ribera Alta,Araba/Álava,780,EAJ-PNV,34.49,#318731,34160101046
2019,4,2019-04-28,1047,Erriberabeitia/Ribera Baja,Araba/Álava,1374,PSE-EE,22.29,#da1f35,34160101047
2019,4,2019-04-28,1049,Añana,Araba/Álava,151,EAJ-PNV,46.00,#318731,34160101049
2019,4,2019-04-28,1051,Agurain/Salvatierra,Araba/Álava,5018,EAJ-PNV,29.96,#318731,34160101051
2019,4,2019-04-28,1052,Samaniego,Araba/Álava,319,EAJ-PNV,35.29,#318731,34160101052
2019,4,2019-04-28,1053,San Millán/Donemiliaga,Araba/Álava,709,EAJ-PNV,32.71,#318731,34160101053
2019,4,2019-04-28,1054,Urkabustaiz,Araba/Álava,1336,EH Bildu,35.81,#22b194,34160101054
2019,4,2019-04-28,1055,Valdegovía/Gaubea,Araba/Álava,991,EAJ-PNV,32.23,#318731,34160101055
2019,4,2019-04-28,1056,Harana/Valle de Arana,Araba/Álava,229,EAJ-PNV,53.73,#318731,34160101056
2019,4,2019-04-28,1057,Villabuena de Álava/Eskuernaga,Araba/Álava,299,EAJ-PNV,42.21,#318731,34160101057
2019,4,2019-04-28,1058,Legutio,Araba/Álava,1869,EH Bildu,33.54,#22b194,34160101058
2019,4,2019-04-28,1059,Vitoria-Gasteiz,Araba/Álava,249176,PSE-EE,24.25,#da1f35,34160101059
2019,4,2019-04-28,1060,Yécora/Iekora,Araba/Álava,269,EAJ-PNV,31.33,#318731,34160101060
2019,4,2019-04-28,1061,Zalduondo,Araba/Álava,186,EH Bildu,38.76,#22b194,34160101061
2019,4,2019-04-28,1062,Zambrana,Araba/Álava,400,EAJ-PNV,21.83,#318731,34160101062
2019,4,2019-04-28,1063,Zuia,Araba/Álava,2313,EAJ-PNV,31.04,#318731,34160101063
2019,4,2019-04-28,1901,Iruña Oka/Iruña de Oca,Araba/Álava,3333,PSE-EE,22.56,#da1f35,34160101901
2019,4,2019-04-28,1902,Lantarón,Araba/Álava,872,EAJ-PNV,25.5,#318731,34160101902
2019,4,2019-04-28,2001,Abengibre,Albacete,757,PSOE,35.96,#da1f36,34080202001
2019,4,2019-04-28,2002,Alatoz,Albacete,529,PSOE,37.22,#da1f36,34080202002
2019,4,2019-04-28,2003,Albacete,Albacete,173050,PSOE,27.59,#da1f36,34080202003
2019,4,2019-04-28,2004,Albatana,Albacete,693,PSOE,40.88,#da1f36,34080202004
2019,4,2019-04-28,2005,Alborea,Albacete,650,PSOE,33.72,#da1f36,34080202005
2019,4,2019-04-28,2006,Alcadozo,Albacete,655,PP,39.38,#009ade,34080202006
2019,4,2019-04-28,2007,Alcalá del Júcar,Albacete,1199,PSOE,54.37,#da1f36,34080202007
2019,4,2019-04-28,2008,Alcaraz,Albacete,1405,PSOE,41.21,#da1f36,34080202008
2019,4,2019-04-28,2009,Almansa,Albacete,24537,PSOE,35.78,#da1f36,34080202009
2019,4,2019-04-28,2010,Alpera,Albacete,2275,PSOE,37.99,#da1f36,34080202010
2019,4,2019-04-28,2011,Ayna,Albacete,638,PSOE,40.74,#da1f36,34080202011
2019,4,2019-04-28,2012,Balazote,Albacete,2360,PSOE,44.8,#da1f36,34080202012
2019,4,2019-04-28,2013,Balsa de Ves,Albacete,150,PSOE,31.82,#da1f36,34080202013
2019,4,2019-04-28,2014,El Ballestero,Albacete,409,PSOE,40.36,#da1f36,34080202014
2019,4,2019-04-28,2015,Barrax,Albacete,1864,PSOE,39.79,#da1f36,34080202015
2019,4,2019-04-28,2016,Bienservida,Albacete,610,PSOE,35.41,#da1f36,34080202016
2019,4,2019-04-28,2017,Bogarra,Albacete,873,PSOE,42.47,#da1f36,34080202017
2019,4,2019-04-28,2018,Bonete,Albacete,1057,PSOE,35.78,#da1f36,34080202018
2019,4,2019-04-28,2019,El Bonillo,Albacete,2837,PSOE,43.85,#da1f36,34080202019
2019,4,2019-04-28,2020,Carcelén,Albacete,508,PSOE,41.57,#da1f36,34080202020
2019,4,2019-04-28,2021,Casas de Juan Núñez,Albacete,1275,PSOE,36.15,#da1f36,34080202021
2019,4,2019-04-28,2022,Casas de Lázaro,Albacete,344,PP,38.1,#009ade,34080202022
2019,4,2019-04-28,2023,Casas de Ves,Albacete,588,PSOE,39.31,#da1f36,34080202023
2019,4,2019-04-28,2024,Casas-Ibáñez,Albacete,4522,PSOE,35.82,#da1f36,34080202024
2019,4,2019-04-28,2025,Caudete,Albacete,10003,PSOE,25.77,#da1f36,34080202025
2019,4,2019-04-28,2026,Cenizate,Albacete,1182,PSOE,49.48,#da1f36,34080202026
2019,4,2019-04-28,2027,Corral-Rubio,Albacete,330,PSOE,34.03,#da1f36,34080202027
2019,4,2019-04-28,2028,Cotillas,Albacete,128,PSOE,56.12,#da1f36,34080202028
2019,4,2019-04-28,2029,Chinchilla de Monte-Aragón,Albacete,4182,PSOE,31.85,#da1f36,34080202029
2019,4,2019-04-28,2030,Elche de la Sierra,Albacete,3624,PSOE,47.69,#da1f36,34080202030
2019,4,2019-04-28,2031,Férez,Albacete,674,PSOE,40.71,#da1f36,34080202031
2019,4,2019-04-28,2032,Fuensanta,Albacete,297,PSOE,38.92,#da1f36,34080202032
2019,4,2019-04-28,2033,Fuente-Álamo,Albacete,2489,PSOE,34.11,#da1f36,34080202033
2019,4,2019-04-28,2034,Fuentealbilla,Albacete,1816,PSOE,40.26,#da1f36,34080202034
2019,4,2019-04-28,2035,La Gineta,Albacete,2448,PSOE,35.09,#da1f36,34080202035
2019,4,2019-04-28,2036,Golosalvo,Albacete,110,PSOE,34.67,#da1f36,34080202036
2019,4,2019-04-28,2037,Hellín,Albacete,30268,PSOE,32.06,#da1f36,34080202037
2019,4,2019-04-28,2038,La Herrera,Albacete,349,PP,37.5,#009ade,34080202038
2019,4,2019-04-28,2039,Higueruela,Albacete,1184,PSOE,44.23,#da1f36,34080202039
2019,4,2019-04-28,2040,Hoya-Gonzalo,Albacete,621,PSOE,42.5,#da1f36,34080202040
2019,4,2019-04-28,2041,Jorquera,Albacete,360,PP,50.6,#009ade,34080202041
2019,4,2019-04-28,2042,Letur,Albacete,928,PSOE,46.61,#da1f36,34080202042
2019,4,2019-04-28,2043,Lezuza,Albacete,1398,PSOE,40.75,#da1f36,34080202043
2019,4,2019-04-28,2044,Liétor,Albacete,1200,PSOE,44.37,#da1f36,34080202044
2019,4,2019-04-28,2045,Madrigueras,Albacete,4665,PSOE,33.08,#da1f36,34080202045
2019,4,2019-04-28,2046,Mahora,Albacete,1359,PP,30.85,#009ade,34080202046
2019,4,2019-04-28,2047,Masegoso,Albacete,113,PP,57.95,#009ade,34080202047
2019,4,2019-04-28,2048,Minaya,Albacete,1537,PSOE,37.23,#da1f36,34080202048
2019,4,2019-04-28,2049,Molinicos,Albacete,840,PSOE,52.09,#da1f36,34080202049
2019,4,2019-04-28,2050,Montalvos,Albacete,96,PSOE,30.67,#da1f36,34080202050
2019,4,2019-04-28,2051,Montealegre del Castillo,Albacete,2042,PP,31.01,#009ade,34080202051
2019,4,2019-04-28,2052,Motilleja,Albacete,548,PSOE,37.31,#da1f36,34080202052
2019,4,2019-04-28,2053,Munera,Albacete,3513,PSOE,39.92,#da1f36,34080202053
2019,4,2019-04-28,2054,Navas de Jorquera,Albacete,518,PP,39.48,#009ade,34080202054
2019,4,2019-04-28,2055,Nerpio,Albacete,1222,PSOE,50.2,#da1f36,34080202055
2019,4,2019-04-28,2056,Ontur,Albacete,2028,PSOE,42.2,#da1f36,34080202056
2019,4,2019-04-28,2057,Ossa de Montiel,Albacete,2352,PSOE,44.53,#da1f36,34080202057
2019,4,2019-04-28,2058,Paterna del Madera,Albacete,360,PSOE,52.8,#da1f36,34080202058
2019,4,2019-04-28,2059,Peñascosa,Albacete,331,PSOE,50.8,#da1f36,34080202059
2019,4,2019-04-28,2060,Peñas de San Pedro,Albacete,1420,PP,35.29,#009ade,34080202060
