year,mes,fecha,cod_ine,nom_mun,nom_prov,cod_prov,poblacion,ganador,nombre,partido,ganador_por,cod_cand,color,cod_dw_natcode
1979,03,1979-03-01,01001,Alegría-Dulantzi,Araba/Álava,01,972,EAJ-PNV,EAJ-PNV,PNV,27.27,000047,#318731,34160101001
1979,03,1979-03-01,01002,Amurrio,Araba/Álava,01,8826,EAJ-PNV,EAJ-PNV,PNV,34.67,000047,#318731,34160101002
1979,03,1979-03-01,01003,Aramaio,Araba/Álava,01,1557,EAJ-PNV,EAJ-PNV,PNV,59.53,000047,#318731,34160101003
1979,03,1979-03-01,01004,Artziniega,Araba/Álava,01,1139,UCD,Unión de Centro Democrático,UCD,41.46,000062,#FF6814,34160101004
1979,03,1979-03-01,01006,Armiñón,Araba/Álava,01,184,UCD,Unión de Centro Democrático,UCD,40.21,000062,#FF6814,34160101006
1979,03,1979-03-01,01008,Arratzua-Ubarrundia,Araba/Álava,01,752,EAJ-PNV,EAJ-PNV,PNV,27.81,000047,#318731,34160101008
1979,03,1979-03-01,01009,Asparrena,Araba/Álava,01,1854,EAJ-PNV,EAJ-PNV,PNV,28.35,000047,#318731,34160101009
1979,03,1979-03-01,01010,Ayala/Aiara,Araba/Álava,01,2437,EAJ-PNV,EAJ-PNV,PNV,42.81,000047,#318731,34160101010
1979,03,1979-03-01,01011,Baños de Ebro/Mañueta,Araba/Álava,01,351,UCD,Unión de Centro Democrático,UCD,45.6,000062,#FF6814,34160101011
1979,03,1979-03-01,01013,Barrundia,Araba/Álava,01,658,EAJ-PNV,EAJ-PNV,PNV,43.97,000047,#318731,34160101013
1979,03,1979-03-01,01014,Berantevilla,Araba/Álava,01,497,UCD,Unión de Centro Democrático,UCD,45.33,000062,#FF6814,34160101014
1979,03,1979-03-01,01016,Bernedo,Araba/Álava,01,787,UCD,Unión de Centro Democrático,UCD,46.6,000062,#FF6814,34160101016
1979,03,1979-03-01,01017,Campezo/Kanpezu,Araba/Álava,01,1346,UCD,Unión de Centro Democrático,UCD,38.83,000062,#FF6814,34160101017
1979,03,1979-03-01,01018,Zigoitia,Araba/Álava,01,724,EAJ-PNV,EAJ-PNV,PNV,48.09,000047,#318731,34160101018
1979,03,1979-03-01,01019,Kripan,Araba/Álava,01,235,EAJ-PNV,EAJ-PNV,PNV,61.11,000047,#318731,34160101019
1979,03,1979-03-01,01020,Kuartango,Araba/Álava,01,372,UCD,Unión de Centro Democrático,UCD,37.71,000062,#FF6814,34160101020
1979,03,1979-03-01,01021,Elburgo/Burgelu,Araba/Álava,01,220,EAJ-PNV,EAJ-PNV,PNV,39.67,000047,#318731,34160101021
1979,03,1979-03-01,01022,Elciego,Araba/Álava,01,979,UCD,Unión de Centro Democrático,UCD,34.43,000062,#FF6814,34160101022
1979,03,1979-03-01,01023,Elvillar/Bilar,Araba/Álava,01,488,UCD,Unión de Centro Democrático,UCD,48.94,000062,#FF6814,34160101023
1979,03,1979-03-01,01027,Iruraiz-Gauna,Araba/Álava,01,562,UCD,Unión de Centro Democrático,UCD,37.86,000062,#FF6814,34160101027
1979,03,1979-03-01,01028,Labastida/Bastida,Araba/Álava,01,1180,UCD,Unión de Centro Democrático,UCD,22.34,000062,#FF6814,34160101028
1979,03,1979-03-01,01031,Laguardia,Araba/Álava,01,1520,UCD,Unión de Centro Democrático,UCD,44.32,000062,#FF6814,34160101031
1979,03,1979-03-01,01032,Lanciego/Lantziego,Araba/Álava,01,640,UCD,Unión de Centro Democrático,UCD,38.9,000062,#FF6814,34160101032
1979,03,1979-03-01,01033,Lapuebla de Labarca,Araba/Álava,01,800,UCD,Unión de Centro Democrático,UCD,34.14,000062,#FF6814,34160101033
1979,03,1979-03-01,01034,Leza,Araba/Álava,01,196,EAJ-PNV,EAJ-PNV,PNV,33.63,000047,#318731,34160101034
1979,03,1979-03-01,01036,Laudio/Llodio,Araba/Álava,01,20386,PSE-PSOE,Partido Socialista de Euskadi,PSOE,23.22,000054,#da1f35,34160101036
1979,03,1979-03-01,01037,Arraia-Maeztu,Araba/Álava,01,1015,UCD,Unión de Centro Democrático,UCD,41.14,000062,#FF6814,34160101037
1979,03,1979-03-01,01039,Moreda de Álava/Moreda Araba,Araba/Álava,01,361,UCD,Unión de Centro Democrático,UCD,40,000062,#FF6814,34160101039
1979,03,1979-03-01,01041,Navaridas,Araba/Álava,01,235,UCD,Unión de Centro Democrático,UCD,51.45,000062,#FF6814,34160101041
1979,03,1979-03-01,01042,Okondo,Araba/Álava,01,839,EAJ-PNV,EAJ-PNV,PNV,54.4,000047,#318731,34160101042
1979,03,1979-03-01,01043,Oyón-Oion,Araba/Álava,01,2476,UCD,Unión de Centro Democrático,UCD,47.69,000062,#FF6814,34160101043
1979,03,1979-03-01,01044,Peñacerrada-Urizaharra,Araba/Álava,01,273,UCD,Unión de Centro Democrático,UCD,43.36,000062,#FF6814,34160101044
1979,03,1979-03-01,01046,Erriberagoitia/Ribera Alta,Araba/Álava,01,734,UCD,Unión de Centro Democrático,UCD,39.67,000062,#FF6814,34160101046
1979,03,1979-03-01,01047,Erriberabeitia/Ribera Baja,Araba/Álava,01,545,UCD,Unión de Centro Democrático,UCD,48.45,000062,#FF6814,34160101047
1979,03,1979-03-01,01049,Añana,Araba/Álava,01,319,UCD,Unión de Centro Democrático,UCD,34.38,000062,#FF6814,34160101049
1979,03,1979-03-01,01051,Agurain/Salvatierra,Araba/Álava,01,3547,EAJ-PNV,EAJ-PNV,PNV,29.27,000047,#318731,34160101051
1979,03,1979-03-01,01052,Samaniego,Araba/Álava,01,253,PSE-PSOE,Partido Socialista de Euskadi,PSOE,30.94,000054,#da1f35,34160101052
1979,03,1979-03-01,01053,San Millán/Donemiliaga,Araba/Álava,01,959,UCD,Unión de Centro Democrático,UCD,29.3,000062,#FF6814,34160101053
1979,03,1979-03-01,01054,Urkabustaiz,Araba/Álava,01,852,UCD,Unión de Centro Democrático,UCD,31.75,000062,#FF6814,34160101054
1979,03,1979-03-01,01055,Valdegovía/Gaubea,Araba/Álava,01,1129,UCD,Unión de Centro Democrático,UCD,37.24,000062,#FF6814,34160101055
1979,03,1979-03-01,01056,Harana/Valle de Arana,Araba/Álava,01,517,UCD,Unión de Centro Democrático,UCD,57.85,000062,#FF6814,34160101056
1979,03,1979-03-01,01057,Villabuena de Álava/Eskuernaga,Araba/Álava,01,339,EAJ-PNV,EAJ-PNV,PNV,56.94,000047,#318731,34160101057
1979,03,1979-03-01,01058,Legutio,Araba/Álava,01,1484,EAJ-PNV,EAJ-PNV,PNV,40.68,000047,#318731,34160101058
1979,03,1979-03-01,01059,Vitoria-Gasteiz,Araba/Álava,01,181216,UCD,Unión de Centro Democrático,UCD,24.66,000062,#FF6814,34160101059
1979,03,1979-03-01,01060,Yécora/Iekora,Araba/Álava,01,282,UCD,Unión de Centro Democrático,UCD,66.46,000062,#FF6814,34160101060
1979,03,1979-03-01,01061,Zalduondo,Araba/Álava,01,128,HB,Herri Batasuna,HB,45,000019,#22b194,34160101061
1979,03,1979-03-01,01062,Zambrana,Araba/Álava,01,358,UCD,Unión de Centro Democrático,UCD,41.51,000062,#FF6814,34160101062
1979,03,1979-03-01,01063,Zuia,Araba/Álava,01,1348,EAJ-PNV,EAJ-PNV,PNV,55.59,000047,#318731,34160101063
1979,03,1979-03-01,01902,Lantarón,Araba/Álava,01,963,UCD,Unión de Centro Democrático,UCD,45.8,000062,#FF6814,34160101902
1979,03,1979-03-01,02001,Abengibre,Albacete,02,1106,UCD,Unión de Centro Democrático,UCD,55.64,000062,#FF6814,34080202001
1979,03,1979-03-01,02002,Alatoz,Albacete,02,940,PSOE,PSOE,PSOE,48.64,000056,#da1f35,34080202002
1979,03,1979-03-01,02003,Albacete,Albacete,02,105408,PSOE,PSOE,PSOE,37.9,000056,#da1f35,34080202003
1979,03,1979-03-01,02004,Albatana,Albacete,02,1072,UCD,Unión de Centro Democrático,UCD,61.32,000062,#FF6814,34080202004
1979,03,1979-03-01,02005,Alborea,Albacete,02,1125,PSOE,PSOE,PSOE,44.69,000056,#da1f35,34080202005
1979,03,1979-03-01,02006,Alcadozo,Albacete,02,1268,UCD,Unión de Centro Democrático,UCD,43.37,000062,#FF6814,34080202006
1979,03,1979-03-01,02007,Alcalá del Júcar,Albacete,02,2115,UCD,Unión de Centro Democrático,UCD,51.08,000062,#FF6814,34080202007
1979,03,1979-03-01,02008,Alcaraz,Albacete,02,2679,PSOE,PSOE,PSOE,44.81,000056,#da1f35,34080202008
1979,03,1979-03-01,02009,Almansa,Albacete,02,19532,PSOE,PSOE,PSOE,54.51,000056,#da1f35,34080202009
1979,03,1979-03-01,02010,Alpera,Albacete,02,2507,UCD,Unión de Centro Democrático,UCD,41.36,000062,#FF6814,34080202010
