year,mes,fecha,cod_ine,nom_mun,nom_prov,poblacion,ganador,nombre,partido,ganador_por,cod_cand,color,cod_dw_natcode
1986,06,1986-06-22,01001,Alegría-Dulantzi,Araba/Álava,1018,EAJ-PNV,EAJ-PNV,PNV,34.93,000021,#318731,34160101001
1986,06,1986-06-22,01002,Amurrio,Araba/Álava,9457,EAJ-PNV,EAJ-PNV,PNV,32.67,000021,#318731,34160101002
1986,06,1986-06-22,01003,Aramaio,Araba/Álava,1342,EAJ-PNV,EAJ-PNV,PNV,55.65,000021,#318731,34160101003
1986,06,1986-06-22,01004,Artziniega,Araba/Álava,1159,EAJ-PNV,EAJ-PNV,PNV,39.45,000021,#318731,34160101004
1986,06,1986-06-22,01006,Armiñón,Araba/Álava,159,EAJ-PNV,EAJ-PNV,PNV,32.63,000021,#318731,34160101006
1986,06,1986-06-22,01008,Arratzua-Ubarrundia,Araba/Álava,602,PSE-PSOE,Partido Socialista de Euskadi,PSOE,30.51,000057,#da1f35,34160101008
1986,06,1986-06-22,01009,Asparrena,Araba/Álava,1557,EAJ-PNV,EAJ-PNV,PNV,35.54,000021,#318731,34160101009
1986,06,1986-06-22,01010,Ayala/Aiara,Araba/Álava,2143,EAJ-PNV,EAJ-PNV,PNV,42.96,000021,#318731,34160101010
1986,06,1986-06-22,01011,Baños de Ebro/Mañueta,Araba/Álava,353,EAJ-PNV,EAJ-PNV,PNV,39.37,000021,#318731,34160101011
1986,06,1986-06-22,01013,Barrundia,Araba/Álava,610,EAJ-PNV,EAJ-PNV,PNV,47.47,000021,#318731,34160101013
1986,06,1986-06-22,01014,Berantevilla,Araba/Álava,432,EAJ-PNV,EAJ-PNV,PNV,47,000021,#318731,34160101014
1986,06,1986-06-22,01016,Bernedo,Araba/Álava,606,EAJ-PNV,EAJ-PNV,PNV,32.86,000021,#318731,34160101016
1986,06,1986-06-22,01017,Campezo/Kanpezu,Araba/Álava,1214,EAJ-PNV,EAJ-PNV,PNV,36.6,000021,#318731,34160101017
1986,06,1986-06-22,01018,Zigoitia,Araba/Álava,729,EAJ-PNV,EAJ-PNV,PNV,40.3,000021,#318731,34160101018
1986,06,1986-06-22,01019,Kripan,Araba/Álava,202,EAJ-PNV,EAJ-PNV,PNV,71.07,000021,#318731,34160101019
1986,06,1986-06-22,01020,Kuartango,Araba/Álava,336,EAJ-PNV,EAJ-PNV,PNV,24.86,000021,#318731,34160101020
1986,06,1986-06-22,01021,Elburgo/Burgelu,Araba/Álava,196,EAJ-PNV,EAJ-PNV,PNV,64.04,000021,#318731,34160101021
1986,06,1986-06-22,01022,Elciego,Araba/Álava,919,PSE-PSOE,Partido Socialista de Euskadi,PSOE,46.96,000057,#da1f35,34160101022
1986,06,1986-06-22,01023,Elvillar/Bilar,Araba/Álava,382,EAJ-PNV,EAJ-PNV,PNV,35.06,000021,#318731,34160101023
1986,06,1986-06-22,01027,Iruraiz-Gauna,Araba/Álava,470,EAJ-PNV,EAJ-PNV,PNV,52.73,000021,#318731,34160101027
1986,06,1986-06-22,01028,Labastida/Bastida,Araba/Álava,1007,AP-PDP-PL,Coalición Popular,Alianza Popular,34.11,000009,#009ade,34160101028
1986,06,1986-06-22,01030,Lagrán,Araba/Álava,209,EAJ-PNV,EAJ-PNV,PNV,33.78,000021,#318731,34160101030
1986,06,1986-06-22,01031,Laguardia,Araba/Álava,1518,AP-PDP-PL,Coalición Popular,Alianza Popular,33.85,000009,#009ade,34160101031
1986,06,1986-06-22,01032,Lanciego/Lantziego,Araba/Álava,606,EAJ-PNV,EAJ-PNV,PNV,42.33,000021,#318731,34160101032
1986,06,1986-06-22,01033,Lapuebla de Labarca,Araba/Álava,834,EAJ-PNV,EAJ-PNV,PNV,53.53,000021,#318731,34160101033
1986,06,1986-06-22,01034,Leza,Araba/Álava,205,PSE-PSOE,Partido Socialista de Euskadi,PSOE,30.23,000057,#da1f35,34160101034
1986,06,1986-06-22,01036,Laudio/Llodio,Araba/Álava,21183,PSE-PSOE,Partido Socialista de Euskadi,PSOE,25.76,000057,#da1f35,34160101036
1986,06,1986-06-22,01037,Arraia-Maeztu,Araba/Álava,833,EAJ-PNV,EAJ-PNV,PNV,34.84,000021,#318731,34160101037
1986,06,1986-06-22,01039,Moreda de Álava/Moreda Araba,Araba/Álava,287,PSE-PSOE,Partido Socialista de Euskadi,PSOE,37.72,000057,#da1f35,34160101039
1986,06,1986-06-22,01041,Navaridas,Araba/Álava,222,AP-PDP-PL,Coalición Popular,Alianza Popular,44.44,000009,#009ade,34160101041
1986,06,1986-06-22,01042,Okondo,Araba/Álava,789,EAJ-PNV,EAJ-PNV,PNV,49.3,000021,#318731,34160101042
1986,06,1986-06-22,01043,Oyón-Oion,Araba/Álava,2335,PSE-PSOE,Partido Socialista de Euskadi,PSOE,33.72,000057,#da1f35,34160101043
