cod_mun,municipio,ccaa,provincia,d_previo,d_actual,pob,variacion
19284,Torremochuela,Castilla-La Mancha,Guadalajara,100,16.66,8,-83.34
09184,Jaramillo Quemado,Castilla y León,Burgos,100,20,9,-80
09184,Jaramillo Quemado,Castilla y León,Burgos,100,20,9,-80
26153,Torre en Cameros,La Rioja,La Rioja,100,22.22,10,-77.78
19049,Bañuelos,Castilla-La Mancha,Guadalajara,100,28.57,14,-71.43
19049,Bañuelos,Castilla-La Mancha,Guadalajara,100,28.57,14,-71.43
44018,Almohaja,Aragón,Teruel,100,29.41,16,-70.59
17076,Garrigoles,Cataluña,Girona,68.91,0,177,-68.91
19284,Torremochuela,Castilla-La Mancha,Guadalajara,100,33.33,8,-66.67
26153,Torre en Cameros,La Rioja,La Rioja,100,33.33,10,-66.67
44018,Almohaja,Aragón,Teruel,100,41.17,16,-58.83
09375,Tamarón,Castilla y León,Burgos,71.43,14.54,44,-56.89
26030,Bezares,La Rioja,La Rioja,100,43.47,25,-56.53
31117,Goizueta,Navarra,Navarra,55.06,0,694,-55.06
43073,Llorac,Cataluña,Tarragona,55,0,96,-55
34031,Belmonte de Campos,Castilla y León,Palencia,100,46.66,32,-53.34
16025,Arrancacepas,Castilla-La Mancha,Cuenca,70.83,18.75,18,-52.08
18096,Huélago,Andalucía,Granada,52.65,1.61,373,-51.04
09354,Santa Olalla de Bureba,Castilla y León,Burgos,82.35,37.83,40,-44.52
05070,Donvidas,Castilla y León,Ávila,83.33,39.28,30,-44.05
26030,Bezares,La Rioja,La Rioja,100,56.52,25,-43.48
09460,Villasandino,Castilla y León,Burgos,78.4,35.36,172,-43.04
47141,Salvador de Zapardiel,Castilla y León,Valladolid,70.54,27.72,105,-42.82
34039,Bustillo del Páramo de Carrión,Castilla y León,Palencia,72.41,30.18,53,-42.23
08050,Castellar del Riu,Cataluña,Barcelona,74.82,33.33,175,-41.49
05030,Berrocalejo de Aragona,Castilla y León,Ávila,67.5,26.08,53,-41.42
31213,Saldías,Navarra,Navarra,41.41,0,120,-41.41
34186,Valbuena de Pisuerga,Castilla y León,Palencia,77.55,36.53,50,-41.02
08139,Mura,Cataluña,Barcelona,73.84,33.16,232,-40.68
42157,La Riba de Escalote,Castilla y León,Soria,40,0,9,-40
25219,Tarroja de Segarra,Cataluña,Lleida,63.01,23.02,175,-39.99
34068,Dehesa de Romanos,Castilla y León,Palencia,51.72,11.76,49,-39.96
17157,Sant Andreu Salou,Cataluña,Girona,69.67,29.83,162,-39.84
22243,Valle de Bardají,Aragón,Huesca,58.14,18.6,58,-39.54
08109,Lluçà,Cataluña,Barcelona,73.91,34.63,279,-39.28
12120,La Torre d'en Doménec,C. Valenciana,Castellón,78.52,39.41,167,-39.11
47002,Aguasal,Castilla y León,Valladolid,100,61.11,19,-38.89
17063,Espinelves,Cataluña,Girona,72.63,34.01,248,-38.62
05040,Bularros,Castilla y León,Ávila,64.06,25.45,59,-38.61
09249,Palazuelos de Muñó,Castilla y León,Burgos,57.45,18.86,55,-38.59
