Series,Localidad,Administración,Recep.,Domicilio,Provincia,Teléfono,Calle,Número,Premio,Valor,Dirección,Latitude,Longitude,premios_serie
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,El Gordo,"400,000",,,,0
,,,,,,,,,2º Premio,"125,000",,,,0
,,,,,,,,,2º Premio,"125,000",,,,0
,,,,,,,,,2º Premio,"125,000",,,,0
,,,,,,,,,2º Premio,"125,000",,,,0
,,,,,,,,,3º Premio,"50,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
,,,,,,,,,4º Premio,"20,000",,,,0
185,TERUEL,3,76625,"PADRE TOMÁS LOZANO, 1",TERUEL,,"Padre Tomás Lozano, 1",54274,5º Premio,"6,000","Padre Tomás Lozano, 1, Teruel, Teruel",40.3413628,-1.1070703,11100000
70.5,CIUDAD REAL,2,26230,"ALARCOS, 1",CIUDAD REAL,926213533,"Alarcos, 1",45353,5º Premio,"6,000","Alarcos, 1, Ciudad Real, Ciudad Real",38.9835418,-3.9294651,4230000
30,VIGO,21,88555,"CÁNOVAS DEL CASTILLO, S/N",PONTEVEDRA,986223132,"Cánovas Del Castillo, S/N",45353,5º Premio,"6,000","Cánovas Del Castillo, S/N, Vigo, Pontevedra",42.2391445,-8.7287229,1800000
24.8,SAN FERNANDO,8,22070,"REAL, 151",CÁDIZ,956597127,"Real, 151",45353,5º Premio,"6,000","Real, 151, San Fernando, Cádiz",36.4718646,-6.1965948,1488000
15,TORRELAVEGA,6,69630,"BONIFACIO DEL CASTILLO, 5",CANTABRIA,942880055,"Bonifacio Del Castillo, 5",45353,5º Premio,"6,000","Bonifacio Del Castillo, 5, Torrelavega, Cantabria",43.3537057,-4.0465437,900000
10,ZARAGOZA,83,92710,"C.C.ALCAMPOLOS ENLACESCTRAMADRIDKM315,2 LOC16",ZARAGOZA,976538945,"C.C.Alcampolos Enlacesctramadridkm315,2 Loc16",45353,5º Premio,"6,000","C.C.Alcampolos Enlacesctramadridkm315,2 Loc16, Zaragoza, Zaragoza",41.6488226,-0.8890853,600000
5,ALICANTE,37,4335,C.C. PTA.ALICANTE-B-40 ALC. L.CARBONELL S/N,ALICANTE,965117004,C.C. Pta.Alicante-B-40 Alc. L.Carbonell S/N,45353,5º Premio,"6,000","C.C. Pta.Alicante-B-40 Alc. L.Carbonell S/N, Alicante, Alicante",38.3536375,-0.5101692,300000
5,MADRID,354,96450,RAIMUNDO FDEZ. VILLAVERDE. 49,MADRID,915331168,Raimundo Fdez. Villaverde. 49,45353,5º Premio,"6,000","Raimundo Fdez. Villaverde. 49, Madrid, Madrid",40.4467171,-3.6966894,300000
1.1,LLANES,2,35110,"MARQUES DE CANILLEJAS, 3",ASTURIAS,985403014,"Marques De Canillejas, 3",45353,5º Premio,"6,000","Marques De Canillejas, 3, Llanes, Asturias",43.4196491,-4.7524466,66000
1.1,BARCELONA,336,11335,"C.C. ARENAS-GRAN VIA CORTS CATALANES, 373-385 LS28",BARCELONA,934247349,"C.C. Arenas-Gran Via Corts Catalanes, 373-385 Ls28",45353,5º Premio,"6,000","C.C. Arenas-Gran Via Corts Catalanes, 373-385 Ls28, Barcelona, Barcelona",41.3763271,2.1493096,66000
1.1,SAN PEDRO DEL PINATAR,2,53945,"GABRIEL CAÑADAS, 17",MURCIA,968187588,"Gabriel Cañadas, 17",45353,5º Premio,"6,000","Gabriel Cañadas, 17, San Pedro Del Pinatar, Murcia",37.8337936,-0.7922442,66000
1,SAN VICENTE DEL RASPEIG,5,4370,"C.C. LA ALMAZARA - LA HUERTA, 11",ALICANTE,965518984,"C.C. La Almazara - La Huerta, 11",45353,5º Premio,"6,000","C.C. La Almazara - La Huerta, 11, San Vicente Del Raspeig, Alicante",38.39927,-0.5172465,60000
1,CANDELEDA,1,6860,"MORAL, 54",ÁVILA,920380065,"Moral, 54",45353,5º Premio,"6,000","Moral, 54, Candeleda, Ávila",40.1554444,-5.2399892,60000
1,SANT ANDREU DE LA BARCA,3,10510,"CRTA. DE BARCELONA, 44-46 BAJO 1",BARCELONA,931885915,"Crta. De Barcelona, 44-46 Bajo 1",45353,5º Premio,"6,000","Crta. De Barcelona, 44-46 Bajo 1, Sant Andreu De La Barca, Barcelona",41.4476881,1.9748483,60000
1,BILBAO,8,17715,"ARENAL, 1",BIZKAIA,944152036,"Arenal, 1",45353,5º Premio,"6,000","Arenal, 1, Bilbao, Bizkaia",43.2620013,-2.9226868,60000
1,SANTANDER,10,69200,"RUALASAL,  10",CANTABRIA,942216590,"Rualasal,  10",45353,5º Premio,"6,000","Rualasal,  10, Santander, Cantabria",43.4626849,-3.807363,60000
1,SANTANDER,1,69155,"CALVO SOTELO, 15",CANTABRIA,942370926,"Calvo Sotelo, 15",45353,5º Premio,"6,000","Calvo Sotelo, 15, Santander, Cantabria",43.4616708,-3.8078583,60000
1,CASTELLON DE LA PLANA,15,23365,"C.C. CORTE INGLES. Po. MORELLA, 1-So.2",CASTELLÓN,964244106,"C.C. Corte Ingles. Po. Morella, 1-So.2",45353,5º Premio,"6,000","C.C. Corte Ingles. Po. Morella, 1-So.2, Castellon De La Plana, Castellón",39.9878013,-0.0479689,60000
1,CÓRDOBA,4,28605,"JESÚS Y MARÍA, 3",CÓRDOBA,957474117,"Jesús Y María, 3",45353,5º Premio,"6,000","Jesús Y María, 3, Córdoba, Córdoba",37.8840364,-4.7797981,60000
1,MADRID,131,97690,"ESTACIÓN CHAMARTÍN, L-22239 VIA 10",MADRID,917331123,"Estación Chamartín, L-22239 Via 10",45353,5º Premio,"6,000","Estación Chamartín, L-22239 Via 10, Madrid, Madrid",40.4721,-3.68247,60000
1,MADRID,150,97245,"ARENAL, 16",MADRID,914093383,"Arenal, 16",45353,5º Premio,"6,000","Arenal, 16, Madrid, Madrid",40.4173467,-3.7064284,60000
1,GUIJUELO,2,64175,"SAN MARCOS, 3",SALAMANCA,923158076,"San Marcos, 3",45353,5º Premio,"6,000","San Marcos, 3, Guijuelo, Salamanca",40.5587135,-5.671803,60000
1,MANISES,3,81980,"MAESTRO GUILLEM, 5",VALENCIA,960661000,"Maestro Guillem, 5",45353,5º Premio,"6,000","Maestro Guillem, 5, Manises, Valencia",39.4909139,-0.4572508,60000
