year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_7,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_7,por_voto_partido_8,por_voto_partido_99
1984,08001,Abrera,Barcelona,2796,PSC,38.7,#da1f35,No nacionalistas,59.1,#fa8c00,700,726,91,214,49,NA,NA,NA,90,37.3,38.7,4.8,11.4,2.6,NA,NA,NA,4.8
1984,08002,Aguilar de Segarra,Barcelona,183,CiU,93,#1e4a8e,Nacionalismo/independentismo,95.8,#18a1cd,132,5,1,0,3,NA,NA,NA,1,93,3.5,0.7,0,2.1,NA,NA,NA,0.7
1984,08003,Alella,Barcelona,2631,CiU,64.3,#1e4a8e,Nacionalismo/independentismo,70.1,#18a1cd,1280,305,214,49,89,NA,NA,NA,47,64.3,15.3,10.8,2.5,4.5,NA,NA,NA,2.4
1984,08004,Alpens,Barcelona,198,CiU,74.5,#1e4a8e,Nacionalismo/independentismo,90.8,#18a1cd,114,8,1,4,17,NA,NA,NA,9,74.5,5.2,0.7,2.6,11.1,NA,NA,NA,5.9
1984,08005,L'Ametlla del Vallès,Barcelona,1509,CiU,71.6,#1e4a8e,Nacionalismo/independentismo,78.5,#18a1cd,824,144,74,14,58,NA,NA,NA,29,71.6,12.5,6.4,1.2,5,NA,NA,NA,2.5
1984,08006,Arenys de Mar,Barcelona,7673,CiU,56.8,#1e4a8e,Nacionalismo/independentismo,64.7,#18a1cd,3082,1033,622,179,350,NA,NA,NA,133,56.8,19,11.5,3.3,6.4,NA,NA,NA,2.5
1984,08007,Arenys de Munt,Barcelona,3411,CiU,60.3,#1e4a8e,Nacionalismo/independentismo,78.9,#18a1cd,1543,348,89,18,437,NA,NA,NA,115,60.3,13.6,3.5,0.7,17.1,NA,NA,NA,4.5
1984,08008,Argençola,Barcelona,143,CiU,90.5,#1e4a8e,Nacionalismo/independentismo,91.9,#18a1cd,67,0,6,0,1,NA,NA,NA,0,90.5,0,8.1,0,1.4,NA,NA,NA,0
1984,08009,Argentona,Barcelona,4968,CiU,59.1,#1e4a8e,Nacionalismo/independentismo,67,#18a1cd,2099,743,198,87,221,NA,NA,NA,183,59.1,20.9,5.6,2.5,6.2,NA,NA,NA,5.1
1984,08010,Artés,Barcelona,3040,CiU,75.5,#1e4a8e,Nacionalismo/independentismo,82.1,#18a1cd,1689,249,46,53,101,NA,NA,NA,87,75.5,11.1,2.1,2.4,4.5,NA,NA,NA,3.9
1984,08011,Avià,Barcelona,1454,CiU,72.2,#1e4a8e,Nacionalismo/independentismo,83.3,#18a1cd,697,62,57,12,102,NA,NA,NA,29,72.2,6.4,5.9,1.2,10.6,NA,NA,NA,3
1984,08012,Avinyó,Barcelona,1526,CiU,79.6,#1e4a8e,Nacionalismo/independentismo,88.6,#18a1cd,936,89,26,9,71,NA,NA,NA,44,79.6,7.6,2.2,0.8,6,NA,NA,NA,3.8
1984,08013,Avinyonet del Penedès,Barcelona,904,CiU,67.8,#1e4a8e,Nacionalismo/independentismo,79.6,#18a1cd,441,86,20,22,51,NA,NA,NA,29,67.8,13.2,3.1,3.4,7.8,NA,NA,NA,4.5
1984,08014,Aiguafreda,Barcelona,1490,CiU,72.2,#1e4a8e,Nacionalismo/independentismo,79.8,#18a1cd,866,132,79,19,69,NA,NA,NA,30,72.2,11,6.6,1.6,5.8,NA,NA,NA,2.5
