year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_6,partido_7,partido_8,partido_99
1988,08001,Abrera,Barcelona,3094,PSC,38.3,#da1f35,No nacionalistas,65.49,#fa8c00,31.5,38.3,10.41,2.98,2.3,9.68,NA,NA,4.12
1988,08002,Aguilar de Segarra,Barcelona,177,CiU,88.55,#1e4a8e,Nacionalismo/independentismo,92.37,#18a1cd,88.55,0,4.58,2.29,3.82,0,NA,NA,0
1988,08003,Alella,Barcelona,3833,CiU,61.31,#1e4a8e,Nacionalismo/independentismo,65.44,#18a1cd,61.31,16.03,4.98,7.73,4.13,2.59,NA,NA,2.54
1988,08004,Alpens,Barcelona,197,CiU,73.79,#1e4a8e,Nacionalismo/independentismo,79.31,#18a1cd,73.79,4.14,10.34,2.76,5.52,0.69,NA,NA,0.69
1988,08005,L'Ametlla del Vallès,Barcelona,1978,CiU,70.32,#1e4a8e,Nacionalismo/independentismo,75.68,#18a1cd,70.32,13.52,2.95,3.73,5.36,1.94,NA,NA,1.33
1988,08006,Arenys de Mar,Barcelona,7849,CiU,54.49,#1e4a8e,Nacionalismo/independentismo,59.39,#18a1cd,54.49,20.91,5.61,9.69,4.9,2.15,NA,NA,1.78
1988,08007,Arenys de Munt,Barcelona,3402,CiU,63.32,#1e4a8e,Nacionalismo/independentismo,73.53,#18a1cd,63.32,16.71,2.45,3.92,10.21,1.06,NA,NA,1.66
1988,08008,Argençola,Barcelona,140,CiU,94.52,#1e4a8e,Nacionalismo/independentismo,97.26,#18a1cd,94.52,1.37,0,1.37,2.74,0,NA,NA,0
1988,08009,Argentona,Barcelona,5312,CiU,59.64,#1e4a8e,Nacionalismo/independentismo,64.63,#18a1cd,59.64,22.16,5.1,3.25,4.99,2.27,NA,NA,2.14
1988,08010,Artés,Barcelona,3230,CiU,67.8,#1e4a8e,Nacionalismo/independentismo,73.59,#18a1cd,67.8,18.27,3.77,1.69,5.79,0.8,NA,NA,1.61
1988,08011,Avià,Barcelona,1440,CiU,78.03,#1e4a8e,Nacionalismo/independentismo,83.57,#18a1cd,78.03,6.59,2.62,2.41,5.54,1.88,NA,NA,1.98
1988,08012,Avinyó,Barcelona,1598,CiU,74.55,#1e4a8e,Nacionalismo/independentismo,82.03,#18a1cd,74.55,12.12,3.01,1.38,7.48,0.34,NA,NA,0.79
1988,08013,Avinyonet del Penedès,Barcelona,926,CiU,66.15,#1e4a8e,Nacionalismo/independentismo,73.37,#18a1cd,66.15,18.73,2.23,1.03,7.22,1.37,NA,NA,3.08
1988,08014,Aiguafreda,Barcelona,1552,CiU,69.92,#1e4a8e,Nacionalismo/independentismo,77.09,#18a1cd,69.92,11.93,2.85,4.75,7.17,1.12,NA,NA,1.57
1988,08015,Badalona,Barcelona,161254,PSC,42.49,#da1f35,No nacionalistas,66.3,#fa8c00,30.85,42.49,12.68,3.84,2.27,4.2,NA,NA,3.09
1988,08016,Bagà,Barcelona,1706,CiU,55.5,#1e4a8e,Nacionalismo/independentismo,59.9,#18a1cd,55.5,28.44,3.12,1.38,4.4,1.74,NA,NA,4.76
1988,08017,Balenyà,Barcelona,2270,CiU,61.66,#1e4a8e,Nacionalismo/independentismo,67.18,#18a1cd,61.66,23.07,2.14,2.27,5.52,1.04,NA,NA,3.55
1988,08018,Balsareny,Barcelona,2704,CiU,54.03,#1e4a8e,Nacionalismo/independentismo,58.14,#18a1cd,54.03,33.52,3.54,1.48,4.11,0.8,NA,NA,2.13
1988,08019,Barcelona,Barcelona,1351511,CiU,48.01,#1e4a8e,Nacionalismo/independentismo,52.04,#18a1cd,48.01,25.23,7.83,7.43,4.03,3.99,NA,NA,2.78
1988,08020,Begues,Barcelona,1235,CiU,67.87,#1e4a8e,Nacionalismo/independentismo,72.29,#18a1cd,67.87,11.29,5.24,3.61,4.42,4.77,NA,NA,2.56
1988,08021,Bellprat,Barcelona,81,CiU,88.89,#1e4a8e,Nacionalismo/independentismo,92.59,#18a1cd,88.89,5.56,0,0,3.7,1.85,NA,NA,0
1988,08022,Berga,Barcelona,10877,CiU,58.11,#1e4a8e,Nacionalismo/independentismo,65.8,#18a1cd,58.11,20.63,4.7,4.18,7.69,2.06,NA,NA,2
1988,08023,Bigues i Riells,Barcelona,1520,CiU,72.84,#1e4a8e,Nacionalismo/independentismo,76.71,#18a1cd,72.84,14.04,3.26,2.95,3.87,1.63,NA,NA,1.32
1988,08024,Borredà,Barcelona,371,CiU,70.46,#1e4a8e,Nacionalismo/independentismo,72.95,#18a1cd,70.46,21.71,0.36,1.42,2.49,0.71,NA,NA,2.49
1988,08025,El Bruc,Barcelona,558,CiU,56.72,#1e4a8e,Nacionalismo/independentismo,59.41,#18a1cd,56.72,20.16,5.65,9.95,2.69,1.88,NA,NA,2.97
1988,08026,El Brull,Barcelona,140,CiU,80.77,#1e4a8e,Nacionalismo/independentismo,86.54,#18a1cd,80.77,5.77,0.96,2.88,5.77,0.96,NA,NA,2.88
1988,08027,Les Cabanyes,Barcelona,279,CiU,49.78,#1e4a8e,Nacionalismo/independentismo,57.14,#18a1cd,49.78,33.33,3.9,3.46,7.36,0.87,NA,NA,1.29
1988,08028,Cabrera d'Anoia,Barcelona,213,PSC,43.7,#da1f35,No nacionalistas,54.62,#fa8c00,41.18,43.7,2.52,4.2,4.2,1.68,NA,NA,2.52
1988,08029,Cabrera de Mar,Barcelona,1572,CiU,72.1,#1e4a8e,Nacionalismo/independentismo,75.59,#18a1cd,72.1,13.6,2.01,5.32,3.49,1.74,NA,NA,1.4
1988,08030,Cabrils,Barcelona,1504,CiU,75.38,#1e4a8e,Nacionalismo/independentismo,78.04,#18a1cd,75.38,11.96,2.83,2.83,2.66,1.86,NA,NA,1.51
1988,08031,Calaf,Barcelona,2471,CiU,65.91,#1e4a8e,Nacionalismo/independentismo,73.43,#18a1cd,65.91,13.02,1.56,5.67,7.52,2.37,NA,NA,3.38
1988,08032,Caldes d'Estrac,Barcelona,1009,CiU,66.85,#1e4a8e,Nacionalismo/independentismo,70.3,#18a1cd,66.85,15.33,3.87,4.56,3.45,1.8,NA,NA,2.91
1988,08033,Caldes de Montbui,Barcelona,8065,CiU,51.9,#1e4a8e,Nacionalismo/independentismo,55.89,#18a1cd,51.9,30.03,6.02,4.08,3.99,1.8,NA,NA,1.6
1988,08034,Calders,Barcelona,399,CiU,73.9,#1e4a8e,Nacionalismo/independentismo,83.02,#18a1cd,73.9,8.49,4.09,1.89,9.12,0.31,NA,NA,1.25
1988,08035,Calella,Barcelona,8653,CiU,61.55,#1e4a8e,Nacionalismo/independentismo,69.45,#18a1cd,61.55,14.91,3.88,6.35,7.9,2.12,NA,NA,2.78
1988,08036,Calonge de Segarra,Barcelona,163,CiU,88.97,#1e4a8e,Nacionalismo/independentismo,96.32,#18a1cd,88.97,2.94,0,0,7.35,0,NA,NA,0
1988,08037,Calldetenes,Barcelona,1037,CiU,74.03,#1e4a8e,Nacionalismo/independentismo,84.39,#18a1cd,74.03,6.99,2.25,2.62,10.36,1.37,NA,NA,1.99
1988,08038,Callús,Barcelona,1154,CiU,64.85,#1e4a8e,Nacionalismo/independentismo,69.15,#18a1cd,64.85,21.62,3.67,1.52,4.3,0.76,NA,NA,2.17
1988,08039,Campins,Barcelona,149,CiU,82.14,#1e4a8e,Nacionalismo/independentismo,84.82,#18a1cd,82.14,5.36,1.79,2.68,2.68,4.46,NA,NA,0.89
1988,08040,Canet de Mar,Barcelona,6419,CiU,56.27,#1e4a8e,Nacionalismo/independentismo,62.34,#18a1cd,56.27,21.33,3.51,7.21,6.07,2.36,NA,NA,2.58
1988,08041,Canovelles,Barcelona,8816,PSC,56.6,#da1f35,No nacionalistas,71.6,#fa8c00,26.41,56.6,5.58,2.85,1.57,2.6,NA,NA,3.97
1988,08042,Cànoves i Samalús,Barcelona,572,CiU,70.13,#1e4a8e,Nacionalismo/independentismo,73.42,#18a1cd,70.13,13.16,2.78,6.58,3.29,2.28,NA,NA,1.52
1988,08043,Canyelles,Barcelona,437,CiU,57.68,#1e4a8e,Nacionalismo/independentismo,64.16,#18a1cd,57.68,22.87,1.02,5.12,6.48,2.73,NA,NA,3.75
1988,08044,Capellades,Barcelona,3573,CiU,53.03,#1e4a8e,Nacionalismo/independentismo,65.8,#18a1cd,53.03,26.56,1.58,1.66,12.77,1.66,NA,NA,2.09
1988,08045,Capolat,Barcelona,61,CiU,51.43,#1e4a8e,Nacionalismo/independentismo,60,#18a1cd,51.43,20,2.86,8.57,8.57,8.57,NA,NA,0
1988,08046,Cardedeu,Barcelona,5856,CiU,56.87,#1e4a8e,Nacionalismo/independentismo,60.84,#18a1cd,56.87,26.68,3.71,3.34,3.97,2.21,NA,NA,2.67
1988,08047,Cardona,Barcelona,5266,CiU,52.1,#1e4a8e,Nacionalismo/independentismo,55.75,#18a1cd,52.1,32.24,2.89,2.43,3.65,4.23,NA,NA,1.69
1988,08048,Carme,Barcelona,532,CiU,65.36,#1e4a8e,Nacionalismo/independentismo,68.55,#18a1cd,65.36,18.43,2.21,8.35,3.19,0.74,NA,NA,1.74
1988,08049,Casserres,Barcelona,1441,CiU,77.79,#1e4a8e,Nacionalismo/independentismo,83.83,#18a1cd,77.79,8.5,1.33,3.48,6.04,1.74,NA,NA,0.71
1988,08050,Castellar del Riu,Barcelona,41,CiU,100,#1e4a8e,Nacionalismo/independentismo,100,#18a1cd,100,0,0,0,0,0,NA,NA,0
1988,08051,Castellar del Vallès,Barcelona,8941,CiU,55.17,#1e4a8e,Nacionalismo/independentismo,59.02,#18a1cd,55.17,25.46,7.25,2.69,3.85,2.51,NA,NA,2.79
1988,08052,Castellar de n'Hug,Barcelona,149,CiU,75.73,#1e4a8e,Nacionalismo/independentismo,77.67,#18a1cd,75.73,20.39,0,0,1.94,0,NA,NA,1.94
1988,08053,Castellbell i el Vilar,Barcelona,2524,CiU,56.81,#1e4a8e,Nacionalismo/independentismo,58.64,#18a1cd,56.81,32.14,4.14,1.76,1.83,2.17,NA,NA,0.6200000000000001
1988,08054,Castellbisbal,Barcelona,2965,CiU,47.28,#1e4a8e,Nacionalismo/independentismo,51.69,#18a1cd,47.28,34.42,6.26,3.16,4.41,2.61,NA,NA,1.29
1988,08055,Castellcir,Barcelona,175,CiU,71.21,#1e4a8e,Nacionalismo/independentismo,79.54,#18a1cd,71.21,7.58,3.03,5.3,8.33,0,NA,NA,3.04
1988,08056,Castelldefels,Barcelona,19464,PSC,40.9,#da1f35,No nacionalistas,64.57,#fa8c00,33.51,40.9,8.35,5.93,1.47,5.64,NA,NA,3.75
1988,08057,Castell de l'Areny,Barcelona,28,CiU,59.09,#1e4a8e,Nacionalismo/independentismo,63.64,#18a1cd,59.09,27.27,0,4.55,4.55,4.55,NA,NA,0
1988,08058,Castellet i la Gornal,Barcelona,835,CiU,50.66,#1e4a8e,Nacionalismo/independentismo,57.25,#18a1cd,50.66,32.39,2.82,1.32,6.59,2.64,NA,NA,2.84
1988,08059,Castellfollit del Boix,Barcelona,278,CiU,81.82,#1e4a8e,Nacionalismo/independentismo,88.64,#18a1cd,81.82,5.68,1.7,2.27,6.82,0,NA,NA,1.14
1988,08060,Castellfollit de Riubregós,Barcelona,233,CiU,87.06,#1e4a8e,Nacionalismo/independentismo,91.77,#18a1cd,87.06,1.18,0.59,4.71,4.71,0,NA,NA,0.59
1988,08061,Castellgalí,Barcelona,566,CiU,65.64,#1e4a8e,Nacionalismo/independentismo,75.36,#18a1cd,65.64,14.22,5.69,0.95,9.72,1.66,NA,NA,1.67
1988,08062,Castellnou de Bages,Barcelona,75,CiU,71.88,#1e4a8e,Nacionalismo/independentismo,71.88,#18a1cd,71.88,4.69,6.25,14.06,0,0,NA,NA,0
