year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_7,partido_8,partido_99
2012,08001,Abrera,Barcelona,8682,PSC,20.16,#da1f35,No nacionalistas,67.37,#fa8c00,17.62,20.16,9.31,15.69,12.76,2.79,1,8.99
2012,08002,Aguilar de Segarra,Barcelona,201,CiU,59.09,#1e4a8e,Nacionalismo/independentismo,86.36,#18a1cd,59.09,1.95,15.58,3.25,5.19,9.09,2.6,1.3
2012,08003,Alella,Barcelona,7010,CiU,45.27,#1e4a8e,Nacionalismo/independentismo,64.82,#18a1cd,45.27,6.21,15.1,12.38,6.49,3.29,1.16,2.54
2012,08004,Alpens,Barcelona,234,CiU,64.02,#1e4a8e,Nacionalismo/independentismo,92.99,#18a1cd,64.02,0.47,20.09,0,5.14,5.14,3.74,0
2012,08005,L'Ametlla del Vallès,Barcelona,5988,CiU,46.98,#1e4a8e,Nacionalismo/independentismo,67.76,#18a1cd,46.98,5.13,15.94,9.99,7.18,2.7,2.14,3.26
2012,08006,Arenys de Mar,Barcelona,11152,CiU,41.37,#1e4a8e,Nacionalismo/independentismo,64.69,#18a1cd,41.37,8.89,17.41,10.84,7.62,4.13,1.78,2.86
2012,08007,Arenys de Munt,Barcelona,6359,CiU,44.3,#1e4a8e,Nacionalismo/independentismo,72.14,#18a1cd,44.3,6.28,20.97,6.49,6.75,4.66,2.21,3.86
2012,08008,Argençola,Barcelona,188,CiU,44.35,#1e4a8e,Nacionalismo/independentismo,83.06,#18a1cd,44.35,0.81,31.45,8.06,4.03,4.84,2.42,0
2012,08009,Argentona,Barcelona,8952,CiU,40.66,#1e4a8e,Nacionalismo/independentismo,60.9,#18a1cd,40.66,9.38,14.96,11.27,7.29,4.14,1.14,3.89
2012,08010,Artés,Barcelona,4128,CiU,42.23,#1e4a8e,Nacionalismo/independentismo,72.66,#18a1cd,42.23,7.95,22.68,5.84,3.92,6.34,1.41,4.430000000000001
2012,08011,Avià,Barcelona,1763,CiU,53.86,#1e4a8e,Nacionalismo/independentismo,87.73,#18a1cd,53.86,2.28,25.13,3.01,2.79,6.54,2.2,2.13
2012,08012,Avinyó,Barcelona,1711,CiU,56.69,#1e4a8e,Nacionalismo/independentismo,85.52,#18a1cd,56.69,3.1,23.95,4.29,3.1,3.62,1.26,1.47
2012,08013,Avinyonet del Penedès,Barcelona,1226,CiU,47.84,#1e4a8e,Nacionalismo/independentismo,68.37,#18a1cd,47.84,7.44,15.98,7.55,8.55,3.44,1.11,3.44
2012,08014,Aiguafreda,Barcelona,1937,CiU,48.86,#1e4a8e,Nacionalismo/independentismo,74.34,#18a1cd,48.86,6.79,18.55,6.18,6.45,3.97,2.96,2.34
2012,08015,Badalona,Barcelona,155329,PSC,19.66,#da1f35,No nacionalistas,65.84,#fa8c00,19.11,19.66,10.17,17.75,12.99,2.33,0.92,5.36
2012,08016,Bagà,Barcelona,1942,CiU,46.46,#1e4a8e,Nacionalismo/independentismo,71,#18a1cd,46.46,11.88,18.88,4.46,4.95,3.89,1.77,3.3200000000000003
2012,08017,Balenyà,Barcelona,2766,CiU,41.29,#1e4a8e,Nacionalismo/independentismo,67.23,#18a1cd,41.29,10.74,19.92,7.23,6.47,3.61,2.41,4.46
2012,08018,Balsareny,Barcelona,2646,CiU,36.64,#1e4a8e,Nacionalismo/independentismo,60.88,#18a1cd,36.64,14.83,16.88,6.09,7.75,6.09,1.27,4.43
2012,08019,Barcelona,Barcelona,1136091,CiU,29.44,#1e4a8e,No nacionalistas,51.16,#fa8c00,29.44,12.19,13.08,14.86,11.96,3.95,1.14,3.91
2012,08020,Begues,Barcelona,4670,CiU,37.51,#1e4a8e,Nacionalismo/independentismo,60.39,#18a1cd,37.51,7.68,17.57,9.94,8.76,3.98,1.33,3.68
2012,08021,Bellprat,Barcelona,78,CiU,48.98,#1e4a8e,Nacionalismo/independentismo,75.51,#18a1cd,48.98,10.2,14.29,8.16,0,12.24,0,4.08
2012,08022,Berga,Barcelona,12326,CiU,45.61,#1e4a8e,Nacionalismo/independentismo,76.09,#18a1cd,45.61,7.83,21.48,6.11,4.75,6.88,2.12,2.1999999999999997
2012,08023,Bigues i Riells,Barcelona,6527,CiU,34.53,#1e4a8e,Nacionalismo/independentismo,56.47,#18a1cd,34.53,9.85,17.68,12.03,8.29,2.88,1.38,4.9
2012,08024,Borredà,Barcelona,406,CiU,50.99,#1e4a8e,Nacionalismo/independentismo,80.26,#18a1cd,50.99,5.92,18.42,4.93,2.3,8.22,2.63,0.99
2012,08025,El Bruc,Barcelona,1482,CiU,36.65,#1e4a8e,Nacionalismo/independentismo,61.65,#18a1cd,36.65,8.81,16.38,7.95,9.66,7.67,0.95,5.2
2012,08026,El Brull,Barcelona,188,CiU,68.32,#1e4a8e,Nacionalismo/independentismo,89.44,#18a1cd,68.32,0.62,12.42,3.11,2.48,4.35,4.35,3.1
2012,08027,Les Cabanyes,Barcelona,694,CiU,46.25,#1e4a8e,Nacionalismo/independentismo,70,#18a1cd,46.25,9.46,17.5,6.79,7.68,5.54,0.71,2.16
2012,08028,Cabrera d'Anoia,Barcelona,1047,CiU,21.63,#1e4a8e,No nacionalistas,57.22,#fa8c00,21.63,20.71,14.57,13.5,9.51,2.61,1.69,9.36
2012,08029,Cabrera de Mar,Barcelona,3433,CiU,53.28,#1e4a8e,Nacionalismo/independentismo,70.99,#18a1cd,53.28,4.09,13.47,10.32,5.8,2.9,1.34,2.73
2012,08030,Cabrils,Barcelona,4893,CiU,51.73,#1e4a8e,Nacionalismo/independentismo,70.86,#18a1cd,51.73,4.97,14.42,9.16,5.72,2.84,1.87,2.26
2012,08031,Calaf,Barcelona,2283,CiU,46.37,#1e4a8e,Nacionalismo/independentismo,68.13,#18a1cd,46.37,9.46,17.06,8.53,5.05,2.96,1.74,5.12
2012,08032,Caldes d'Estrac,Barcelona,1970,CiU,45.15,#1e4a8e,Nacionalismo/independentismo,65.56,#18a1cd,45.15,8.99,15.89,9.42,7.69,3.59,0.93,2.37
2012,08033,Caldes de Montbui,Barcelona,12565,CiU,34.56,#1e4a8e,Nacionalismo/independentismo,59.04,#18a1cd,34.56,12.45,19.01,9.81,7.8,4.12,1.35,3.53
2012,08034,Calders,Barcelona,746,CiU,54.77,#1e4a8e,Nacionalismo/independentismo,84.59,#18a1cd,54.77,2.6,22.36,5.2,3.64,5.03,2.43,2.9499999999999997
