year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,08001,Abrera,Barcelona,9262,PSC,33.61,#da1f35,No nacionalistas,66.78,#fa8c00,1647,982,381,561,412,167,181,114,33.61,20.04,7.78,11.45,8.41,3.41,3.69,2.33
2021,08002,Aguilar de Segarra,Barcelona,218,JxCat,39.05,#00c4b2,Nacionalismo/independentismo,89.35,#18a1cd,6,28,66,5,2,38,2,19,3.55,16.57,39.05,2.96,1.18,22.49,1.18,11.24
2021,08003,Alella,Barcelona,7246,JxCat,27.5,#00c4b2,Nacionalismo/independentismo,60.18,#18a1cd,737,966,1234,313,200,265,206,253,16.42,21.52,27.5,6.97,4.46,5.9,4.59,5.63
2021,08004,Alpens,Barcelona,212,JxCat,46.59,#00c4b2,Nacionalismo/independentismo,90.34,#18a1cd,6,45,82,1,7,19,0,13,3.41,25.57,46.59,0.57,3.98,10.8,0,7.38
2021,08005,L'Ametlla del Vallès,Barcelona,6576,JxCat,32.47,#00c4b2,Nacionalismo/independentismo,66.76,#18a1cd,497,893,1247,278,192,238,107,204,12.94,23.25,32.47,7.24,5,6.2,2.79,5.32
2021,08006,Arenys de Mar,Barcelona,11821,JxCat,32.44,#00c4b2,Nacionalismo/independentismo,66.68,#18a1cd,946,1421,2056,344,317,510,208,269,14.93,22.42,32.44,5.43,5,8.05,3.28,4.24
2021,08007,Arenys de Munt,Barcelona,6931,JxCat,33.57,#00c4b2,Nacionalismo/independentismo,75.63,#18a1cd,413,1088,1300,171,149,404,68,159,10.66,28.09,33.57,4.42,3.85,10.43,1.76,4.11
2021,08008,Argençola,Barcelona,177,JxCat,33.62,#00c4b2,Nacionalismo/independentismo,79.31,#18a1cd,5,25,39,7,6,22,2,7,4.31,21.55,33.62,6.03,5.17,18.97,1.72,6.03
2021,08009,Argentona,Barcelona,9652,JxCat,27.38,#00c4b2,Nacionalismo/independentismo,62.17,#18a1cd,863,1232,1482,367,311,426,181,254,15.95,22.76,27.38,6.78,5.75,7.87,3.34,4.6899999999999995
2021,08010,Artés,Barcelona,4250,JxCat,31.72,#00c4b2,Nacionalismo/independentismo,74.32,#18a1cd,291,642,775,114,82,305,28,104,11.91,26.28,31.72,4.67,3.36,12.48,1.15,4.25
2021,08011,Avià,Barcelona,1745,JxCat,37.82,#00c4b2,Nacionalismo/independentismo,87.82,#18a1cd,66,324,416,12,27,152,7,80,6,29.45,37.82,1.09,2.45,13.82,0.64,7.27
2021,08012,Avinyó,Barcelona,1728,JxCat,39.96,#00c4b2,Nacionalismo/independentismo,84.33,#18a1cd,83,297,426,18,26,117,13,59,7.79,27.86,39.96,1.69,2.44,10.98,1.22,5.53
2021,08013,Avinyonet del Penedès,Barcelona,1297,JxCat,41.22,#00c4b2,Nacionalismo/independentismo,73.97,#18a1cd,92,191,331,36,36,49,9,24,11.46,23.79,41.22,4.48,4.48,6.1,1.12,2.9800000000000004
2021,08014,Aiguafreda,Barcelona,2048,JxCat,32.35,#00c4b2,Nacionalismo/independentismo,74.5,#18a1cd,141,347,393,47,51,115,23,56,11.6,28.56,32.35,3.87,4.2,9.47,1.89,4.61
2021,08015,Badalona,Barcelona,155351,PSC,30.15,#da1f35,No nacionalistas,61.24,#fa8c00,21144,13260,8425,6823,5644,3830,4018,1796,30.15,18.91,12.01,9.73,8.05,5.46,5.73,2.5500000000000003
2021,08016,Bagà,Barcelona,1789,JxCat,32.19,#00c4b2,Nacionalismo/independentismo,72.12,#18a1cd,183,300,358,30,31,110,16,38,16.46,26.98,32.19,2.7,2.79,9.89,1.44,3.4200000000000004
2021,08017,Balenyà,Barcelona,2824,JxCat,33.75,#00c4b2,Nacionalismo/independentismo,72.3,#18a1cd,207,393,513,74,51,152,15,52,13.62,25.86,33.75,4.87,3.36,10,0.99,3.42
2021,08018,Balsareny,Barcelona,2564,JxCat,27.12,#00c4b2,Nacionalismo/independentismo,64.55,#18a1cd,234,351,371,100,63,114,21,55,17.11,25.66,27.12,7.31,4.61,8.33,1.54,4.02
2021,08019,Barcelona,Barcelona,1099283,PSC,23.56,#da1f35,No nacionalistas,52.06,#fa8c00,146384,118537,111014,44280,57015,43105,32877,25109,23.56,19.08,17.87,7.13,9.18,6.94,5.29,4.04
2021,08020,Begues,Barcelona,5374,ERC,25.41,#e5ab4b,Nacionalismo/independentismo,58.29,#18a1cd,621,858,732,221,232,237,96,164,18.39,25.41,21.68,6.55,6.87,7.02,2.84,4.859999999999999
2021,08021,Bellprat,Barcelona,64,JxCat,43.59,#00c4b2,Nacionalismo/independentismo,87.18,#18a1cd,3,10,17,2,0,4,0,3,7.69,25.64,43.59,5.13,0,10.26,0,7.69
2021,08022,Berga,Barcelona,12176,JxCat,38.77,#00c4b2,Nacionalismo/independentismo,79.72,#18a1cd,682,1524,2470,168,184,777,78,319,10.7,23.92,38.77,2.64,2.89,12.2,1.22,5.01
