cod_mun,municipio,ccaa,provincia,d_previo,pob,d_actual,variacion
32003,A Arnoia,Galicia,Ourense,45.25,860,45.25,90.2
15007,A Baña,Galicia,A Coruña,40.2,2959,40.2,91.30000000000001
32014,A Bola,Galicia,Ourense,51.09,967,51.09,17.6
15018,A Capela,Galicia,A Coruña,39.5,1048,39.5,5.5
36009,A Cañiza,Galicia,Pontevedra,35.09,4321,35.09,5.5
15030,A Coruña,Galicia,A Coruña,40.35,197514,40.35,93.50000000000001
36017,A Estrada,Galicia,Pontevedra,38.99,17041,38.99,30.800000000000004
27018,A Fonsagrada,Galicia,Lugo,34.29,2835,34.29,91.30000000000001
36023,A Guarda,Galicia,Pontevedra,42.42,8151,42.42,51.7
32034,A Gudiña,Galicia,Ourense,40.41,992,40.41,1.1
36901,A Illa de Arousa,Galicia,Pontevedra,43.33,4137,43.33,35.2
36025,A Lama,Galicia,Pontevedra,36.44,2189,36.44,60.50000000000001
15041,A Laracha,Galicia,A Coruña,37.39,9689,37.39,22
32047,A Merca,Galicia,Ourense,46.19,1693,46.19,67.10000000000001
32048,A Mezquita,Galicia,Ourense,36.18,796,36.18,20.900000000000002
27044,A Pastoriza,Galicia,Lugo,32.89,2473,32.89,100.10000000000001
32059,A Peroxa,Galicia,Ourense,42.37,1575,42.37,72.60000000000001
32063,A Pobra de Trives,Galicia,Ourense,40.08,1695,40.08,35.2
27047,A Pobra do Brollón,Galicia,Lugo,44.98,1401,44.98,82.5
15067,A Pobra do Caramiñal,Galicia,A Coruña,37.48,7838,37.48,110.00000000000001
27048,A Pontenova,Galicia,Lugo,36.42,1848,36.42,93.50000000000001
32072,A Rúa,Galicia,Ourense,37.85,3475,37.85,12.100000000000001
32080,A Teixeira,Galicia,Ourense,40.13,297,40.13,35.2
32083,A Veiga,Galicia,Ourense,38.37,784,38.37,62.7
44001,Ababuj,Aragón,Teruel,60.93,64,60.93,57.2
40001,Abades,Castilla y León,Segovia,49.92,683,49.92,48.400000000000006
48001,Abadiño,País Vasco,Bizkaia,39.91,5968,39.91,71.5
10001,Abadía,Extremadura,Cáceres,50.34,289,50.34,94.60000000000001
27001,Abadín,Galicia,Lugo,30.7,2005,30.7,88
09001,Abajas,Castilla y León,Burgos,37.5,24,37.5,61.60000000000001
20001,Abaltzisketa,País Vasco,Gipuzkoa,33.06,248,33.06,58.300000000000004
30001,Abanilla,Murcia,Murcia,41.06,4482,41.06,100.10000000000001
50001,Abanto,Aragón,Zaragoza,47.36,76,47.36,59.400000000000006
48002,Abanto y Ciérvana-Abanto Zierbena,País Vasco,Bizkaia,40.11,7787,40.11,73.7
34001,Abarca de Campos,Castilla y León,Palencia,60,35,60,108.9
30002,Abarán,Murcia,Murcia,35.96,9594,35.96,68.2
31003,Abaurregaina/Abaurrea Alta,Navarra,Navarra,40.9,110,40.9,26.400000000000002
31004,Abaurrepea/Abaurrea Baja,Navarra,Navarra,33.33,29,33.33,2.2
15001,Abegondo,Galicia,A Coruña,40.52,4821,40.52,39.6
42001,Abejar,Castilla y León,Soria,53.53,215,53.53,11
44002,Abejuela,Aragón,Teruel,60,50,60,8.8
25001,Abella de la Conca,Cataluña,Lleida,26.92,125,26.92,6.6000000000000005
02001,Abengibre,Castilla-La Mancha,Albacete,50.22,666,50.22,77
13001,Abenójar,Castilla-La Mancha,Ciudad Real,44.27,1135,44.27,1.1
31005,Aberin,Navarra,Navarra,0,305,0,17.6
10002,Abertura,Extremadura,Cáceres,60.57,344,60.57,4.4
49002,Abezames,Castilla y León,Zamora,52.72,55,52.72,39.6
16001,Abia de la Obispalía,Castilla-La Mancha,Cuenca,69.64,56,69.64,52.800000000000004
34003,Abia de las Torres,Castilla y León,Palencia,39.47,152,39.47,52.800000000000004
22001,Abiego,Aragón,Huesca,39.39,230,39.39,23.1
22002,Abizanda,Aragón,Huesca,39.02,107,39.02,78.10000000000001
04001,Abla,Andalucía,Almería,40.59,1002,40.59,64.9
19002,Ablanque,Castilla-La Mancha,Guadalajara,63.38,71,63.38,38.5
31006,Ablitas,Navarra,Navarra,41.89,1905,41.89,18.700000000000003
08001,Abrera,Cataluña,Barcelona,33.46,9716,33.46,80.30000000000001
04002,Abrucena,Andalucía,Almería,36.84,1002,36.84,31.900000000000002
37001,Abusejo,Castilla y León,Salamanca,50.37,135,50.37,80.30000000000001
31001,Abáigar,Navarra,Navarra,37.5,72,37.5,17.6
19001,Abánades,Castilla-La Mancha,Guadalajara,48.88,45,48.88,85.80000000000001
31002,Abárzuza/Abartzuza,Navarra,Navarra,0,419,0,78.10000000000001
24001,Acebedo,Castilla y León,León,28.9,173,28.9,26.400000000000002
10003,Acebo,Extremadura,Cáceres,50.18,549,50.18,17.6
06001,Acedera,Extremadura,Badajoz,38.33,671,38.33,33
10004,Acehúche,Extremadura,Cáceres,37.22,677,37.22,38.5
10005,Aceituna,Extremadura,Cáceres,35.81,497,35.81,70.4
50002,Acered,Aragón,Zaragoza,50.89,108,50.89,57.2
06002,Aceuchal,Extremadura,Badajoz,28.21,4245,28.21,51.7
22003,Adahuesca,Aragón,Huesca,48.7,154,48.7,103.4
47001,Adalia,Castilla y León,Valladolid,46,50,46,18.700000000000003
14001,Adamuz,Andalucía,Córdoba,38.05,3351,38.05,33
05001,Adanero,Castilla y León,Ávila,50.27,176,50.27,59.400000000000006
38001,Adeje,Canarias,Santa Cruz de Tenerife,19.16,21874,19.16,70.4
46001,Ademuz,Comunidad Valenciana,Valencia/València,46.08,747,46.08,14.3
31007,Adiós,Navarra,Navarra,53.89,167,53.89,78.10000000000001
19003,Adobes,Castilla-La Mancha,Guadalajara,55.55,27,55.55,91.30000000000001
46002,Ador,Comunidad Valenciana,Valencia/València,45.94,1277,45.94,5.5
04003,Adra,Andalucía,Almería,34.95,17714,34.95,30.800000000000004
09003,Adrada de Haza,Castilla y León,Burgos,47.39,173,47.39,14.3
40002,Adrada de Pirón,Castilla y León,Segovia,61.11,36,61.11,20.900000000000002
42003,Adradas,Castilla y León,Soria,41.26,62,41.26,29.700000000000003
40003,Adrados,Castilla y León,Segovia,57.52,111,57.52,13.200000000000001
20002,Aduna,País Vasco,Gipuzkoa,38.72,377,38.72,73.7
35001,Agaete,Canarias,Las Palmas,32.7,4663,32.7,59.400000000000006
37002,Agallas,Castilla y León,Salamanca,21.87,128,21.87,14.3
36020,Agolada,Galicia,Pontevedra,41.71,2053,41.71,20.900000000000002
26002,Agoncillo,La Rioja,La Rioja,38.49,896,38.49,1.1
03002,Agost,Comunidad Valenciana,Alicante/Alacant,36.89,3902,36.89,88
25003,Agramunt,Cataluña,Lleida,26.01,3708,26.01,15.400000000000002
03003,Agres,Comunidad Valenciana,Alicante/Alacant,50.82,481,50.82,74.80000000000001
18001,Agrón,Andalucía,Granada,38.77,194,38.77,46.2
41001,Aguadulce,Andalucía,Sevilla,36.92,1555,36.92,13.200000000000001
50004,Aguarón,Aragón,Zaragoza,55.92,436,55.92,102.30000000000001
09006,Aguas Cándidas,Castilla y León,Burgos,16.98,53,16.98,47.300000000000004
47002,Aguasal,Castilla y León,Valladolid,50,18,50,17.6
44003,Aguatón,Aragón,Teruel,0,16,0,4.4
44004,Aguaviva,Aragón,Teruel,39.61,395,39.61,82.5
13002,Agudo,Castilla-La Mancha,Ciudad Real,42.1,1328,42.1,71.5
40004,Aguilafuente,Castilla y León,Segovia,0,400,0,15.400000000000002
09007,Aguilar de Bureba,Castilla y León,Burgos,38.29,47,38.29,55.00000000000001
34004,Aguilar de Campoo,Castilla y León,Palencia,44.66,5363,44.66,69.30000000000001
47003,Aguilar de Campos,Castilla y León,Valladolid,63.76,217,63.76,7.700000000000001
31008,Aguilar de Codés,Navarra,Navarra,49.23,65,49.23,55.00000000000001
08002,Aguilar de Segarra,Cataluña,Barcelona,38.76,225,38.76,100.10000000000001
14002,Aguilar de la Frontera,Andalucía,Córdoba,30.86,10791,30.86,61.60000000000001
44005,Aguilar del Alfambra,Aragón,Teruel,43.1,58,43.1,23.1
26003,Aguilar del Río Alhama,La Rioja,La Rioja,57.01,332,57.01,91.30000000000001
50005,Aguilón,Aragón,Zaragoza,50.39,251,50.39,68.2
17001,Agullana,Cataluña,Girona,35.27,621,35.27,6.6000000000000005
46004,Agullent,Comunidad Valenciana,Valencia/València,51.93,1928,51.93,17.6
38002,Agulo,Canarias,Santa Cruz de Tenerife,24.22,958,24.22,33
01051,Agurain/Salvatierra,País Vasco,Araba/Álava,34.92,3609,34.92,96.80000000000001
50003,Agón,Aragón,Zaragoza,47.1,116,47.1,52.800000000000004
22004,Agüero,Aragón,Huesca,40.31,128,40.31,63.800000000000004
35002,Agüimes,Canarias,Las Palmas,31.92,25651,31.92,41.800000000000004
10006,Ahigal,Extremadura,Cáceres,50.08,1188,50.08,14.3
37004,Ahigal de Villarino,Castilla y León,Salamanca,37.5,24,37.5,49.50000000000001
37003,Ahigal de los Aceiteros,Castilla y León,Salamanca,57.83,83,57.83,18.700000000000003
06003,Ahillones,Extremadura,Badajoz,50.7,706,50.7,110.00000000000001
20016,Aia,País Vasco,Gipuzkoa,33.73,1570,33.73,63.800000000000004
31009,Aibar/Oibar,Navarra,Navarra,43.2,656,43.2,62.7
46042,Aielo de Malferit,Comunidad Valenciana,Valencia/València,49.86,3378,49.86,23.1
46043,Aielo de Rugat,Comunidad Valenciana,Valencia/València,56.33,136,56.33,100.10000000000001
08014,Aiguafreda,Cataluña,Barcelona,36.34,2048,36.34,89.10000000000001
43001,Aiguamúrcia,Cataluña,Tarragona,35.1,730,35.1,24.200000000000003
17002,Aiguaviva,Cataluña,Girona,0,599,0,103.4
03004,Aigües,Comunidad Valenciana,Alicante/Alacant,40.28,709,40.28,14.3
50006,Ainzón,Aragón,Zaragoza,40.95,876,40.95,64.9
22006,Aisa,Aragón,Huesca,28.26,273,28.26,39.6
25038,Aitona,Cataluña,Lleida,30.33,1394,30.33,50.6
20003,Aizarnazabal,País Vasco,Gipuzkoa,35.78,570,35.78,14.3
28002,Ajalvir,Madrid,Madrid,38.12,3431,38.12,42.900000000000006
26004,Ajamil de Cameros,La Rioja,La Rioja,45.67,81,45.67,56.1
48911,Ajangiz,País Vasco,Bizkaia,47.46,393,47.46,52.800000000000004
45001,Ajofrín,Castilla-La Mancha,Toledo,36.43,1841,36.43,84.7
44006,Alacón,Aragón,Teruel,38.7,186,38.7,34.1
50007,Aladrén,Aragón,Zaragoza,54.54,55,54.54,47.300000000000004
47004,Alaejos,Castilla y León,Valladolid,49.77,1101,49.77,67.10000000000001
50008,Alagón,Aragón,Zaragoza,31.83,5290,31.83,8.8
10903,Alagón del Río,Extremadura,Cáceres,41.56,782,41.56,49.50000000000001
07002,Alaior,Baleares,Illes Balears,32.11,7198,32.11,6.6000000000000005
38003,Alajeró,Canarias,Santa Cruz de Tenerife,22.37,1589,22.37,24.200000000000003
29001,Alameda,Andalucía,Málaga,31.37,4301,31.37,66
45002,Alameda de la Sagra,Castilla-La Mancha,Toledo,32.83,2870,32.83,4.4
28003,Alameda del Valle,Madrid,Madrid,51.59,184,51.59,7.700000000000001
18002,Alamedilla,Andalucía,Granada,45.43,493,45.43,49.50000000000001
13003,Alamillo,Castilla-La Mancha,Ciudad Real,39.33,419,39.33,70.4
19004,Alaminos,Castilla-La Mancha,Guadalajara,47.27,55,47.27,20.900000000000002
06004,Alange,Extremadura,Badajoz,37.63,1534,37.63,97.9
41002,Alanís,Andalucía,Sevilla,33.38,1403,33.38,16.5
46005,Alaquàs,Comunidad Valenciana,Valencia/València,41.31,23040,41.31,88
34005,Alar del Rey,Castilla y León,Palencia,45.94,727,45.94,14.3
37007,Alaraz,Castilla y León,Salamanca,50.74,401,50.74,55.00000000000001
50009,Alarba,Aragón,Zaragoza,40.86,83,40.86,24.200000000000003
16003,Alarcón,Castilla-La Mancha,Cuenca,47.36,148,47.36,15.400000000000002
19005,Alarilla,Castilla-La Mancha,Guadalajara,44.44,87,44.44,79.2
07001,Alaró,Baleares,Illes Balears,37.85,3812,37.85,101.2
02002,Alatoz,Castilla-La Mancha,Albacete,58.92,416,58.92,45.1
44007,Alba,Aragón,Teruel,61.78,157,61.78,6.6000000000000005
34006,Alba de Cerrato,Castilla y León,Palencia,74.64,71,74.64,58.300000000000004
37008,Alba de Tormes,Castilla y León,Salamanca,43.68,4188,43.68,78.10000000000001
37009,Alba de Yeltes,Castilla y León,Salamanca,51.3,190,51.3,46.2
02003,Albacete,Castilla-La Mancha,Albacete,39.55,134115,39.55,42.900000000000006
46006,Albaida,Comunidad Valenciana,Valencia/València,51.17,4479,51.17,104.50000000000001
41003,Albaida del Aljarafe,Andalucía,Sevilla,34.8,2503,34.8,33
46007,Albal,Comunidad Valenciana,Valencia/València,40.43,12894,40.43,7.700000000000001
13004,Albaladejo,Castilla-La Mancha,Ciudad Real,41.21,895,41.21,31.900000000000002
16004,Albaladejo del Cuende,Castilla-La Mancha,Cuenca,55.05,197,55.05,70.4
46008,Albalat de la Ribera,Comunidad Valenciana,Valencia/València,47.69,2617,47.69,7.700000000000001
46009,Albalat dels Sorells,Comunidad Valenciana,Valencia/València,48.14,3230,48.14,30.800000000000004
46010,Albalat dels Tarongers,Comunidad Valenciana,Valencia/València,44.13,1133,44.13,90.2
22007,Albalate de Cinca,Aragón,Huesca,42.03,722,42.03,37.400000000000006
19006,Albalate de Zorita,Castilla-La Mancha,Guadalajara,39.69,880,39.69,9.9
16005,Albalate de las Nogueras,Castilla-La Mancha,Cuenca,46.8,235,46.8,64.9
44008,Albalate del Arzobispo,Aragón,Teruel,39.24,1467,39.24,20.900000000000002
22008,Albalatillo,Aragón,Huesca,43.75,125,43.75,48.400000000000006
10007,Albalá,Extremadura,Cáceres,40.03,587,40.03,27.500000000000004
04004,Albanchez,Andalucía,Almería,44.61,384,44.61,14.3
23001,Albanchez de Mágina,Andalucía,Jaén,47.48,834,47.48,89.10000000000001
17003,Albanyà,Cataluña,Girona,33.62,110,33.62,5.5
19007,Albares,Castilla-La Mancha,Guadalajara,42.09,427,42.09,86.9
