filtros_buscador,ficha_detalle
OBJECTID,OBJECTID
Identifica,Identifica
X,X
Y,Y
Comunidad,Comunidad
Provincia_isla,Provincia_isla
Municipio,Municipio
,nombre_completo
nombre_mun,
slider_equipamiento,slider_equipamiento
slider_ocupacion,slider_ocupacion
filtro_accesible_sillas_ruedas,filtro_accesible_sillas_ruedas
filtro_aseos,filtro_aseos
filtro_alquiler_sombrillas_hamacas,filtro_alquiler_sombrillas_hamacas
filtro_aparcamiento,filtro_aparcamiento
filtro_chiringuito,filtro_chiringuito
filtro_duchas_lavapies,
,ficha_duchas
,ficha_lavapies
filtro_socorrista,filtro_socorrista
filtro_zona_infantil,filtro_zona_infantil
,ficha_papeleras
filtro_aguas_tranquilas,
,ficha_oleaje
filtro_baja_ocupacion,
filtro_ficha_banderas_azules,filtro_ficha_banderas_azules
filtro_nudista,
,ficha_nudismo
filtro_playa_piedras,
filtro_playa_arena,
,ficha_tipo_playa
filtro_extensas_1km,
,ficha_longitud
,ficha_anchura_max
filtro_acantilado_montaña,
filtro_dunas,
,ficha_entorno
filtro_playa_aislada,
,ficha_urbanizacion
,ficha_entorno_protegido
filtro_paseo_completo,filtro_paseo_completo
filtro_alquiler_nautico,filtro_alquiler_nautico
filtro_club_náutico,filtro_club_náutico
filtro_fondo_barcos,filtro_fondo_barcos
filtro_submarinismo,filtro_submarinismo
filtro_surf,filtro_surf
filtro_zona_deportiva,filtro_zona_deportiva
,hospital
,distancia_hospital
,carretera
,formas_acceso
,transporte_publico
,advertencia_acceso
