OBJECTID,Identifica,X,Y,Comunidad,Provincia_isla,Municipio,nombre_completo,nombre_mun,slider_equipamiento,slider_ocupacion,filtro_accesible_sillas_ruedas,filtro_aseos,filtro_alquiler_sombrillas_hamacas,filtro_aparcamiento,filtro_chiringuito,filtro_duchas_lavapies,ficha_duchas,ficha_lavapies,filtro_socorrista,filtro_zona_infantil,ficha_papeleras,filtro_aguas_tranquilas,ficha_oleaje,filtro_baja_ocupacion,filtro_banderas_azules,filtro_nudista,ficha_nudismo,filtro_playa_piedras,filtro_playa_arena,ficha_tipo_playa,filtro_extensas_1km,ficha_longitud,ficha_anchura_max,filtro_acantilado_montana,filtro_dunas,ficha_entorno,filtro_paseo_completo,ficha_paseo,filtro_playa_aislada,ficha_urbanizacion,ficha_entorno_protegido,filtro_alquiler_nautico,filtro_club_náutico,filtro_fondo_barcos,filtro_submarinismo,filtro_surf,filtro_zona_deportiva,carretera,formas_acceso,transporte_publico,advertencia_acceso,hospital,distancia_hospital,filtro_canina,ficha_canina,cod_ine,mun_ine
66,1,-3.06340000003491,36.7470999992333,Andalucía,Almería,Adra,Cala Junco,Cala Junco (Adra),0,Bajo,n,n,n,n,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,480 metros,15 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,"N-340, Autovía del Mediterráneo (E-15)",Acceso exclusivo a pie (difícil),n,Acceso exclusivo a pie,Hospital de Poniente,29 km,n,no permitido,04003,
67,2,-3.00940000006038,36.7423999988346,Andalucía,Almería,Adra,Censo / Playa de Benaluquete,Censo / Playa de Benaluquete (Adra),8.25,Bajo,s,s,n,s,n,s,s,s,s,n,s,n,Oleaje moderado y con viento,s,s,n,no permitido,s,n,Playa de piedras y arena oscura,n,500 metros,50 metros,n,n,Entorno semiurbano,s,Paseo marítimo,n,Semiurbana,n,n,n,s,n,n,s,Autovía del Mediterráneo (E-15),Acceso en coche y a pie (fácil),s,,Hospital de Poniente,21 km,n,no permitido,04003,
68,3,-3.05019999984151,36.7471999989018,Andalucía,Almería,Adra,El Lance de la Virgen,El Lance de la Virgen (Adra),2.4,Bajo,n,n,n,n,n,s,s,s,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,490 metros,25 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,N-340,Acceso exclusivo en coche,s,,Hospital de Poniente,28 km,n,no permitido,04003,
69,4,-3.06800000041534,36.7462999993537,Andalucía,Almería,Adra,Guainos,Guainos (Adra),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.420 metros,15 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,N-340,Acceso exclusivo en coche,s,,Hospital de Poniente,31 km,n,no permitido,04003,
70,5,-3.09490000039434,36.7478999994104,Andalucía,Almería,Adra,La Alcazaba / Playa de Las Conchas / Playa de La Calderilla,La Alcazaba / Playa de Las Conchas / Playa de La Calderilla (Adra),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,n,s,Playa de arena oscura,n,500 metros,15 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,N-340,Acceso exclusivo en coche,s,,Hospital de Poniente,33 km,n,no permitido,04003,
71,6,-3.0340000002983,36.7473999992874,Andalucía,Almería,Adra,La Caracola / Playa Bolaños,La Caracola / Playa Bolaños (Adra),2.35,Medio,n,n,n,n,n,s,s,n,n,n,s,n,Oleaje moderado y con viento,n,s,n,no permitido,s,n,Playa de piedras y arena oscura,n,350 metros,12 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Semiurbana,n,n,n,s,n,n,n,N-340,Acceso exclusivo en coche,s,,Hospital de Poniente,26 km,n,no permitido,04003,
72,7,-3.04090000041981,36.7472999991598,Andalucía,Almería,Adra,La Gaviota / Fuente Ahijado,La Gaviota / Fuente Ahijado (Adra),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,500 metros,15 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,N-340,Acceso exclusivo en coche,n,Acceso exclusivo en coche,Hospital de Poniente,27 km,n,no permitido,04003,
48,8,-2.96459999994846,36.7417999987727,Andalucía,Almería,Adra,La Habana / Vega de Adra / Albufera de Adra (Las Cañadas),La Habana / Vega de Adra / Albufera de Adra (Las Cañadas) (Adra),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de rocas y arena oscura,s,4.300 metros,15 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,Autovía del Mediterráneo (E-15),Acceso exclusivo en coche,s,,Hospital de Poniente,21 km,n,no permitido,04003,
49,9,-3.11969999975047,36.7504999990669,Andalucía,Almería,Adra,La Juana,La Juana (Adra),1.75,Bajo,n,n,n,s,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,s,permitido,n,s,Playa de arena oscura,s,1.050 metros,10 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,N-340,Acceso exclusivo a pie (difícil),s,,Hospital de Poniente,36 km,n,no permitido,04003,
50,10,-3.02489999999485,36.7445999990015,Andalucía,Almería,Adra,Playa de Poniente / Playa del Carboncillo / Playa de La Sirena Loca,Playa de Poniente / Playa del Carboncillo / Playa de La Sirena Loca (Adra),10.00,Alto,s,s,s,s,s,s,s,s,s,s,s,n,Oleaje moderado y con viento,n,s,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.100 metros,70 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,s,s,n,n,s,Autovía del Mediterráneo (E-15),Acceso exclusivo en coche,s,,Hospital de Poniente,21 km,n,no permitido,04003,
