cod_mun,municipio,provincia,zona_iso,d_previo,d_actual,variacion,pob
11002,Alcalá del Valle,Cádiz,Grazalema,38,38.8,-0.7999999999999972,5000
11005,Algodonales,Cádiz,Grazalema,38,38.8,-0.7999999999999972,5497
11009,Benaocaz,Cádiz,Grazalema,38,38.8,-0.7999999999999972,716
11011,El Bosque,Cádiz,Grazalema,38,38.8,-0.7999999999999972,2227
11018,El Gastor,Cádiz,Grazalema,38,38.8,-0.7999999999999972,1705
11019,Grazalema,Cádiz,Grazalema,38,38.8,-0.7999999999999972,2009
11021,Jimena de la Frontera,Cádiz,Grazalema,38,38.8,-0.7999999999999972,6730
11024,Olvera,Cádiz,Grazalema,38,38.8,-0.7999999999999972,7887
11026,Prado del Rey,Cádiz,Grazalema,38,38.8,-0.7999999999999972,5672
11029,Puerto Serrano,Cádiz,Grazalema,38,38.8,-0.7999999999999972,6921
11034,Setenil de las Bodegas,Cádiz,Grazalema,38,38.8,-0.7999999999999972,2651
11036,Torre Alháquime,Cádiz,Grazalema,38,38.8,-0.7999999999999972,798
11038,Ubrique,Cádiz,Grazalema,38,38.8,-0.7999999999999972,16352
11040,Villaluenga del Rosario,Cádiz,Grazalema,38,38.8,-0.7999999999999972,480
11042,Zahara,Cádiz,Grazalema,38,38.8,-0.7999999999999972,1363
14001,Adamuz,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,4085
14005,Almodóvar del Río,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,7982
14012,Bujalance,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,7190
14014,Cañete de las Torres,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,2827
14017,La Carlota,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,14290
14018,El Carpio,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,4326
14021,Córdoba,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,324418
14027,Fernán-Núñez,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,9612
14030,Fuente Palmera,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,9952
14033,Guadalcázar,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,1534
14040,Montalbán de Córdoba,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,4472
14043,Montoro,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,9122
14049,Palma del Río,Córdoba,Campiña cordobesa,38,40.4,-2.3999999999999986,20746
