cod_mun,Alemania,EE.UU.,Francia,Italia,Países Bajos,Reino Unido,Total,Otros,municipio,provincia
01001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alegría-Dulantzi,Araba/Álava
01002,258.0,0.0,330.0,0.0,135.0,0.0,1792.0,1069.0,Amurrio,Araba/Álava
01003,0.0,0.0,147.0,0.0,0.0,0.0,520.0,373.0,Aramaio,Araba/Álava
01004,0.0,0.0,30.0,0.0,0.0,0.0,220.0,190.0,Artziniega,Araba/Álava
01006,0.0,0.0,209.0,0.0,0.0,0.0,486.0,277.0,Armiñón,Araba/Álava
01008,153.0,0.0,1356.0,122.0,326.0,0.0,3375.0,1418.0,Arratzua-Ubarrundia,Araba/Álava
01009,1871.0,30.0,1342.0,1347.0,311.0,147.0,11287.0,6239.0,Asparrena,Araba/Álava
01010,0.0,0.0,221.0,0.0,235.0,0.0,1072.0,616.0,Ayala/Aiara,Araba/Álava
01011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baños de Ebro/Mañueta,Araba/Álava
01013,286.0,0.0,439.0,133.0,177.0,0.0,2083.0,1048.0,Barrundia,Araba/Álava
01014,0.0,0.0,109.0,0.0,0.0,0.0,392.0,283.0,Berantevilla,Araba/Álava
01016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernedo,Araba/Álava
01017,0.0,0.0,107.0,0.0,0.0,0.0,450.0,343.0,Campezo/Kanpezu,Araba/Álava
01018,0.0,0.0,1906.0,0.0,103.0,0.0,3081.0,1072.0,Zigoitia,Araba/Álava
01019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kripan,Araba/Álava
01020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuartango,Araba/Álava
01021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elburgo/Burgelu,Araba/Álava
01022,0.0,0.0,162.0,0.0,36.0,0.0,905.0,707.0,Elciego,Araba/Álava
01023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elvillar/Bilar,Araba/Álava
01027,0.0,0.0,144.0,0.0,0.0,0.0,512.0,368.0,Iruraiz-Gauna,Araba/Álava
01028,0.0,0.0,72.0,0.0,0.0,0.0,441.0,369.0,Labastida/Bastida,Araba/Álava
01030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lagrán,Araba/Álava
01031,238.0,114.0,445.0,32.0,266.0,205.0,2099.0,799.0,Laguardia,Araba/Álava
01032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lanciego/Lantziego,Araba/Álava
01033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lapuebla de Labarca,Araba/Álava
01034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leza,Araba/Álava
01036,417.0,0.0,359.0,0.0,165.0,35.0,1991.0,1015.0,Laudio/Llodio,Araba/Álava
01037,0.0,0.0,146.0,0.0,97.0,0.0,677.0,434.0,Arraia-Maeztu,Araba/Álava
01039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moreda de Álava/Moreda Araba,Araba/Álava
01041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navaridas,Araba/Álava
01042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Okondo,Araba/Álava
01043,0.0,0.0,97.0,0.0,30.0,0.0,677.0,550.0,Oyón-Oion,Araba/Álava
01044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peñacerrada-Urizaharra,Araba/Álava
01046,153.0,0.0,447.0,0.0,197.0,0.0,1355.0,558.0,Erriberagoitia/Ribera Alta,Araba/Álava
01047,325.0,0.0,2443.0,118.0,179.0,0.0,5091.0,2026.0,Erriberabeitia/Ribera Baja,Araba/Álava
01049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Añana,Araba/Álava
01051,419.0,37.0,594.0,421.0,121.0,0.0,4738.0,3146.0,Agurain/Salvatierra,Araba/Álava
01052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samaniego,Araba/Álava
01053,967.0,541.0,2801.0,427.0,385.0,103.0,16362.0,11138.0,San Millán/Donemiliaga,Araba/Álava
01054,0.0,0.0,97.0,0.0,0.0,0.0,604.0,507.0,Urkabustaiz,Araba/Álava
01055,46.0,0.0,364.0,0.0,315.0,32.0,1326.0,569.0,Valdegovía/Gaubea,Araba/Álava
01056,0.0,0.0,144.0,0.0,41.0,0.0,546.0,361.0,Harana/Valle de Arana,Araba/Álava
01057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villabuena de Álava/Eskuernaga,Araba/Álava
01058,444.0,0.0,14777.0,377.0,565.0,217.0,23944.0,7564.0,Legutio,Araba/Álava
01059,11131.0,1875.0,27572.0,3170.0,10005.0,2909.0,96943.0,40281.0,Vitoria-Gasteiz,Araba/Álava
01060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yécora/Iekora,Araba/Álava
01061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zalduondo,Araba/Álava
01062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zambrana,Araba/Álava
01063,117.0,0.0,475.0,0.0,154.0,0.0,1785.0,1039.0,Zuia,Araba/Álava
01901,777.0,0.0,3123.0,527.0,359.0,0.0,8178.0,3392.0,Iruña Oka/Iruña de Oca,Araba/Álava
01902,0.0,0.0,110.0,0.0,0.0,0.0,586.0,476.0,Lantarón,Araba/Álava
02001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abengibre,Albacete
02002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alatoz,Albacete
02003,2282.0,782.0,4258.0,925.0,3353.0,787.0,21509.0,9122.0,Albacete,Albacete
02004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albatana,Albacete
02005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alborea,Albacete
02006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcadozo,Albacete
02007,0.0,0.0,156.0,0.0,35.0,0.0,658.0,467.0,Alcalá del Júcar,Albacete
02008,0.0,0.0,127.0,0.0,192.0,0.0,723.0,404.0,Alcaraz,Albacete
02009,332.0,156.0,430.0,260.0,1053.0,167.0,4712.0,2314.0,Almansa,Albacete
02010,0.0,0.0,0.0,0.0,123.0,0.0,557.0,434.0,Alpera,Albacete
02011,0.0,0.0,45.0,0.0,0.0,0.0,279.0,234.0,Ayna,Albacete
02012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balazote,Albacete
02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balsa de Ves,Albacete
02014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,El Ballestero,Albacete
02015,0.0,0.0,0.0,0.0,30.0,0.0,279.0,249.0,Barrax,Albacete
02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bienservida,Albacete
02017,0.0,0.0,62.0,0.0,0.0,0.0,223.0,161.0,Bogarra,Albacete
02018,0.0,0.0,0.0,0.0,35.0,0.0,490.0,455.0,Bonete,Albacete
02019,0.0,0.0,0.0,0.0,64.0,0.0,679.0,615.0,El Bonillo,Albacete
02020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carcelén,Albacete
02021,126.0,0.0,35.0,155.0,37.0,46.0,784.0,385.0,Casas de Juan Núñez,Albacete
02022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casas de Lázaro,Albacete
02023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casas de Ves,Albacete
02024,0.0,0.0,34.0,0.0,0.0,0.0,483.0,449.0,Casas-Ibáñez,Albacete
02025,459.0,43.0,1825.0,847.0,841.0,414.0,7386.0,2957.0,Caudete,Albacete
02026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cenizate,Albacete
02027,0.0,0.0,0.0,0.0,43.0,0.0,302.0,259.0,Corral-Rubio,Albacete
02028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotillas,Albacete
02029,75.0,0.0,300.0,0.0,256.0,0.0,1715.0,1084.0,Chinchilla de Monte-Aragón,Albacete
02030,0.0,0.0,222.0,0.0,197.0,0.0,907.0,488.0,Elche de la Sierra,Albacete
02031,0.0,0.0,0.0,0.0,34.0,0.0,355.0,321.0,Férez,Albacete
02032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fuensanta,Albacete
02033,0.0,0.0,0.0,0.0,38.0,0.0,319.0,281.0,Fuente-Álamo,Albacete
02034,0.0,0.0,63.0,0.0,0.0,0.0,577.0,514.0,Fuentealbilla,Albacete
02035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Gineta,Albacete
02036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Golosalvo,Albacete
02037,313.0,82.0,967.0,119.0,726.0,34.0,4557.0,2316.0,Hellín,Albacete
02038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Herrera,Albacete
02039,0.0,0.0,84.0,0.0,183.0,0.0,820.0,553.0,Higueruela,Albacete
02040,281.0,0.0,183.0,37.0,203.0,434.0,1686.0,548.0,Hoya-Gonzalo,Albacete
02041,0.0,0.0,31.0,0.0,0.0,0.0,319.0,288.0,Jorquera,Albacete
02042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Letur,Albacete
02043,0.0,0.0,208.0,33.0,345.0,0.0,1229.0,643.0,Lezuza,Albacete
02044,0.0,0.0,199.0,0.0,307.0,0.0,917.0,411.0,Liétor,Albacete
02045,0.0,0.0,0.0,0.0,30.0,0.0,367.0,337.0,Madrigueras,Albacete
02046,0.0,0.0,36.0,0.0,0.0,0.0,685.0,649.0,Mahora,Albacete
02047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masegoso,Albacete
02048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minaya,Albacete
02049,0.0,0.0,0.0,0.0,167.0,0.0,340.0,173.0,Molinicos,Albacete
02050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montalvos,Albacete
02051,0.0,0.0,0.0,0.0,190.0,0.0,461.0,271.0,Montealegre del Castillo,Albacete
02052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Motilleja,Albacete
02053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Munera,Albacete
02054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navas de Jorquera,Albacete
02055,0.0,0.0,120.0,0.0,161.0,0.0,678.0,397.0,Nerpio,Albacete
02056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontur,Albacete
02057,0.0,0.0,239.0,0.0,177.0,0.0,846.0,430.0,Ossa de Montiel,Albacete
02058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paterna del Madera,Albacete
02059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peñascosa,Albacete
02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peñas de San Pedro,Albacete
02061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pétrola,Albacete
02062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Povedilla,Albacete
02063,0.0,0.0,0.0,0.0,78.0,0.0,359.0,281.0,Pozohondo,Albacete
02064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pozo-Lorente,Albacete
02065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pozuelo,Albacete
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Recueja,Albacete
02067,0.0,0.0,179.0,0.0,208.0,0.0,665.0,278.0,Riópar,Albacete
02068,0.0,0.0,0.0,35.0,0.0,0.0,594.0,559.0,Robledo,Albacete
02069,294.0,0.0,535.0,187.0,346.0,0.0,2927.0,1565.0,La Roda,Albacete
02070,0.0,0.0,30.0,0.0,0.0,0.0,152.0,122.0,Salobre,Albacete
02071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,San Pedro,Albacete
02072,0.0,0.0,83.0,0.0,66.0,0.0,364.0,215.0,Socovos,Albacete
02073,0.0,0.0,143.0,0.0,256.0,0.0,925.0,526.0,Tarazona de la Mancha,Albacete
02074,68.0,0.0,313.0,0.0,250.0,0.0,1782.0,1151.0,Tobarra,Albacete
02075,93.0,0.0,86.0,163.0,0.0,65.0,927.0,520.0,Valdeganga,Albacete
02076,0.0,0.0,47.0,0.0,0.0,0.0,175.0,128.0,Vianos,Albacete
