cod_ine,Alemania,EE.UU.,Francia,Italia,Países Bajos,Reino Unido,Total,Otros,municipio,provincia,censo
01001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alegría-Dulantzi,Araba/Álava,2965.0
01002,258.0,0.0,330.0,0.0,135.0,0.0,1792.0,1069.0,Amurrio,Araba/Álava,10312.0
01003,0.0,0.0,147.0,0.0,0.0,0.0,520.0,373.0,Aramaio,Araba/Álava,1380.0
01004,0.0,0.0,30.0,0.0,0.0,0.0,220.0,190.0,Artziniega,Araba/Álava,1856.0
01006,0.0,0.0,209.0,0.0,0.0,0.0,486.0,277.0,Armiñón,Araba/Álava,246.0
01008,153.0,0.0,1356.0,122.0,326.0,0.0,3375.0,1418.0,Arratzua-Ubarrundia,Araba/Álava,1046.0
01009,1871.0,30.0,1342.0,1347.0,311.0,147.0,11287.0,6239.0,Asparrena,Araba/Álava,1613.0
01010,0.0,0.0,221.0,0.0,235.0,0.0,1072.0,616.0,Ayala/Aiara,Araba/Álava,2939.0
01011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baños de Ebro/Mañueta,Araba/Álava,292.0
01013,286.0,0.0,439.0,133.0,177.0,0.0,2083.0,1048.0,Barrundia,Araba/Álava,879.0
01014,0.0,0.0,109.0,0.0,0.0,0.0,392.0,283.0,Berantevilla,Araba/Álava,468.0
01016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernedo,Araba/Álava,544.0
01017,0.0,0.0,107.0,0.0,0.0,0.0,450.0,343.0,Campezo/Kanpezu,Araba/Álava,1088.0
01018,0.0,0.0,1906.0,0.0,103.0,0.0,3081.0,1072.0,Zigoitia,Araba/Álava,1845.0
01019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kripan,Araba/Álava,178.0
01020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuartango,Araba/Álava,409.0
01021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elburgo/Burgelu,Araba/Álava,641.0
01022,0.0,0.0,162.0,0.0,36.0,0.0,905.0,707.0,Elciego,Araba/Álava,953.0
01023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elvillar/Bilar,Araba/Álava,320.0
01027,0.0,0.0,144.0,0.0,0.0,0.0,512.0,368.0,Iruraiz-Gauna,Araba/Álava,550.0
01028,0.0,0.0,72.0,0.0,0.0,0.0,441.0,369.0,Labastida/Bastida,Araba/Álava,1571.0
01030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lagrán,Araba/Álava,170.0
01031,238.0,114.0,445.0,32.0,266.0,205.0,2099.0,799.0,Laguardia,Araba/Álava,1491.0
01032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lanciego/Lantziego,Araba/Álava,689.0
01033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lapuebla de Labarca,Araba/Álava,856.0
01034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leza,Araba/Álava,210.0
01036,417.0,0.0,359.0,0.0,165.0,35.0,1991.0,1015.0,Laudio/Llodio,Araba/Álava,17970.0
01037,0.0,0.0,146.0,0.0,97.0,0.0,677.0,434.0,Arraia-Maeztu,Araba/Álava,823.0
01039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moreda de Álava/Moreda Araba,Araba/Álava,215.0
01041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navaridas,Araba/Álava,203.0
01042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Okondo,Araba/Álava,1190.0
01043,0.0,0.0,97.0,0.0,30.0,0.0,677.0,550.0,Oyón-Oion,Araba/Álava,3456.0
01044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peñacerrada-Urizaharra,Araba/Álava,302.0
01046,153.0,0.0,447.0,0.0,197.0,0.0,1355.0,558.0,Erriberagoitia/Ribera Alta,Araba/Álava,844.0
01047,325.0,0.0,2443.0,118.0,179.0,0.0,5091.0,2026.0,Erriberabeitia/Ribera Baja,Araba/Álava,1441.0
01049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Añana,Araba/Álava,143.0
01051,419.0,37.0,594.0,421.0,121.0,0.0,4738.0,3146.0,Agurain/Salvatierra,Araba/Álava,5147.0
01052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samaniego,Araba/Álava,290.0
01053,967.0,541.0,2801.0,427.0,385.0,103.0,16362.0,11138.0,San Millán/Donemiliaga,Araba/Álava,721.0
01054,0.0,0.0,97.0,0.0,0.0,0.0,604.0,507.0,Urkabustaiz,Araba/Álava,1459.0
01055,46.0,0.0,364.0,0.0,315.0,32.0,1326.0,569.0,Valdegovía/Gaubea,Araba/Álava,1071.0
01056,0.0,0.0,144.0,0.0,41.0,0.0,546.0,361.0,Harana/Valle de Arana,Araba/Álava,214.0
01057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villabuena de Álava/Eskuernaga,Araba/Álava,282.0
01058,444.0,0.0,14777.0,377.0,565.0,217.0,23944.0,7564.0,Legutio,Araba/Álava,2082.0
01059,11131.0,1875.0,27572.0,3170.0,10005.0,2909.0,96943.0,40281.0,Vitoria-Gasteiz,Araba/Álava,257407.0
01060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yécora/Iekora,Araba/Álava,264.0
01061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zalduondo,Araba/Álava,194.0
01062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zambrana,Araba/Álava,438.0
01063,117.0,0.0,475.0,0.0,154.0,0.0,1785.0,1039.0,Zuia,Araba/Álava,2391.0
01901,777.0,0.0,3123.0,527.0,359.0,0.0,8178.0,3392.0,Iruña Oka/Iruña de Oca,Araba/Álava,3610.0
01902,0.0,0.0,110.0,0.0,0.0,0.0,586.0,476.0,Lantarón,Araba/Álava,926.0
02001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abengibre,Albacete,760.0
02002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alatoz,Albacete,505.0
02003,2282.0,782.0,4258.0,925.0,3353.0,787.0,21509.0,9122.0,Albacete,Albacete,174073.0
02004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albatana,Albacete,663.0
02005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alborea,Albacete,691.0
02006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcadozo,Albacete,642.0
02007,0.0,0.0,156.0,0.0,35.0,0.0,658.0,467.0,Alcalá del Júcar,Albacete,1133.0
02008,0.0,0.0,127.0,0.0,192.0,0.0,723.0,404.0,Alcaraz,Albacete,1309.0
02009,332.0,156.0,430.0,260.0,1053.0,167.0,4712.0,2314.0,Almansa,Albacete,24322.0
02010,0.0,0.0,0.0,0.0,123.0,0.0,557.0,434.0,Alpera,Albacete,2281.0
02011,0.0,0.0,45.0,0.0,0.0,0.0,279.0,234.0,Ayna,Albacete,607.0
02012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balazote,Albacete,2385.0
02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balsa de Ves,Albacete,128.0
02014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,El Ballestero,Albacete,411.0
02015,0.0,0.0,0.0,0.0,30.0,0.0,279.0,249.0,Barrax,Albacete,1884.0
02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bienservida,Albacete,551.0
02017,0.0,0.0,62.0,0.0,0.0,0.0,223.0,161.0,Bogarra,Albacete,751.0
02018,0.0,0.0,0.0,0.0,35.0,0.0,490.0,455.0,Bonete,Albacete,963.0
02019,0.0,0.0,0.0,0.0,64.0,0.0,679.0,615.0,El Bonillo,Albacete,2624.0
02020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carcelén,Albacete,496.0
02021,126.0,0.0,35.0,155.0,37.0,46.0,784.0,385.0,Casas de Juan Núñez,Albacete,1369.0
02022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casas de Lázaro,Albacete,313.0
02023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casas de Ves,Albacete,555.0
02024,0.0,0.0,34.0,0.0,0.0,0.0,483.0,449.0,Casas-Ibáñez,Albacete,4563.0
02025,459.0,43.0,1825.0,847.0,841.0,414.0,7386.0,2957.0,Caudete,Albacete,10293.0
02026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cenizate,Albacete,1167.0
02027,0.0,0.0,0.0,0.0,43.0,0.0,302.0,259.0,Corral-Rubio,Albacete,301.0
02028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotillas,Albacete,127.0
02029,75.0,0.0,300.0,0.0,256.0,0.0,1715.0,1084.0,Chinchilla de Monte-Aragón,Albacete,4668.0
02030,0.0,0.0,222.0,0.0,197.0,0.0,907.0,488.0,Elche de la Sierra,Albacete,3588.0
02031,0.0,0.0,0.0,0.0,34.0,0.0,355.0,321.0,Férez,Albacete,608.0
02032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fuensanta,Albacete,299.0
02033,0.0,0.0,0.0,0.0,38.0,0.0,319.0,281.0,Fuente-Álamo,Albacete,2420.0
02034,0.0,0.0,63.0,0.0,0.0,0.0,577.0,514.0,Fuentealbilla,Albacete,1807.0
02035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Gineta,Albacete,2609.0
02036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Golosalvo,Albacete,84.0
