cod_mun,municipio,provincia,Alemania,EE.UU.,Francia,Italia,Otros,Países Bajos,Reino Unido,turistas
01001,Alegría-Dulantzi,Araba/Álava,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0
01002,Amurrio,Araba/Álava,822.0,0.0,911.0,0.0,399.0,313.0,0.0,2445.0
01003,Aramaio,Araba/Álava,0.0,0.0,368.0,0.0,33.0,0.0,0.0,401.0
01004,Artziniega,Araba/Álava,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
01006,Armiñón,Araba/Álava,0.0,0.0,284.0,0.0,75.0,0.0,0.0,359.0
01008,Arratzua-Ubarrundia,Araba/Álava,355.0,0.0,1910.0,296.0,1596.0,672.0,0.0,4829.0
01009,Asparrena,Araba/Álava,5359.0,30.0,3891.0,4276.0,18923.0,928.0,646.0,34053.0
01010,Ayala/Aiara,Araba/Álava,0.0,0.0,447.0,0.0,533.0,540.0,0.0,1520.0
01013,Barrundia,Araba/Álava,791.0,0.0,1015.0,276.0,1216.0,410.0,0.0,3708.0
01014,Berantevilla,Araba/Álava,0.0,0.0,109.0,0.0,0.0,0.0,0.0,109.0
01016,Bernedo,Araba/Álava,0.0,0.0,0.0,0.0,388.0,0.0,0.0,388.0
01017,Campezo/Kanpezu,Araba/Álava,0.0,0.0,107.0,0.0,69.0,0.0,0.0,176.0
01018,Zigoitia,Araba/Álava,0.0,0.0,2894.0,0.0,796.0,216.0,0.0,3906.0
01020,Kuartango,Araba/Álava,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
01021,Elburgo/Burgelu,Araba/Álava,0.0,0.0,0.0,0.0,793.0,0.0,0.0,793.0
01022,Elciego,Araba/Álava,0.0,138.0,256.0,0.0,0.0,36.0,72.0,502.0
01027,Iruraiz-Gauna,Araba/Álava,0.0,0.0,341.0,0.0,204.0,0.0,0.0,545.0
01028,Labastida/Bastida,Araba/Álava,0.0,0.0,72.0,0.0,0.0,0.0,0.0,72.0
01031,Laguardia,Araba/Álava,484.0,237.0,982.0,32.0,139.0,378.0,310.0,2562.0
01034,Leza,Araba/Álava,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0
01036,Laudio/Llodio,Araba/Álava,1173.0,0.0,1063.0,0.0,680.0,373.0,69.0,3358.0
01037,Arraia-Maeztu,Araba/Álava,0.0,0.0,146.0,0.0,118.0,129.0,0.0,393.0
01043,Oyón-Oion,Araba/Álava,0.0,0.0,248.0,0.0,62.0,68.0,0.0,378.0
01046,Erriberagoitia/Ribera Alta,Araba/Álava,205.0,0.0,741.0,0.0,101.0,235.0,0.0,1282.0
01047,Erriberabeitia,Araba/Álava,79.0,0.0,135.0,39.0,169.0,0.0,0.0,422.0
01047,Ribera Baja/Erriberabeitia,Araba/Álava,921.0,0.0,4214.0,291.0,3585.0,220.0,0.0,9231.0
01051,Agurain/Salvatierra,Araba/Álava,1337.0,67.0,1763.0,1368.0,7772.0,229.0,0.0,12536.0
01053,San Millán/Donemiliaga,Araba/Álava,2762.0,1698.0,7979.0,1001.0,30322.0,1005.0,282.0,45049.0
01054,Urkabustaiz,Araba/Álava,30.0,0.0,128.0,0.0,0.0,0.0,0.0,158.0
01055,Valdegovía/Gaubea,Araba/Álava,46.0,0.0,536.0,0.0,87.0,492.0,32.0,1193.0
01056,Harana/Valle de Arana,Araba/Álava,0.0,0.0,144.0,0.0,0.0,41.0,0.0,185.0
01058,Legutio,Araba/Álava,1088.0,0.0,22543.0,943.0,16763.0,897.0,551.0,42785.0
01059,Vitoria-Gasteiz,Araba/Álava,31527.0,4505.0,52010.0,8482.0,119185.0,26759.0,6544.0,249012.0
01063,Zuia,Araba/Álava,154.0,0.0,1005.0,0.0,740.0,229.0,0.0,2128.0
01901,Iruña Oka/Iruña de Oca,Araba/Álava,2061.0,0.0,5097.0,1545.0,6244.0,757.0,0.0,15704.0
01902,Lantarón,Araba/Álava,0.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0
02003,Albacete,Albacete,7249.0,1911.0,12025.0,3157.0,26874.0,10212.0,2374.0,63802.0
02007,Alcalá del Júcar,Albacete,0.0,0.0,225.0,0.0,30.0,96.0,0.0,351.0
02008,Alcaraz,Albacete,0.0,0.0,251.0,0.0,55.0,601.0,0.0,907.0
02009,Almansa,Albacete,1055.0,238.0,1161.0,849.0,3765.0,1874.0,448.0,9390.0
02010,Alpera,Albacete,0.0,0.0,0.0,0.0,0.0,258.0,0.0,258.0
02011,Ayna,Albacete,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0
02012,Balazote,Albacete,0.0,0.0,0.0,0.0,75.0,38.0,0.0,113.0
02015,Barrax,Albacete,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
02017,Bogarra,Albacete,0.0,0.0,62.0,0.0,0.0,0.0,0.0,62.0
