direccion,mun_clean,codigo_postal,provincia,gasolina_95,gasolina_98,diesel,diesel_premium,lon,lat,rotulo,horario,ultimo_dato
"(El Trebol) Avd. Jose Antonio Nº 7 (Salamanca-Coria Km 30,4)",Vecinos,37450,Salamanca,1.659,1.799,1.566,1.636,-5.877528,40.777472,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:14
(El Trebol) Ctra. Fregeneda Nº 12-22 Salamanca,Salamanca,37008,Salamanca,1.659,1.799,1.566,1.636,-5.672750,40.955806,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:16
"*El Trebol* Cr.alba De Tormes-Piedrahita  Km 5.200 Km 8,7",Calvarrasa De Arriba,37191,Salamanca,1.659,1.799,1.566,1.636,-5.586750,40.894167,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:12
420 Km 275,Herencia,13640,Ciudad Real,1.729,1.859,1.649,1.709,-3.344889,39.373250,PETRONOR,L-D: 06:00-12:00,2023-09-01 00:00
"A 480 Km 25,8",Jerez De La Frontera,11408,Cádiz,1.739,1.879,1.669,1.749,-6.163639,36.682111,SHELL,L-V: 06:00-22:00,2023-08-31 14:00
"A Ii, Km Km 299,3",La Muela,50196,Zaragoza,1.789,1.929,1.679,1.759,-1.099611,41.585750,SHELL,L-D: 24H,2023-08-31 14:00
A Pedra,Cariño,15360,Coruña (A),1.779,1.799,1.649,1.679,-7.878278,43.731806,ORTEGAL OIL,L-D: 07:00-22:00,2023-08-31 12:45
A- 4 Km 628.5,Jerez De La Frontera,11407,Cádiz,1.799,1.939,1.719,1.799,-6.071500,36.758528,SHELL,L-D: 06:00-22:00,2023-08-31 14:00
"A-1 Km 152,8",Fuentespina,09471,Burgos,1.789,1.921,1.665,1.731,-3.684833,41.616306,CEPSA,L-D: 07:00-23:00,2023-09-01 00:00
A-121 Km 2,Alberite De San Juan,50529,Zaragoza,1.754,NA,1.669,1.745,-1.470056,41.815722,CEPSA,L-V: 09:00-13:00,2023-09-01 00:00
"A-131 Km 16,8",Ballobar,22234,Huesca,1.699,NA,1.669,1.709,0.194139,41.624333,CEPSA,L-V: 07:00-20:30; S: 07:00-14:00; D: 07:00-13:00,2023-08-29 10:18
A-132 Km 14,La Sotonera,22810,Huesca,1.779,NA,1.699,1.769,-0.548472,42.211917,REPSOL,L-V: 06:30-22:00; S-D: 07:30-22:00,2023-08-29 15:56
"A-140 Km 13,5",Tamarite De Litera,22550,Huesca,1.730,1.790,1.590,NA,0.419222,41.863667,ESC,L-D: 24H,2023-08-30 20:27
"A-2 Km 8,000",Molins De Rei,08750,Barcelona,1.799,NA,1.609,1.679,2.024121,41.391917,GALP,L-D: 24H,2023-08-31 19:33
"A-2003 Km 25,5",Jerez De La Frontera,11570,Cádiz,1.799,NA,1.719,NA,-5.857505,36.628164,LIBRE,L-D: 07:00-22:00,2023-08-29 08:36
A-231 Km 49,Sahagún,24320,León,1.764,1.896,1.669,1.765,-5.049028,42.380083,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-231 Km 50,Sahagún,24320,León,1.764,1.896,1.669,1.765,-5.049028,42.381389,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-334 Km 4.5,Baza,18800,Granada,1.769,1.829,1.699,1.779,-2.766909,37.481666,REPSOL,L-D: 06:30-22:30,2023-08-29 00:00
"A-345 Km 64,7",Albuñol,18700,Granada,1.729,1.889,1.699,1.759,-3.182889,36.761972,REPSOL,L: 07:00-20:00,2023-09-01 00:00
A-35 Km 39,Montesa,46692,Valencia / València,1.839,NA,1.719,1.799,-0.629028,38.954306,SHELL,L-D: 07:00-23:00,2023-08-31 15:00
A-354 Km 11,Antequera,29200,Málaga,1.799,1.929,1.699,1.779,-4.549972,37.022722,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"A-4 Km 552,4",Dos Hermanas,41700,Sevilla,1.774,1.906,1.705,1.785,-5.952556,37.296389,CEPSA,L-V: 07:00-21:00; S: 07:00-15:00,2023-09-01 00:00
"A-432 Km 45,5",Cazalla De La Sierra,41370,Sevilla,1.759,NA,1.679,1.739,-5.763222,37.922250,CEPSA,L-D: 24H,2023-08-30 09:44
"A-45 Km 147,8",Casabermeja,29160,Málaga,1.824,NA,1.689,1.809,-4.429333,36.897833,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-494 Km 7.100,Moguer,21880,Huelva,1.809,1.959,1.719,1.809,-6.838583,37.264861,REPSOL,L: 07:00-23:00,2023-08-29 14:09
"A-5 Km 245,2",Trujillo,10200,Cáceres,1.819,NA,1.745,1.825,-5.835417,39.517556,CEPSA,L-D: 06:00-23:59,2023-09-01 06:00
"A-5 Km 351,5",Mérida,06800,Badajoz,1.729,NA,1.709,1.779,-6.448083,38.879583,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
"A-52 Salida 291, Ctra Ponteareas- As Neves, Km Po-9006",Salvaterra De Miño,36459,Pontevedra,1.769,1.919,1.659,1.759,-8.462000,42.141917,LA PARADA - VALCARCE,L-D: 24H,2023-08-30 15:24
"A-6 Km 25,5",Las Rozas De Madrid,28230,Madrid,1.798,1.918,1.728,1.778,-3.897500,40.552750,REPSOL,L-D: 24H,2023-08-30 07:00
"A-6, Salida 419/420 Km 419",Vega De Valcarce,24524,León,1.769,NA,1.649,NA,-6.914083,42.658806,VALCARCE,L-D: 24H,2023-09-01 00:00
"A-62 Km 138,6",Simancas,47130,Valladolid,1.784,1.916,1.689,1.779,-4.860583,41.566278,CEPSA,L-D: 24H,2023-09-01 06:00
