firedate,commune_clean,province_es,area_ha,latitude,longitude
26 de enero,Soba,Cantabria,2.471,43.191505449999994,-3.5623671831665567
12 de julio,Obejo,Córdoba,2.291,38.1325555,-4.8000174
 6 de junio,Níjar,Almería,1.113,36.962894,-2.2063758
24 de julio,Palomas,Badajoz,1.098,38.6927774,-6.135631
 9 de febrero,Almería,Almería,1.089,36.8414197,-2.4628135
20 de julio,Talaván,Cáceres,  921,39.7156908,-6.2812319
25 de julio,Puebla del Maestre,Badajoz,  877,38.084025,-6.0804357
19 de julio,Campanario,Badajoz,  831,38.8633863,-5.6180261
24 de julio,Argamasilla de Calatrava,Ciudad Real,  759,38.7268428,-4.0792825
14 de abril,Tàrbena,Alicante,  673,38.6936688,-0.1020792
 9 de febrero,Almería,Almería,  637,36.8414197,-2.4628135
 7 de abril,Rionansa,Cantabria,  626,43.2195449,-4.395536801945284
 3 de junio,Tarifa,Cádiz,  579,36.0129082,-5.6050213
