tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,58.68247,17.1342,306.37,24 de abril,"SSAB Oxelösund, Oxelösund, Municipio de Oxelösund, Condado de Södermanland, 613 31, Suecia",,,
24h,58.67177,17.13344,301.71,24 de abril,"SSAB Oxelösund, Oxelösund, Municipio de Oxelösund, Condado de Södermanland, 613 31, Suecia",,,
24h,60.808,5.01834,296.43,24 de abril,"Mongstad, Alver, Vestland, 5954, Noruega",,,
24h,60.17787,-3.86949,298.26,24 de abril,#VALUE!,,,
24h,58.278,6.89249,338.88,24 de abril,"Øyesletta, Ytre Øye, Øye, Kvinesdal, Agder, 4484, Noruega",,,
24h,56.49171,2.15371,295.45,24 de abril,#VALUE!,,,
24h,56.39929,2.06181,306.73,24 de abril,#VALUE!,,,
24h,50.65417,11.43345,301.51,24 de abril,"B 281, Kleinkamsdorf, Unterwellenborn, Kamsdorf, distrito de Saalfeld-Rudolstadt, Turingia, 07333, Alemania",,,
24h,53.33395,-1.20697,308.72,24 de abril,"First Lane, Anston, South Anston, Rotherham, South Yorkshire, Inglaterra, S25 5HJ, Reino Unido",,,
24h,53.6838,-6.39017,302.22,24 de abril,"Newtown, Saint Mary's ED, distrito municipal de Laytown — Bettystown, condado de Meath, Leinster, A92 YW26, Éire / Irlanda",,,
24h,51.17437,3.80993,347.34,24 de abril,"Bokstraat, ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.17083,3.80804,332.32,24 de abril,"Tratamiento de agua, Bokstraat, ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.16587,3.81282,327.12,24 de abril,"ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.1673,3.80615,296.9,24 de abril,"ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.16164,3.79575,300.35,24 de abril,"Bokstraat, ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.16022,3.80239,295.82,24 de abril,"Bokstraat, ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.1626,3.79774,317.33,24 de abril,"Bokstraat, ArcelorMittal, Sint-Kruis-Winkel, Gante, Flandes Oriental, 9042, Bélgica / Belgique / Belgien",,,
24h,51.04955,2.32373,335.42,24 de abril,"Route du Bassin Maritime, Dunkerque, Norte, Altos de Francia, Francia continental, 59140, Francia",,,
24h,52.64288,-8.68897,301.85,24 de abril,"N69, Ballycummin ED, The Metropolitan District of Limerick City, Limerick, Condado de Limerick, Munster, V94 1X59, Irlanda",,,
24h,51.04615,2.32201,335.97,24 de abril,"Route du Fossé Défensif, Saint-Pol-sur-Mer, Dunkerque, Norte, Altos de Francia, Francia continental, 59140, Francia",,,
24h,51.04417,2.29428,303.96,24 de abril,"Grande-Synthe, Dunkerque, Nord, Altos-de-Francia, Francia metropolitana, 59760, Francia",,,
24h,51.03518,2.28312,300.02,24 de abril,"ArcelorMittal Dunkerque, Boulevard Corelli, Les Bazennes, Saint-Pol-sur-Mer, Dunkerque, Nord, Hauts-de-France, Francia metropolitana, 59430, Francia",,,
24h,51.03396,2.2892,296.24,24 de abril,"Grande-Synthe, Dunkerque, Nord, Altos-de-Francia, Francia metropolitana, 59760, Francia",,,
24h,51.03298,2.27536,299.67,24 de abril,"Route de l'Écluse de Mardyck, Grande-Synthe, Dunkerque, Nord, Hauts-de-France, Francia metropolitana, 59760, Francia",,,
24h,51.03177,2.28142,319.95,24 de abril,"ArcelorMittal Dunkerque, Boulevard Corelli, Les Bazennes, Saint-Pol-sur-Mer, Dunkerque, Nord, Hauts-de-France, Francia metropolitana, 59430, Francia",,,
24h,51.578,-3.7753,329.36,24 de abril,"Wharf Road, Port Talbot Steelworks, Margam Moors, Port Talbot, Neath Port Talbot, Cymru / Gales, SA13 1RA, Reino Unido",,,
24h,51.56809,-3.77888,303.53,24 de abril,"Sinter Plant Road, Port Talbot Steelworks, Margam Moors, Port Talbot, Neath Port Talbot, Cymru / Gales, SA13 1RA, Reino Unido",,,
24h,51.56479,-3.78009,297.45,24 de abril,"Haul Road, Port Talbot Steelworks, Margam Moors, Port Talbot, Neath Port Talbot, Cymru / Gales, SA13 2PH, Reino Unido",,,
24h,48.33531,9.73325,302.54,24 de abril,"Siegentalweg, Großallmendingen, Allmendingen, Asociación de administración municipal de Allmendingen, Alb-Donau-Kreis, Baden-Württemberg, 89604, Alemania",,,
24h,45.78154,8.68293,299.48,24 de abril,"SS629 - ""Vergiatese"", Cascina della Palude, Comabbio, Varese, Lombardía, 21020, Italia",,,
