date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-01-01,España,0,290.6666666666667,Hectáreas,0,0,0,0,0,0,0,79,0,0,0,104,123,0,3782,272,0,3782
2024-01-01,España,0,1.7333333333333334,Incendios,0,0,0,0,0,0,0,1,0,0,0,1,2,0,19,3,0,19
2024-01-02,España,0,480.4,Hectáreas,0,0,0,0,0,0,0,79,0,0,0,192,304,0,6359,272,0,6359
2024-01-02,España,0,3.2,Incendios,0,0,0,0,0,0,0,1,0,0,0,2,5,0,37,3,0,37
2024-01-03,España,0,550.9333333333333,Hectáreas,0,0,0,0,0,0,0,79,0,0,0,533,304,0,7076,272,0,7076
2024-01-03,España,0,3.6666666666666665,Incendios,0,0,0,0,0,0,0,1,0,0,0,4,5,0,42,3,0,42
2024-01-04,España,0,684.0666666666667,Hectáreas,0,0,0,0,0,0,0,79,0,0,187,1046,304,0,8373,272,187,8373
2024-01-04,España,0,4.6,Incendios,0,0,0,0,0,0,0,1,0,0,1,8,5,0,51,3,0,51
2024-01-05,España,0,714.8,Hectáreas,0,0,0,0,0,0,0,79,0,0,187,1467,304,0,8373,312,187,8373
2024-01-05,España,0,4.866666666666666,Incendios,0,0,0,0,0,0,0,1,0,0,1,11,5,0,51,4,0,51
2024-01-06,España,0,721.9333333333333,Hectáreas,0,0,0,0,0,0,0,79,0,0,187,1574,304,0,8373,312,187,8373
2024-01-06,España,0,5,Incendios,0,0,0,0,0,0,0,1,0,0,1,13,5,0,51,4,0,51
2024-01-07,España,0,804.9333333333333,Hectáreas,0,0,0,0,0,0,0,79,0,0,187,2675,304,0,8373,456,187,8373
2024-01-07,España,0,5.4,Incendios,0,0,0,0,0,0,0,1,0,0,1,18,5,0,51,5,0,51
2024-01-08,España,0,875.8666666666667,Hectáreas,0,0,0,0,945,0,0,79,0,0,187,2715,383,0,8373,456,187,8373
2024-01-08,España,0,5.666666666666667,Incendios,0,0,0,0,1,0,0,1,0,0,1,19,7,0,51,5,0,51
2024-01-09,España,0,908.6666666666666,Hectáreas,0,0,0,0,1195,0,0,79,0,0,187,2916,424,0,8373,456,187,8373
2024-01-09,España,0,6.066666666666666,Incendios,0,0,0,0,3,0,0,1,0,0,1,22,8,0,51,5,0,51
2024-01-10,España,0,923.1333333333332,Hectáreas,0,0,0,0,1412,0,0,79,0,0,187,2916,424,0,8373,456,187,8373
2024-01-10,España,0,6.133333333333334,Incendios,0,0,0,0,4,0,0,1,0,0,1,22,8,0,51,5,0,51
2024-01-11,España,0,923.1333333333332,Hectáreas,0,0,0,0,1412,0,0,79,0,0,187,2916,424,0,8373,456,187,8373
2024-01-11,España,0,6.133333333333334,Incendios,0,0,0,0,4,0,0,1,0,0,1,22,8,0,51,5,0,51
2024-01-12,España,0,932.9333333333332,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,2916,424,0,8373,456,187,8373
2024-01-12,España,0,6.2,Incendios,0,0,0,0,4,0,0,2,0,0,1,22,8,0,51,5,0,51
2024-01-13,España,0,940.7333333333332,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,2995,462,0,8373,456,187,8373
2024-01-13,España,0,6.4,Incendios,0,0,0,0,4,0,0,2,0,0,1,24,9,0,51,5,0,51
2024-01-14,España,0,958.2,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,3147,462,0,8373,566,187,8373
2024-01-14,España,0,6.6,Incendios,0,0,0,0,4,0,0,2,0,0,1,26,9,0,51,6,0,51
2024-01-15,España,31,1002.9333333333332,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,3424,746,0,8483,566,187,8483
2024-01-15,España,1,7.133333333333334,Incendios,0,0,0,0,4,0,0,2,0,0,1,30,12,0,52,6,0,52
2024-01-16,España,31,1005.2,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,3424,746,0,8517,566,187,8517
2024-01-16,España,1,7.2,Incendios,0,0,0,0,4,0,0,2,0,0,1,30,12,0,53,6,0,53
2024-01-17,España,31,1016.6,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,3487,854,0,8517,566,187,8517
2024-01-17,España,1,7.333333333333333,Incendios,0,0,0,0,4,0,0,2,0,0,1,31,13,0,53,6,0,53
2024-01-18,España,31,1020.9333333333332,Hectáreas,0,0,0,0,1412,0,0,226,0,0,187,3487,885,0,8551,566,187,8551
2024-01-18,España,1,7.466666666666667,Incendios,0,0,0,0,4,0,0,2,0,0,1,31,14,0,54,6,0,54
