tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
48h,44.23845,28.31047,302.82,14 de abril,"Medgidia, Constanza, 905600, Rumania",,,
48h,44.94367,23.44946,295.09,14 de abril,"DJ675, Măceșu, Târgu Carbunești, Gorj, 215507, Rumania",,,
48h,45.20772,19.70698,296.91,14 de abril,"119, Beočin, Municipality of Beočin, Juznobački upravni okrug, Vojvodina, 21300, Serbia",,,
48h,44.23849,24.28406,295.19,14 de abril,"Strada Dealul Mare, Săliște, Osica de Jos, Olt, 237153, Rumania",,,
48h,45.48174,10.20899,297.9,14 de abril,"Via Galileo Galilei Traversa Seconda, Zona Artigianale San Zeno 2, San Zeno Naviglio, Brescia, Lombardía, 25010, Italia",,,
48h,45.46225,10.45753,330.9,14 de abril,"Via Faccendina, Feralpi Siderurgica, Lonato del Garda, Brescia, Lombardía, 25017, Italia",,,
48h,44.60496,20.96954,297.62,14 de abril,"Kralja Petra I, Vranovo, City of Smederevo, Podunavski upravni District, Central Serbia, 11329, Serbia",,,
48h,45.43839,8.79004,295.6,14 de abril,"Via San Cassiano, Exxon Mobil/TotalErg Sarpom Refinery, Trecate, Novara, Piamonte, 28065, Italia",,,
48h,44.50893,20.56597,304.17,14 de abril,"24, Marka Kraljevića, Ropočevo, Municipio de Sopot, Ciudad de Belgrado, Central Serbia, 11450, Serbia",,,
48h,43.23447,27.5929,297.98,14 de abril,"Barrio Reka Devnya, Devnya, Varna, 9160, Bulgaria",,,
48h,45.14759,9.94108,349.53,14 de abril,"Via Spinadesco, Cavatigozzi, Cremona, Lombardía, 26100, Italia",,,
48h,44.08035,22.10277,299.14,14 de abril,"Milana Vasić Perice, Stari centar, Bor, Ciudad de Bor, Distrito administrativo de Bor, Central Serbia, 19210, Serbia",,,
48h,44.01215,19.88963,298.31,14 de abril,"TITAN cementara Kosjerić, Živojina Mišića, Galovići, Municipality Kosjerić, Zlatiborski upravni okrug, Central Serbia, 31260, Serbia",,,
48h,44.2196,17.89583,328,14 de abril,"ArcelorMittal, A1, Donja Gračanica, Zenica, Ciudad de Zenica, Cantón Zenica-Doboj, Federación de Bosnia y Herzegovina, 72000, Bosnia y Herzegovina / Bosnia y Herzegovina",,,
48h,43.57574,22.94634,298.84,14 de abril,"Odorovtsi, Brusartsi, Montana, Bulgaria",,,
48h,44.1609,18.04864,301.77,14 de abril,"Ponihovo, Ciudad de Zenica, Cantón Zenica-Doboj, Federación de Bosnia y Herzegovina, Bosnia y Herzegovina / Bosnia y Herzegovina",,,
48h,44.30446,7.50549,296.04,14 de abril,"Techo Tumalinet, Robilante, Cuneo, Piamonte, 12017, Italia",,,
48h,43.45554,19.39208,306.92,14 de abril,"Osoje, Bučje, Kaluđerovići, Bučje, municipio de Priboj, distrito administrativo de Zlatibor, Serbia Central, Serbia",,,
48h,43.45388,19.39025,310.99,14 de abril,"18, Kaluđerovići, Municipio de Priboj, Distrito administrativo de Zlatibor, Serbia Central, Serbia",,,
48h,42.71536,24.16905,327.17,14 de abril,"Georgi Benkovski, Pirdop, Sofía, 2070, Bulgaria",,,
48h,42.71459,24.17371,318.45,14 de abril,"Aurubis Bulgaria, Pirdop, Sofía, 2070, Bulgaria",,,
48h,43.54313,16.43942,297.85,14 de abril,"Cesta Dr. Franje Tuđman, Smoljevci, Kaštel Sućurac, Ciudad de Kaštela, Condado de Split-Dalmacia, 21212, Croacia",,,
