firedate,commune_clean,province_es,area_ha,latitude,longitude
16 de agosto,Candelaria,S.C. Tenerife,11.923,28.49121,-16.3152724
17 de mayo,Pinofranqueado,Cáceres,10.843,40.3017563,-6.3326162
28 de marzo,Valdés,Asturias, 9.722,43.4847858,-6.4693693190585435
23 de marzo,Puebla de Arenoso,Castellón, 4.604,40.1048933,-0.5927755
29 de marzo,Allande,Asturias, 4.442,43.237218150000004,-6.688503978561734
29 de marzo,Tineo,Asturias, 2.961,43.333974,-6.4165462
15 de julio,Tijarafe,S.C. Tenerife, 2.925,28.742441848244674,-17.955459198662467
 2 de noviembre,Llocnou de Sant Jeroni,Valencia, 2.356,38.9130107,-0.2841276
12 de octubre,Ribadeo,Lugo, 2.185,43.5149202,-7.107963
29 de marzo,Baleira,Lugo, 1.448,43.05400255,-7.228073882860878
30 de marzo,Ponga,Asturias, 1.434,43.1873037,-5.154087158954772
28 de marzo,Parres,Asturias, 1.051,43.3588207,-5.184655747613598
29 de marzo,Piloña,Asturias,   844,43.3340915,-5.331034991375827
28 de marzo,Llanes,Asturias,   691,43.4166508158833,-4.767446967209544
29 de marzo,Cangas del Narcea,Asturias,   673,43.1774374,-6.5499784
24 de agosto,Mendigorría,Navarra,   587,42.6262078,-1.8340213
 4 de agosto,Colera,Girona,   541,42.403556267662374,3.1158794089656188
10 de marzo,Belmonte de Miranda,Asturias,   538,43.27306005,-6.261394419297124
29 de marzo,Soba,Cantabria,   519,43.191505449999994,-3.5623671831665567
