tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
48h,50.40741,11.33969,297.11, 1 de julio,Hirschfeld,Bayern,DE,Alemania
48h,48.61988,21.1953,300.97, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.61241,21.19796,329.68, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.61332,21.19271,296.8, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.61097,21.18617,295.8, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.61005,21.19142,299.38, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.60677,21.19012,321.14, 1 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,49.95554,9.76904,295.74, 1 de julio,Karlstadt,Bayern,DE,Alemania
48h,49.97852,8.68194,310.48, 1 de julio,Langen,Hessen,DE,Alemania
48h,49.75611,11.27177,302.09, 1 de julio,Gößweinstein,Bayern,DE,Alemania
48h,49.77162,11.02384,300.23, 1 de julio,Pautzfeld,Bayern,DE,Alemania
48h,48.64766,20.22049,299.73, 1 de julio,Jelšava,Banskobystrický kraj,SK,Eslovaquia
48h,46.89631,26.02894,299.22, 1 de julio,Hamzoaia,Neamț,RO,Rumanía
48h,45.37358,30.92805,354.78, 1 de julio,NA,NA,NA,Mundo
48h,49.11696,6.22375,298.24, 1 de julio,Metz,Grand Est,FR,Francia
48h,45.95101,25.28431,307.17, 1 de julio,Cuciulata,Brașov,RO,Rumanía
48h,46.94236,18.93626,303.12, 1 de julio,Dunaújváros,Fejér vármegye,HU,Hungría
48h,46.94156,18.94123,301.21, 1 de julio,Dunaújváros,Fejér vármegye,HU,Hungría
48h,46.93672,18.95005,321.32, 1 de julio,Dunaújváros,Fejér vármegye,HU,Hungría
48h,45.29122,25.10923,295.34, 1 de julio,Bilcești,Argeș,RO,Rumanía
48h,45.12294,25.41593,307.74, 1 de julio,Fieni,Dâmbovița,RO,Rumanía
48h,44.86507,26.01318,333.74, 1 de julio,Brazi,Prahova,RO,Rumanía
48h,41.1816,32.63593,297.19, 1 de julio,Karabük,Karabük,TR,Turquía
48h,41.17577,32.63252,315.68, 1 de julio,Karabük,Karabük,TR,Turquía
48h,41.17828,32.63201,306.2, 1 de julio,Karabük,Karabük,TR,Turquía
48h,45.75911,4.95877,307.47, 1 de julio,Décines-Charpieu,Rhône,FR,Francia
48h,45.75767,4.96288,304.99, 1 de julio,Décines-Charpieu,Rhône,FR,Francia
48h,41.26934,31.42577,303.61, 1 de julio,Ereğli,Zonguldak,TR,Turquía
48h,41.26372,31.42289,303.88, 1 de julio,Ereğli,Zonguldak,TR,Turquía
48h,41.26211,31.4283,300.49, 1 de julio,Ereğli,Zonguldak,TR,Turquía
48h,41.25416,31.41152,308.92, 1 de julio,Gülüç,Zonguldak,TR,Turquía
48h,41.0223,28.55534,318.54, 1 de julio,Büyükçekmece,İstanbul,TR,Turquía
48h,42.64361,20.89824,300.12, 1 de julio,Komuna e Drenasit / Opština Glogovac,NA,XK,Kosovo
48h,40.24099,29.92507,295.18, 1 de julio,Bilecik Merkez,Bilecik,TR,Turquía
48h,44.09109,4.69282,297.22, 1 de julio,Laudun-l'Ardoise,Occitanie,FR,Francia
48h,39.48357,30.04098,299.11, 1 de julio,Kütahya Merkez,Kütahya,TR,Turquía
48h,43.44791,4.87995,308.3, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.44772,4.88455,303.83, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.44711,4.89838,299.58, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.4452,4.87849,334.32, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.44498,4.88309,350.1, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.44475,4.88768,305.44, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.43962,4.88259,334.99, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.43985,4.878,296.88, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.43917,4.89181,295.39, 1 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.34698,5.36238,311.59, 1 de julio,Marseille,Provence-Alpes-Côte d'Azur,FR,Francia
48h,41.548,19.72276,305.69, 1 de julio,Bashkia Krujë,Shqipëria Veriore,AL,Albania
48h,39.60644,27.87769,298.73, 1 de julio,Altıeylül,Balıkesir,TR,Turquía
48h,42.00994,12.71412,303.52, 1 de julio,Guidonia,Lazio,IT,Italia
48h,41.35979,15.8752,300.56, 1 de julio,Cerignola,Puglia,IT,Italia
48h,38.7438,26.94738,305.19, 1 de julio,Aliağa,İzmir,TR,Turquía
48h,38.73788,26.94903,320.74, 1 de julio,Aliağa,İzmir,TR,Turquía
48h,38.73886,26.94531,307.44, 1 de julio,Aliağa,İzmir,TR,Turquía
48h,38.734,26.96385,308.27, 1 de julio,Aliağa,İzmir,TR,Turquía
48h,40.62716,17.99947,310.82, 1 de julio,Brindisi,Puglia,IT,Italia
