year,Effis,Miteco
2023,74750,"62794,64"
2022,309351,"267946,89"
2021,87503,"87879,74"
2020,61757,"65923,08"
2019,64359,"83962,69"
2018,12541,"25162,44"
2017,130981,"178233,93"
2016,52644,"65816,69"
2015,63589,"109782,85"
2014,22001,"48717,83"
2013,37069,"61690,61"
2012,189494,"218956,59"
2011,60116,"102161,33"
2010,19789,"54769,88"
2009,88845,"120094,21"
2008,10073,"50322,09"
2007,56539,"86122,03"
2006,118368,"155344,83"
2005,157324,"188697,49"
2004,123556,"134192,64"
2003,110955,"148172,47"
2002,78242,"107464,05"
2001,71743,"93297,54"
2000,107101,"187567,06"
1999,NA,"81680,67"
1998,NA,"132892,34"
1997,NA,"98503,17"
1996,NA,"58919,27"
1995,NA,"141082,17"
1994,NA,"437602,5"
1993,NA,"89331,1"
1992,NA,"105277,6"
1991,NA,260303
1990,NA,"203641,4"
1989,NA,"407122,1"
1988,NA,"137272,6"
1987,NA,"147340,4"
1986,NA,"264787,4"
1985,NA,"484475,2"
1984,NA,"164166,1"
1983,NA,107551
1982,NA,"149077,1"
1981,NA,"291417,1"
1980,NA,"261514,8"
1979,NA,"197655,05"
1978,NA,"424957,9"
1977,NA,"68870,9"
1976,NA,"121514,1"
1975,NA,"180136,9"
1974,NA,"139927,5"
1973,NA,"95072,5"
1972,NA,"55920,1"
1971,NA,"34312,4"
1970,NA,"87438,5"
1969,NA,"53171,6"
1968,NA,55702
1967,NA,76575
1966,NA,49354
1965,NA,38018
1964,NA,31398
1963,NA,22679
1962,NA,55482
1961,NA,46251
