tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,42.83397,31.30077,316.59,15 de mayo,NA,NA,NA,Mundo
24h,45.46262,10.45646,303.03,15 de mayo,Lonato del Garda,Lombardia,IT,Italia
24h,45.4306,11.00168,296.06,15 de mayo,Verona,Veneto,IT,Italia
24h,45.15439,9.94428,301.56,15 de mayo,Sesto ed Uniti,Lombardia,IT,Italia
24h,45.14367,9.94317,330.95,15 de mayo,Spinadesco,Lombardia,IT,Italia
24h,41.17646,32.63276,299.58,15 de mayo,Karabük,Karabük,TR,Turquía
24h,40.76457,32.21613,303.5,15 de mayo,Gerede,Bolu,TR,Turquía
24h,43.79402,7.37299,297.57,15 de mayo,Nice,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44342,4.89331,307.52,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44337,4.90142,297.77,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43669,4.8932,303.49,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.42952,4.9657,296.11,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,38.75373,26.95379,304.24,15 de mayo,Aliağa,İzmir,TR,Turquía
24h,38.74191,26.93077,305.67,15 de mayo,Aliağa,İzmir,TR,Turquía
24h,38.73437,26.96547,306.95,15 de mayo,Aliağa,İzmir,TR,Turquía
24h,38.42704,27.21902,298.65,15 de mayo,Bornova,Ege Bölgesi,TR,Turquía
24h,37.72694,28.60964,297.26,15 de mayo,Karacasu,Aydın,TR,Turquía
24h,37.21162,15.17056,299.53,15 de mayo,Augusta,Sicilia,IT,Italia
24h,65.7698,24.19451,325.29,15 de mayo,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,65.76695,24.18079,304.75,15 de mayo,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,65.76596,24.19254,308.16,15 de mayo,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,65.56625,22.21484,325.08,15 de mayo,Luleå,Norrbottens län,SE,Suecia
24h,65.56561,22.22346,314.86,15 de mayo,Luleå,Norrbottens län,SE,Suecia
24h,65.56155,22.22176,300.42,15 de mayo,Luleå,Norrbottens län,SE,Suecia
24h,64.66103,24.42391,327.57,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.66004,24.43465,302.76,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.65629,24.43277,304.93,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64977,24.41827,299.93,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.6488,24.42899,299.1,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64504,24.42709,308.89,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64325,24.40354,310.95,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.65096,24.424,306.03,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64622,24.43281,303.09,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64074,24.40744,318.28,15 de mayo,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.66628,21.28097,314.08,15 de mayo,Skellefteå kommun,Västerbottens län,SE,Suecia
24h,61.12925,28.45394,296.69,15 de mayo,Joutseno,Etelä-Suomen aluehallintovirasto,FI,Finlandia
24h,60.28565,22.28692,298.26,15 de mayo,Pargas,Lounais-Suomen aluehallintovirasto,FI,Finlandia
24h,59.39616,14.00645,303.33,15 de mayo,Kristinehamns kommun,Värmlands län,SE,Suecia
24h,58.6773,17.13225,299.99,15 de mayo,Oxelösund,Södermanlands län,SE,Suecia
24h,58.67288,17.13125,295.99,15 de mayo,Oxelösund,Södermanlands län,SE,Suecia
24h,58.67416,17.13491,296.4,15 de mayo,Oxelösund,Södermanlands län,SE,Suecia
24h,57.71038,18.80634,304.04,15 de mayo,Gotlands kommun,Gotlands län,SE,Suecia
24h,57.70837,18.80566,301.36,15 de mayo,Gotlands kommun,Gotlands län,SE,Suecia
24h,53.52566,9.90262,302.55,15 de mayo,Hamburg,NA,DE,Alemania
24h,53.14157,8.67215,297.29,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.14151,8.67934,306.16,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.13557,8.67916,313.03,15 de mayo,Bremen,Bremen,DE,Alemania
24h,52.49349,4.61079,302.01,15 de mayo,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.40328,12.49903,295.18,15 de mayo,Brandenburg an der Havel,Brandenburg,DE,Alemania
24h,52.3557,9.89159,296.46,15 de mayo,Hannover,Niedersachsen,DE,Alemania
24h,52.35297,9.89218,298.49,15 de mayo,Sehnde,Niedersachsen,DE,Alemania
24h,51.76393,8.0574,296.87,15 de mayo,Beckum,Nordrhein-Westfalen,DE,Alemania
24h,51.49194,6.73935,297.84,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.48549,6.72283,309.63,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.36317,10.4834,296.18,15 de mayo,Deuna,Thüringen,DE,Alemania
24h,51.36901,6.70683,322.13,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.27026,11.66139,303.32,15 de mayo,Unstruttal,Sachsen-Anhalt,DE,Alemania
24h,50.65491,11.41364,300.46,15 de mayo,Saalfeld/Saale,Thüringen,DE,Alemania
24h,50.65417,11.43346,308.46,15 de mayo,Kamsdorf,Thüringen,DE,Alemania
24h,49.50327,5.95478,297.22,15 de mayo,Esch-sur-Alzette,Canton Esch-sur-Alzette,LU,Luxemburgo
24h,49.50331,5.9631,301.83,15 de mayo,Esch-sur-Alzette,Canton Esch-sur-Alzette,LU,Luxemburgo
24h,49.35723,6.74652,305.51,15 de mayo,Saarlouis,Saarland,DE,Alemania
24h,49.36132,6.74703,303.32,15 de mayo,Dillingen/Saar,Saarland,DE,Alemania
24h,49.24716,6.85245,305.51,15 de mayo,Völklingen,Saarland,DE,Alemania
24h,49.24464,6.84738,302.35,15 de mayo,Völklingen,Saarland,DE,Alemania
24h,45.37687,30.93116,340.81,15 de mayo,NA,NA,NA,Mundo
24h,41.40816,1.99714,303.56,15 de mayo,Sant Vicenç dels Horts,Barcelona,ES,España
24h,41.07679,-7.88664,303.24,15 de mayo,Resende,Viseu,PT,Portugal
24h,40.24574,-3.47593,314.37,15 de mayo,Morata de Tajuña,Comunidad de Madrid,ES,España
24h,40.24499,-3.47145,297.81,15 de mayo,Morata de Tajuña,Comunidad de Madrid,ES,España
24h,38.9203,-9.01075,313.96,15 de mayo,Sobralinho,Lisboa,PT,Portugal
24h,38.92001,-9.01265,303.61,15 de mayo,"Alhandra, São João dos Montes e Calhandriz",Lisboa,PT,Portugal
24h,37.57165,-0.91615,301.67,15 de mayo,Cartagena,Región de Murcia,ES,España
24h,38.50205,-8.93684,314.62,15 de mayo,Setúbal,Setúbal,PT,Portugal
24h,37.36215,-5.86608,299.3,15 de mayo,Alcalá de Guadaíra,Sevilla,ES,España
24h,58.68272,17.13636,296.35,15 de mayo,Oxelösund,Södermanlands län,SE,Suecia
24h,59.39424,13.99911,305.26,15 de mayo,Kristinehamns kommun,Värmlands län,SE,Suecia
24h,61.10125,1.07473,318.09,15 de mayo,NA,NA,NA,Mundo
24h,58.38424,13.82986,300.48,15 de mayo,Skövde,Västra Götalands län,SE,Suecia
24h,58.36218,12.3752,305.74,15 de mayo,Vänersborgs kommun,Västra Götalands län,SE,Suecia
24h,58.36022,12.38351,299.9,15 de mayo,Vänersborgs kommun,Västra Götalands län,SE,Suecia
24h,60.69164,-2.54164,299.75,15 de mayo,NA,NA,NA,Mundo
24h,60.18044,-3.86944,301.92,15 de mayo,NA,NA,NA,Mundo
24h,58.35369,0.86584,304.02,15 de mayo,NA,NA,NA,Mundo
24h,53.8744,9.58515,295.71,15 de mayo,Krempermarsch,Schleswig-Holstein,DE,Alemania
24h,53.51251,10.03535,299.01,15 de mayo,Hamburg,NA,DE,Alemania
24h,53.51115,10.041,309.19,15 de mayo,Hamburg,NA,DE,Alemania
24h,53.52182,9.90496,340.17,15 de mayo,Hamburg,NA,DE,Alemania
24h,53.14275,8.67643,296.33,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.13907,8.67408,308.82,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.1373,8.68179,302.6,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.13552,8.68954,308.14,15 de mayo,Bremen,Bremen,DE,Alemania
24h,53.13362,8.67947,332.25,15 de mayo,Bremen,Bremen,DE,Alemania
24h,52.16487,10.43094,296.19,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16393,10.41608,315.83,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.1624,10.42217,301.32,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15748,10.40462,337.54,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15595,10.41071,302.68,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.1535,10.40192,330.6,15 de mayo,Salzgitter,Niedersachsen,DE,Alemania
24h,52.20818,8.0456,327.99,15 de mayo,Georgsmarienhütte,Niedersachsen,DE,Alemania
24h,52.17595,7.88979,296.01,15 de mayo,Lengerich,Nordrhein-Westfalen,DE,Alemania
24h,53.88952,-2.37971,296.16,15 de mayo,Clitheroe,England,GB,Reino Unido
24h,51.36332,10.48534,299.31,15 de mayo,Deuna,Thüringen,DE,Alemania
24h,51.76623,8.05489,302.43,15 de mayo,Beckum,Nordrhein-Westfalen,DE,Alemania
24h,52.49422,4.61002,327.25,15 de mayo,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.49303,4.61611,328.37,15 de mayo,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.48439,4.58471,311.95,15 de mayo,Velsen,Noord-Holland,NL,Países Bajos
24h,52.4832,4.59079,304.94,15 de mayo,Velsen,Noord-Holland,NL,Países Bajos
24h,54.13044,-7.57911,299.3,15 de mayo,NA,County Cavan,IE,Irlanda
24h,53.68331,-6.38532,297.27,15 de mayo,NA,County Meath,IE,Irlanda
24h,51.49763,6.74474,300.9,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.4827,6.72047,325.67,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.48581,6.70636,303.97,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.46202,6.74052,303.54,15 de mayo,Duisburg,Nordrhein-Westfalen,DE,Alemania
24h,51.30042,7.01016,295.4,15 de mayo,Wülfrath,Nordrhein-Westfalen,DE,Alemania
24h,51.25826,4.33087,309.18,15 de mayo,Antwerpen,Antwerpen,BE,Bélgica
24h,51.25586,4.34304,297.34,15 de mayo,Antwerpen,Antwerpen,BE,Bélgica
24h,50.93156,5.51592,295.91,15 de mayo,Genk,Limburg,BE,Bélgica
24h,51.17806,3.80947,302.77,15 de mayo,Zelzate,Oost-Vlaanderen,BE,Bélgica
24h,51.1747,3.80782,346.54,15 de mayo,Zelzate,Oost-Vlaanderen,BE,Bélgica
24h,51.17355,3.81374,327.88,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.17134,3.80616,327.38,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.17018,3.81209,301.23,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.16798,3.80452,301.46,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.16682,3.81044,304.66,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.16566,3.81637,310.57,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,51.16125,3.80124,301.31,15 de mayo,Gent,Oost-Vlaanderen,BE,Bélgica
24h,50.0324,8.25831,295.42,15 de mayo,Wiesbaden,Hessen,DE,Alemania
24h,52.6428,-8.68716,307.49,15 de mayo,Limerick,County Limerick,IE,Irlanda
24h,51.04458,2.29535,327.14,15 de mayo,Grande-Synthe,Hauts-de-France,FR,Francia
24h,51.03675,2.27975,295.8,15 de mayo,Dunkerque,Hauts-de-France,FR,Francia
24h,51.03574,2.28531,295.95,15 de mayo,Dunkerque,Hauts-de-France,FR,Francia
24h,50.41085,4.41582,297.19,15 de mayo,Charleroi,Hainaut,BE,Bélgica
24h,50.47372,3.99109,323.31,15 de mayo,Mons,Hainaut,BE,Bélgica
24h,50.4818,3.79786,295.92,15 de mayo,Saint-Ghislain,Hainaut,BE,Bélgica
24h,51.68464,-5.02973,302.87,15 de mayo,Rhoscrowther,Cymru / Wales,GB,Reino Unido
24h,49.35901,6.7481,314.77,15 de mayo,Dillingen/Saar,Saarland,DE,Alemania
24h,49.50312,5.96139,324.59,15 de mayo,Esch-sur-Alzette,Canton Esch-sur-Alzette,LU,Luxemburgo
24h,48.69278,6.96978,296.79,15 de mayo,Sarrebourg-Château-Salins,Grand Est,FR,Francia
24h,45.38145,11.94941,307.3,15 de mayo,Padova,Veneto,IT,Italia
24h,45.38253,11.94832,308.12,15 de mayo,Padova,Veneto,IT,Italia
24h,45.46226,10.4559,316.61,15 de mayo,Lonato del Garda,Lombardia,IT,Italia
24h,43.44802,4.8953,336.79,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44679,4.90053,317.71,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43078,4.96877,298.92,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44271,4.89873,296.21,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43986,4.89171,337.91,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43578,4.88991,338.31,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43455,4.89513,307.57,15 de mayo,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
