tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
48h,37.67015,-5.16102,306.6,15 de julio,Fuente Carreteros,Córdoba,ES,España
48h,54.42335,19.80361,299.23,15 de julio,gmina Braniewo,województwo warmińsko-mazurskie,PL,Polonia
48h,53.50188,18.80676,328.32,15 de julio,Grudziądz,województwo kujawsko-pomorskie,PL,Polonia
48h,52.59055,19.70078,311.78,15 de julio,Płock,województwo mazowieckie,PL,Polonia
48h,52.29837,20.92299,300.67,15 de julio,Warszawa,województwo mazowieckie,PL,Polonia
48h,53.51208,10.03821,300.77,15 de julio,Hamburg,NA,DE,Alemania
48h,51.76166,18.07632,298.11,15 de julio,Kalisz,województwo wielkopolskie,PL,Polonia
48h,52.49036,13.83978,299.97,15 de julio,Rüdersdorf bei Berlin,Brandenburg,DE,Alemania
48h,53.14014,8.67772,301.58,15 de julio,Bremen,Bremen,DE,Alemania
48h,50.80846,20.53341,305.88,15 de julio,gmina Nowiny,województwo świętokrzyskie,PL,Polonia
48h,51.10364,18.94134,315.5,15 de julio,gmina Działoszyn,województwo łódzkie,PL,Polonia
48h,51.68871,15.98167,330.34,15 de julio,gmina Żukowice,województwo dolnośląskie,PL,Polonia
48h,53.63229,-0.24055,296.43,15 de julio,South Killingholme,England,GB,Reino Unido
48h,53.56887,-0.60722,305.73,15 de julio,Scunthorpe,England,GB,Reino Unido
48h,53.60885,-1.66703,308.9,15 de julio,Kirklees,West Yorkshire,GB,Reino Unido
48h,53.5696,-0.59518,303.61,15 de julio,NA,England,GB,Reino Unido
48h,52.37337,9.87795,297.14,15 de julio,Hannover,Niedersachsen,DE,Alemania
48h,53.39748,-1.38464,317.44,15 de julio,Sheffield,South Yorkshire,GB,Reino Unido
48h,52.35453,9.88864,303.09,15 de julio,Sehnde,Niedersachsen,DE,Alemania
48h,50.49352,19.45902,306.29,15 de julio,Zawiercie,powiat zawierciański,PL,Polonia
48h,52.1656,10.431,311.3,15 de julio,Salzgitter,Niedersachsen,DE,Alemania
48h,50.34163,19.33619,304.24,15 de julio,Dąbrowa Górnicza,Górnośląsko-Zagłębiowska Metropolia,PL,Polonia
48h,52.46711,7.31705,316.3,15 de julio,Lingen (Ems),Niedersachsen,DE,Alemania
48h,50.33522,18.83175,335.95,15 de julio,Zabrze,Górnośląsko-Zagłębiowska Metropolia,PL,Polonia
48h,50.53462,17.97517,314.17,15 de julio,gmina Gogolin,województwo opolskie,PL,Polonia
48h,50.41589,18.14458,303.29,15 de julio,Zdzieszowice,województwo opolskie,PL,Polonia
48h,52.17413,7.89153,300.68,15 de julio,Lengerich,Nordrhein-Westfalen,DE,Alemania
48h,52.49174,4.61551,303.62,15 de julio,Beverwijk,Noord-Holland,NL,Países Bajos
48h,52.48254,4.58929,298.11,15 de julio,Velsen,Noord-Holland,NL,Países Bajos
48h,50.03949,18.4853,301.29,15 de julio,Radlin,powiat wodzisławski,PL,Polonia
48h,51.27065,11.66141,300.53,15 de julio,Unstruttal,Sachsen-Anhalt,DE,Alemania
48h,51.76577,8.05878,307.35,15 de julio,Beckum,Nordrhein-Westfalen,DE,Alemania
48h,51.36467,10.48447,305.98,15 de julio,Deuna,Thüringen,DE,Alemania
48h,49.86051,18.2769,311.95,15 de julio,Ostrava,Moravskoslezsko,CZ,Rep. Checa
48h,51.61846,8.50864,309.58,15 de julio,Geseke,Nordrhein-Westfalen,DE,Alemania
48h,49.78126,18.32031,304.07,15 de julio,Vratimov,Moravskoslezsko,CZ,Rep. Checa
48h,51.59583,8.33712,302.1,15 de julio,Erwitte,Nordrhein-Westfalen,DE,Alemania
48h,49.68867,18.65597,316.21,15 de julio,Třinec,Moravskoslezsko,CZ,Rep. Checa
48h,51.02806,10.54969,309.91,15 de julio,Wutha-Farnroda,Thüringen,DE,Alemania
48h,51.48481,6.70851,332.87,15 de julio,Duisburg,Nordrhein-Westfalen,DE,Alemania
48h,48.61698,21.18831,305.78,15 de julio,Košice,Košický kraj,SK,Eslovaquia
48h,48.61005,21.17601,309.9,15 de julio,Veľká Ida,Košický kraj,SK,Eslovaquia
48h,49.89452,15.64021,301.42,15 de julio,okres Chrudim,Severovýchod,CZ,Rep. Checa
48h,51.29631,7.01117,313.1,15 de julio,Wülfrath,Nordrhein-Westfalen,DE,Alemania
48h,48.59332,20.84472,296.92,15 de julio,Dvorníky-Včeláre,Košický kraj,SK,Eslovaquia
48h,48.6471,20.21894,299.94,15 de julio,Jelšava,Banskobystrický kraj,SK,Eslovaquia
48h,51.18179,3.80843,301.73,15 de julio,Zelzate,Oost-Vlaanderen,BE,Bélgica
48h,51.17403,3.80656,346.79,15 de julio,Gent,Oost-Vlaanderen,BE,Bélgica
48h,51.04761,2.29569,311.57,15 de julio,Grande-Synthe,Hauts-de-France,FR,Francia
48h,51.03864,2.28306,296.01,15 de julio,Dunkerque,Hauts-de-France,FR,Francia
48h,48.58783,17.65227,337.13,15 de julio,Kočín-Lančár,Trnavský kraj,SK,Eslovaquia
48h,50.56845,5.36554,305.26,15 de julio,Engis,Liège,BE,Bélgica
48h,49.77156,11.02493,301.7,15 de julio,Pautzfeld,Bayern,DE,Alemania
48h,49.9534,9.76901,307.08,15 de julio,Karlstadt,Bayern,DE,Alemania
48h,48.45882,17.19294,311.47,15 de julio,Rohožník,Bratislavský kraj,SK,Eslovaquia
48h,50.40327,3.55925,311.61,15 de julio,Bruay-sur-l'Escaut,Hauts-de-France,FR,Francia
48h,50.40256,3.5669,298.87,15 de julio,Saint-Saulve,Hauts-de-France,FR,Francia
48h,45.95195,25.2793,301.89,15 de julio,Cuciulata,Brașov,RO,Rumanía
48h,48.2792,14.33677,310.61,15 de julio,Linz,NA,AT,Austria
48h,49.52323,5.90632,326.18,15 de julio,Differdange,Canton Esch-sur-Alzette,LU,Luxemburgo
48h,49.50621,5.95805,316.19,15 de julio,Esch-sur-Alzette,Canton Esch-sur-Alzette,LU,Luxemburgo
48h,49.35723,6.7504,334.55,15 de julio,Saarlouis,Saarland,DE,Alemania
48h,49.35797,6.74466,313.12,15 de julio,Dillingen/Saar,Saarland,DE,Alemania
48h,48.77827,10.69885,301.75,15 de julio,Harburg (Schwaben),Bayern,DE,Alemania
48h,49.24614,6.85267,321.3,15 de julio,Völklingen,Saarland,DE,Alemania
48h,48.65235,10.16329,301.98,15 de julio,Heidenheim an der Brenz,Baden-Württemberg,DE,Alemania
48h,48.94167,5.91247,300.15,15 de julio,Toul,Grand Est,FR,Francia
48h,48.88456,6.05447,329.26,15 de julio,Nancy,Grand Est,FR,Francia
48h,48.33341,9.73053,302.61,15 de julio,Gemeindeverwaltungsverband Allmendingen,Baden-Württemberg,DE,Alemania
48h,48.60036,7.82029,316.99,15 de julio,Kehl,Baden-Württemberg,DE,Alemania
48h,47.467,12.63193,299.82,15 de julio,Gemeinde Hochfilzen,Tirol,AT,Austria
48h,45.98444,17.73806,308.67,15 de julio,Szigetvári járás,Baranya vármegye,HU,Hungría
48h,48.01044,5.22732,303.89,15 de julio,Chaumont,Grand Est,FR,Francia
48h,45.46774,16.79833,304.55,15 de julio,Grad Kutina,Sisačko-moslavačka županija,HR,Croacia
48h,47.17575,7.56158,327.93,15 de julio,Bezirk Wasseramt,Solothurn,CH,Suiza
48h,46.23058,13.07369,306.64,15 de julio,Rivoli,Friuli-Venezia Giulia,IT,Italia
48h,46.06987,13.62962,308.56,15 de julio,Morsko,NA,SI,Eslovenia
48h,46.17699,12.74012,302.85,15 de julio,Fanna,Friuli-Venezia Giulia,IT,Italia
48h,47.0593,5.10331,309.79,15 de julio,Beaune,Bourgogne-Franche-Comté,FR,Francia
48h,46.65698,6.54544,301.56,15 de julio,Eclépens,Vaud,CH,Suiza
48h,45.52124,11.49884,306.54,15 de julio,Vicenza,Veneto,IT,Italia
48h,45.38103,11.94873,303.4,15 de julio,Padova,Veneto,IT,Italia
48h,45.42958,11.00386,306.38,15 de julio,Verona,Veneto,IT,Italia
48h,45.51484,10.34282,303.18,15 de julio,Rezzato,Lombardia,IT,Italia
48h,45.51063,10.24654,304.11,15 de julio,Brescia,Lombardia,IT,Italia
48h,45.46006,10.45598,332.51,15 de julio,Lonato del Garda,Lombardia,IT,Italia
48h,45.47956,10.2129,320.04,15 de julio,San Zeno Naviglio,Lombardia,IT,Italia
48h,45.47623,10.07012,300.78,15 de julio,Unione dei Comuni Bassa Bresciana Occidentale,Lombardia,IT,Italia
48h,45.91261,5.82276,308.17,15 de julio,Belley,Auvergne-Rhône-Alpes,FR,Francia
48h,45.14712,9.94083,323.94,15 de julio,Spinadesco,Lombardia,IT,Italia
48h,45.14628,9.94574,326.09,15 de julio,Cremona,Lombardia,IT,Italia
48h,45.24678,6.41459,303.9,15 de julio,Saint-Jean-de-Maurienne,Auvergne-Rhône-Alpes,FR,Francia
48h,43.36505,12.5444,307.19,15 de julio,Gubbio,Umbria,IT,Italia
48h,41.54869,19.72447,305.63,15 de julio,Bashkia Krujë,Shqipëria Veriore,AL,Albania
48h,43.79499,7.37289,320.71,15 de julio,Nice,Provence-Alpes-Côte d'Azur,FR,Francia
48h,43.4473,4.89809,344.49,15 de julio,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
48h,41.31437,16.20176,321.66,15 de julio,Barletta,Barletta-Andria-Trani,IT,Italia
48h,43.28926,5.42915,311.93,15 de julio,Marseille,Provence-Alpes-Côte d'Azur,FR,Francia
48h,41.16179,15.94269,315.64,15 de julio,Canosa di Puglia,Barletta-Andria-Trani,IT,Italia
48h,40.47493,18.11195,304.11,15 de julio,Lecce,Puglia,IT,Italia
48h,40.5191,17.20484,309.88,15 de julio,Taranto,Puglia,IT,Italia
48h,40.40184,17.67139,316.28,15 de julio,Manduria,Puglia,IT,Italia
48h,40.51289,17.19395,308.52,15 de julio,Statte,Puglia,IT,Italia
48h,41.95371,8.80516,303.5,15 de julio,Sarrola-Carcopino,Corse,FR,Francia
48h,43.22598,-2.87924,302.56,15 de julio,Basauri,Bizkaia,ES,España
48h,43.0343,-2.21901,303.83,15 de julio,Olaberria,Gipuzkoa,ES,España
48h,42.23117,-3.76283,300.36,15 de julio,Arcos,Burgos,ES,España
48h,40.55794,9.67194,313.9,15 de julio,Thiniscole/Siniscola,Sardigna/Sardegna,IT,Italia
