fecha,indicativo,nombre_completo,provincia,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-05-14,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.9,23.8,1.1,24.9,23.8,"+1,1",14 may.,▲,#cb181d
2024-05-14,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,19.9,23.2,-3.3,23.2,19.9,"-3,3",14 may.,▼,#2171b5
2024-05-15,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.9,23.4,0.5,23.9,23.4,"+0,5",15 may.,▲,#cb181d
2024-05-15,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,19.2,25,-5.8,25,19.2,"-5,8",15 may.,▼,#2171b5
2024-05-16,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.2,23.7,-0.5,23.7,23.2,"-0,5",16 may.,▼,#2171b5
2024-05-16,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,19.7,25.6,-5.9,25.6,19.7,"-5,9",16 may.,▼,#2171b5
2024-05-17,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.1,23.7,1.4,25.1,23.7,"+1,4",17 may.,▲,#cb181d
2024-05-17,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,21.5,24.7,-3.2,24.7,21.5,"-3,2",17 may.,▼,#2171b5
2024-05-18,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.3,24,-0.7,24,23.3,"-0,7",18 may.,▼,#2171b5
2024-05-18,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,23.7,24.6,-0.9,24.6,23.7,"-0,9",18 may.,▼,#2171b5
2024-05-19,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.9,23.3,1.6,24.9,23.3,"+1,6",19 may.,▲,#cb181d
2024-05-19,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,22.4,23.2,-0.8,23.2,22.4,"-0,8",19 may.,▼,#2171b5
2024-05-20,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,22.2,23.4,-1.2,23.4,22.2,"-1,2",20 may.,▼,#2171b5
