fecha,indicativo,nombre_completo,provincia,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-05-19,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,7.2,10.2,-3,10.2,7.2,-3,19 may.,▼,#2171b5
2024-05-19,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,17.8,18.4,-0.6,18.4,17.8,"-0,6",19 may.,▼,#2171b5
2024-05-20,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,6.3,11.1,-4.8,11.1,6.3,"-4,8",20 may.,▼,#2171b5
2024-05-20,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,19.1,18.5,0.6,19.1,18.5,"+0,6",20 may.,▲,#cb181d
2024-05-21,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,6.6,10.4,-3.8,10.4,6.6,"-3,8",21 may.,▼,#2171b5
2024-05-21,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,18.9,18.2,0.7,18.9,18.2,"+0,7",21 may.,▲,#cb181d
2024-05-22,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,8.1,9.9,-1.8,9.9,8.1,"-1,8",22 may.,▼,#2171b5
2024-05-22,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,19.3,18.4,0.9,19.3,18.4,"+0,9",22 may.,▲,#cb181d
2024-05-23,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,11.9,10.1,1.8,11.9,10.1,"+1,8",23 may.,▲,#cb181d
2024-05-23,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,19.3,18.2,1.1,19.3,18.2,"+1,1",23 may.,▲,#cb181d
2024-05-24,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,9.8,11,-1.2,11,9.8,"-1,2",24 may.,▼,#2171b5
2024-05-24,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,18.6,18.8,-0.2,18.8,18.6,"-0,2",24 may.,▼,#2171b5
2024-05-25,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,9.8,11.5,-1.7,11.5,9.8,"-1,7",25 may.,▼,#2171b5
2024-05-25,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,18.5,18.1,0.4,18.5,18.1,"+0,4",25 may.,▲,#cb181d
2024-05-26,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,12.3,10.1,2.2,12.3,10.1,"+2,2",26 may.,▲,#cb181d
2024-05-26,C129V,Fuencaliente (Sta. Cruz de Tenerife),Anomalía más alta,19.2,18.4,0.8,19.2,18.4,"+0,8",26 may.,▲,#cb181d
2024-05-27,5341C,Fuencaliente (Ciudad Real),Anomalía más alta,NA,11.4,NA,NA,NA,NA,27 may.,NA,NA
