fecha,indicativo,nombre_completo,provincia,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-05-28,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,15.4,9.1,6.3,15.4,9.1,"+6,3",28 may.,▲,#cb181d
2024-05-28,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,15.7,11.9,3.8,15.7,11.9,"+3,8",28 may.,▲,#cb181d
2024-05-28,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,13.6,12.2,1.4,13.6,12.2,"+1,4",28 may.,▲,#cb181d
2024-05-28,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,20,12.2,7.8,20,12.2,"+7,8",28 may.,▲,#cb181d
2024-05-28,3463Y,Trujillo (Cáceres),Mayor anomalía,14.6,15.8,-1.2,15.8,14.6,"-1,2",28 may.,▼,#2171b5
2024-05-29,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,17.5,9,8.5,17.5,9,"+8,5",29 may.,▲,#cb181d
2024-05-29,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.1,10.1,7,17.1,10.1,+7,29 may.,▲,#cb181d
2024-05-29,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,12.6,11.8,0.8,12.6,11.8,"+0,8",29 may.,▲,#cb181d
2024-05-29,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,20,11.8,8.2,20,11.8,"+8,2",29 may.,▲,#cb181d
2024-05-29,3463Y,Trujillo (Cáceres),Mayor anomalía,18.8,16.5,2.3,18.8,16.5,"+2,3",29 may.,▲,#cb181d
2024-05-30,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,18.2,9.9,8.3,18.2,9.9,"+8,3",30 may.,▲,#cb181d
2024-05-30,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,18.2,9.9,8.3,18.2,9.9,"+8,3",30 may.,▲,#cb181d
2024-05-30,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.3,12.6,4.7,17.3,12.6,"+4,7",30 may.,▲,#cb181d
2024-05-30,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.3,12.6,4.7,17.3,12.6,"+4,7",30 may.,▲,#cb181d
2024-05-30,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,14.8,11.9,2.9,14.8,11.9,"+2,9",30 may.,▲,#cb181d
2024-05-31,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,14.2,10.8,3.4,14.2,10.8,"+3,4",31 may.,▲,#cb181d
2024-05-31,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,14.2,10.8,3.4,14.2,10.8,"+3,4",31 may.,▲,#cb181d
2024-05-31,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.5,11.7,5.8,17.5,11.7,"+5,8",31 may.,▲,#cb181d
2024-05-31,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.5,11.7,5.8,17.5,11.7,"+5,8",31 may.,▲,#cb181d
2024-05-31,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,18.8,11.8,7,18.8,11.8,+7,31 may.,▲,#cb181d
2024-06-01,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,11.2,11.6,-0.4,11.6,11.2,"-0,4", 1 jun.,▼,#2171b5
2024-06-01,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,16.1,12.3,3.8,16.1,12.3,"+3,8", 1 jun.,▲,#cb181d
2024-06-01,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,15.6,11.2,4.4,15.6,11.2,"+4,4", 1 jun.,▲,#cb181d
2024-06-01,3463Y,Trujillo (Cáceres),Mayor anomalía,17.3,16.2,1.1,17.3,16.2,"+1,1", 1 jun.,▲,#cb181d
2024-06-01,4236Y,Puerto Rey (Cáceres),Mayor anomalía,18.1,15.1,3,18.1,15.1,+3, 1 jun.,▲,#cb181d
2024-06-02,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,11.6,13.1,-1.5,13.1,11.6,"-1,5", 2 jun.,▼,#2171b5
2024-06-02,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,14.4,15.7,-1.3,15.7,14.4,"-1,3", 2 jun.,▼,#2171b5
2024-06-02,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,13.6,12.6,1,13.6,12.6,+1, 2 jun.,▲,#cb181d
2024-06-02,3463Y,Trujillo (Cáceres),Mayor anomalía,15,16.8,-1.8,16.8,15,"-1,8", 2 jun.,▼,#2171b5
2024-06-02,4236Y,Puerto Rey (Cáceres),Mayor anomalía,14.9,15.4,-0.5,15.4,14.9,"-0,5", 2 jun.,▼,#2171b5
2024-06-03,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,14.4,12.4,2,14.4,12.4,+2, 3 jun.,▲,#cb181d
2024-06-03,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,14.8,16.1,-1.3,16.1,14.8,"-1,3", 3 jun.,▼,#2171b5
2024-06-03,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,14.9,12.4,2.5,14.9,12.4,"+2,5", 3 jun.,▲,#cb181d
2024-06-03,3463Y,Trujillo (Cáceres),Mayor anomalía,17.1,14.9,2.2,17.1,14.9,"+2,2", 3 jun.,▲,#cb181d
2024-06-03,4236Y,Puerto Rey (Cáceres),Mayor anomalía,17.9,14.3,3.6,17.9,14.3,"+3,6", 3 jun.,▲,#cb181d
2024-06-04,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,14.8,10.8,4,14.8,10.8,+4, 4 jun.,▲,#cb181d
2024-06-04,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,15.5,14.3,1.2,15.5,14.3,"+1,2", 4 jun.,▲,#cb181d
2024-06-04,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,13.5,11.6,1.9,13.5,11.6,"+1,9", 4 jun.,▲,#cb181d
2024-06-04,3463Y,Trujillo (Cáceres),Mayor anomalía,18.3,14.1,4.2,18.3,14.1,"+4,2", 4 jun.,▲,#cb181d
2024-06-04,4236Y,Puerto Rey (Cáceres),Mayor anomalía,16.6,13.6,3,16.6,13.6,+3, 4 jun.,▲,#cb181d
2024-06-05,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,17,10.2,6.8,17,10.2,"+6,8", 5 jun.,▲,#cb181d
2024-06-05,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,17.9,11.9,6,17.9,11.9,+6, 5 jun.,▲,#cb181d
2024-06-05,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,13.8,10.9,2.9,13.8,10.9,"+2,9", 5 jun.,▲,#cb181d
2024-06-05,3463Y,Trujillo (Cáceres),Mayor anomalía,18.9,10.7,8.2,18.9,10.7,"+8,2", 5 jun.,▲,#cb181d
2024-06-05,4236Y,Puerto Rey (Cáceres),Mayor anomalía,16.7,12.2,4.5,16.7,12.2,"+4,5", 5 jun.,▲,#cb181d
2024-06-06,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,17.9,12.6,5.3,17.9,12.6,"+5,3", 6 jun.,▲,#cb181d
2024-06-06,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,17.9,12.6,5.3,17.9,12.6,"+5,3", 6 jun.,▲,#cb181d
2024-06-06,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,18.9,14.2,4.7,18.9,14.2,"+4,7", 6 jun.,▲,#cb181d
2024-06-06,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,18.9,14.2,4.7,18.9,14.2,"+4,7", 6 jun.,▲,#cb181d
2024-06-06,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,15.4,12,3.4,15.4,12,"+3,4", 6 jun.,▲,#cb181d
2024-06-07,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,19.3,11.2,8.1,19.3,11.2,"+8,1", 7 jun.,▲,#cb181d
2024-06-07,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,19.3,11.2,8.1,19.3,11.2,"+8,1", 7 jun.,▲,#cb181d
2024-06-07,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,20.3,14.4,5.9,20.3,14.4,"+5,9", 7 jun.,▲,#cb181d
2024-06-07,4061X,Quintanar de la Orden (Toledo),Mayor anomalía,20.3,14.4,5.9,20.3,14.4,"+5,9", 7 jun.,▲,#cb181d
2024-06-07,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,17.6,12.4,5.2,17.6,12.4,"+5,2", 7 jun.,▲,#cb181d
2024-06-08,3125Y,San Sebastián de los Reyes (Madrid),Mayor anomalía,16.1,8.7,7.4,16.1,8.7,"+7,4", 8 jun.,▲,#cb181d
