cod_ine,mun_norm,prov_norm,ccaa_norm,municipio,provincia,ccaa
15001,abegondo,a-coruna,galicia,Abegondo,A Coruña,Galicia
15002,ames,a-coruna,galicia,Ames,A Coruña,Galicia
15003,aranga,a-coruna,galicia,Aranga,A Coruña,Galicia
15004,ares,a-coruna,galicia,Ares,A Coruña,Galicia
15005,arteixo,a-coruna,galicia,Arteixo,A Coruña,Galicia
15006,arzua,a-coruna,galicia,Arzúa,A Coruña,Galicia
15007,a-bana,a-coruna,galicia,A Baña,A Coruña,Galicia
15008,bergondo,a-coruna,galicia,Bergondo,A Coruña,Galicia
15009,betanzos,a-coruna,galicia,Betanzos,A Coruña,Galicia
15010,boimorto,a-coruna,galicia,Boimorto,A Coruña,Galicia
15011,boiro,a-coruna,galicia,Boiro,A Coruña,Galicia
15012,boqueixon,a-coruna,galicia,Boqueixón,A Coruña,Galicia
15013,brion,a-coruna,galicia,Brión,A Coruña,Galicia
15014,cabana-de-bergantinos,a-coruna,galicia,Cabana de Bergantiños,A Coruña,Galicia
15015,cabanas,a-coruna,galicia,Cabanas,A Coruña,Galicia
15016,camarinas,a-coruna,galicia,Camariñas,A Coruña,Galicia
15017,cambre,a-coruna,galicia,Cambre,A Coruña,Galicia
15018,a-capela,a-coruna,galicia,A Capela,A Coruña,Galicia
15019,carballo,a-coruna,galicia,Carballo,A Coruña,Galicia
15901,carino,a-coruna,galicia,Cariño,A Coruña,Galicia
15020,carnota,a-coruna,galicia,Carnota,A Coruña,Galicia
15021,carral,a-coruna,galicia,Carral,A Coruña,Galicia
15022,cedeira,a-coruna,galicia,Cedeira,A Coruña,Galicia
15023,cee,a-coruna,galicia,Cee,A Coruña,Galicia
15024,cerceda,a-coruna,galicia,Cerceda,A Coruña,Galicia
15025,cerdido,a-coruna,galicia,Cerdido,A Coruña,Galicia
15027,coiros,a-coruna,galicia,Coirós,A Coruña,Galicia
15028,corcubion,a-coruna,galicia,Corcubión,A Coruña,Galicia
15029,coristanco,a-coruna,galicia,Coristanco,A Coruña,Galicia
15030,a-coruna,a-coruna,galicia,A Coruña,A Coruña,Galicia
15031,culleredo,a-coruna,galicia,Culleredo,A Coruña,Galicia
15032,curtis,a-coruna,galicia,Curtis,A Coruña,Galicia
15033,dodro,a-coruna,galicia,Dodro,A Coruña,Galicia
15034,dumbria,a-coruna,galicia,Dumbría,A Coruña,Galicia
15035,fene,a-coruna,galicia,Fene,A Coruña,Galicia
15036,ferrol,a-coruna,galicia,Ferrol,A Coruña,Galicia
15037,fisterra,a-coruna,galicia,Fisterra,A Coruña,Galicia
15038,frades,a-coruna,galicia,Frades,A Coruña,Galicia
15039,irixoa,a-coruna,galicia,Irixoa,A Coruña,Galicia
15041,a-laracha,a-coruna,galicia,A Laracha,A Coruña,Galicia
15040,laxe,a-coruna,galicia,Laxe,A Coruña,Galicia
15042,lousame,a-coruna,galicia,Lousame,A Coruña,Galicia
15043,malpica-de-bergantinos,a-coruna,galicia,Malpica de Bergantiños,A Coruña,Galicia
15044,manon,a-coruna,galicia,Mañón,A Coruña,Galicia
15045,mazaricos,a-coruna,galicia,Mazaricos,A Coruña,Galicia
15046,melide,a-coruna,galicia,Melide,A Coruña,Galicia
15047,mesia,a-coruna,galicia,Mesía,A Coruña,Galicia
15048,mino,a-coruna,galicia,Miño,A Coruña,Galicia
15049,moeche,a-coruna,galicia,Moeche,A Coruña,Galicia
15050,monfero,a-coruna,galicia,Monfero,A Coruña,Galicia
15051,mugardos,a-coruna,galicia,Mugardos,A Coruña,Galicia
15053,muros,a-coruna,galicia,Muros,A Coruña,Galicia
15052,muxia,a-coruna,galicia,Muxía,A Coruña,Galicia
15054,naron,a-coruna,galicia,Narón,A Coruña,Galicia
15055,neda,a-coruna,galicia,Neda,A Coruña,Galicia
15056,negreira,a-coruna,galicia,Negreira,A Coruña,Galicia
15057,noia,a-coruna,galicia,Noia,A Coruña,Galicia
15058,oleiros,a-coruna,galicia,Oleiros,A Coruña,Galicia
15059,ordes,a-coruna,galicia,Ordes,A Coruña,Galicia
15060,oroso,a-coruna,galicia,Oroso,A Coruña,Galicia
15061,ortigueira,a-coruna,galicia,Ortigueira,A Coruña,Galicia
15062,outes,a-coruna,galicia,Outes,A Coruña,Galicia
15902,oza-cesuras,a-coruna,galicia,Oza-Cesuras,A Coruña,Galicia
15064,paderne,a-coruna,galicia,Paderne,A Coruña,Galicia
15065,padron,a-coruna,galicia,Padrón,A Coruña,Galicia
