fecha,fecha_falsa,indicativo,tmax,mediana,fecha_fin,dif_actual,estacion,provincia,recuento,inicio_serie,color
1966-06-20,06-20,8414A,34.5,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1967-06-20,06-20,8414A,25.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1968-06-20,06-20,8414A,27.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1969-06-20,06-20,8414A,25.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1970-06-20,06-20,8414A,26.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1971-06-20,06-20,8414A,30.3,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1972-06-20,06-20,8414A,24.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1973-06-20,06-20,8414A,27.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1974-06-20,06-20,8414A,26.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1975-06-20,06-20,8414A,27.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1976-06-20,06-20,8414A,30.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1977-06-20,06-20,8414A,29.5,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1978-06-20,06-20,8414A,22.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1979-06-20,06-20,8414A,26.8,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1980-06-20,06-20,8414A,25.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1981-06-20,06-20,8414A,25.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1982-06-20,06-20,8414A,28.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1983-06-20,06-20,8414A,23.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1984-06-20,06-20,8414A,26.8,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1985-06-20,06-20,8414A,26,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1986-06-20,06-20,8414A,26.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1987-06-20,06-20,8414A,29.9,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1988-06-20,06-20,8414A,29.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1989-06-20,06-20,8414A,28.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1990-06-20,06-20,8414A,33,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1991-06-20,06-20,8414A,32,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1992-06-20,06-20,8414A,22,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1993-06-20,06-20,8414A,29,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1994-06-20,06-20,8414A,28,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1995-06-20,06-20,8414A,25,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1996-06-20,06-20,8414A,34,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1997-06-20,06-20,8414A,27,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1998-06-20,06-20,8414A,28,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
1999-06-20,06-20,8414A,27.2,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2000-06-20,06-20,8414A,27,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2001-06-20,06-20,8414A,29.8,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2002-06-20,06-20,8414A,30.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2003-06-20,06-20,8414A,33.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2004-06-20,06-20,8414A,26,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2005-06-20,06-20,8414A,34.1,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2006-06-20,06-20,8414A,29.1,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2007-06-20,06-20,8414A,30.5,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2008-06-20,06-20,8414A,28.9,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2009-06-20,06-20,8414A,27.8,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2010-06-20,06-20,8414A,28.5,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2011-06-20,06-20,8414A,27.4,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2012-06-20,06-20,8414A,32.6,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2013-06-20,06-20,8414A,26.3,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2014-06-20,06-20,8414A,29.7,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
2015-06-20,06-20,8414A,26.5,28,2024-06-20,3.5,Valencia Aeropuerto,Valencia,443,1965-01-01,#c4c4c4
