cod_ine,municipio,provincia,alerta_meteosalud,calor,tmax,anomalia_tmax_text,frecuencia,month,year_inicio_serie,tmed,tmin,estacion
11002,Alcalá del Valle,Cádiz,NA,5,36.8,"4,5º más de lo normal",34,6,2009,29.1,21.5,Olvera
11005,Algodonales,Cádiz,NA,5,30,"3,5º más de lo normal",106,6,2000,22.7,15.3,Grazalema
11009,Benaocaz,Cádiz,NA,5,33,"1,2º más de lo normal",119,6,2008,25.8,18.5,El Bosque
11011,El Bosque,Cádiz,NA,5,33,"1,2º más de lo normal",119,6,2008,25.8,18.5,El Bosque
11018,El Gastor,Cádiz,NA,5,30,"3,5º más de lo normal",106,6,2000,22.7,15.3,Grazalema
11019,Grazalema,Cádiz,NA,5,30,"3,5º más de lo normal",106,6,2000,22.7,15.3,Grazalema
11021,Jimena de la Frontera,Cádiz,NA,2,28.5,1º menos de lo normal,241,6,2009,21.3,14.1,Jimena de la Frontera
11024,Olvera,Cádiz,NA,5,36.8,"4,5º más de lo normal",34,6,2009,29.1,21.5,Olvera
11026,Prado del Rey,Cádiz,NA,5,33,"1,2º más de lo normal",119,6,2008,25.8,18.5,El Bosque
11029,Puerto Serrano,Cádiz,NA,5,36.8,"4,5º más de lo normal",34,6,2009,29.1,21.5,Olvera
11034,Setenil de las Bodegas,Cádiz,NA,5,36.8,"4,5º más de lo normal",34,6,2009,29.1,21.5,Olvera
11036,Torre Alháquime,Cádiz,NA,5,36.8,"4,5º más de lo normal",34,6,2009,29.1,21.5,Olvera
11038,Ubrique,Cádiz,NA,5,33,"1,2º más de lo normal",119,6,2008,25.8,18.5,El Bosque
11040,Villaluenga del Rosario,Cádiz,NA,5,30,"3,5º más de lo normal",106,6,2000,22.7,15.3,Grazalema
11042,Zahara,Cádiz,NA,5,30,"3,5º más de lo normal",106,6,2000,22.7,15.3,Grazalema
14001,Adamuz,Córdoba,NA,4,34.9,"1,9º más de lo normal",90,6,2008,26.6,18.2,"Córdoba, Embalse de Guadanuño"
14005,Almodóvar del Río,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
14012,Bujalance,Córdoba,NA,5,39.2,"1,9º más de lo normal",80,6,2008,30.2,21.1,Montoro
14014,Cañete de las Torres,Córdoba,NA,4,36.9,2º más de lo normal,66,6,2012,28.5,20.1,"Córdoba, Prágdena"
14017,La Carlota,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14018,El Carpio,Córdoba,NA,4,36.9,2º más de lo normal,66,6,2012,28.5,20.1,"Córdoba, Prágdena"
14021,Córdoba,Córdoba,NA,4,37.1,"3,1º más de lo normal",306,6,1959,28.7,20.4,Córdoba Aeropuerto
14027,Fernán-Núñez,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14030,Fuente Palmera,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
14033,Guadalcázar,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
14040,Montalbán de Córdoba,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14043,Montoro,Córdoba,NA,5,39.2,"1,9º más de lo normal",80,6,2008,30.2,21.1,Montoro
14049,Palma del Río,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
14050,Pedro Abad,Córdoba,NA,5,39.2,"1,9º más de lo normal",80,6,2008,30.2,21.1,Montoro
14059,San Sebastián de los Ballesteros,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14060,Santaella,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14065,La Victoria,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14066,Villa del Río,Córdoba,NA,5,39.2,"1,9º más de lo normal",80,6,2008,30.2,21.1,Montoro
14067,Villafranca de Córdoba,Córdoba,NA,4,36.9,2º más de lo normal,66,6,2012,28.5,20.1,"Córdoba, Prágdena"
14902,La Guijarrosa,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14053,Posadas,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
14057,La Rambla,Córdoba,NA,5,38.4,3º más de lo normal,60,6,2008,28,17.5,La Rambla
14901,Fuente Carreteros,Córdoba,NA,4,36.6,"2,3º más de lo normal",108,6,2009,28.8,21,Fuente Palmera
29001,Alameda,Málaga,NA,4,33.7,"1,7º más de lo normal",114,6,2008,25.9,18.1,Fuente de Piedra
29010,Almargen,Málaga,NA,2,32.2,"0,6º menos de lo normal",189,6,2001,25.6,18.9,Antequera
29015,Antequera,Málaga,NA,0,16.5,"17,2º menos de lo normal",NA,NA,NA,12.9,9.2,Antequera Ayuntamiento (Automática Thies)
29017,Archidona,Málaga,NA,0,16.5,"17,2º menos de lo normal",NA,NA,NA,12.9,9.2,Antequera Ayuntamiento (Automática Thies)
29032,Campillos,Málaga,NA,2,32.2,"0,6º menos de lo normal",189,6,2001,25.6,18.9,Antequera
29035,Cañete la Real,Málaga,NA,2,32.2,"0,6º menos de lo normal",189,6,2001,25.6,18.9,Antequera
29047,Cuevas Bajas,Málaga,NA,0,16.5,"17,2º menos de lo normal",NA,NA,NA,12.9,9.2,Antequera Ayuntamiento (Automática Thies)
29049,Cuevas de San Marcos,Málaga,NA,0,16.5,"17,2º menos de lo normal",NA,NA,NA,12.9,9.2,Antequera Ayuntamiento (Automática Thies)
29055,Fuente de Piedra,Málaga,NA,4,33.7,"1,7º más de lo normal",114,6,2008,25.9,18.1,Fuente de Piedra
29059,Humilladero,Málaga,NA,4,33.7,"1,7º más de lo normal",114,6,2008,25.9,18.1,Fuente de Piedra
29072,Mollina,Málaga,NA,4,33.7,"1,7º más de lo normal",114,6,2008,25.9,18.1,Fuente de Piedra
29088,Sierra de Yeguas,Málaga,NA,4,33.7,"1,7º más de lo normal",114,6,2008,25.9,18.1,Fuente de Piedra
29089,Teba,Málaga,NA,2,32.2,"0,6º menos de lo normal",189,6,2001,25.6,18.9,Antequera
29095,Villanueva de Algaidas,Málaga,NA,0,16.5,"17,2º menos de lo normal",NA,NA,NA,12.9,9.2,Antequera Ayuntamiento (Automática Thies)
