indicativo,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre,nombre_clean,provincia_clean,latitud,longitud
0016A,13.450000000000001,17.6,hace calor,"+0,3",9.3,anormalmente cálida,"+2,1",2024-03-19,10:10:00,REUS AEROPUERTO,Reus Aeropuerto,Tarragona,41.145,1.163611111111111
0076,14.2,16.3,no hace calor,"-0,4",12.1,extremadamente cálida,"+3,9",2024-03-19,10:10:00,BARCELONA AEROPUERTO,Barcelona Aeropuerto,Barcelona,41.29277777777778,2.0700000000000003
0149X,11.35,14.1,no hace calor,"-3,8",8.6,extremadamente cálida,+4,2024-03-19,10:10:00,MANRESA,Manresa,Barcelona,41.72,1.840277777777778
0201D,15.25,17,hace calor,"+1,1",13.5,extremadamente cálida,"+3,2",2024-03-19,10:10:00,BARCELONA,Barcelona,Barcelona,41.39055555555556,2.2
0252D,16.8,20.8,el calor es extremo,"+4,4",12.8,extremadamente cálida,"+5,2",2024-03-19,10:10:00,ARENYS DE MAR,Arenys de Mar,Barcelona,41.587500000000006,2.54
0324A,9.55,12.9,no hace calor,"-4,6",6.2,extremadamente cálida,"+5,2",2024-03-19,10:10:00,RIPOLL,Ripoll,Girona,42.19138888888889,2.196111111111111
0367,14.25,18.8,el calor es normal,"-0,1",9.7,extremadamente cálida,+6,2024-03-19,10:10:00,GIRONA AEROPUERTO,Girona Aeropuerto,Girona,41.91166666666666,2.763333333333333
0372C,15.2,20.2,hace mucho calor,"+4,1",10.2,extremadamente cálida,"+5,4",2024-03-19,10:10:00,PORQUERES,Porqueres,Girona,42.10444444444445,2.763611111111111
1002Y,11.600000000000001,15.3,no hace calor,"-1,2",7.9,anormalmente cálida,"+4,4",2024-03-19,10:10:00,"BAZTAN, IRURITA","Baztan, Irurita",Navarra,43.13583333333333,-1.5430555555555554
1014A,15.15,16.6,hace mucho calor,"+1,7",13.7,extremadamente cálida,"+5,2",2024-03-19,10:10:00,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,Donostia / San Sebastián Aeropuerto,Gipuzkoa,43.35694444444445,-1.7922222222222222
1037Y,13.350000000000001,14.9,hace calor,"+3,4",11.8,extremadamente cálida,"+6,9",2024-03-19,10:10:00,ZUMARRAGA,Zumarraga,Gipuzkoa,43.080000000000005,-2.3175
