indicativo,fecha_falsa,tmax_mean_smooth,tmin_mean_smooth,permax_p5_smooth,permax_p95_smooth,permin_p5_smooth,permin_p95_smooth,tmax,tmin,estacion,provincia,diferencia
6058I,2024-01-01,NA,NA,15.107638718275345,20.88498352480023,8.2167972345653,13.757969006033948,21.3,12.7,Estepona,Málaga,5.255380490635535
6058I,2024-01-02,18.08818999088492,11.024904839506906,NA,NA,NA,NA,18.4,11.6,Estepona,Málaga,5.255380490635535
6058I,2024-01-03,NA,NA,NA,NA,NA,NA,24.5,11,Estepona,Málaga,5.255380490635535
6058I,2024-01-04,NA,NA,NA,NA,NA,NA,21.9,13.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-05,NA,NA,14.763426312250964,20.71433098300816,7.730847609142252,13.436259679556928,15.2,11.2,Estepona,Málaga,5.255380490635535
6058I,2024-01-06,17.8707911519023,10.678816229652508,NA,NA,NA,NA,17.9,8.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-07,NA,NA,NA,NA,NA,NA,16.6,7.2,Estepona,Málaga,5.255380490635535
6058I,2024-01-08,NA,NA,NA,NA,NA,NA,15.7,7.6,Estepona,Málaga,5.255380490635535
6058I,2024-01-09,NA,NA,NA,NA,NA,NA,12.9,10.3,Estepona,Málaga,5.255380490635535
6058I,2024-01-10,NA,NA,14.491206788834498,20.5926055219773,7.336973449797883,13.178119007480367,15.6,9.5,Estepona,Málaga,5.255380490635535
6058I,2024-01-11,17.70409488498458,10.40084138126072,NA,NA,NA,NA,16.2,9.6,Estepona,Málaga,5.255380490635535
6058I,2024-01-12,NA,NA,NA,NA,NA,NA,16,13.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-13,NA,NA,NA,NA,NA,NA,15.9,11.9,Estepona,Málaga,5.255380490635535
6058I,2024-01-14,NA,NA,14.29962619655453,20.516866431779633,7.040032978438454,12.993595835232028,17.7,10,Estepona,Málaga,5.255380490635535
6058I,2024-01-15,17.58936926738672,10.197566477189952,NA,NA,NA,NA,20.8,15.5,Estepona,Málaga,5.255380490635535
6058I,2024-01-16,NA,NA,NA,NA,NA,NA,20,12.9,Estepona,Málaga,5.255380490635535
6058I,2024-01-17,NA,NA,NA,NA,NA,NA,19.5,12.7,Estepona,Málaga,5.255380490635535
6058I,2024-01-18,NA,NA,NA,NA,NA,NA,19.8,15.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-19,NA,NA,14.181325392213784,20.48605585120008,6.838562663071156,12.874781475883976,16.8,13.6,Estepona,Málaga,5.255380490635535
6058I,2024-01-20,17.523923076054697,10.065033037745929,NA,NA,NA,NA,17.6,10.9,Estepona,Málaga,5.255380490635535
6058I,2024-01-21,NA,NA,NA,NA,NA,NA,16.4,12.5,Estepona,Málaga,5.255380490635535
6058I,2024-01-22,NA,NA,NA,NA,NA,NA,17.2,12.2,Estepona,Málaga,5.255380490635535
6058I,2024-01-23,NA,NA,NA,NA,NA,NA,17.4,11,Estepona,Málaga,5.255380490635535
6058I,2024-01-24,NA,NA,14.124744856340463,20.507889655520135,6.725702215717644,12.804571499193663,20.1,10.9,Estepona,Málaga,5.255380490635535
6058I,2024-01-25,17.508123157855064,9.992039482959736,NA,NA,NA,NA,21.8,13.9,Estepona,Málaga,5.255380490635535
6058I,2024-01-26,NA,NA,NA,NA,NA,NA,19.6,12,Estepona,Málaga,5.255380490635535
6058I,2024-01-27,NA,NA,NA,NA,NA,NA,19.8,14.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-28,NA,NA,14.200020100050605,20.5797472538113,6.746432437108465,12.839053137653073,18.1,13.5,Estepona,Málaga,5.255380490635535
6058I,2024-01-29,17.562587130851476,10.016853867139265,NA,NA,NA,NA,17.2,15.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-30,NA,NA,NA,NA,NA,NA,17.6,15.1,Estepona,Málaga,5.255380490635535
6058I,2024-01-31,NA,NA,NA,NA,NA,NA,16.8,15.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-01,NA,NA,NA,NA,NA,NA,17.4,13.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-02,NA,NA,14.333956751716578,20.70334693792499,6.851881101133279,12.923242720746387,17.3,12.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-03,17.664475015858667,10.100683407090976,NA,NA,NA,NA,17.1,13.8,Estepona,Málaga,5.255380490635535
6058I,2024-02-04,NA,NA,NA,NA,NA,NA,17.5,12.8,Estepona,Málaga,5.255380490635535
6058I,2024-02-05,NA,NA,NA,NA,NA,NA,17.5,11.6,Estepona,Málaga,5.255380490635535
6058I,2024-02-06,NA,NA,14.41992515229498,20.871038120910033,6.9873759816329954,12.973712083937146,23.1,11.1,Estepona,Málaga,5.255380490635535
6058I,2024-02-07,17.782176466509988,10.195119338240753,NA,NA,NA,NA,23.2,11.4,Estepona,Málaga,5.255380490635535
6058I,2024-02-08,NA,NA,NA,NA,NA,NA,18.7,10.4,Estepona,Málaga,5.255380490635535
6058I,2024-02-09,NA,NA,NA,NA,NA,NA,17.3,12.8,Estepona,Málaga,5.255380490635535
6058I,2024-02-10,NA,NA,NA,NA,NA,NA,19.7,13.5,Estepona,Málaga,5.255380490635535
6058I,2024-02-11,NA,NA,14.489450500941023,21.066361854372847,7.1895738418003505,13.018456213708433,18.1,13,Estepona,Málaga,5.255380490635535
6058I,2024-02-12,17.923819764911382,10.32899419029624,NA,NA,NA,NA,20.3,17.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-13,NA,NA,NA,NA,NA,NA,23.2,14,Estepona,Málaga,5.255380490635535
6058I,2024-02-14,NA,NA,NA,NA,NA,NA,21.5,15.3,Estepona,Málaga,5.255380490635535
6058I,2024-02-15,NA,NA,NA,NA,NA,NA,19.5,14.8,Estepona,Málaga,5.255380490635535
6058I,2024-02-16,NA,NA,14.56291502819265,21.352000296756508,7.397828839908812,13.077563772502842,21.5,13.3,Estepona,Málaga,5.255380490635535
6058I,2024-02-17,18.094954778173925,10.46821642171836,NA,NA,NA,NA,20.9,11.3,Estepona,Málaga,5.255380490635535
6058I,2024-02-18,NA,NA,NA,NA,NA,NA,18.6,14.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-19,NA,NA,NA,NA,NA,NA,19.6,11.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-20,NA,NA,14.63207851340266,21.809338877180707,7.663547788202552,13.118353925454302,21.1,12.4,Estepona,Málaga,5.255380490635535
6058I,2024-02-21,18.33162548097993,10.615040649622069,NA,NA,NA,NA,21,11.9,Estepona,Málaga,5.255380490635535
6058I,2024-02-22,NA,NA,NA,NA,NA,NA,22.5,13.7,Estepona,Málaga,5.255380490635535
6058I,2024-02-23,NA,NA,NA,NA,NA,NA,19,12.4,Estepona,Málaga,5.255380490635535
6058I,2024-02-24,NA,NA,NA,NA,NA,NA,18.2,11.9,Estepona,Málaga,5.255380490635535
6058I,2024-02-25,NA,NA,14.719328382852815,22.30253510439403,7.958932513389004,13.180797710892486,19.6,12.8,Estepona,Málaga,5.255380490635535
6058I,2024-02-26,18.58225107126529,10.783583112928667,NA,NA,NA,NA,18.2,11.7,Estepona,Málaga,5.255380490635535
6058I,2024-02-27,NA,NA,NA,NA,NA,NA,19.3,10.2,Estepona,Málaga,5.255380490635535
6058I,2024-02-28,NA,NA,NA,NA,NA,NA,21.6,10.5,Estepona,Málaga,5.255380490635535
6058I,2024-02-29,NA,NA,NA,NA,NA,NA,21.6,10.1,Estepona,Málaga,5.255380490635535
6058I,2024-03-01,NA,NA,14.82504039049836,22.736958967589946,8.199829970387556,13.321165896364828,18.9,10.4,Estepona,Málaga,5.255380490635535
6058I,2024-03-02,NA,NA,NA,NA,NA,NA,17.6,10,Estepona,Málaga,5.255380490635535
6058I,2024-03-03,18.78772223525554,10.97059978835174,NA,NA,NA,NA,18.2,10.8,Estepona,Málaga,5.255380490635535
6058I,2024-03-04,NA,NA,NA,NA,NA,NA,19.9,13.1,Estepona,Málaga,5.255380490635535
6058I,2024-03-05,NA,NA,14.912921438986327,23.23487694916164,8.384088668253147,13.514611424980998,20.5,10.8,Estepona,Málaga,5.255380490635535
6058I,2024-03-06,NA,NA,NA,NA,NA,NA,18.2,10.5,Estepona,Málaga,5.255380490635535
6058I,2024-03-07,18.989823494360255,11.162995991305756,NA,NA,NA,NA,18.7,11,Estepona,Málaga,5.255380490635535
6058I,2024-03-08,NA,NA,NA,NA,NA,NA,15.3,9.3,Estepona,Málaga,5.255380490635535
6058I,2024-03-09,NA,NA,NA,NA,NA,NA,14,11.1,Estepona,Málaga,5.255380490635535
6058I,2024-03-10,NA,NA,15.101844403829444,23.61100668939036,8.630757055063045,13.731277280250504,19.6,10.3,Estepona,Málaga,5.255380490635535
6058I,2024-03-11,NA,NA,NA,NA,NA,NA,20,10.5,Estepona,Málaga,5.255380490635535
6058I,2024-03-12,19.212962924669668,11.390251853458864,NA,NA,NA,NA,17.8,10.2,Estepona,Málaga,5.255380490635535
6058I,2024-03-13,NA,NA,NA,NA,NA,NA,18.4,11.6,Estepona,Málaga,5.255380490635535
6058I,2024-03-14,NA,NA,15.410742557422056,23.7773932476774,8.99167892363972,14.028578880671413,19.3,10.3,Estepona,Málaga,5.255380490635535
6058I,2024-03-15,NA,NA,NA,NA,NA,NA,24.8,12.3,Estepona,Málaga,5.255380490635535
