indicativo,fecha_falsa,Máxima (media),Mínima (media),Máxima (umbral inferior),Máxima (umbral superior),Mínima (umbral inferior),Mínima (umbral superior),Máxima,Mínima,estacion,provincia,diferencia
9069C,2024-01-01,NA,NA,5.646931543358585,16.03986214559764,-5.423140661103495,7.539528090077402,11.3,0.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-02,11.037313333441638,0.9367828365783712,NA,NA,NA,NA,14.6,8.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-03,NA,NA,NA,NA,NA,NA,16.3,8.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-04,NA,NA,NA,NA,NA,NA,13.9,7.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-05,NA,NA,5.241356586513119,15.336098230065655,-4.619999957121328,7.348149673750327,10.7,4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-06,10.426541710248893,1.198085109835359,NA,NA,NA,NA,6.7,3.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-07,NA,NA,NA,NA,NA,NA,8.8,1.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-08,NA,NA,NA,NA,NA,NA,9.8,0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-09,NA,NA,NA,NA,NA,NA,6.1,-1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-10,NA,NA,4.8977762578777035,14.829312482910064,-3.9451203669919255,7.191902350192854,6.3,2.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-11,9.957936824306298,1.4124837293962045,NA,NA,NA,NA,6.5,1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-12,NA,NA,NA,NA,NA,NA,12.1,-1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-13,NA,NA,NA,NA,NA,NA,8.6,-1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-14,NA,NA,4.594483656008272,14.52392633698718,-3.4192544571552452,7.076504697475436,13.8,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-15,9.627089981277162,1.5688606851748277,NA,NA,NA,NA,17.3,10.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-16,NA,NA,NA,NA,NA,NA,14.2,8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-17,NA,NA,NA,NA,NA,NA,17.7,12.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-18,NA,NA,NA,NA,NA,NA,16.2,5.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-19,NA,NA,4.346782256816351,14.417206119352606,-3.0292453585644648,6.992128099988185,5.5,-2.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-20,9.43773127822919,1.6722058788373315,NA,NA,NA,NA,11.4,-6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-21,NA,NA,NA,NA,NA,NA,15.2,-3.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-22,NA,NA,NA,NA,NA,NA,15.8,5.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-23,NA,NA,NA,NA,NA,NA,17.1,5.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-24,NA,NA,4.199013353321937,14.49886973926906,-2.7353945867675757,6.929336549480078,22.4,1.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-25,9.397574998307146,1.7451789208978885,NA,NA,NA,NA,NA,0,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-26,NA,NA,NA,NA,NA,NA,19.5,-0.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-27,NA,NA,NA,NA,NA,NA,15.7,1.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-28,NA,NA,4.099642043605701,14.788245906172854,-2.638930725811154,6.92866932380117,16.6,-0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-29,9.497674372550684,1.747310651172763,NA,NA,NA,NA,11.2,2.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-30,NA,NA,NA,NA,NA,NA,11.4,7.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-31,NA,NA,NA,NA,NA,NA,17.5,1.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-01,NA,NA,NA,NA,NA,NA,15.3,-0.2,Miranda de Ebro,Burgos,9.238686603462249
