indicativo,<b></b>,temMax,fecha_maxima,record,mes_falso,month,nombre_clean,provincia_clean,<span></span>,fecha,nota
1696O,35.3,34.9,2015-06-29,Mensual,7,Junio,Beariz,Ourense,7.257198507631404,2024-06-07,NA
6199X,36.8,34.9,2023-06-27,Mensual,7,Junio,Vélez-Málaga,Málaga,6.742801492368596,2024-06-15,Vélez-Málaga 36.8ºC
6268Y,33.8,33.8,2016-06-13,Mensual,7,Junio,"Motril, Puerto",Granada,6.8771577776764055,2024-06-06,NA
9201X,32.9,32.1,2023-06-25,Mensual,7,Junio,Jaca,Huesca,7.113944991835791,2024-06-26,NA
C328W,29,28.3,2023-06-08,Mensual,7,Junio,Hermigua,Sta. Cruz de Tenerife,7,2024-06-07,Hermigua 29ºC
4090Y,34.4,33.9,2011-05-28,Mensual,8,Mayo,San Clemente,Cuenca,8,2024-05-30,San Clemente 34.4ºC
4386B,37,36.9,2015-05-13,Mensual,8,Mayo,Llerena,Badajoz,8.299799252686137,2024-05-30,NA
5038X,37.1,36.2,2009-05-20,Mensual,8,Mayo,Cazorla,Jaén,7.8001745298104765,2024-05-30,NA
5612B,38.1,37.7,2015-05-14,Mensual,8,Mayo,La Roda de Andalucía,Sevilla,7.700130978854602,2024-05-30,La Roda de Andalucía 38.1ºC
5704B,36.1,36,1999-05-12,Mensual,8,Mayo,Cazalla de la Sierra,Sevilla,7.9000930789435095,2024-05-30,NA
8177A,35,34.9,2015-05-13,Mensual,8,Mayo,Chinchilla,Albacete,8.099874943845997,2024-05-30,NA
9981A,36.1,36,2006-05-27,Mensual,8,Mayo,Estación de Tortosa (Roquetes),Tarragona,8.199813842112981,2024-05-30,NA
0149X,30.3,30,2011-04-08,Mensual,9,Abril,Manresa,Barcelona,9.095407115293598,2024-04-13,NA
0200E,29.4,27.5,2023-04-12,Mensual,9,Abril,"Barcelona, Fabra",Barcelona,9.145616988044006,2024-04-14,NA
0201D,26.7,25,2009-04-22,Mensual,9,Abril,Barcelona,Barcelona,8.907941913744514,2024-04-14,NA
0367,31.6,30.2,2011-04-08,Mensual,9,Abril,Girona Aeropuerto,Girona,8.910057970196712,2024-04-13,NA
0372C,30.6,29,2022-04-16,Mensual,9,Abril,Porqueres,Girona,9.299452123505501,2024-04-14,NA
1002Y,31.2,31,2015-04-14,Mensual,9,Abril,"Baztán, Irurita",Navarra,8.829795780394896,2024-04-13,NA
1037Y,29.4,28.2,2011-04-08,Mensual,9,Abril,Zumarraga,Gipuzkoa,8.77869816633787,2024-04-14,NA
1057B,27.3,27.3,2018-04-18,Mensual,9,Abril,Matxitxako,Bizkaia,8.927465444225247,2024-04-06,NA
1059X,30.9,30.7,2011-04-06,Mensual,9,Abril,Punta Galea,Bizkaia,8.847441367844983,2024-04-06,NA
1078I,31.3,30.7,2010-04-28,Mensual,9,Abril,Güeñes,Bizkaia,9.190698290193772,2024-04-13,NA
1083L,29.1,25.9,2015-04-14,Mensual,9,Abril,Castro Urdiales,Cantabria,9.243933206728256,2024-04-06,NA
1111X,27.7,27.4,2022-04-11,Mensual,9,Abril,Santander,Cantabria,9.109007287347566,2024-04-06,NA
1159,28.3,27.7,2003-04-13,Mensual,9,Abril,San Vicente de la Barquera,Cantabria,9.182706080673132,2024-04-06,NA
1183X,27.9,25.5,2003-04-28,Mensual,9,Abril,Llanes,Asturias,9.16301089364043,2024-04-06,NA
1207U,28.4,28,1984-04-22,Mensual,9,Abril,"Gijón, Campus",Asturias,8.816266650899683,2024-04-05,NA
1208H,29,27,2003-04-13,Mensual,9,Abril,"Gijón, Puerto",Asturias,8.963938175798061,2024-04-05,NA
1210X,27.1,24.7,2003-04-13,Mensual,9,Abril,Cabo Peñas,Asturias,9.082088580552606,2024-04-05,NA
1249X,28.8,26.9,2015-04-14,Mensual,9,Abril,Oviedo,Asturias,9.035993339640127,2024-04-12,NA
1283U,28.1,24.6,2011-04-06,Mensual,9,Abril,Cabo Busto,Asturias,8.96061729400751,2024-04-05,NA
1331A,27.9,24.3,2015-04-14,Mensual,9,Abril,Castropol,Asturias,9,2024-04-05,NA
