fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-06-07,1696O,2015-06-29,34.9,Beariz,Ourense,42.46805556,-8.278055556,Mensual,Beariz 35.3ºC,35.3,NA,NA,NA,NA,NA
2024-06-06,6268Y,2016-06-13,33.8,"Motril, Puerto",Granada,36.72388889,-3.529166667,Mensual,NA,33.8,NA,NA,NA,NA,NA
2024-06-06,9201X,2023-06-25,32.1,Jaca,Huesca,42.57972222,-0.545,Mensual,NA,32.2,NA,NA,NA,NA,NA
2024-06-07,C328W,2023-06-08,28.3,Hermigua,Sta. Cruz de Tenerife,28.16361111,-17.19416667,Mensual,Hermigua 29ºC,29,NA,NA,NA,NA,NA
2024-05-30,4090Y,2011-05-28,33.9,San Clemente,Cuenca,39.41666667,-2.420555556,Mensual,San Clemente 34.4ºC,NA,34.4,NA,NA,NA,NA
2024-05-30,4386B,2015-05-13,36.9,Llerena,Badajoz,38.23166667,-6.016944444,Mensual,NA,NA,37,NA,NA,NA,NA
2024-05-30,5038X,2009-05-20,36.2,Cazorla,Jaén,37.91583333,-3.003888889,Mensual,NA,NA,37.1,NA,NA,NA,NA
2024-05-30,5612B,2015-05-14,37.7,La Roda de Andalucía,Sevilla,37.19444444,-4.77,Mensual,La Roda de Andalucía 38.1ºC,NA,38.1,NA,NA,NA,NA
2024-05-30,5704B,1999-05-12,36,Cazalla de la Sierra,Sevilla,37.92638889,-5.769722222,Mensual,NA,NA,36.1,NA,NA,NA,NA
2024-05-30,8177A,2015-05-13,34.9,Chinchilla,Albacete,38.93583333,-1.66,Mensual,NA,NA,35,NA,NA,NA,NA
2024-05-30,9981A,2006-05-27,36,Estación de Tortosa (Roquetes),Tarragona,40.82027778,0.4933333333,Mensual,NA,NA,36.1,NA,NA,NA,NA
2024-04-13,0149X,2011-04-08,30,Manresa,Barcelona,41.72,1.840277778,Mensual,NA,NA,NA,30.3,NA,NA,NA
2024-04-14,0200E,2023-04-12,27.5,"Barcelona, Fabra",Barcelona,41.41833333,2.124166667,Mensual,NA,NA,NA,29.4,NA,NA,NA
2024-04-14,0201D,2009-04-22,25,Barcelona,Barcelona,41.39055556,2.2,Mensual,NA,NA,NA,26.7,NA,NA,NA
2024-04-13,0367,2011-04-08,30.2,Girona Aeropuerto,Girona,41.91166667,2.763333333,Mensual,NA,NA,NA,31.6,NA,NA,NA
2024-04-14,0372C,2022-04-16,29,Porqueres,Girona,42.10444444,2.763611111,Mensual,NA,NA,NA,30.6,NA,NA,NA
2024-04-13,1002Y,2015-04-14,31,"Baztán, Irurita",Navarra,43.13583333,-1.543055556,Mensual,NA,NA,NA,31.2,NA,NA,NA
2024-04-14,1037Y,2011-04-08,28.2,Zumarraga,Gipuzkoa,43.08,-2.3175,Mensual,NA,NA,NA,29.4,NA,NA,NA
2024-04-06,1057B,2018-04-18,27.3,Matxitxako,Bizkaia,43.45388889,-2.752777778,Mensual,NA,NA,NA,27.3,NA,NA,NA
2024-04-06,1059X,2011-04-06,30.7,Punta Galea,Bizkaia,43.375,-3.021666667,Mensual,NA,NA,NA,30.9,NA,NA,NA
2024-04-13,1078I,2010-04-28,30.7,Güeñes,Bizkaia,43.20333333,-3.104722222,Mensual,NA,NA,NA,31.3,NA,NA,NA
2024-04-06,1083L,2015-04-14,25.9,Castro Urdiales,Cantabria,43.39472222,-3.233888889,Mensual,NA,NA,NA,29.1,NA,NA,NA
2024-04-06,1111X,2022-04-11,27.4,Santander,Cantabria,43.49111111,-3.800555556,Mensual,NA,NA,NA,27.7,NA,NA,NA
2024-04-06,1159,2003-04-13,27.7,San Vicente de la Barquera,Cantabria,43.39333333,-4.392222222,Mensual,NA,NA,NA,28.3,NA,NA,NA
2024-04-06,1183X,2003-04-28,25.5,Llanes,Asturias,43.42027778,-4.748055556,Mensual,NA,NA,NA,27.9,NA,NA,NA
2024-04-05,1207U,1984-04-22,28,"Gijón, Campus",Asturias,43.52305556,-5.621111111,Mensual,NA,NA,NA,28.4,NA,NA,NA
2024-04-05,1208H,2003-04-13,27,"Gijón, Puerto",Asturias,43.56,-5.700833333,Mensual,NA,NA,NA,29,NA,NA,NA
2024-04-05,1210X,2003-04-13,24.7,Cabo Peñas,Asturias,43.65583333,-5.848611111,Mensual,NA,NA,NA,27.1,NA,NA,NA
2024-04-12,1249X,2015-04-14,26.9,Oviedo,Asturias,43.35333333,-5.874166667,Mensual,NA,NA,NA,28.8,NA,NA,NA
2024-04-05,1283U,2011-04-06,24.6,Cabo Busto,Asturias,43.56916667,-6.47,Mensual,NA,NA,NA,28.1,NA,NA,NA
2024-04-05,1331A,2015-04-14,24.3,Castropol,Asturias,43.52472222,-7.031388889,Mensual,NA,NA,NA,27.9,NA,NA,NA
2024-04-05,1351,2011-04-06,25.5,Estaca de Bares,A Coruña,43.78611111,-7.685,Mensual,NA,NA,NA,26.5,NA,NA,NA
