fecha,indicativo,nombre_clean,provincia,tmax,calor
2024-01-01,C316I,Arure,Sta. Cruz de Tenerife," 20,2",6
2024-01-01,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,7",6
2024-01-01,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,2",0
2024-01-01,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 24,3",6
2024-01-01,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 21,4",6
2024-01-02,C316I,Arure,Sta. Cruz de Tenerife," 19,9",6
2024-01-02,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,1",6
2024-01-02,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,1",0
2024-01-02,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,4",6
2024-01-02,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 20,5",6
2024-01-03,C316I,Arure,Sta. Cruz de Tenerife," 19,3",6
2024-01-03,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,3",6
2024-01-03,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 13,2",6
2024-01-03,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,9",6
2024-01-03,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 21,3",6
2024-01-04,C316I,Arure,Sta. Cruz de Tenerife," 20,1",6
2024-01-04,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,4",6
2024-01-04,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 13,1",6
2024-01-04,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,2",6
2024-01-04,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 20,5",6
2024-01-05,C316I,Arure,Sta. Cruz de Tenerife," 16,9",3
2024-01-05,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,4",6
2024-01-05,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 11,2",6
2024-01-05,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,8",6
2024-01-05,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 18,8",6
2024-01-06,C316I,Arure,Sta. Cruz de Tenerife," 17,0",6
2024-01-06,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,1",6
2024-01-06,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,0",6
2024-01-06,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 23,1",4
2024-01-06,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 18,8",6
2024-01-07,C316I,Arure,Sta. Cruz de Tenerife," 17,9",6
2024-01-07,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,6",6
2024-01-07,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 14,2",6
2024-01-07,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,1",6
2024-01-07,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 19,2",6
2024-01-08,C316I,Arure,Sta. Cruz de Tenerife," 19,5",6
2024-01-08,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,8",5
2024-01-08,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,2",6
2024-01-08,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 24,8",6
2024-01-08,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 19,3",6
2024-01-09,C316I,Arure,Sta. Cruz de Tenerife," 20,2",6
2024-01-09,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,1",5
2024-01-09,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 11,0",6
2024-01-09,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 24,6",5
2024-01-09,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 21,3",6
2024-01-10,C316I,Arure,Sta. Cruz de Tenerife," 20,7",6
2024-01-10,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,6",6
2024-01-10,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 11,0",0
2024-01-10,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 24,5",6
2024-01-10,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 22,3",6
2024-01-11,C316I,Arure,Sta. Cruz de Tenerife," 21,5",6
2024-01-11,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,7",6
2024-01-11,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 10,6",0
2024-01-11,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 27,0",6
2024-01-11,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 24,2",6
2024-01-12,C316I,Arure,Sta. Cruz de Tenerife," 19,9",6
2024-01-12,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,9",6
2024-01-12,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife,"  8,3",0
2024-01-12,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 23,6",5
2024-01-12,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 24,2",6
2024-01-13,C316I,Arure,Sta. Cruz de Tenerife," 20,5",6
2024-01-13,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,7",4
2024-01-13,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 10,2",0
2024-01-13,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 23,4",3
2024-01-13,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 22,5",6
2024-01-14,C316I,Arure,Sta. Cruz de Tenerife," 20,6",6
2024-01-14,C129V,Fuencaliente,Sta. Cruz de Tenerife," 23,3",4
2024-01-14,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,9",6
2024-01-14,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 24,4",5
2024-01-14,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 20,8",6
2024-01-15,C316I,Arure,Sta. Cruz de Tenerife," 22,7",6
2024-01-15,C129V,Fuencaliente,Sta. Cruz de Tenerife," 22,9",4
2024-01-15,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife," 12,2",6
2024-01-15,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,6",6
2024-01-15,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 26,4",6
2024-01-16,C316I,Arure,Sta. Cruz de Tenerife," 20,3",6
2024-01-16,C129V,Fuencaliente,Sta. Cruz de Tenerife," 24,0",5
2024-01-16,C101A,Roque de los Muchachos,Sta. Cruz de Tenerife,"  8,9",0
2024-01-16,C319W,"Vallehermoso, Dama",Sta. Cruz de Tenerife," 25,8",6
2024-01-16,C468X,San Juan de La Rambla,Sta. Cruz de Tenerife," 26,3",6
2024-01-17,C316I,Arure,Sta. Cruz de Tenerife," 18,5",6
2024-01-17,C129V,Fuencaliente,Sta. Cruz de Tenerife," 22,8",4
