fecha,type,actual,media,anomalia_positiva,anomalia_negativa,actual_text
2024-01-01,Media,8.4,7.6,7.6,8.4,"8,4"
2024-01-01,Mínima,3.6,3.3,3.3,3.6,"3,6"
2024-01-01,Máxima,13.1,11.9,11.9,13.1,"13,1"
2024-01-02,Media,9.1,7.6,7.6,9.1,"9,1"
2024-01-02,Mínima,3.8,3.3,3.3,3.8,"3,8"
2024-01-02,Máxima,14.3,11.9,11.9,14.3,"14,3"
2024-01-03,Media,11.3,7.6,7.6,11.3,"11,3"
2024-01-03,Mínima,7.2,3.3,3.3,7.2,"7,2"
2024-01-03,Máxima,15.4,11.9,11.9,15.4,"15,4"
2024-01-04,Media,10.2,7.6,7.6,10.2,"10,2"
2024-01-04,Mínima,6.6,3.3,3.3,6.6,"6,6"
2024-01-04,Máxima,13.8,11.9,11.9,13.8,"13,8"
2024-01-05,Media,8.1,7.6,7.6,8.1,"8,1"
2024-01-05,Mínima,5,3.3,3.3,5,5
2024-01-05,Máxima,11.3,11.9,11.3,11.9,"11,3"
2024-01-06,Media,7,7.6,7,7.6,7
2024-01-06,Mínima,3.1,3.3,3.1,3.3,"3,1"
2024-01-06,Máxima,10.8,11.9,10.8,11.9,"10,8"
2024-01-07,Media,6.1,7.6,6.1,7.6,"6,1"
2024-01-07,Mínima,1.6,3.2,1.6,3.2,"1,6"
2024-01-07,Máxima,10.6,12,10.6,12,"10,6"
2024-01-08,Media,4.8,7.6,4.8,7.6,"4,8"
2024-01-08,Mínima,0.1,3.2,0.1,3.2,"0,1"
2024-01-08,Máxima,9.6,12,9.6,12,"9,6"
2024-01-09,Media,6.2,7.6,6.2,7.6,"6,2"
2024-01-09,Mínima,3,3.2,3,3.2,3
2024-01-09,Máxima,9.4,12,9.4,12,"9,4"
2024-01-10,Media,6.9,7.6,6.9,7.6,"6,9"
2024-01-10,Mínima,4.3,3.2,3.2,4.3,"4,3"
2024-01-10,Máxima,9.5,12,9.5,12,"9,5"
2024-01-11,Media,5.9,7.6,5.9,7.6,"5,9"
2024-01-11,Mínima,2.2,3.2,2.2,3.2,"2,2"
2024-01-11,Máxima,9.6,12,9.6,12,"9,6"
2024-01-12,Media,5.5,7.6,5.5,7.6,"5,5"
2024-01-12,Mínima,0.3,3.2,0.3,3.2,"0,3"
2024-01-12,Máxima,10.8,12,10.8,12,"10,8"
2024-01-13,Media,7.1,7.6,7.1,7.6,"7,1"
2024-01-13,Mínima,2.2,3.1,2.2,3.1,"2,2"
2024-01-13,Máxima,11.9,12.1,11.9,12.1,"11,9"
2024-01-14,Media,9.6,7.6,7.6,9.6,"9,6"
2024-01-14,Mínima,4.7,3.1,3.1,4.7,"4,7"
2024-01-14,Máxima,14.6,12.1,12.1,14.6,"14,6"
2024-01-15,Media,12.3,7.6,7.6,12.3,"12,3"
2024-01-15,Mínima,8.8,3.1,3.1,8.8,"8,8"
2024-01-15,Máxima,15.8,12.1,12.1,15.8,"15,8"
2024-01-16,Media,12.7,7.6,7.6,12.7,"12,7"
2024-01-16,Mínima,9.1,3.1,3.1,9.1,"9,1"
2024-01-16,Máxima,16.3,12.1,12.1,16.3,"16,3"
2024-01-17,Media,13.4,7.6,7.6,13.4,"13,4"
2024-01-17,Mínima,10.3,3.1,3.1,10.3,"10,3"
2024-01-17,Máxima,16.5,12.2,12.2,16.5,"16,5"
2024-01-18,Media,13.1,7.6,7.6,13.1,"13,1"
2024-01-18,Mínima,9.5,3.1,3.1,9.5,"9,5"
2024-01-18,Máxima,16.6,12.2,12.2,16.6,"16,6"
2024-01-19,Media,7.8,7.6,7.6,7.8,"7,8"
