fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-02-19,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,17.7,13.5,4.2,17.7,13.5,"+4,2",19 feb.,▲,#cb181d
2024-02-19,1351,Estaca de Bares (A Coruña),A Coruña,13.4,13.6,-0.2,13.6,13.4,"-0,2",19 feb.,▼,#2171b5
2024-02-19,1387,A Coruña (A Coruña),A Coruña,16.3,13.9,2.4,16.3,13.9,"+2,4",19 feb.,▲,#cb181d
2024-02-19,1473A,Padrón (A Coruña),A Coruña,21.9,13.5,8.4,21.9,13.5,"+8,4",19 feb.,▲,#cb181d
2024-02-19,1475X,Santiago de Compostela (A Coruña),A Coruña,20.8,13,7.8,20.8,13,"+7,8",19 feb.,▲,#cb181d
2024-02-19,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,19.6,12.5,7.1,19.6,12.5,"+7,1",19 feb.,▲,#cb181d
2024-02-19,1400,Fisterra (A Coruña),A Coruña,15.7,11.6,4.1,15.7,11.6,"+4,1",19 feb.,▲,#cb181d
2024-02-19,1393,Cabo Vilán (A Coruña),A Coruña,13.9,12.2,1.7,13.9,12.2,"+1,7",19 feb.,▲,#cb181d
2024-02-20,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,21.9,14.4,7.5,21.9,14.4,"+7,5",20 feb.,▲,#cb181d
2024-02-20,1351,Estaca de Bares (A Coruña),A Coruña,16.2,13.1,3.1,16.2,13.1,"+3,1",20 feb.,▲,#cb181d
2024-02-20,1387,A Coruña (A Coruña),A Coruña,22.6,14.3,8.3,22.6,14.3,"+8,3",20 feb.,▲,#cb181d
2024-02-20,1473A,Padrón (A Coruña),A Coruña,22.2,14.9,7.3,22.2,14.9,"+7,3",20 feb.,▲,#cb181d
2024-02-20,1475X,Santiago de Compostela (A Coruña),A Coruña,21.6,13.8,7.8,21.6,13.8,"+7,8",20 feb.,▲,#cb181d
2024-02-20,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,20.3,13.6,6.7,20.3,13.6,"+6,7",20 feb.,▲,#cb181d
2024-02-20,1400,Fisterra (A Coruña),A Coruña,18.5,12.6,5.9,18.5,12.6,"+5,9",20 feb.,▲,#cb181d
2024-02-20,1393,Cabo Vilán (A Coruña),A Coruña,18.1,12.7,5.4,18.1,12.7,"+5,4",20 feb.,▲,#cb181d
2024-02-21,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,15.5,14.5,1,15.5,14.5,+1,21 feb.,▲,#cb181d
2024-02-21,1351,Estaca de Bares (A Coruña),A Coruña,16,12.8,3.2,16,12.8,"+3,2",21 feb.,▲,#cb181d
2024-02-21,1387,A Coruña (A Coruña),A Coruña,16.5,13.8,2.7,16.5,13.8,"+2,7",21 feb.,▲,#cb181d
2024-02-21,1473A,Padrón (A Coruña),A Coruña,14.2,14.8,-0.6,14.8,14.2,"-0,6",21 feb.,▼,#2171b5
2024-02-21,1475X,Santiago de Compostela (A Coruña),A Coruña,14,13.3,0.7,14,13.3,"+0,7",21 feb.,▲,#cb181d
2024-02-21,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,12.6,12,0.6,12.6,12,"+0,6",21 feb.,▲,#cb181d
2024-02-21,1400,Fisterra (A Coruña),A Coruña,13.6,12,1.6,13.6,12,"+1,6",21 feb.,▲,#cb181d
2024-02-21,1393,Cabo Vilán (A Coruña),A Coruña,14.2,12.8,1.4,14.2,12.8,"+1,4",21 feb.,▲,#cb181d
2024-02-22,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,15.6,14.3,1.3,15.6,14.3,"+1,3",22 feb.,▲,#cb181d
2024-02-22,1351,Estaca de Bares (A Coruña),A Coruña,15.7,13.3,2.4,15.7,13.3,"+2,4",22 feb.,▲,#cb181d
2024-02-22,1387,A Coruña (A Coruña),A Coruña,16.1,14,2.1,16.1,14,"+2,1",22 feb.,▲,#cb181d
2024-02-22,1473A,Padrón (A Coruña),A Coruña,13.5,13.8,-0.3,13.8,13.5,"-0,3",22 feb.,▼,#2171b5
2024-02-22,1475X,Santiago de Compostela (A Coruña),A Coruña,13.8,12.9,0.9,13.8,12.9,"+0,9",22 feb.,▲,#cb181d
2024-02-22,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,12.9,12.3,0.6,12.9,12.3,"+0,6",22 feb.,▲,#cb181d
2024-02-22,1400,Fisterra (A Coruña),A Coruña,13.4,11.1,2.3,13.4,11.1,"+2,3",22 feb.,▲,#cb181d
2024-02-22,1393,Cabo Vilán (A Coruña),A Coruña,14.3,12.4,1.9,14.3,12.4,"+1,9",22 feb.,▲,#cb181d
2024-02-23,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,11.8,14.3,-2.5,14.3,11.8,"-2,5",23 feb.,▼,#2171b5
2024-02-23,1351,Estaca de Bares (A Coruña),A Coruña,10.9,12.7,-1.8,12.7,10.9,"-1,8",23 feb.,▼,#2171b5
2024-02-23,1473A,Padrón (A Coruña),A Coruña,11,15.9,-4.9,15.9,11,"-4,9",23 feb.,▼,#2171b5
2024-02-23,1387,A Coruña (A Coruña),A Coruña,12.1,15,-2.9,15,12.1,"-2,9",23 feb.,▼,#2171b5
2024-02-23,1475X,Santiago de Compostela (A Coruña),A Coruña,10.6,14.4,-3.8,14.4,10.6,"-3,8",23 feb.,▼,#2171b5
2024-02-23,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,8.8,13.3,-4.5,13.3,8.8,"-4,5",23 feb.,▼,#2171b5
2024-02-23,1400,Fisterra (A Coruña),A Coruña,10.6,11.9,-1.3,11.9,10.6,"-1,3",23 feb.,▼,#2171b5
2024-02-23,1393,Cabo Vilán (A Coruña),A Coruña,11.6,12.3,-0.7,12.3,11.6,"-0,7",23 feb.,▼,#2171b5
2024-02-24,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,14.2,14.7,-0.5,14.7,14.2,"-0,5",24 feb.,▼,#2171b5
2024-02-24,1351,Estaca de Bares (A Coruña),A Coruña,13.5,13.1,0.4,13.5,13.1,"+0,4",24 feb.,▲,#cb181d
2024-02-24,1387,A Coruña (A Coruña),A Coruña,14.1,14.6,-0.5,14.6,14.1,"-0,5",24 feb.,▼,#2171b5
2024-02-24,1473A,Padrón (A Coruña),A Coruña,12.1,14.4,-2.3,14.4,12.1,"-2,3",24 feb.,▼,#2171b5
2024-02-24,1475X,Santiago de Compostela (A Coruña),A Coruña,12.5,12.6,-0.1,12.6,12.5,"-0,1",24 feb.,▼,#2171b5
