fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-02-19,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,7,5,2,7,5,+2,19 feb.,▲,#cb181d
2024-02-19,1351,Estaca de Bares (A Coruña),A Coruña,11.1,8.8,2.3,11.1,8.8,"+2,3",19 feb.,▲,#cb181d
2024-02-19,1387,A Coruña (A Coruña),A Coruña,10.8,7.8,3,10.8,7.8,+3,19 feb.,▲,#cb181d
2024-02-19,1473A,Padrón (A Coruña),A Coruña,8.9,3.8,5.1,8.9,3.8,"+5,1",19 feb.,▲,#cb181d
2024-02-19,1475X,Santiago de Compostela (A Coruña),A Coruña,10.2,4.9,5.3,10.2,4.9,"+5,3",19 feb.,▲,#cb181d
2024-02-19,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,7.1,3.9,3.2,7.1,3.9,"+3,2",19 feb.,▲,#cb181d
2024-02-19,1400,Fisterra (A Coruña),A Coruña,10.5,7.5,3,10.5,7.5,+3,19 feb.,▲,#cb181d
2024-02-19,1393,Cabo Vilán (A Coruña),A Coruña,11.3,7.8,3.5,11.3,7.8,"+3,5",19 feb.,▲,#cb181d
2024-02-20,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,4.1,5.6,-1.5,5.6,4.1,"-1,5",20 feb.,▼,#2171b5
2024-02-20,1351,Estaca de Bares (A Coruña),A Coruña,10.7,8.4,2.3,10.7,8.4,"+2,3",20 feb.,▲,#cb181d
2024-02-20,1387,A Coruña (A Coruña),A Coruña,8.7,7.9,0.8,8.7,7.9,"+0,8",20 feb.,▲,#cb181d
2024-02-20,1473A,Padrón (A Coruña),A Coruña,4.5,4,0.5,4.5,4,"+0,5",20 feb.,▲,#cb181d
2024-02-20,1475X,Santiago de Compostela (A Coruña),A Coruña,6.8,5.1,1.7,6.8,5.1,"+1,7",20 feb.,▲,#cb181d
2024-02-20,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,4.6,3.6,1,4.6,3.6,+1,20 feb.,▲,#cb181d
2024-02-20,1400,Fisterra (A Coruña),A Coruña,11.6,8.3,3.3,11.6,8.3,"+3,3",20 feb.,▲,#cb181d
2024-02-20,1393,Cabo Vilán (A Coruña),A Coruña,9.5,8.3,1.2,9.5,8.3,"+1,2",20 feb.,▲,#cb181d
2024-02-21,1387E,A Coruña Aeropuerto (A Coruña),A Coruña,9.6,5,4.6,9.6,5,"+4,6",21 feb.,▲,#cb181d
2024-02-21,1351,Estaca de Bares (A Coruña),A Coruña,12.3,8.7,3.6,12.3,8.7,"+3,6",21 feb.,▲,#cb181d
2024-02-21,1387,A Coruña (A Coruña),A Coruña,11.6,8.7,2.9,11.6,8.7,"+2,9",21 feb.,▲,#cb181d
2024-02-21,1473A,Padrón (A Coruña),A Coruña,7.7,5.7,2,7.7,5.7,+2,21 feb.,▲,#cb181d
2024-02-21,1475X,Santiago de Compostela (A Coruña),A Coruña,9.7,5.4,4.3,9.7,5.4,"+4,3",21 feb.,▲,#cb181d
2024-02-21,1428,Santiago de Compostela Aeropuerto (A Coruña),A Coruña,8.6,4,4.6,8.6,4,"+4,6",21 feb.,▲,#cb181d
2024-02-21,1400,Fisterra (A Coruña),A Coruña,10.7,7,3.7,10.7,7,"+3,7",21 feb.,▲,#cb181d
