recuento,fecuencia_supera,tipo,temp,date,indicativo,inicio_serie
36,11.7,Máximas,22.2,01-01,C439J,2014-01-01
170,55,Minimas,13.5,01-01,C439J,2014-01-01
91,21.8,Máximas,17.1,01-01,5612B,2009-02-13
115,27.6,Minimas,5.1,01-01,5612B,2009-02-13
184,45.4,Máximas,11,01-01,3094B,2009-08-01
138,34.1,Minimas,2.7,01-01,3094B,2009-08-01
291,38.6,Máximas,12.3,01-01,9394X,1993-04-01
367,48.7,Minimas,1.1,01-01,9394X,1993-04-01
496,53.4,Máximas,15.8,01-01,B434X,1993-01-01
428,46.1,Minimas,8.4,01-01,B434X,1993-01-01
461,53.3,Máximas,17,01-01,8293X,1990-04-02
254,29.4,Minimas,6.5,01-01,8293X,1990-04-02
332,34.2,Máximas,10.2,01-01,2755X,1988-12-17
318,32.7,Minimas,1.7,01-01,2755X,1988-12-17
461,43,Máximas,7.5,01-01,2400E,1988-12-03
640,59.6,Minimas,-1.7,01-01,2400E,1988-12-03
492,33.1,Máximas,16.6,01-01,8500A,1976-01-01
495,33.3,Minimas,7.1,01-01,8500A,1976-01-01
488,28.7,Máximas,21.3,01-01,C249I,1967-01-01
1200,70.5,Minimas,13.6,01-01,C249I,1967-01-01
761,31.5,Máximas,4.3,01-01,2462,1946-01-01
1530,63.3,Minimas,-4.3,01-01,2462,1946-01-01
184,33.4,Máximas,9.5,01-01,9001D,2005-02-21
233,42.3,Minimas,-0.5,01-01,9001D,2005-02-21
273,43.5,Máximas,13.5,01-01,5047E,2000-01-01
270,43,Minimas,0.4,01-01,5047E,2000-01-01
446,51.6,Máximas,7.2,01-01,9563X,1991-11-20
324,37.5,Minimas,2,01-01,9563X,1991-11-20
217,23.1,Máximas,14,01-01,9573X,1990-01-01
309,32.9,Minimas,3.1,01-01,9573X,1990-01-01
663,66.6,Máximas,12.1,01-01,4358X,1989-03-01
203,20.4,Minimas,6.7,01-01,4358X,1989-03-01
874,54.4,Máximas,12.9,01-01,1387E,1971-12-01
479,29.8,Minimas,8,01-01,1387E,1971-12-01
377,22.1,Máximas,15.3,01-01,1212E,1968-08-01
162,9.5,Minimas,9.7,01-01,1212E,1968-08-01
700,31.9,Máximas,15.3,01-01,0016A,1945-02-01
1394,63.5,Minimas,2.5,01-01,0016A,1945-02-01
92,3.6,Máximas,20.5,01-01,C447A,1941-08-01
236,9.3,Minimas,12,01-01,C447A,1941-08-01
391,17.3,Máximas,14.2,01-01,9434,1941-01-01
744,32.9,Minimas,4.2,01-01,9434,1941-01-01
158,5.5,Máximas,23.5,01-01,C449C,1931-01-01
295,10.2,Minimas,16.9,01-01,C449C,1931-01-01
47,12.8,Máximas,18.5,01-01,6293X,2009-07-19
91,24.8,Minimas,8.8,01-01,6293X,2009-07-19
233,30.5,Máximas,18,01-01,8050X,1997-03-14
497,65,Minimas,4.2,01-01,8050X,1997-03-14
83,10.5,Máximas,18.2,01-01,5972X,1997-03-01
132,16.7,Minimas,11.9,01-01,5972X,1997-03-01
325,35.9,Máximas,9,01-01,2235U,1986-06-01
545,60.2,Minimas,-2,01-01,2235U,1986-06-01
464,36.7,Máximas,13,01-01,3260B,1982-02-01
369,29.2,Minimas,3.9,01-01,3260B,1982-02-01
242,32.1,Máximas,11.6,01-01,9051,1949-09-01
304,40.3,Minimas,1.4,01-01,9051,1949-09-01
528,33.5,Máximas,14.7,01-01,0367,1973-01-01
576,36.6,Minimas,2.1,01-01,0367,1973-01-01
1229,63,Máximas,9.7,01-01,3175,1961-01-01
884,45.3,Minimas,0.7,01-01,3175,1961-01-01
227,10.1,Máximas,18.1,01-01,6001,1945-05-01
1148,51.2,Minimas,11,01-01,6001,1945-05-01
500,15.7,Máximas,18.2,01-01,9981A,1920-01-01
2116,66.5,Minimas,3.9,01-01,9981A,1920-01-01
101,36.5,Máximas,14.7,01-01,1331A,2014-11-20
58,20.9,Minimas,9.3,01-01,1331A,2014-11-20
167,54.4,Máximas,9.8,01-01,8489X,2009-01-25
181,59,Minimas,-1.4,01-01,8489X,2009-01-25
105,14.7,Máximas,16.5,01-01,1183X,1997-04-02
194,27.2,Minimas,8.9,01-01,1183X,1997-04-02
269,22.2,Máximas,19.8,01-01,7178I,1984-04-01
537,44.4,Minimas,5.6,01-01,7178I,1984-04-01
333,26.9,Máximas,13.3,01-01,9771C,1983-02-01
492,39.7,Minimas,1.8,01-01,9771C,1983-02-01
348,21.3,Máximas,12.4,01-01,4067,1945-06-01
587,35.9,Minimas,1.5,01-01,4067,1945-06-01
929,39,Máximas,12.1,01-01,3365A,1920-01-01
664,27.8,Minimas,3.4,01-01,3365A,1920-01-01
234,50.4,Máximas,8.9,01-01,9784P,2006-01-29
195,42,Minimas,-0.9,01-01,9784P,2006-01-29
119,24.1,Máximas,13.6,01-01,0149X,2005-01-14
201,40.7,Minimas,0.8,01-01,0149X,2005-01-14
111,17.3,Máximas,18,01-01,5641X,2001-01-01
