cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
01001,750102,Llanada alavesa,9087,Alegría-Dulantzi,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01002,750101,Cuenca del Nervión,1078I,Amurrio,Araba/ Álava,10.15,15.6,hace calor,"+1,4",4.7,más cálida de lo normal,"+0,9",2024-03-05,20:30:00,Güeñes
01003,750101,Cuenca del Nervión,9091O,Aramaio,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01004,750101,Cuenca del Nervión,1078I,Artziniega,Araba/ Álava,10.15,15.6,hace calor,"+1,4",4.7,más cálida de lo normal,"+0,9",2024-03-05,20:30:00,Güeñes
01006,750102,Llanada alavesa,9091R,Armiñón,Araba/ Álava,6.45,13.1,hace calor,"+0,6",-0.2,el frío es extremo,"-2,8",2024-03-05,20:30:00,Vitoria-Gasteiz Aeropuerto
01008,750102,Llanada alavesa,9087,Arratzua-Ubarrundia,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01009,750102,Llanada alavesa,9087,Asparrena,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01010,750101,Cuenca del Nervión,1078I,Ayala/Aiara,Araba/ Álava,10.15,15.6,hace calor,"+1,4",4.7,más cálida de lo normal,"+0,9",2024-03-05,20:30:00,Güeñes
01011,750103,Rioja alavesa,9170,Baños de Ebro/Mañueta,Araba/ Álava,8.9,14.6,hace calor,"+0,6",3.2,hace frío,-1,2024-03-05,20:30:00,"Logroño, Aeropuerto"
01013,750102,Llanada alavesa,9087,Barrundia,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01014,750102,Llanada alavesa,9091R,Berantevilla,Araba/ Álava,6.45,13.1,hace calor,"+0,6",-0.2,el frío es extremo,"-2,8",2024-03-05,20:30:00,Vitoria-Gasteiz Aeropuerto
01016,750102,Llanada alavesa,9087,Bernedo,Araba/ Álava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
